Date	Company Code	Company Name	Stock Price
1959-01-31	USSEUEZ	PayPal Holdings Inc.	93.43
1959-02-28	USSEUEZ	PayPal Holdings Inc.	93.82
1959-03-31	USSEUEZ	PayPal Holdings Inc.	94.44
1959-04-30	USSEUEZ	PayPal Holdings Inc.	89.98
1959-05-31	USSEUEZ	PayPal Holdings Inc.	94.57
1959-06-30	USSEUEZ	PayPal Holdings Inc.	91.47
1959-07-31	USSEUEZ	PayPal Holdings Inc.	86.48
1959-08-31	USSEUEZ	PayPal Holdings Inc.	90.39
1959-09-30	USSEUEZ	PayPal Holdings Inc.	90.4
1959-10-31	USSEUEZ	PayPal Holdings Inc.	94.7
1959-11-30	USSEUEZ	PayPal Holdings Inc.	92.32
1959-12-31	USSEUEZ	PayPal Holdings Inc.	95.08
1960-01-31	USSEUEZ	PayPal Holdings Inc.	95.6
1960-02-29	USSEUEZ	PayPal Holdings Inc.	95.97
1960-03-31	USSEUEZ	PayPal Holdings Inc.	98.38
1960-04-30	USSEUEZ	PayPal Holdings Inc.	102.2
1960-05-31	USSEUEZ	PayPal Holdings Inc.	103.03
1960-06-30	USSEUEZ	PayPal Holdings Inc.	103.73
1960-07-31	USSEUEZ	PayPal Holdings Inc.	101.43
1960-08-31	USSEUEZ	PayPal Holdings Inc.	103.44
1960-09-30	USSEUEZ	PayPal Holdings Inc.	111.04
1960-10-31	USSEUEZ	PayPal Holdings Inc.	107.54
1960-11-30	USSEUEZ	PayPal Holdings Inc.	104.11
1960-12-31	USSEUEZ	PayPal Holdings Inc.	98.98
1961-01-31	USSEUEZ	PayPal Holdings Inc.	99.38
1961-02-28	USSEUEZ	PayPal Holdings Inc.	102.57
1961-03-31	USSEUEZ	PayPal Holdings Inc.	94.75
1961-04-30	USSEUEZ	PayPal Holdings Inc.	98.96
1961-05-31	USSEUEZ	PayPal Holdings Inc.	95.09
1961-06-30	USSEUEZ	PayPal Holdings Inc.	95.56
1961-07-31	USSEUEZ	PayPal Holdings Inc.	92.76
1961-08-31	USSEUEZ	PayPal Holdings Inc.	95.14
1961-09-30	USSEUEZ	PayPal Holdings Inc.	94.88
1961-10-31	USSEUEZ	PayPal Holdings Inc.	92.37
1961-11-30	USSEUEZ	PayPal Holdings Inc.	89.72
1961-12-31	USSEUEZ	PayPal Holdings Inc.	92.53
1962-01-31	USSEUEZ	PayPal Holdings Inc.	93.77
1962-02-28	USSEUEZ	PayPal Holdings Inc.	88.19
1962-03-31	USSEUEZ	PayPal Holdings Inc.	87.91
1962-04-30	USSEUEZ	PayPal Holdings Inc.	88.11
1962-05-31	USSEUEZ	PayPal Holdings Inc.	84.65
1962-06-30	USSEUEZ	PayPal Holdings Inc.	86.56
1962-07-31	USSEUEZ	PayPal Holdings Inc.	83.84
1962-08-31	USSEUEZ	PayPal Holdings Inc.	82.34
1962-09-30	USSEUEZ	PayPal Holdings Inc.	75.77
1962-10-31	USSEUEZ	PayPal Holdings Inc.	83.95
1962-11-30	USSEUEZ	PayPal Holdings Inc.	82.3
1962-12-31	USSEUEZ	PayPal Holdings Inc.	80.86
1963-01-31	USSEUEZ	PayPal Holdings Inc.	88.66
1963-02-28	USSEUEZ	PayPal Holdings Inc.	85.12
1963-03-31	USSEUEZ	PayPal Holdings Inc.	86.54
1963-04-30	USSEUEZ	PayPal Holdings Inc.	89.15
1963-05-31	USSEUEZ	PayPal Holdings Inc.	93.53
1963-06-30	USSEUEZ	PayPal Holdings Inc.	93.48
1963-07-31	USSEUEZ	PayPal Holdings Inc.	90.24
1963-08-31	USSEUEZ	PayPal Holdings Inc.	88.64
1963-09-30	USSEUEZ	PayPal Holdings Inc.	88.46
1963-10-31	USSEUEZ	PayPal Holdings Inc.	85.49
1963-11-30	USSEUEZ	PayPal Holdings Inc.	89.49
1963-12-31	USSEUEZ	PayPal Holdings Inc.	85.7
1964-01-31	USSEUEZ	PayPal Holdings Inc.	83.34
1964-02-29	USSEUEZ	PayPal Holdings Inc.	85.22
1964-03-31	USSEUEZ	PayPal Holdings Inc.	77.18
1964-04-30	USSEUEZ	PayPal Holdings Inc.	71.4
1964-05-31	USSEUEZ	PayPal Holdings Inc.	75.5
1964-06-30	USSEUEZ	PayPal Holdings Inc.	80.04
1964-07-31	USSEUEZ	PayPal Holdings Inc.	79.17
1964-08-31	USSEUEZ	PayPal Holdings Inc.	75.61
1964-09-30	USSEUEZ	PayPal Holdings Inc.	73.41
1964-10-31	USSEUEZ	PayPal Holdings Inc.	72.35
1964-11-30	USSEUEZ	PayPal Holdings Inc.	72.82
1964-12-31	USSEUEZ	PayPal Holdings Inc.	71.48
1965-01-31	USSEUEZ	PayPal Holdings Inc.	71.46
1965-02-28	USSEUEZ	PayPal Holdings Inc.	72.36
1965-03-31	USSEUEZ	PayPal Holdings Inc.	73.24
1965-04-30	USSEUEZ	PayPal Holdings Inc.	65.91
1965-05-31	USSEUEZ	PayPal Holdings Inc.	66.3
1965-06-30	USSEUEZ	PayPal Holdings Inc.	65.57
1965-07-31	USSEUEZ	PayPal Holdings Inc.	66.95
1965-08-31	USSEUEZ	PayPal Holdings Inc.	66.74
1965-09-30	USSEUEZ	PayPal Holdings Inc.	63.67
1965-10-31	USSEUEZ	PayPal Holdings Inc.	61.08287358315474
1965-11-30	USSEUEZ	PayPal Holdings Inc.	61.23102210229698
1965-12-31	USSEUEZ	PayPal Holdings Inc.	66.97
