Date	Company Code	Company Name	Stock Price
1959-01-31	USEOT7E	PepsiCo Inc.	101.7
1959-02-28	USEOT7E	PepsiCo Inc.	102.95
1959-03-31	USEOT7E	PepsiCo Inc.	99.43
1959-04-30	USEOT7E	PepsiCo Inc.	95.69
1959-05-31	USEOT7E	PepsiCo Inc.	102.93
1959-06-30	USEOT7E	PepsiCo Inc.	103.77
1959-07-31	USEOT7E	PepsiCo Inc.	100.99
1959-08-31	USEOT7E	PepsiCo Inc.	97.89
1959-09-30	USEOT7E	PepsiCo Inc.	94.68
1959-10-31	USEOT7E	PepsiCo Inc.	89.01
1959-11-30	USEOT7E	PepsiCo Inc.	89.15
1959-12-31	USEOT7E	PepsiCo Inc.	90.26
1960-01-31	USEOT7E	PepsiCo Inc.	87.2
1960-02-29	USEOT7E	PepsiCo Inc.	89.25
1960-03-31	USEOT7E	PepsiCo Inc.	88.04
1960-04-30	USEOT7E	PepsiCo Inc.	86.6
1960-05-31	USEOT7E	PepsiCo Inc.	89.34
1960-06-30	USEOT7E	PepsiCo Inc.	89.49
1960-07-31	USEOT7E	PepsiCo Inc.	92.62
1960-08-31	USEOT7E	PepsiCo Inc.	88.88
1960-09-30	USEOT7E	PepsiCo Inc.	89.03
1960-10-31	USEOT7E	PepsiCo Inc.	88.76
1960-11-30	USEOT7E	PepsiCo Inc.	88.21
1960-12-31	USEOT7E	PepsiCo Inc.	86.83
1961-01-31	USEOT7E	PepsiCo Inc.	88.66
1961-02-28	USEOT7E	PepsiCo Inc.	84.94
1961-03-31	USEOT7E	PepsiCo Inc.	90.45
1961-04-30	USEOT7E	PepsiCo Inc.	88.13
1961-05-31	USEOT7E	PepsiCo Inc.	93.29
1961-06-30	USEOT7E	PepsiCo Inc.	90.16
1961-07-31	USEOT7E	PepsiCo Inc.	88.97
1961-08-31	USEOT7E	PepsiCo Inc.	96.13
1961-09-30	USEOT7E	PepsiCo Inc.	96.89
1961-10-31	USEOT7E	PepsiCo Inc.	96.21
1961-11-30	USEOT7E	PepsiCo Inc.	102.6
1961-12-31	USEOT7E	PepsiCo Inc.	103.58
1962-01-31	USEOT7E	PepsiCo Inc.	98.99
1962-02-28	USEOT7E	PepsiCo Inc.	102.69
1962-03-31	USEOT7E	PepsiCo Inc.	100.93
1962-04-30	USEOT7E	PepsiCo Inc.	99.23
1962-05-31	USEOT7E	PepsiCo Inc.	100.11
1962-06-30	USEOT7E	PepsiCo Inc.	107.52
1962-07-31	USEOT7E	PepsiCo Inc.	103.56
1962-08-31	USEOT7E	PepsiCo Inc.	109.62
1962-09-30	USEOT7E	PepsiCo Inc.	105.15
1962-10-31	USEOT7E	PepsiCo Inc.	111.53
1962-11-30	USEOT7E	PepsiCo Inc.	115.13
1962-12-31	USEOT7E	PepsiCo Inc.	122.6
1963-01-31	USEOT7E	PepsiCo Inc.	125.44
1963-02-28	USEOT7E	PepsiCo Inc.	124.22
1963-03-31	USEOT7E	PepsiCo Inc.	118.73
1963-04-30	USEOT7E	PepsiCo Inc.	119.56
