Date	Company Code	Company Name	Stock Price
1959-01-31	USZ0A1A	Pfizer Inc.	107.2
1959-02-28	USZ0A1A	Pfizer Inc.	106.85
1959-03-31	USZ0A1A	Pfizer Inc.	110.17
1959-04-30	USZ0A1A	Pfizer Inc.	112.74
1959-05-31	USZ0A1A	Pfizer Inc.	118.67
1959-06-30	USZ0A1A	Pfizer Inc.	113.03
1959-07-31	USZ0A1A	Pfizer Inc.	117.29
1959-08-31	USZ0A1A	Pfizer Inc.	122.44
1959-09-30	USZ0A1A	Pfizer Inc.	123.87
1959-10-31	USZ0A1A	Pfizer Inc.	124.54
1959-11-30	USZ0A1A	Pfizer Inc.	122.2
1959-12-31	USZ0A1A	Pfizer Inc.	124.26
1960-01-31	USZ0A1A	Pfizer Inc.	123.57
1960-02-29	USZ0A1A	Pfizer Inc.	119.47
1960-03-31	USZ0A1A	Pfizer Inc.	114.8
1960-04-30	USZ0A1A	Pfizer Inc.	105.66
1960-05-31	USZ0A1A	Pfizer Inc.	109.26
1960-06-30	USZ0A1A	Pfizer Inc.	103.5
1960-07-31	USZ0A1A	Pfizer Inc.	98.93
1960-08-31	USZ0A1A	Pfizer Inc.	105.49
1960-09-30	USZ0A1A	Pfizer Inc.	105.21
1960-10-31	USZ0A1A	Pfizer Inc.	101.83
1960-11-30	USZ0A1A	Pfizer Inc.	100.4
1960-12-31	USZ0A1A	Pfizer Inc.	107.86
1961-01-31	USZ0A1A	Pfizer Inc.	111.53
1961-02-28	USZ0A1A	Pfizer Inc.	118.11
1961-03-31	USZ0A1A	Pfizer Inc.	110.3
1961-04-30	USZ0A1A	Pfizer Inc.	118.16
1961-05-31	USZ0A1A	Pfizer Inc.	115.62
1961-06-30	USZ0A1A	Pfizer Inc.	113.15
1961-07-31	USZ0A1A	Pfizer Inc.	110.59
1961-08-31	USZ0A1A	Pfizer Inc.	111.51
1961-09-30	USZ0A1A	Pfizer Inc.	112.17
1961-10-31	USZ0A1A	Pfizer Inc.	114.65
1961-11-30	USZ0A1A	Pfizer Inc.	118.19
1961-12-31	USZ0A1A	Pfizer Inc.	118.34
1962-01-31	USZ0A1A	Pfizer Inc.	122.79
1962-02-28	USZ0A1A	Pfizer Inc.	123.43
1962-03-31	USZ0A1A	Pfizer Inc.	122.55
1962-04-30	USZ0A1A	Pfizer Inc.	125.67
1962-05-31	USZ0A1A	Pfizer Inc.	132.43
1962-06-30	USZ0A1A	Pfizer Inc.	137.18
1962-07-31	USZ0A1A	Pfizer Inc.	137.6
1962-08-31	USZ0A1A	Pfizer Inc.	139.02
1962-09-30	USZ0A1A	Pfizer Inc.	146.74
1962-10-31	USZ0A1A	Pfizer Inc.	147.46
1962-11-30	USZ0A1A	Pfizer Inc.	151.95
1962-12-31	USZ0A1A	Pfizer Inc.	156.83
1963-01-31	USZ0A1A	Pfizer Inc.	158.8
1963-02-28	USZ0A1A	Pfizer Inc.	162.0
1963-03-31	USZ0A1A	Pfizer Inc.	159.38
1963-04-30	USZ0A1A	Pfizer Inc.	159.56
1963-05-31	USZ0A1A	Pfizer Inc.	162.42
1963-06-30	USZ0A1A	Pfizer Inc.	164.8
1963-07-31	USZ0A1A	Pfizer Inc.	159.74
1963-08-31	USZ0A1A	Pfizer Inc.	158.68
1963-09-30	USZ0A1A	Pfizer Inc.	159.29
1963-10-31	USZ0A1A	Pfizer Inc.	161.87
1963-11-30	USZ0A1A	Pfizer Inc.	163.2
1963-12-31	USZ0A1A	Pfizer Inc.	162.13
1964-01-31	USZ0A1A	Pfizer Inc.	160.48
1964-02-29	USZ0A1A	Pfizer Inc.	154.53
1964-03-31	USZ0A1A	Pfizer Inc.	153.94
1964-04-30	USZ0A1A	Pfizer Inc.	155.13
1964-05-31	USZ0A1A	Pfizer Inc.	152.06
1964-06-30	USZ0A1A	Pfizer Inc.	150.01
1964-07-31	USZ0A1A	Pfizer Inc.	149.42
1964-08-31	USZ0A1A	Pfizer Inc.	150.64
1964-09-30	USZ0A1A	Pfizer Inc.	144.95
1964-10-31	USZ0A1A	Pfizer Inc.	141.9
1964-11-30	USZ0A1A	Pfizer Inc.	146.89
1964-12-31	USZ0A1A	Pfizer Inc.	148.92
1965-01-31	USZ0A1A	Pfizer Inc.	149.43
1965-02-28	USZ0A1A	Pfizer Inc.	156.86
1965-03-31	USZ0A1A	Pfizer Inc.	161.86
1965-04-30	USZ0A1A	Pfizer Inc.	163.87
1965-05-31	USZ0A1A	Pfizer Inc.	167.35
1965-06-30	USZ0A1A	Pfizer Inc.	164.26
1965-07-31	USZ0A1A	Pfizer Inc.	159.3
1965-08-31	USZ0A1A	Pfizer Inc.	163.95
1965-09-30	USZ0A1A	Pfizer Inc.	164.54
1965-10-31	USZ0A1A	Pfizer Inc.	165.98
1965-11-30	USZ0A1A	Pfizer Inc.	158.85
1965-12-31	USZ0A1A	Pfizer Inc.	156.39
1966-01-31	USZ0A1A	Pfizer Inc.	160.94
1966-02-28	USZ0A1A	Pfizer Inc.	166.16
1966-03-31	USZ0A1A	Pfizer Inc.	169.3
1966-04-30	USZ0A1A	Pfizer Inc.	169.53
1966-05-31	USZ0A1A	Pfizer Inc.	172.14
1966-06-30	USZ0A1A	Pfizer Inc.	170.24
1966-07-31	USZ0A1A	Pfizer Inc.	175.43
1966-08-31	USZ0A1A	Pfizer Inc.	166.14
1966-09-30	USZ0A1A	Pfizer Inc.	165.2
1966-10-31	USZ0A1A	Pfizer Inc.	167.51
1966-11-30	USZ0A1A	Pfizer Inc.	170.97
1966-12-31	USZ0A1A	Pfizer Inc.	163.32
1967-01-31	USZ0A1A	Pfizer Inc.	157.15
1967-02-28	USZ0A1A	Pfizer Inc.	153.2
1967-03-31	USZ0A1A	Pfizer Inc.	153.7
1967-04-30	USZ0A1A	Pfizer Inc.	155.72
1967-05-31	USZ0A1A	Pfizer Inc.	152.93
