Date	Company Code	Company Name	Stock Price
1959-01-31	USCP8OX	Phillips	119.95
1959-02-28	USCP8OX	Phillips	118.63
1959-03-31	USCP8OX	Phillips	123.51
1959-04-30	USCP8OX	Phillips	127.08
1959-05-31	USCP8OX	Phillips	129.19
1959-06-30	USCP8OX	Phillips	134.45
1959-07-31	USCP8OX	Phillips	141.96
1959-08-31	USCP8OX	Phillips	147.56
1959-09-30	USCP8OX	Phillips	155.61
1959-10-31	USCP8OX	Phillips	159.22
1959-11-30	USCP8OX	Phillips	158.67
1959-12-31	USCP8OX	Phillips	159.25
1960-01-31	USCP8OX	Phillips	152.62
1960-02-29	USCP8OX	Phillips	151.98
1960-03-31	USCP8OX	Phillips	147.51
1960-04-30	USCP8OX	Phillips	155.54
1960-05-31	USCP8OX	Phillips	154.94
1960-06-30	USCP8OX	Phillips	152.0
1960-07-31	USCP8OX	Phillips	148.89
1960-08-31	USCP8OX	Phillips	145.58
1960-09-30	USCP8OX	Phillips	144.37
1960-10-31	USCP8OX	Phillips	144.23
1960-11-30	USCP8OX	Phillips	146.53
1960-12-31	USCP8OX	Phillips	146.11
1961-01-31	USCP8OX	Phillips	148.89
1961-02-28	USCP8OX	Phillips	148.0
1961-03-31	USCP8OX	Phillips	151.45
1961-04-30	USCP8OX	Phillips	152.04
1961-05-31	USCP8OX	Phillips	153.1
1961-06-30	USCP8OX	Phillips	152.93
1961-07-31	USCP8OX	Phillips	155.39
1961-08-31	USCP8OX	Phillips	154.62
1961-09-30	USCP8OX	Phillips	157.35
1961-10-31	USCP8OX	Phillips	161.73
1961-11-30	USCP8OX	Phillips	161.13
1961-12-31	USCP8OX	Phillips	156.27
1962-01-31	USCP8OX	Phillips	159.64
1962-02-28	USCP8OX	Phillips	165.61
1962-03-31	USCP8OX	Phillips	165.55
1962-04-30	USCP8OX	Phillips	161.41
1962-05-31	USCP8OX	Phillips	167.54
1962-06-30	USCP8OX	Phillips	170.1
1962-07-31	USCP8OX	Phillips	170.06
1962-08-31	USCP8OX	Phillips	167.83
1962-09-30	USCP8OX	Phillips	166.21
1962-10-31	USCP8OX	Phillips	170.71
1962-11-30	USCP8OX	Phillips	167.81
1962-12-31	USCP8OX	Phillips	165.57
1963-01-31	USCP8OX	Phillips	169.33
1963-02-28	USCP8OX	Phillips	170.74
1963-03-31	USCP8OX	Phillips	168.65
1963-04-30	USCP8OX	Phillips	165.35
1963-05-31	USCP8OX	Phillips	166.21
1963-06-30	USCP8OX	Phillips	165.3
1963-07-31	USCP8OX	Phillips	156.21
1963-08-31	USCP8OX	Phillips	148.49
1963-09-30	USCP8OX	Phillips	153.97
1963-10-31	USCP8OX	Phillips	155.92
1963-11-30	USCP8OX	Phillips	162.68
1963-12-31	USCP8OX	Phillips	165.81
1964-01-31	USCP8OX	Phillips	160.07
1964-02-29	USCP8OX	Phillips	156.88
