Date	Company Code	Company Name	Stock Price
1959-01-31	US4U5IA	Pinterest Inc.	105.1
1959-02-28	US4U5IA	Pinterest Inc.	105.16
1959-03-31	US4U5IA	Pinterest Inc.	99.7
1959-04-30	US4U5IA	Pinterest Inc.	103.91
1959-05-31	US4U5IA	Pinterest Inc.	106.56
1959-06-30	US4U5IA	Pinterest Inc.	112.27
1959-07-31	US4U5IA	Pinterest Inc.	107.4
1959-08-31	US4U5IA	Pinterest Inc.	109.62
1959-09-30	US4U5IA	Pinterest Inc.	112.52
1959-10-31	US4U5IA	Pinterest Inc.	119.26
1959-11-30	US4U5IA	Pinterest Inc.	116.85
1959-12-31	US4U5IA	Pinterest Inc.	117.25
1960-01-31	US4U5IA	Pinterest Inc.	117.46
1960-02-29	US4U5IA	Pinterest Inc.	113.79
1960-03-31	US4U5IA	Pinterest Inc.	117.55
1960-04-30	US4U5IA	Pinterest Inc.	121.17
1960-05-31	US4U5IA	Pinterest Inc.	122.82
1960-06-30	US4U5IA	Pinterest Inc.	123.44
1960-07-31	US4U5IA	Pinterest Inc.	122.42
1960-08-31	US4U5IA	Pinterest Inc.	126.89
1960-09-30	US4U5IA	Pinterest Inc.	123.37
1960-10-31	US4U5IA	Pinterest Inc.	122.11
1960-11-30	US4U5IA	Pinterest Inc.	123.64
1960-12-31	US4U5IA	Pinterest Inc.	119.68
1961-01-31	US4U5IA	Pinterest Inc.	117.33
1961-02-28	US4U5IA	Pinterest Inc.	115.9
1961-03-31	US4U5IA	Pinterest Inc.	120.18
1961-04-30	US4U5IA	Pinterest Inc.	118.42
1961-05-31	US4U5IA	Pinterest Inc.	117.13
1961-06-30	US4U5IA	Pinterest Inc.	112.63
1961-07-31	US4U5IA	Pinterest Inc.	117.55
1961-08-31	US4U5IA	Pinterest Inc.	116.37
1961-09-30	US4U5IA	Pinterest Inc.	112.95
1961-10-31	US4U5IA	Pinterest Inc.	105.91
1961-11-30	US4U5IA	Pinterest Inc.	103.83
1961-12-31	US4U5IA	Pinterest Inc.	101.18
1962-01-31	US4U5IA	Pinterest Inc.	99.37
1962-02-28	US4U5IA	Pinterest Inc.	96.02
1962-03-31	US4U5IA	Pinterest Inc.	95.25
1962-04-30	US4U5IA	Pinterest Inc.	95.34
