Date	Company Code	Company Name	Stock Price
1959-01-31	USHCZG9	Poshmark	91.08
1959-02-28	USHCZG9	Poshmark	96.64
1959-03-31	USHCZG9	Poshmark	100.19
1959-04-30	USHCZG9	Poshmark	99.84
1959-05-31	USHCZG9	Poshmark	99.77
1959-06-30	USHCZG9	Poshmark	91.86
1959-07-31	USHCZG9	Poshmark	91.82
1959-08-31	USHCZG9	Poshmark	97.32
1959-09-30	USHCZG9	Poshmark	104.89
1959-10-31	USHCZG9	Poshmark	100.55
1959-11-30	USHCZG9	Poshmark	99.32
1959-12-31	USHCZG9	Poshmark	96.75
1960-01-31	USHCZG9	Poshmark	96.05
1960-02-29	USHCZG9	Poshmark	91.85
1960-03-31	USHCZG9	Poshmark	99.01
1960-04-30	USHCZG9	Poshmark	101.5
1960-05-31	USHCZG9	Poshmark	98.88
1960-06-30	USHCZG9	Poshmark	92.16
1960-07-31	USHCZG9	Poshmark	90.33
1960-08-31	USHCZG9	Poshmark	87.86
1960-09-30	USHCZG9	Poshmark	91.37
1960-10-31	USHCZG9	Poshmark	91.85
1960-11-30	USHCZG9	Poshmark	86.83
1960-12-31	USHCZG9	Poshmark	82.06
1961-01-31	USHCZG9	Poshmark	82.66
1961-02-28	USHCZG9	Poshmark	83.88
1961-03-31	USHCZG9	Poshmark	82.47
1961-04-30	USHCZG9	Poshmark	78.48
1961-05-31	USHCZG9	Poshmark	78.61
1961-06-30	USHCZG9	Poshmark	73.32
1961-07-31	USHCZG9	Poshmark	72.98
1961-08-31	USHCZG9	Poshmark	75.53
1961-09-30	USHCZG9	Poshmark	75.09
1961-10-31	USHCZG9	Poshmark	69.93
1961-11-30	USHCZG9	Poshmark	72.1
1961-12-31	USHCZG9	Poshmark	73.88
1962-01-31	USHCZG9	Poshmark	73.19
1962-02-28	USHCZG9	Poshmark	72.79
1962-03-31	USHCZG9	Poshmark	75.94
1962-04-30	USHCZG9	Poshmark	72.59
1962-05-31	USHCZG9	Poshmark	71.05
1962-06-30	USHCZG9	Poshmark	71.11
1962-07-31	USHCZG9	Poshmark	73.45
1962-08-31	USHCZG9	Poshmark	70.5
1962-09-30	USHCZG9	Poshmark	70.56
1962-10-31	USHCZG9	Poshmark	66.44
1962-11-30	USHCZG9	Poshmark	61.84136673752358
1962-12-31	USHCZG9	Poshmark	65.5
1963-01-31	USHCZG9	Poshmark	68.82
1963-02-28	USHCZG9	Poshmark	73.75
1963-03-31	USHCZG9	Poshmark	74.28
1963-04-30	USHCZG9	Poshmark	71.75
1963-05-31	USHCZG9	Poshmark	76.29
1963-06-30	USHCZG9	Poshmark	81.99
1963-07-31	USHCZG9	Poshmark	74.93
1963-08-31	USHCZG9	Poshmark	71.82
1963-09-30	USHCZG9	Poshmark	69.42
1963-10-31	USHCZG9	Poshmark	72.5
1963-11-30	USHCZG9	Poshmark	73.73
1963-12-31	USHCZG9	Poshmark	71.64
1964-01-31	USHCZG9	Poshmark	68.08
1964-02-29	USHCZG9	Poshmark	66.03
1964-03-31	USHCZG9	Poshmark	62.96
1964-04-30	USHCZG9	Poshmark	66.9
1964-05-31	USHCZG9	Poshmark	61.6178167288191
1964-06-30	USHCZG9	Poshmark	61.9
1964-07-31	USHCZG9	Poshmark	62.32
1964-08-31	USHCZG9	Poshmark	60.94
1964-09-30	USHCZG9	Poshmark	62.94393433182161
1964-10-31	USHCZG9	Poshmark	61.98055562227668
1964-11-30	USHCZG9	Poshmark	62.81217086502869
1964-12-31	USHCZG9	Poshmark	60.78
1965-01-31	USHCZG9	Poshmark	61.47774451375422
1965-02-28	USHCZG9	Poshmark	62.960029575327525
1965-03-31	USHCZG9	Poshmark	66.78
1965-04-30	USHCZG9	Poshmark	68.19
1965-05-31	USHCZG9	Poshmark	67.45
1965-06-30	USHCZG9	Poshmark	68.74
1965-07-31	USHCZG9	Poshmark	64.47
1965-08-31	USHCZG9	Poshmark	61.93
1965-09-30	USHCZG9	Poshmark	60.08
1965-10-31	USHCZG9	Poshmark	62.37876251623885
1965-11-30	USHCZG9	Poshmark	62.793865921093335
1965-12-31	USHCZG9	Poshmark	62.62
1966-01-31	USHCZG9	Poshmark	64.13
1966-02-28	USHCZG9	Poshmark	63.93
1966-03-31	USHCZG9	Poshmark	61.52
1966-04-30	USHCZG9	Poshmark	61.37975955517926
1966-05-31	USHCZG9	Poshmark	62.981049138264865
1966-06-30	USHCZG9	Poshmark	62.64
1966-07-31	USHCZG9	Poshmark	61.05
1966-08-31	USHCZG9	Poshmark	60.49
1966-09-30	USHCZG9	Poshmark	62.41
1966-10-31	USHCZG9	Poshmark	61.695851614911156
1966-11-30	USHCZG9	Poshmark	66.36
1966-12-31	USHCZG9	Poshmark	72.27
1967-01-31	USHCZG9	Poshmark	78.55
1967-02-28	USHCZG9	Poshmark	78.91
1967-03-31	USHCZG9	Poshmark	77.39
1967-04-30	USHCZG9	Poshmark	79.68
1967-05-31	USHCZG9	Poshmark	75.93
1967-06-30	USHCZG9	Poshmark	81.96
1967-07-31	USHCZG9	Poshmark	80.96
1967-08-31	USHCZG9	Poshmark	83.27
1967-09-30	USHCZG9	Poshmark	77.25
1967-10-31	USHCZG9	Poshmark	81.29
1967-11-30	USHCZG9	Poshmark	84.12
1967-12-31	USHCZG9	Poshmark	81.99
1968-01-31	USHCZG9	Poshmark	76.88
1968-02-29	USHCZG9	Poshmark	75.36
1968-03-31	USHCZG9	Poshmark	74.2
1968-04-30	USHCZG9	Poshmark	76.48
1968-05-31	USHCZG9	Poshmark	81.44
1968-06-30	USHCZG9	Poshmark	79.74
1968-07-31	USHCZG9	Poshmark	76.88
1968-08-31	USHCZG9	Poshmark	74.72
1968-09-30	USHCZG9	Poshmark	74.19
1968-10-31	USHCZG9	Poshmark	75.62
1968-11-30	USHCZG9	Poshmark	74.13
1968-12-31	USHCZG9	Poshmark	75.48
1969-01-31	USHCZG9	Poshmark	73.89
1969-02-28	USHCZG9	Poshmark	74.2
1969-03-31	USHCZG9	Poshmark	67.76
1969-04-30	USHCZG9	Poshmark	63.7
1969-05-31	USHCZG9	Poshmark	66.79
1969-06-30	USHCZG9	Poshmark	65.8
1969-07-31	USHCZG9	Poshmark	70.98
1969-08-31	USHCZG9	Poshmark	75.95
1969-09-30	USHCZG9	Poshmark	72.68
1969-10-31	USHCZG9	Poshmark	69.54
1969-11-30	USHCZG9	Poshmark	66.69
1969-12-31	USHCZG9	Poshmark	67.24
1970-01-31	USHCZG9	Poshmark	60.72
1970-02-28	USHCZG9	Poshmark	61.12440202112851
1970-03-31	USHCZG9	Poshmark	63.25
1970-04-30	USHCZG9	Poshmark	60.08
1970-05-31	USHCZG9	Poshmark	61.077629321217145
1970-06-30	USHCZG9	Poshmark	62.19
1970-07-31	USHCZG9	Poshmark	60.01
1970-08-31	USHCZG9	Poshmark	67.61
1970-09-30	USHCZG9	Poshmark	60.24
1970-10-31	USHCZG9	Poshmark	62.28864989742482
1970-11-30	USHCZG9	Poshmark	60.67
1970-12-31	USHCZG9	Poshmark	61.82
1971-01-31	USHCZG9	Poshmark	66.98
1971-02-28	USHCZG9	Poshmark	61.92
1971-03-31	USHCZG9	Poshmark	65.69
1971-04-30	USHCZG9	Poshmark	68.28
1971-05-31	USHCZG9	Poshmark	67.16
1971-06-30	USHCZG9	Poshmark	70.79
1971-07-31	USHCZG9	Poshmark	74.72
1971-08-31	USHCZG9	Poshmark	67.13
1971-09-30	USHCZG9	Poshmark	74.34
1971-10-31	USHCZG9	Poshmark	74.93
1971-11-30	USHCZG9	Poshmark	73.45
1971-12-31	USHCZG9	Poshmark	68.63
1972-01-31	USHCZG9	Poshmark	63.5
1972-02-29	USHCZG9	Poshmark	63.31
1972-03-31	USHCZG9	Poshmark	63.77
1972-04-30	USHCZG9	Poshmark	61.83
1972-05-31	USHCZG9	Poshmark	63.0
1972-06-30	USHCZG9	Poshmark	61.252428643714374
1972-07-31	USHCZG9	Poshmark	61.41338646300266
1972-08-31	USHCZG9	Poshmark	62.30472038109338
1972-09-30	USHCZG9	Poshmark	60.93
1972-10-31	USHCZG9	Poshmark	61.49
1972-11-30	USHCZG9	Poshmark	62.6787124760469
1972-12-31	USHCZG9	Poshmark	64.17
1973-01-31	USHCZG9	Poshmark	64.54
1973-02-28	USHCZG9	Poshmark	63.98
1973-03-31	USHCZG9	Poshmark	61.81
1973-04-30	USHCZG9	Poshmark	60.43
1973-05-31	USHCZG9	Poshmark	61.29595998358391
1973-06-30	USHCZG9	Poshmark	66.06
1973-07-31	USHCZG9	Poshmark	68.9
1973-08-31	USHCZG9	Poshmark	68.26
1973-09-30	USHCZG9	Poshmark	64.37
1973-10-31	USHCZG9	Poshmark	65.49
1973-11-30	USHCZG9	Poshmark	60.64
1973-12-31	USHCZG9	Poshmark	62.23146032778754
1974-01-31	USHCZG9	Poshmark	68.29
1974-02-28	USHCZG9	Poshmark	68.89
1974-03-31	USHCZG9	Poshmark	72.7
1974-04-30	USHCZG9	Poshmark	76.04
1974-05-31	USHCZG9	Poshmark	69.33
1974-06-30	USHCZG9	Poshmark	75.18
1974-07-31	USHCZG9	Poshmark	74.42
1974-08-31	USHCZG9	Poshmark	73.97
1974-09-30	USHCZG9	Poshmark	64.72
1974-10-31	USHCZG9	Poshmark	63.34
1974-11-30	USHCZG9	Poshmark	64.35
1974-12-31	USHCZG9	Poshmark	61.4
1975-01-31	USHCZG9	Poshmark	64.49
1975-02-28	USHCZG9	Poshmark	62.050516623912884
1975-03-31	USHCZG9	Poshmark	62.00919544037222
1975-04-30	USHCZG9	Poshmark	64.51
1975-05-31	USHCZG9	Poshmark	62.98
1975-06-30	USHCZG9	Poshmark	62.12
1975-07-31	USHCZG9	Poshmark	65.8
1975-08-31	USHCZG9	Poshmark	62.58
1975-09-30	USHCZG9	Poshmark	61.37313292220878
1975-10-31	USHCZG9	Poshmark	61.8466295323704
1975-11-30	USHCZG9	Poshmark	62.47476765827339
1975-12-31	USHCZG9	Poshmark	62.38335177617563
1976-01-31	USHCZG9	Poshmark	62.72768151397711
1976-02-29	USHCZG9	Poshmark	64.0
1976-03-31	USHCZG9	Poshmark	66.38
1976-04-30	USHCZG9	Poshmark	66.87
1976-05-31	USHCZG9	Poshmark	68.57
1976-06-30	USHCZG9	Poshmark	71.35
1976-07-31	USHCZG9	Poshmark	72.24
1976-08-31	USHCZG9	Poshmark	73.77
1976-09-30	USHCZG9	Poshmark	68.12
1976-10-31	USHCZG9	Poshmark	62.96538017637324
1976-11-30	USHCZG9	Poshmark	62.814186545615165
1976-12-31	USHCZG9	Poshmark	61.32223207566785
1977-01-31	USHCZG9	Poshmark	60.47
1977-02-28	USHCZG9	Poshmark	62.82763709838779
1977-03-31	USHCZG9	Poshmark	62.19503016028549
1977-04-30	USHCZG9	Poshmark	64.25
1977-05-31	USHCZG9	Poshmark	63.53
1977-06-30	USHCZG9	Poshmark	66.43
1977-07-31	USHCZG9	Poshmark	64.71
1977-08-31	USHCZG9	Poshmark	62.82
1977-09-30	USHCZG9	Poshmark	62.54
1977-10-31	USHCZG9	Poshmark	62.28858832800255
1977-11-30	USHCZG9	Poshmark	69.12
1977-12-31	USHCZG9	Poshmark	73.53
1978-01-31	USHCZG9	Poshmark	70.03
1978-02-28	USHCZG9	Poshmark	63.88
1978-03-31	USHCZG9	Poshmark	61.64285145654709
1978-04-30	USHCZG9	Poshmark	60.53
1978-05-31	USHCZG9	Poshmark	61.99
1978-06-30	USHCZG9	Poshmark	61.95
1978-07-31	USHCZG9	Poshmark	63.76
1978-08-31	USHCZG9	Poshmark	62.10502198569529
1978-09-30	USHCZG9	Poshmark	63.17
1978-10-31	USHCZG9	Poshmark	62.76
1978-11-30	USHCZG9	Poshmark	62.03543772227255
1978-12-31	USHCZG9	Poshmark	62.209714233188464
1979-01-31	USHCZG9	Poshmark	65.91
1979-02-28	USHCZG9	Poshmark	67.27
1979-03-31	USHCZG9	Poshmark	71.82
1979-04-30	USHCZG9	Poshmark	72.26
1979-05-31	USHCZG9	Poshmark	69.78
1979-06-30	USHCZG9	Poshmark	70.92
