Date	Company Code	Company Name	Stock Price
1959-01-31	USYN169	Poshmark Inc.	96.09
1959-02-28	USYN169	Poshmark Inc.	98.29
1959-03-31	USYN169	Poshmark Inc.	97.54
1959-04-30	USYN169	Poshmark Inc.	105.28
1959-05-31	USYN169	Poshmark Inc.	102.41
1959-06-30	USYN169	Poshmark Inc.	100.08
1959-07-31	USYN169	Poshmark Inc.	98.39
1959-08-31	USYN169	Poshmark Inc.	96.29
1959-09-30	USYN169	Poshmark Inc.	94.6
1959-10-31	USYN169	Poshmark Inc.	101.9
1959-11-30	USYN169	Poshmark Inc.	98.55
1959-12-31	USYN169	Poshmark Inc.	97.87
1960-01-31	USYN169	Poshmark Inc.	93.8
1960-02-29	USYN169	Poshmark Inc.	96.14
1960-03-31	USYN169	Poshmark Inc.	92.51
1960-04-30	USYN169	Poshmark Inc.	92.74
1960-05-31	USYN169	Poshmark Inc.	90.38
1960-06-30	USYN169	Poshmark Inc.	87.68
1960-07-31	USYN169	Poshmark Inc.	88.28
1960-08-31	USYN169	Poshmark Inc.	88.21
1960-09-30	USYN169	Poshmark Inc.	85.3
1960-10-31	USYN169	Poshmark Inc.	88.62
1960-11-30	USYN169	Poshmark Inc.	91.24
1960-12-31	USYN169	Poshmark Inc.	89.97
1961-01-31	USYN169	Poshmark Inc.	91.68
1961-02-28	USYN169	Poshmark Inc.	95.65
1961-03-31	USYN169	Poshmark Inc.	92.82
1961-04-30	USYN169	Poshmark Inc.	90.98
1961-05-31	USYN169	Poshmark Inc.	86.48
1961-06-30	USYN169	Poshmark Inc.	86.2
1961-07-31	USYN169	Poshmark Inc.	80.7
1961-08-31	USYN169	Poshmark Inc.	83.5
1961-09-30	USYN169	Poshmark Inc.	88.59
1961-10-31	USYN169	Poshmark Inc.	93.71
1961-11-30	USYN169	Poshmark Inc.	97.11
1961-12-31	USYN169	Poshmark Inc.	101.36
1962-01-31	USYN169	Poshmark Inc.	106.85
1962-02-28	USYN169	Poshmark Inc.	106.71
1962-03-31	USYN169	Poshmark Inc.	105.3
1962-04-30	USYN169	Poshmark Inc.	101.9
1962-05-31	USYN169	Poshmark Inc.	100.48
1962-06-30	USYN169	Poshmark Inc.	101.77
1962-07-31	USYN169	Poshmark Inc.	100.25
1962-08-31	USYN169	Poshmark Inc.	99.69
1962-09-30	USYN169	Poshmark Inc.	100.78
1962-10-31	USYN169	Poshmark Inc.	98.24
1962-11-30	USYN169	Poshmark Inc.	106.16
1962-12-31	USYN169	Poshmark Inc.	111.98
1963-01-31	USYN169	Poshmark Inc.	114.79
1963-02-28	USYN169	Poshmark Inc.	109.91
1963-03-31	USYN169	Poshmark Inc.	108.58
1963-04-30	USYN169	Poshmark Inc.	100.95
1963-05-31	USYN169	Poshmark Inc.	109.97
1963-06-30	USYN169	Poshmark Inc.	115.59
1963-07-31	USYN169	Poshmark Inc.	118.16
1963-08-31	USYN169	Poshmark Inc.	120.47
