Date	Company Code	Company Name	Stock Price
1959-01-31	US2T19P	Procter & Gamble Co.	117.71
1959-02-28	US2T19P	Procter & Gamble Co.	114.81
1959-03-31	US2T19P	Procter & Gamble Co.	113.1
1959-04-30	US2T19P	Procter & Gamble Co.	107.86
1959-05-31	US2T19P	Procter & Gamble Co.	104.06
1959-06-30	US2T19P	Procter & Gamble Co.	99.38
1959-07-31	US2T19P	Procter & Gamble Co.	97.46
1959-08-31	US2T19P	Procter & Gamble Co.	93.23
1959-09-30	US2T19P	Procter & Gamble Co.	97.72
1959-10-31	US2T19P	Procter & Gamble Co.	93.93
1959-11-30	US2T19P	Procter & Gamble Co.	90.22
1959-12-31	US2T19P	Procter & Gamble Co.	89.2
1960-01-31	US2T19P	Procter & Gamble Co.	89.05
1960-02-29	US2T19P	Procter & Gamble Co.	89.89
1960-03-31	US2T19P	Procter & Gamble Co.	87.77
1960-04-30	US2T19P	Procter & Gamble Co.	81.26
1960-05-31	US2T19P	Procter & Gamble Co.	82.5
1960-06-30	US2T19P	Procter & Gamble Co.	89.26
1960-07-31	US2T19P	Procter & Gamble Co.	83.8
1960-08-31	US2T19P	Procter & Gamble Co.	78.4
1960-09-30	US2T19P	Procter & Gamble Co.	80.09
1960-10-31	US2T19P	Procter & Gamble Co.	81.12
1960-11-30	US2T19P	Procter & Gamble Co.	87.0
1960-12-31	US2T19P	Procter & Gamble Co.	86.69
1961-01-31	US2T19P	Procter & Gamble Co.	85.18
1961-02-28	US2T19P	Procter & Gamble Co.	84.12
1961-03-31	US2T19P	Procter & Gamble Co.	86.02
1961-04-30	US2T19P	Procter & Gamble Co.	91.41
1961-05-31	US2T19P	Procter & Gamble Co.	95.33
1961-06-30	US2T19P	Procter & Gamble Co.	92.1
1961-07-31	US2T19P	Procter & Gamble Co.	92.89
1961-08-31	US2T19P	Procter & Gamble Co.	86.67
1961-09-30	US2T19P	Procter & Gamble Co.	85.57
1961-10-31	US2T19P	Procter & Gamble Co.	87.86
1961-11-30	US2T19P	Procter & Gamble Co.	92.49
1961-12-31	US2T19P	Procter & Gamble Co.	97.43
1962-01-31	US2T19P	Procter & Gamble Co.	90.22
1962-02-28	US2T19P	Procter & Gamble Co.	89.23
1962-03-31	US2T19P	Procter & Gamble Co.	86.12
1962-04-30	US2T19P	Procter & Gamble Co.	87.01
1962-05-31	US2T19P	Procter & Gamble Co.	86.19
1962-06-30	US2T19P	Procter & Gamble Co.	80.66
1962-07-31	US2T19P	Procter & Gamble Co.	76.57
1962-08-31	US2T19P	Procter & Gamble Co.	82.62
1962-09-30	US2T19P	Procter & Gamble Co.	85.83
1962-10-31	US2T19P	Procter & Gamble Co.	87.34
1962-11-30	US2T19P	Procter & Gamble Co.	89.75
1962-12-31	US2T19P	Procter & Gamble Co.	91.17
