Date	Company Code	Company Name	Stock Price
1959-01-31	USOP5PE	Publix Super Markets Inc.	110.45
1959-02-28	USOP5PE	Publix Super Markets Inc.	113.14
1959-03-31	USOP5PE	Publix Super Markets Inc.	113.12
1959-04-30	USOP5PE	Publix Super Markets Inc.	111.59
1959-05-31	USOP5PE	Publix Super Markets Inc.	110.17
1959-06-30	USOP5PE	Publix Super Markets Inc.	112.6
1959-07-31	USOP5PE	Publix Super Markets Inc.	112.69
1959-08-31	USOP5PE	Publix Super Markets Inc.	114.97
1959-09-30	USOP5PE	Publix Super Markets Inc.	117.23
1959-10-31	USOP5PE	Publix Super Markets Inc.	117.37
1959-11-30	USOP5PE	Publix Super Markets Inc.	114.19
1959-12-31	USOP5PE	Publix Super Markets Inc.	116.13
1960-01-31	USOP5PE	Publix Super Markets Inc.	125.58
1960-02-29	USOP5PE	Publix Super Markets Inc.	120.07
1960-03-31	USOP5PE	Publix Super Markets Inc.	113.58
1960-04-30	USOP5PE	Publix Super Markets Inc.	114.9
1960-05-31	USOP5PE	Publix Super Markets Inc.	111.97
1960-06-30	USOP5PE	Publix Super Markets Inc.	113.05
1960-07-31	USOP5PE	Publix Super Markets Inc.	116.16
1960-08-31	USOP5PE	Publix Super Markets Inc.	109.34
1960-09-30	USOP5PE	Publix Super Markets Inc.	102.63
1960-10-31	USOP5PE	Publix Super Markets Inc.	101.38
1960-11-30	USOP5PE	Publix Super Markets Inc.	99.45
1960-12-31	USOP5PE	Publix Super Markets Inc.	96.93
1961-01-31	USOP5PE	Publix Super Markets Inc.	96.99
1961-02-28	USOP5PE	Publix Super Markets Inc.	95.79
1961-03-31	USOP5PE	Publix Super Markets Inc.	94.43
1961-04-30	USOP5PE	Publix Super Markets Inc.	103.16
1961-05-31	USOP5PE	Publix Super Markets Inc.	101.86
1961-06-30	USOP5PE	Publix Super Markets Inc.	104.47
1961-07-31	USOP5PE	Publix Super Markets Inc.	103.91
1961-08-31	USOP5PE	Publix Super Markets Inc.	107.55
1961-09-30	USOP5PE	Publix Super Markets Inc.	114.68
1961-10-31	USOP5PE	Publix Super Markets Inc.	121.47
1961-11-30	USOP5PE	Publix Super Markets Inc.	126.0
1961-12-31	USOP5PE	Publix Super Markets Inc.	129.58
1962-01-31	USOP5PE	Publix Super Markets Inc.	134.71
1962-02-28	USOP5PE	Publix Super Markets Inc.	131.81
1962-03-31	USOP5PE	Publix Super Markets Inc.	133.89
1962-04-30	USOP5PE	Publix Super Markets Inc.	135.02
1962-05-31	USOP5PE	Publix Super Markets Inc.	136.7
1962-06-30	USOP5PE	Publix Super Markets Inc.	132.59
1962-07-31	USOP5PE	Publix Super Markets Inc.	140.84
1962-08-31	USOP5PE	Publix Super Markets Inc.	143.51
1962-09-30	USOP5PE	Publix Super Markets Inc.	141.62
1962-10-31	USOP5PE	Publix Super Markets Inc.	142.29
1962-11-30	USOP5PE	Publix Super Markets Inc.	140.01
1962-12-31	USOP5PE	Publix Super Markets Inc.	140.15
1963-01-31	USOP5PE	Publix Super Markets Inc.	139.52
1963-02-28	USOP5PE	Publix Super Markets Inc.	135.48
1963-03-31	USOP5PE	Publix Super Markets Inc.	137.68
1963-04-30	USOP5PE	Publix Super Markets Inc.	136.97
1963-05-31	USOP5PE	Publix Super Markets Inc.	129.87
1963-06-30	USOP5PE	Publix Super Markets Inc.	124.42
1963-07-31	USOP5PE	Publix Super Markets Inc.	125.63
1963-08-31	USOP5PE	Publix Super Markets Inc.	126.76
1963-09-30	USOP5PE	Publix Super Markets Inc.	122.6
1963-10-31	USOP5PE	Publix Super Markets Inc.	120.62
1963-11-30	USOP5PE	Publix Super Markets Inc.	113.18
1963-12-31	USOP5PE	Publix Super Markets Inc.	116.52
1964-01-31	USOP5PE	Publix Super Markets Inc.	109.82
1964-02-29	USOP5PE	Publix Super Markets Inc.	105.22
1964-03-31	USOP5PE	Publix Super Markets Inc.	107.01
1964-04-30	USOP5PE	Publix Super Markets Inc.	99.63
1964-05-31	USOP5PE	Publix Super Markets Inc.	103.8
1964-06-30	USOP5PE	Publix Super Markets Inc.	104.54
1964-07-31	USOP5PE	Publix Super Markets Inc.	106.54
1964-08-31	USOP5PE	Publix Super Markets Inc.	108.15
1964-09-30	USOP5PE	Publix Super Markets Inc.	112.87
1964-10-31	USOP5PE	Publix Super Markets Inc.	113.2
1964-11-30	USOP5PE	Publix Super Markets Inc.	109.45
1964-12-31	USOP5PE	Publix Super Markets Inc.	107.93
1965-01-31	USOP5PE	Publix Super Markets Inc.	107.87
1965-02-28	USOP5PE	Publix Super Markets Inc.	107.13
1965-03-31	USOP5PE	Publix Super Markets Inc.	105.09
1965-04-30	USOP5PE	Publix Super Markets Inc.	99.28
1965-05-31	USOP5PE	Publix Super Markets Inc.	102.09
1965-06-30	USOP5PE	Publix Super Markets Inc.	101.38
1965-07-31	USOP5PE	Publix Super Markets Inc.	107.03
1965-08-31	USOP5PE	Publix Super Markets Inc.	100.55
1965-09-30	USOP5PE	Publix Super Markets Inc.	100.59
1965-10-31	USOP5PE	Publix Super Markets Inc.	99.14
1965-11-30	USOP5PE	Publix Super Markets Inc.	103.96
1965-12-31	USOP5PE	Publix Super Markets Inc.	109.79
1966-01-31	USOP5PE	Publix Super Markets Inc.	109.98
1966-02-28	USOP5PE	Publix Super Markets Inc.	110.37
1966-03-31	USOP5PE	Publix Super Markets Inc.	109.42
1966-04-30	USOP5PE	Publix Super Markets Inc.	103.42
1966-05-31	USOP5PE	Publix Super Markets Inc.	104.23
1966-06-30	USOP5PE	Publix Super Markets Inc.	97.2
1966-07-31	USOP5PE	Publix Super Markets Inc.	100.59
1966-08-31	USOP5PE	Publix Super Markets Inc.	101.79
1966-09-30	USOP5PE	Publix Super Markets Inc.	102.26
1966-10-31	USOP5PE	Publix Super Markets Inc.	99.36
1966-11-30	USOP5PE	Publix Super Markets Inc.	95.83
1966-12-31	USOP5PE	Publix Super Markets Inc.	104.58
1967-01-31	USOP5PE	Publix Super Markets Inc.	105.76
1967-02-28	USOP5PE	Publix Super Markets Inc.	108.93
1967-03-31	USOP5PE	Publix Super Markets Inc.	110.94
1967-04-30	USOP5PE	Publix Super Markets Inc.	109.57
1967-05-31	USOP5PE	Publix Super Markets Inc.	102.11
1967-06-30	USOP5PE	Publix Super Markets Inc.	105.8
1967-07-31	USOP5PE	Publix Super Markets Inc.	108.92
1967-08-31	USOP5PE	Publix Super Markets Inc.	105.71
1967-09-30	USOP5PE	Publix Super Markets Inc.	100.1
1967-10-31	USOP5PE	Publix Super Markets Inc.	102.52
1967-11-30	USOP5PE	Publix Super Markets Inc.	97.69
1967-12-31	USOP5PE	Publix Super Markets Inc.	90.7
1968-01-31	USOP5PE	Publix Super Markets Inc.	91.71
1968-02-29	USOP5PE	Publix Super Markets Inc.	98.58
1968-03-31	USOP5PE	Publix Super Markets Inc.	101.58
1968-04-30	USOP5PE	Publix Super Markets Inc.	99.9
1968-05-31	USOP5PE	Publix Super Markets Inc.	98.02
1968-06-30	USOP5PE	Publix Super Markets Inc.	90.88
1968-07-31	USOP5PE	Publix Super Markets Inc.	83.89
1968-08-31	USOP5PE	Publix Super Markets Inc.	86.54
1968-09-30	USOP5PE	Publix Super Markets Inc.	93.21
1968-10-31	USOP5PE	Publix Super Markets Inc.	89.45
1968-11-30	USOP5PE	Publix Super Markets Inc.	93.47
1968-12-31	USOP5PE	Publix Super Markets Inc.	94.09
1969-01-31	USOP5PE	Publix Super Markets Inc.	92.47
1969-02-28	USOP5PE	Publix Super Markets Inc.	90.53
1969-03-31	USOP5PE	Publix Super Markets Inc.	82.76
1969-04-30	USOP5PE	Publix Super Markets Inc.	88.12
1969-05-31	USOP5PE	Publix Super Markets Inc.	91.82
1969-06-30	USOP5PE	Publix Super Markets Inc.	92.32
1969-07-31	USOP5PE	Publix Super Markets Inc.	91.31
1969-08-31	USOP5PE	Publix Super Markets Inc.	96.28
1969-09-30	USOP5PE	Publix Super Markets Inc.	102.6
1969-10-31	USOP5PE	Publix Super Markets Inc.	98.46
1969-11-30	USOP5PE	Publix Super Markets Inc.	99.12
1969-12-31	USOP5PE	Publix Super Markets Inc.	90.63
1970-01-31	USOP5PE	Publix Super Markets Inc.	93.55
1970-02-28	USOP5PE	Publix Super Markets Inc.	99.48
1970-03-31	USOP5PE	Publix Super Markets Inc.	94.11
1970-04-30	USOP5PE	Publix Super Markets Inc.	94.58
1970-05-31	USOP5PE	Publix Super Markets Inc.	92.07
1970-06-30	USOP5PE	Publix Super Markets Inc.	86.35
1970-07-31	USOP5PE	Publix Super Markets Inc.	86.15
1970-08-31	USOP5PE	Publix Super Markets Inc.	85.16
1970-09-30	USOP5PE	Publix Super Markets Inc.	83.4
1970-10-31	USOP5PE	Publix Super Markets Inc.	86.91
1970-11-30	USOP5PE	Publix Super Markets Inc.	80.79
1970-12-31	USOP5PE	Publix Super Markets Inc.	78.58
1971-01-31	USOP5PE	Publix Super Markets Inc.	83.55
1971-02-28	USOP5PE	Publix Super Markets Inc.	81.31
1971-03-31	USOP5PE	Publix Super Markets Inc.	82.63
1971-04-30	USOP5PE	Publix Super Markets Inc.	87.01
1971-05-31	USOP5PE	Publix Super Markets Inc.	80.58
1971-06-30	USOP5PE	Publix Super Markets Inc.	81.1
1971-07-31	USOP5PE	Publix Super Markets Inc.	86.25
1971-08-31	USOP5PE	Publix Super Markets Inc.	91.4
1971-09-30	USOP5PE	Publix Super Markets Inc.	89.91
1971-10-31	USOP5PE	Publix Super Markets Inc.	92.02
1971-11-30	USOP5PE	Publix Super Markets Inc.	87.77
1971-12-31	USOP5PE	Publix Super Markets Inc.	87.22
