Date	Company Code	Company Name	Stock Price
1959-01-31	USIJ22S	PulteGroup Inc.	108.98
1959-02-28	USIJ22S	PulteGroup Inc.	110.3
1959-03-31	USIJ22S	PulteGroup Inc.	106.8
1959-04-30	USIJ22S	PulteGroup Inc.	107.24
1959-05-31	USIJ22S	PulteGroup Inc.	103.43
1959-06-30	USIJ22S	PulteGroup Inc.	100.06
1959-07-31	USIJ22S	PulteGroup Inc.	101.04
1959-08-31	USIJ22S	PulteGroup Inc.	97.49
1959-09-30	USIJ22S	PulteGroup Inc.	92.91
1959-10-31	USIJ22S	PulteGroup Inc.	88.54
1959-11-30	USIJ22S	PulteGroup Inc.	92.89
1959-12-31	USIJ22S	PulteGroup Inc.	94.95
1960-01-31	USIJ22S	PulteGroup Inc.	93.56
1960-02-29	USIJ22S	PulteGroup Inc.	90.4
1960-03-31	USIJ22S	PulteGroup Inc.	83.55
1960-04-30	USIJ22S	PulteGroup Inc.	88.19
1960-05-31	USIJ22S	PulteGroup Inc.	94.07
1960-06-30	USIJ22S	PulteGroup Inc.	92.75
1960-07-31	USIJ22S	PulteGroup Inc.	100.69
1960-08-31	USIJ22S	PulteGroup Inc.	106.4
1960-09-30	USIJ22S	PulteGroup Inc.	109.47
1960-10-31	USIJ22S	PulteGroup Inc.	107.77
1960-11-30	USIJ22S	PulteGroup Inc.	106.25
1960-12-31	USIJ22S	PulteGroup Inc.	108.93
1961-01-31	USIJ22S	PulteGroup Inc.	101.25
1961-02-28	USIJ22S	PulteGroup Inc.	104.4
1961-03-31	USIJ22S	PulteGroup Inc.	106.9
1961-04-30	USIJ22S	PulteGroup Inc.	106.22
1961-05-31	USIJ22S	PulteGroup Inc.	103.16
1961-06-30	USIJ22S	PulteGroup Inc.	110.99
1961-07-31	USIJ22S	PulteGroup Inc.	107.02
1961-08-31	USIJ22S	PulteGroup Inc.	114.06
1961-09-30	USIJ22S	PulteGroup Inc.	111.19
1961-10-31	USIJ22S	PulteGroup Inc.	110.06
1961-11-30	USIJ22S	PulteGroup Inc.	109.19
1961-12-31	USIJ22S	PulteGroup Inc.	111.02
1962-01-31	USIJ22S	PulteGroup Inc.	111.53
1962-02-28	USIJ22S	PulteGroup Inc.	109.73
1962-03-31	USIJ22S	PulteGroup Inc.	109.21
1962-04-30	USIJ22S	PulteGroup Inc.	103.44
1962-05-31	USIJ22S	PulteGroup Inc.	102.68
1962-06-30	USIJ22S	PulteGroup Inc.	101.03
1962-07-31	USIJ22S	PulteGroup Inc.	101.51
1962-08-31	USIJ22S	PulteGroup Inc.	98.75
1962-09-30	USIJ22S	PulteGroup Inc.	102.87
1962-10-31	USIJ22S	PulteGroup Inc.	106.1
1962-11-30	USIJ22S	PulteGroup Inc.	104.05
1962-12-31	USIJ22S	PulteGroup Inc.	111.94
1963-01-31	USIJ22S	PulteGroup Inc.	118.12
1963-02-28	USIJ22S	PulteGroup Inc.	115.24
1963-03-31	USIJ22S	PulteGroup Inc.	118.6
1963-04-30	USIJ22S	PulteGroup Inc.	116.29
1963-05-31	USIJ22S	PulteGroup Inc.	120.42
1963-06-30	USIJ22S	PulteGroup Inc.	122.44
1963-07-31	USIJ22S	PulteGroup Inc.	127.06
1963-08-31	USIJ22S	PulteGroup Inc.	128.24
1963-09-30	USIJ22S	PulteGroup Inc.	122.93
1963-10-31	USIJ22S	PulteGroup Inc.	125.75
1963-11-30	USIJ22S	PulteGroup Inc.	123.57
1963-12-31	USIJ22S	PulteGroup Inc.	131.17
1964-01-31	USIJ22S	PulteGroup Inc.	130.17
1964-02-29	USIJ22S	PulteGroup Inc.	131.97
1964-03-31	USIJ22S	PulteGroup Inc.	132.8
1964-04-30	USIJ22S	PulteGroup Inc.	135.84
1964-05-31	USIJ22S	PulteGroup Inc.	139.17
1964-06-30	USIJ22S	PulteGroup Inc.	142.8
1964-07-31	USIJ22S	PulteGroup Inc.	146.73
1964-08-31	USIJ22S	PulteGroup Inc.	154.73
1964-09-30	USIJ22S	PulteGroup Inc.	148.57
1964-10-31	USIJ22S	PulteGroup Inc.	148.52
1964-11-30	USIJ22S	PulteGroup Inc.	148.11
1964-12-31	USIJ22S	PulteGroup Inc.	150.35
1965-01-31	USIJ22S	PulteGroup Inc.	148.46
1965-02-28	USIJ22S	PulteGroup Inc.	148.79
1965-03-31	USIJ22S	PulteGroup Inc.	154.26
1965-04-30	USIJ22S	PulteGroup Inc.	150.2
1965-05-31	USIJ22S	PulteGroup Inc.	152.45
1965-06-30	USIJ22S	PulteGroup Inc.	146.55
1965-07-31	USIJ22S	PulteGroup Inc.	142.53
1965-08-31	USIJ22S	PulteGroup Inc.	147.98
1965-09-30	USIJ22S	PulteGroup Inc.	141.9
1965-10-31	USIJ22S	PulteGroup Inc.	139.67
1965-11-30	USIJ22S	PulteGroup Inc.	140.94
1965-12-31	USIJ22S	PulteGroup Inc.	141.66
1966-01-31	USIJ22S	PulteGroup Inc.	149.68
1966-02-28	USIJ22S	PulteGroup Inc.	156.68
1966-03-31	USIJ22S	PulteGroup Inc.	160.69
1966-04-30	USIJ22S	PulteGroup Inc.	158.11
1966-05-31	USIJ22S	PulteGroup Inc.	154.18
1966-06-30	USIJ22S	PulteGroup Inc.	154.77
1966-07-31	USIJ22S	PulteGroup Inc.	152.04
1966-08-31	USIJ22S	PulteGroup Inc.	155.98
1966-09-30	USIJ22S	PulteGroup Inc.	154.15
1966-10-31	USIJ22S	PulteGroup Inc.	156.58
1966-11-30	USIJ22S	PulteGroup Inc.	150.14
1966-12-31	USIJ22S	PulteGroup Inc.	155.61
1967-01-31	USIJ22S	PulteGroup Inc.	155.38
1967-02-28	USIJ22S	PulteGroup Inc.	155.92
1967-03-31	USIJ22S	PulteGroup Inc.	158.37
1967-04-30	USIJ22S	PulteGroup Inc.	159.37
1967-05-31	USIJ22S	PulteGroup Inc.	161.09
1967-06-30	USIJ22S	PulteGroup Inc.	166.75
1967-07-31	USIJ22S	PulteGroup Inc.	172.89
1967-08-31	USIJ22S	PulteGroup Inc.	168.2
1967-09-30	USIJ22S	PulteGroup Inc.	174.26
1967-10-31	USIJ22S	PulteGroup Inc.	178.42
1967-11-30	USIJ22S	PulteGroup Inc.	168.91
1967-12-31	USIJ22S	PulteGroup Inc.	166.67
1968-01-31	USIJ22S	PulteGroup Inc.	163.85
1968-02-29	USIJ22S	PulteGroup Inc.	165.55
1968-03-31	USIJ22S	PulteGroup Inc.	161.26
1968-04-30	USIJ22S	PulteGroup Inc.	160.83
1968-05-31	USIJ22S	PulteGroup Inc.	166.59
1968-06-30	USIJ22S	PulteGroup Inc.	159.78
1968-07-31	USIJ22S	PulteGroup Inc.	157.53
1968-08-31	USIJ22S	PulteGroup Inc.	157.62
1968-09-30	USIJ22S	PulteGroup Inc.	151.03
1968-10-31	USIJ22S	PulteGroup Inc.	143.61
1968-11-30	USIJ22S	PulteGroup Inc.	141.92
1968-12-31	USIJ22S	PulteGroup Inc.	137.62
1969-01-31	USIJ22S	PulteGroup Inc.	143.28
1969-02-28	USIJ22S	PulteGroup Inc.	137.07
1969-03-31	USIJ22S	PulteGroup Inc.	140.72
1969-04-30	USIJ22S	PulteGroup Inc.	131.81
1969-05-31	USIJ22S	PulteGroup Inc.	133.77
1969-06-30	USIJ22S	PulteGroup Inc.	131.39
