Date	Company Code	Company Name	Stock Price
1959-01-31	USFD6KB	Puma SE	115.15
1959-02-28	USFD6KB	Puma SE	112.85
1959-03-31	USFD6KB	Puma SE	110.09
1959-04-30	USFD6KB	Puma SE	104.92
1959-05-31	USFD6KB	Puma SE	103.12
1959-06-30	USFD6KB	Puma SE	103.42
1959-07-31	USFD6KB	Puma SE	100.06
1959-08-31	USFD6KB	Puma SE	105.66
1959-09-30	USFD6KB	Puma SE	108.04
1959-10-31	USFD6KB	Puma SE	109.47
1959-11-30	USFD6KB	Puma SE	109.34
1959-12-31	USFD6KB	Puma SE	102.5
1960-01-31	USFD6KB	Puma SE	104.39
1960-02-29	USFD6KB	Puma SE	105.45
1960-03-31	USFD6KB	Puma SE	107.54
1960-04-30	USFD6KB	Puma SE	111.69
1960-05-31	USFD6KB	Puma SE	113.88
1960-06-30	USFD6KB	Puma SE	117.8
1960-07-31	USFD6KB	Puma SE	112.05
1960-08-31	USFD6KB	Puma SE	109.15
1960-09-30	USFD6KB	Puma SE	115.4
1960-10-31	USFD6KB	Puma SE	122.68
1960-11-30	USFD6KB	Puma SE	120.13
1960-12-31	USFD6KB	Puma SE	118.39
1961-01-31	USFD6KB	Puma SE	110.45
1961-02-28	USFD6KB	Puma SE	111.76
1961-03-31	USFD6KB	Puma SE	108.46
1961-04-30	USFD6KB	Puma SE	103.3
1961-05-31	USFD6KB	Puma SE	104.58
1961-06-30	USFD6KB	Puma SE	103.75
1961-07-31	USFD6KB	Puma SE	96.4
1961-08-31	USFD6KB	Puma SE	95.45
1961-09-30	USFD6KB	Puma SE	97.91
1961-10-31	USFD6KB	Puma SE	95.58
1961-11-30	USFD6KB	Puma SE	87.67
1961-12-31	USFD6KB	Puma SE	83.34
1962-01-31	USFD6KB	Puma SE	81.34
1962-02-28	USFD6KB	Puma SE	82.8
1962-03-31	USFD6KB	Puma SE	85.18
1962-04-30	USFD6KB	Puma SE	84.2
1962-05-31	USFD6KB	Puma SE	84.31
1962-06-30	USFD6KB	Puma SE	79.09
1962-07-31	USFD6KB	Puma SE	78.25
1962-08-31	USFD6KB	Puma SE	76.23
1962-09-30	USFD6KB	Puma SE	69.65
1962-10-31	USFD6KB	Puma SE	71.51
1962-11-30	USFD6KB	Puma SE	73.92
1962-12-31	USFD6KB	Puma SE	78.38
1963-01-31	USFD6KB	Puma SE	72.46
1963-02-28	USFD6KB	Puma SE	70.29
1963-03-31	USFD6KB	Puma SE	71.96
1963-04-30	USFD6KB	Puma SE	63.65
1963-05-31	USFD6KB	Puma SE	61.61765006547585
1963-06-30	USFD6KB	Puma SE	61.00108393376993
1963-07-31	USFD6KB	Puma SE	62.10466923801569
1963-08-31	USFD6KB	Puma SE	67.77
1963-09-30	USFD6KB	Puma SE	71.43
1963-10-31	USFD6KB	Puma SE	66.66
1963-11-30	USFD6KB	Puma SE	61.56
1963-12-31	USFD6KB	Puma SE	63.97
1964-01-31	USFD6KB	Puma SE	69.22
1964-02-29	USFD6KB	Puma SE	66.49
1964-03-31	USFD6KB	Puma SE	73.04
1964-04-30	USFD6KB	Puma SE	76.21
1964-05-31	USFD6KB	Puma SE	69.62
1964-06-30	USFD6KB	Puma SE	66.91
1964-07-31	USFD6KB	Puma SE	62.121534028160454
1964-08-31	USFD6KB	Puma SE	63.08
1964-09-30	USFD6KB	Puma SE	61.77090809196814
1964-10-31	USFD6KB	Puma SE	67.04
1964-11-30	USFD6KB	Puma SE	67.13
1964-12-31	USFD6KB	Puma SE	65.25
1965-01-31	USFD6KB	Puma SE	62.02
1965-02-28	USFD6KB	Puma SE	67.13
1965-03-31	USFD6KB	Puma SE	72.11
1965-04-30	USFD6KB	Puma SE	74.0
1965-05-31	USFD6KB	Puma SE	73.5
1965-06-30	USFD6KB	Puma SE	75.09
1965-07-31	USFD6KB	Puma SE	70.58
1965-08-31	USFD6KB	Puma SE	65.56
1965-09-30	USFD6KB	Puma SE	64.27
1965-10-31	USFD6KB	Puma SE	65.51
1965-11-30	USFD6KB	Puma SE	63.07
1965-12-31	USFD6KB	Puma SE	61.035000068252046
1966-01-31	USFD6KB	Puma SE	65.06
1966-02-28	USFD6KB	Puma SE	62.87093161465403
1966-03-31	USFD6KB	Puma SE	60.42
1966-04-30	USFD6KB	Puma SE	61.88295217568154
1966-05-31	USFD6KB	Puma SE	61.69
1966-06-30	USFD6KB	Puma SE	61.72
1966-07-31	USFD6KB	Puma SE	64.89
1966-08-31	USFD6KB	Puma SE	62.62
1966-09-30	USFD6KB	Puma SE	61.34612998998927
1966-10-31	USFD6KB	Puma SE	61.64
1966-11-30	USFD6KB	Puma SE	66.81
1966-12-31	USFD6KB	Puma SE	68.32
1967-01-31	USFD6KB	Puma SE	70.29
1967-02-28	USFD6KB	Puma SE	61.25
1967-03-31	USFD6KB	Puma SE	61.08456715482808
1967-04-30	USFD6KB	Puma SE	61.88
1967-05-31	USFD6KB	Puma SE	61.43
1967-06-30	USFD6KB	Puma SE	62.425344350794326
1967-07-31	USFD6KB	Puma SE	64.27
1967-08-31	USFD6KB	Puma SE	65.25
1967-09-30	USFD6KB	Puma SE	61.10066692628669
1967-10-31	USFD6KB	Puma SE	60.61
1967-11-30	USFD6KB	Puma SE	62.635007297596715
1967-12-31	USFD6KB	Puma SE	64.06
1968-01-31	USFD6KB	Puma SE	64.24
1968-02-29	USFD6KB	Puma SE	67.1
1968-03-31	USFD6KB	Puma SE	69.9
1968-04-30	USFD6KB	Puma SE	67.93
1968-05-31	USFD6KB	Puma SE	72.01
1968-06-30	USFD6KB	Puma SE	67.45
1968-07-31	USFD6KB	Puma SE	68.01
1968-08-31	USFD6KB	Puma SE	67.68
1968-09-30	USFD6KB	Puma SE	65.1
1968-10-31	USFD6KB	Puma SE	64.69
1968-11-30	USFD6KB	Puma SE	60.38
1968-12-31	USFD6KB	Puma SE	62.89016973326651
1969-01-31	USFD6KB	Puma SE	61.801387285688115
1969-02-28	USFD6KB	Puma SE	61.85990979191912
1969-03-31	USFD6KB	Puma SE	61.64908787872068
1969-04-30	USFD6KB	Puma SE	71.37
1969-05-31	USFD6KB	Puma SE	65.53
1969-06-30	USFD6KB	Puma SE	69.8
1969-07-31	USFD6KB	Puma SE	77.95
1969-08-31	USFD6KB	Puma SE	71.4
1969-09-30	USFD6KB	Puma SE	64.62
1969-10-31	USFD6KB	Puma SE	62.566603571727725
1969-11-30	USFD6KB	Puma SE	61.41
1969-12-31	USFD6KB	Puma SE	61.45670669929556
1970-01-31	USFD6KB	Puma SE	60.9
1970-02-28	USFD6KB	Puma SE	62.08
1970-03-31	USFD6KB	Puma SE	62.66808546530282
1970-04-30	USFD6KB	Puma SE	61.228165971794986
1970-05-31	USFD6KB	Puma SE	60.32
1970-06-30	USFD6KB	Puma SE	62.74
1970-07-31	USFD6KB	Puma SE	63.74
1970-08-31	USFD6KB	Puma SE	64.22
1970-09-30	USFD6KB	Puma SE	60.48
1970-10-31	USFD6KB	Puma SE	65.07
1970-11-30	USFD6KB	Puma SE	62.02
1970-12-31	USFD6KB	Puma SE	62.2943999803044
1971-01-31	USFD6KB	Puma SE	61.03
1971-02-28	USFD6KB	Puma SE	66.28
1971-03-31	USFD6KB	Puma SE	64.21
1971-04-30	USFD6KB	Puma SE	64.57
1971-05-31	USFD6KB	Puma SE	62.07959497100553
1971-06-30	USFD6KB	Puma SE	69.38
1971-07-31	USFD6KB	Puma SE	68.95
1971-08-31	USFD6KB	Puma SE	66.98
1971-09-30	USFD6KB	Puma SE	68.07
1971-10-31	USFD6KB	Puma SE	71.02
1971-11-30	USFD6KB	Puma SE	70.42
1971-12-31	USFD6KB	Puma SE	70.65
1972-01-31	USFD6KB	Puma SE	78.6
1972-02-29	USFD6KB	Puma SE	72.87
1972-03-31	USFD6KB	Puma SE	69.38
1972-04-30	USFD6KB	Puma SE	65.73
1972-05-31	USFD6KB	Puma SE	62.11
1972-06-30	USFD6KB	Puma SE	62.24
