Date	Company Code	Company Name	Stock Price
1959-01-31	USUJTPO	Qualcomm Inc.	95.18
1959-02-28	USUJTPO	Qualcomm Inc.	98.97
1959-03-31	USUJTPO	Qualcomm Inc.	99.8
1959-04-30	USUJTPO	Qualcomm Inc.	97.43
1959-05-31	USUJTPO	Qualcomm Inc.	92.49
1959-06-30	USUJTPO	Qualcomm Inc.	97.46
1959-07-31	USUJTPO	Qualcomm Inc.	97.6
1959-08-31	USUJTPO	Qualcomm Inc.	102.61
1959-09-30	USUJTPO	Qualcomm Inc.	103.0
1959-10-31	USUJTPO	Qualcomm Inc.	103.87
1959-11-30	USUJTPO	Qualcomm Inc.	96.57
1959-12-31	USUJTPO	Qualcomm Inc.	101.3
1960-01-31	USUJTPO	Qualcomm Inc.	102.04
1960-02-29	USUJTPO	Qualcomm Inc.	99.97
1960-03-31	USUJTPO	Qualcomm Inc.	96.37
1960-04-30	USUJTPO	Qualcomm Inc.	96.21
1960-05-31	USUJTPO	Qualcomm Inc.	91.95
1960-06-30	USUJTPO	Qualcomm Inc.	93.1
1960-07-31	USUJTPO	Qualcomm Inc.	92.51
1960-08-31	USUJTPO	Qualcomm Inc.	92.01
1960-09-30	USUJTPO	Qualcomm Inc.	89.34
1960-10-31	USUJTPO	Qualcomm Inc.	82.4
1960-11-30	USUJTPO	Qualcomm Inc.	82.73
1960-12-31	USUJTPO	Qualcomm Inc.	82.62
1961-01-31	USUJTPO	Qualcomm Inc.	86.72
1961-02-28	USUJTPO	Qualcomm Inc.	90.41
1961-03-31	USUJTPO	Qualcomm Inc.	97.2
1961-04-30	USUJTPO	Qualcomm Inc.	95.75
1961-05-31	USUJTPO	Qualcomm Inc.	97.81
1961-06-30	USUJTPO	Qualcomm Inc.	95.38
1961-07-31	USUJTPO	Qualcomm Inc.	95.09
1961-08-31	USUJTPO	Qualcomm Inc.	100.52
1961-09-30	USUJTPO	Qualcomm Inc.	98.4
1961-10-31	USUJTPO	Qualcomm Inc.	93.29
1961-11-30	USUJTPO	Qualcomm Inc.	93.68
1961-12-31	USUJTPO	Qualcomm Inc.	87.94
1962-01-31	USUJTPO	Qualcomm Inc.	85.5
1962-02-28	USUJTPO	Qualcomm Inc.	84.18
1962-03-31	USUJTPO	Qualcomm Inc.	80.84
1962-04-30	USUJTPO	Qualcomm Inc.	84.31
1962-05-31	USUJTPO	Qualcomm Inc.	81.31
1962-06-30	USUJTPO	Qualcomm Inc.	80.08
1962-07-31	USUJTPO	Qualcomm Inc.	85.25
1962-08-31	USUJTPO	Qualcomm Inc.	87.55
1962-09-30	USUJTPO	Qualcomm Inc.	89.67
1962-10-31	USUJTPO	Qualcomm Inc.	93.41
1962-11-30	USUJTPO	Qualcomm Inc.	97.67
1962-12-31	USUJTPO	Qualcomm Inc.	94.27
1963-01-31	USUJTPO	Qualcomm Inc.	92.93
1963-02-28	USUJTPO	Qualcomm Inc.	89.44
1963-03-31	USUJTPO	Qualcomm Inc.	88.1
1963-04-30	USUJTPO	Qualcomm Inc.	82.9
1963-05-31	USUJTPO	Qualcomm Inc.	84.25
1963-06-30	USUJTPO	Qualcomm Inc.	88.32
1963-07-31	USUJTPO	Qualcomm Inc.	86.16
1963-08-31	USUJTPO	Qualcomm Inc.	90.35
1963-09-30	USUJTPO	Qualcomm Inc.	92.2
1963-10-31	USUJTPO	Qualcomm Inc.	94.12
1963-11-30	USUJTPO	Qualcomm Inc.	89.77
1963-12-31	USUJTPO	Qualcomm Inc.	87.31
1964-01-31	USUJTPO	Qualcomm Inc.	87.78
1964-02-29	USUJTPO	Qualcomm Inc.	83.09
1964-03-31	USUJTPO	Qualcomm Inc.	89.52
1964-04-30	USUJTPO	Qualcomm Inc.	92.43
1964-05-31	USUJTPO	Qualcomm Inc.	88.9
1964-06-30	USUJTPO	Qualcomm Inc.	90.79
1964-07-31	USUJTPO	Qualcomm Inc.	85.51
1964-08-31	USUJTPO	Qualcomm Inc.	82.63
1964-09-30	USUJTPO	Qualcomm Inc.	82.09
1964-10-31	USUJTPO	Qualcomm Inc.	82.14
1964-11-30	USUJTPO	Qualcomm Inc.	80.73
1964-12-31	USUJTPO	Qualcomm Inc.	79.39
1965-01-31	USUJTPO	Qualcomm Inc.	75.21
1965-02-28	USUJTPO	Qualcomm Inc.	67.5
1965-03-31	USUJTPO	Qualcomm Inc.	66.05
1965-04-30	USUJTPO	Qualcomm Inc.	61.57
1965-05-31	USUJTPO	Qualcomm Inc.	61.218603824906545
1965-06-30	USUJTPO	Qualcomm Inc.	63.59
1965-07-31	USUJTPO	Qualcomm Inc.	63.3
1965-08-31	USUJTPO	Qualcomm Inc.	62.91
1965-09-30	USUJTPO	Qualcomm Inc.	65.21
1965-10-31	USUJTPO	Qualcomm Inc.	63.05
1965-11-30	USUJTPO	Qualcomm Inc.	65.89
1965-12-31	USUJTPO	Qualcomm Inc.	63.67
1966-01-31	USUJTPO	Qualcomm Inc.	65.07
1966-02-28	USUJTPO	Qualcomm Inc.	62.37
1966-03-31	USUJTPO	Qualcomm Inc.	67.1
1966-04-30	USUJTPO	Qualcomm Inc.	65.69
1966-05-31	USUJTPO	Qualcomm Inc.	66.74
1966-06-30	USUJTPO	Qualcomm Inc.	62.38
1966-07-31	USUJTPO	Qualcomm Inc.	62.89
1966-08-31	USUJTPO	Qualcomm Inc.	62.28833728274146
1966-09-30	USUJTPO	Qualcomm Inc.	62.89612999854077
1966-10-31	USUJTPO	Qualcomm Inc.	67.59
1966-11-30	USUJTPO	Qualcomm Inc.	67.32
1966-12-31	USUJTPO	Qualcomm Inc.	69.93
1967-01-31	USUJTPO	Qualcomm Inc.	72.28
1967-02-28	USUJTPO	Qualcomm Inc.	74.63
1967-03-31	USUJTPO	Qualcomm Inc.	72.74
1967-04-30	USUJTPO	Qualcomm Inc.	72.77
1967-05-31	USUJTPO	Qualcomm Inc.	74.14
1967-06-30	USUJTPO	Qualcomm Inc.	77.29
1967-07-31	USUJTPO	Qualcomm Inc.	69.72
1967-08-31	USUJTPO	Qualcomm Inc.	67.06
1967-09-30	USUJTPO	Qualcomm Inc.	63.75
1967-10-31	USUJTPO	Qualcomm Inc.	64.59
1967-11-30	USUJTPO	Qualcomm Inc.	67.65
1967-12-31	USUJTPO	Qualcomm Inc.	65.04
1968-01-31	USUJTPO	Qualcomm Inc.	65.33
1968-02-29	USUJTPO	Qualcomm Inc.	63.66
1968-03-31	USUJTPO	Qualcomm Inc.	65.17
1968-04-30	USUJTPO	Qualcomm Inc.	64.17
1968-05-31	USUJTPO	Qualcomm Inc.	65.6
1968-06-30	USUJTPO	Qualcomm Inc.	61.76555966157319
1968-07-31	USUJTPO	Qualcomm Inc.	67.54
1968-08-31	USUJTPO	Qualcomm Inc.	65.97
1968-09-30	USUJTPO	Qualcomm Inc.	71.94
1968-10-31	USUJTPO	Qualcomm Inc.	76.51
1968-11-30	USUJTPO	Qualcomm Inc.	72.68
1968-12-31	USUJTPO	Qualcomm Inc.	71.15
1969-01-31	USUJTPO	Qualcomm Inc.	68.89
1969-02-28	USUJTPO	Qualcomm Inc.	62.89527340482009
1969-03-31	USUJTPO	Qualcomm Inc.	72.11
1969-04-30	USUJTPO	Qualcomm Inc.	71.52
1969-05-31	USUJTPO	Qualcomm Inc.	68.42
1969-06-30	USUJTPO	Qualcomm Inc.	66.6
1969-07-31	USUJTPO	Qualcomm Inc.	61.97
1969-08-31	USUJTPO	Qualcomm Inc.	64.52
1969-09-30	USUJTPO	Qualcomm Inc.	66.79
1969-10-31	USUJTPO	Qualcomm Inc.	69.59
1969-11-30	USUJTPO	Qualcomm Inc.	63.8
1969-12-31	USUJTPO	Qualcomm Inc.	65.61
1970-01-31	USUJTPO	Qualcomm Inc.	63.04
1970-02-28	USUJTPO	Qualcomm Inc.	64.13
1970-03-31	USUJTPO	Qualcomm Inc.	66.78
1970-04-30	USUJTPO	Qualcomm Inc.	67.01
1970-05-31	USUJTPO	Qualcomm Inc.	68.11
1970-06-30	USUJTPO	Qualcomm Inc.	62.77
1970-07-31	USUJTPO	Qualcomm Inc.	61.36
1970-08-31	USUJTPO	Qualcomm Inc.	62.0
1970-09-30	USUJTPO	Qualcomm Inc.	69.74
1970-10-31	USUJTPO	Qualcomm Inc.	70.61
1970-11-30	USUJTPO	Qualcomm Inc.	66.39
1970-12-31	USUJTPO	Qualcomm Inc.	67.68
1971-01-31	USUJTPO	Qualcomm Inc.	67.06
