Date	Company Code	Company Name	Stock Price
1959-01-31	USXHWYK	Raytheon Technologies Corp.	97.44
1959-02-28	USXHWYK	Raytheon Technologies Corp.	100.6
1959-03-31	USXHWYK	Raytheon Technologies Corp.	106.02
1959-04-30	USXHWYK	Raytheon Technologies Corp.	109.06
1959-05-31	USXHWYK	Raytheon Technologies Corp.	101.45
1959-06-30	USXHWYK	Raytheon Technologies Corp.	98.48
1959-07-31	USXHWYK	Raytheon Technologies Corp.	100.76
1959-08-31	USXHWYK	Raytheon Technologies Corp.	103.32
1959-09-30	USXHWYK	Raytheon Technologies Corp.	106.12
1959-10-31	USXHWYK	Raytheon Technologies Corp.	104.75
1959-11-30	USXHWYK	Raytheon Technologies Corp.	98.53
1959-12-31	USXHWYK	Raytheon Technologies Corp.	97.71
1960-01-31	USXHWYK	Raytheon Technologies Corp.	97.62
1960-02-29	USXHWYK	Raytheon Technologies Corp.	94.18
1960-03-31	USXHWYK	Raytheon Technologies Corp.	89.75
1960-04-30	USXHWYK	Raytheon Technologies Corp.	88.83
1960-05-31	USXHWYK	Raytheon Technologies Corp.	92.78
1960-06-30	USXHWYK	Raytheon Technologies Corp.	95.71
1960-07-31	USXHWYK	Raytheon Technologies Corp.	97.94
1960-08-31	USXHWYK	Raytheon Technologies Corp.	89.37
1960-09-30	USXHWYK	Raytheon Technologies Corp.	86.3
1960-10-31	USXHWYK	Raytheon Technologies Corp.	88.52
1960-11-30	USXHWYK	Raytheon Technologies Corp.	91.0
1960-12-31	USXHWYK	Raytheon Technologies Corp.	95.29
1961-01-31	USXHWYK	Raytheon Technologies Corp.	89.65
1961-02-28	USXHWYK	Raytheon Technologies Corp.	86.49
1961-03-31	USXHWYK	Raytheon Technologies Corp.	83.54
1961-04-30	USXHWYK	Raytheon Technologies Corp.	86.73
1961-05-31	USXHWYK	Raytheon Technologies Corp.	95.07
1961-06-30	USXHWYK	Raytheon Technologies Corp.	86.37
1961-07-31	USXHWYK	Raytheon Technologies Corp.	86.65
1961-08-31	USXHWYK	Raytheon Technologies Corp.	85.98
1961-09-30	USXHWYK	Raytheon Technologies Corp.	88.44
1961-10-31	USXHWYK	Raytheon Technologies Corp.	92.88
1961-11-30	USXHWYK	Raytheon Technologies Corp.	94.53
1961-12-31	USXHWYK	Raytheon Technologies Corp.	86.18
1962-01-31	USXHWYK	Raytheon Technologies Corp.	93.31
1962-02-28	USXHWYK	Raytheon Technologies Corp.	95.8
1962-03-31	USXHWYK	Raytheon Technologies Corp.	101.98
1962-04-30	USXHWYK	Raytheon Technologies Corp.	100.52
1962-05-31	USXHWYK	Raytheon Technologies Corp.	101.46
1962-06-30	USXHWYK	Raytheon Technologies Corp.	100.5
1962-07-31	USXHWYK	Raytheon Technologies Corp.	100.67
1962-08-31	USXHWYK	Raytheon Technologies Corp.	104.2
1962-09-30	USXHWYK	Raytheon Technologies Corp.	103.5
1962-10-31	USXHWYK	Raytheon Technologies Corp.	102.25
1962-11-30	USXHWYK	Raytheon Technologies Corp.	100.41
1962-12-31	USXHWYK	Raytheon Technologies Corp.	102.69
1963-01-31	USXHWYK	Raytheon Technologies Corp.	100.04
1963-02-28	USXHWYK	Raytheon Technologies Corp.	94.35
1963-03-31	USXHWYK	Raytheon Technologies Corp.	95.66
1963-04-30	USXHWYK	Raytheon Technologies Corp.	96.55
1963-05-31	USXHWYK	Raytheon Technologies Corp.	94.11
1963-06-30	USXHWYK	Raytheon Technologies Corp.	98.42
1963-07-31	USXHWYK	Raytheon Technologies Corp.	102.48
1963-08-31	USXHWYK	Raytheon Technologies Corp.	97.75
