Date	Company Code	Company Name	Stock Price
1959-01-31	USZ80JO	Reebok	110.43
1959-02-28	USZ80JO	Reebok	111.17
1959-03-31	USZ80JO	Reebok	110.7
1959-04-30	USZ80JO	Reebok	109.47
1959-05-31	USZ80JO	Reebok	108.06
1959-06-30	USZ80JO	Reebok	109.79
1959-07-31	USZ80JO	Reebok	102.48
1959-08-31	USZ80JO	Reebok	94.95
1959-09-30	USZ80JO	Reebok	101.31
1959-10-31	USZ80JO	Reebok	100.1
1959-11-30	USZ80JO	Reebok	98.99
1959-12-31	USZ80JO	Reebok	105.99
1960-01-31	USZ80JO	Reebok	105.26
1960-02-29	USZ80JO	Reebok	107.16
1960-03-31	USZ80JO	Reebok	100.6
1960-04-30	USZ80JO	Reebok	107.09
1960-05-31	USZ80JO	Reebok	112.5
1960-06-30	USZ80JO	Reebok	117.86
1960-07-31	USZ80JO	Reebok	115.98
1960-08-31	USZ80JO	Reebok	113.79
1960-09-30	USZ80JO	Reebok	110.11
1960-10-31	USZ80JO	Reebok	114.61
1960-11-30	USZ80JO	Reebok	121.69
1960-12-31	USZ80JO	Reebok	125.21
1961-01-31	USZ80JO	Reebok	120.03
1961-02-28	USZ80JO	Reebok	117.15
1961-03-31	USZ80JO	Reebok	121.99
1961-04-30	USZ80JO	Reebok	122.5
1961-05-31	USZ80JO	Reebok	120.73
1961-06-30	USZ80JO	Reebok	123.36
1961-07-31	USZ80JO	Reebok	127.12
1961-08-31	USZ80JO	Reebok	131.65
1961-09-30	USZ80JO	Reebok	138.85
1961-10-31	USZ80JO	Reebok	135.52
1961-11-30	USZ80JO	Reebok	127.36
1961-12-31	USZ80JO	Reebok	131.62
1962-01-31	USZ80JO	Reebok	138.05
1962-02-28	USZ80JO	Reebok	135.8
1962-03-31	USZ80JO	Reebok	133.99
1962-04-30	USZ80JO	Reebok	132.04
1962-05-31	USZ80JO	Reebok	133.54
1962-06-30	USZ80JO	Reebok	133.13
1962-07-31	USZ80JO	Reebok	134.19
1962-08-31	USZ80JO	Reebok	133.51
1962-09-30	USZ80JO	Reebok	134.12
1962-10-31	USZ80JO	Reebok	134.0
1962-11-30	USZ80JO	Reebok	131.31
1962-12-31	USZ80JO	Reebok	133.61
1963-01-31	USZ80JO	Reebok	134.42
1963-02-28	USZ80JO	Reebok	135.96
1963-03-31	USZ80JO	Reebok	136.57
1963-04-30	USZ80JO	Reebok	135.84
1963-05-31	USZ80JO	Reebok	137.97
1963-06-30	USZ80JO	Reebok	144.09
1963-07-31	USZ80JO	Reebok	145.41
1963-08-31	USZ80JO	Reebok	144.61
1963-09-30	USZ80JO	Reebok	152.95
1963-10-31	USZ80JO	Reebok	154.48
1963-11-30	USZ80JO	Reebok	144.69
1963-12-31	USZ80JO	Reebok	140.49
1964-01-31	USZ80JO	Reebok	145.62
1964-02-29	USZ80JO	Reebok	148.4
1964-03-31	USZ80JO	Reebok	150.65
1964-04-30	USZ80JO	Reebok	150.58
1964-05-31	USZ80JO	Reebok	148.37
