Date	Company Code	Company Name	Stock Price
1959-01-31	US8U6TF	Rent the Runway	94.76
1959-02-28	US8U6TF	Rent the Runway	90.58
1959-03-31	US8U6TF	Rent the Runway	91.6
1959-04-30	US8U6TF	Rent the Runway	92.9
1959-05-31	US8U6TF	Rent the Runway	97.0
1959-06-30	US8U6TF	Rent the Runway	97.51
1959-07-31	US8U6TF	Rent the Runway	93.74
1959-08-31	US8U6TF	Rent the Runway	91.51
1959-09-30	US8U6TF	Rent the Runway	83.07
1959-10-31	US8U6TF	Rent the Runway	79.41
1959-11-30	US8U6TF	Rent the Runway	72.72
1959-12-31	US8U6TF	Rent the Runway	78.08
1960-01-31	US8U6TF	Rent the Runway	70.65
1960-02-29	US8U6TF	Rent the Runway	70.82
1960-03-31	US8U6TF	Rent the Runway	69.63
1960-04-30	US8U6TF	Rent the Runway	70.6
1960-05-31	US8U6TF	Rent the Runway	70.29
1960-06-30	US8U6TF	Rent the Runway	66.87
1960-07-31	US8U6TF	Rent the Runway	75.69
1960-08-31	US8U6TF	Rent the Runway	75.91
1960-09-30	US8U6TF	Rent the Runway	69.18
1960-10-31	US8U6TF	Rent the Runway	66.42
1960-11-30	US8U6TF	Rent the Runway	68.91
1960-12-31	US8U6TF	Rent the Runway	75.62
1961-01-31	US8U6TF	Rent the Runway	72.93
1961-02-28	US8U6TF	Rent the Runway	74.78
1961-03-31	US8U6TF	Rent the Runway	81.93
1961-04-30	US8U6TF	Rent the Runway	76.27
1961-05-31	US8U6TF	Rent the Runway	74.51
1961-06-30	US8U6TF	Rent the Runway	73.21
1961-07-31	US8U6TF	Rent the Runway	75.07
1961-08-31	US8U6TF	Rent the Runway	75.41
1961-09-30	US8U6TF	Rent the Runway	79.9
1961-10-31	US8U6TF	Rent the Runway	82.87
1961-11-30	US8U6TF	Rent the Runway	84.87
1961-12-31	US8U6TF	Rent the Runway	84.05
1962-01-31	US8U6TF	Rent the Runway	83.49
1962-02-28	US8U6TF	Rent the Runway	84.66
1962-03-31	US8U6TF	Rent the Runway	83.73
1962-04-30	US8U6TF	Rent the Runway	82.44
1962-05-31	US8U6TF	Rent the Runway	83.77
1962-06-30	US8U6TF	Rent the Runway	82.05
1962-07-31	US8U6TF	Rent the Runway	78.7
1962-08-31	US8U6TF	Rent the Runway	74.61
1962-09-30	US8U6TF	Rent the Runway	75.83
1962-10-31	US8U6TF	Rent the Runway	81.88
1962-11-30	US8U6TF	Rent the Runway	83.84
1962-12-31	US8U6TF	Rent the Runway	87.9
1963-01-31	US8U6TF	Rent the Runway	87.75
1963-02-28	US8U6TF	Rent the Runway	89.03
1963-03-31	US8U6TF	Rent the Runway	92.96
1963-04-30	US8U6TF	Rent the Runway	91.45
1963-05-31	US8U6TF	Rent the Runway	90.03
1963-06-30	US8U6TF	Rent the Runway	87.39
1963-07-31	US8U6TF	Rent the Runway	88.64
1963-08-31	US8U6TF	Rent the Runway	88.38
1963-09-30	US8U6TF	Rent the Runway	90.88
1963-10-31	US8U6TF	Rent the Runway	90.11
1963-11-30	US8U6TF	Rent the Runway	89.47
1963-12-31	US8U6TF	Rent the Runway	88.79
1964-01-31	US8U6TF	Rent the Runway	83.24
1964-02-29	US8U6TF	Rent the Runway	83.96
1964-03-31	US8U6TF	Rent the Runway	80.12
1964-04-30	US8U6TF	Rent the Runway	77.12
1964-05-31	US8U6TF	Rent the Runway	75.01
1964-06-30	US8U6TF	Rent the Runway	77.63
1964-07-31	US8U6TF	Rent the Runway	85.64
1964-08-31	US8U6TF	Rent the Runway	79.62
1964-09-30	US8U6TF	Rent the Runway	76.7
1964-10-31	US8U6TF	Rent the Runway	77.31
1964-11-30	US8U6TF	Rent the Runway	77.19
1964-12-31	US8U6TF	Rent the Runway	75.97
1965-01-31	US8U6TF	Rent the Runway	76.32
1965-02-28	US8U6TF	Rent the Runway	74.38
1965-03-31	US8U6TF	Rent the Runway	76.26
1965-04-30	US8U6TF	Rent the Runway	72.01
1965-05-31	US8U6TF	Rent the Runway	72.64
1965-06-30	US8U6TF	Rent the Runway	69.86
1965-07-31	US8U6TF	Rent the Runway	67.31
1965-08-31	US8U6TF	Rent the Runway	72.93
1965-09-30	US8U6TF	Rent the Runway	72.94
1965-10-31	US8U6TF	Rent the Runway	73.21
1965-11-30	US8U6TF	Rent the Runway	65.92
1965-12-31	US8U6TF	Rent the Runway	67.02
