Date	Company Code	Company Name	Stock Price
1959-01-31	USMPQMH	Reverb	96.14
1959-02-28	USMPQMH	Reverb	93.49
1959-03-31	USMPQMH	Reverb	96.78
1959-04-30	USMPQMH	Reverb	99.99
1959-05-31	USMPQMH	Reverb	94.11
1959-06-30	USMPQMH	Reverb	98.82
1959-07-31	USMPQMH	Reverb	95.58
1959-08-31	USMPQMH	Reverb	93.88
1959-09-30	USMPQMH	Reverb	97.23
1959-10-31	USMPQMH	Reverb	91.55
1959-11-30	USMPQMH	Reverb	91.6
1959-12-31	USMPQMH	Reverb	89.85
1960-01-31	USMPQMH	Reverb	88.88
1960-02-29	USMPQMH	Reverb	91.95
1960-03-31	USMPQMH	Reverb	94.31
1960-04-30	USMPQMH	Reverb	92.15
1960-05-31	USMPQMH	Reverb	84.99
1960-06-30	USMPQMH	Reverb	86.65
1960-07-31	USMPQMH	Reverb	88.14
1960-08-31	USMPQMH	Reverb	87.63
1960-09-30	USMPQMH	Reverb	80.23
1960-10-31	USMPQMH	Reverb	73.94
1960-11-30	USMPQMH	Reverb	70.73
1960-12-31	USMPQMH	Reverb	65.38
1961-01-31	USMPQMH	Reverb	62.6
1961-02-28	USMPQMH	Reverb	61.56247184195438
1961-03-31	USMPQMH	Reverb	61.10842343386166
1961-04-30	USMPQMH	Reverb	60.29
1961-05-31	USMPQMH	Reverb	61.49
1961-06-30	USMPQMH	Reverb	61.55
1961-07-31	USMPQMH	Reverb	63.19
1961-08-31	USMPQMH	Reverb	62.00437888648221
1961-09-30	USMPQMH	Reverb	61.37
1961-10-31	USMPQMH	Reverb	62.178639105109944
1961-11-30	USMPQMH	Reverb	60.12
1961-12-31	USMPQMH	Reverb	63.85
1962-01-31	USMPQMH	Reverb	64.55
1962-02-28	USMPQMH	Reverb	65.18
1962-03-31	USMPQMH	Reverb	71.47
1962-04-30	USMPQMH	Reverb	80.35
1962-05-31	USMPQMH	Reverb	81.73
1962-06-30	USMPQMH	Reverb	79.52
1962-07-31	USMPQMH	Reverb	82.42
1962-08-31	USMPQMH	Reverb	74.0
1962-09-30	USMPQMH	Reverb	82.05
1962-10-31	USMPQMH	Reverb	75.34
1962-11-30	USMPQMH	Reverb	66.45
1962-12-31	USMPQMH	Reverb	68.22
1963-01-31	USMPQMH	Reverb	69.4
1963-02-28	USMPQMH	Reverb	69.0
1963-03-31	USMPQMH	Reverb	66.71
1963-04-30	USMPQMH	Reverb	64.17
1963-05-31	USMPQMH	Reverb	66.62
1963-06-30	USMPQMH	Reverb	63.95
1963-07-31	USMPQMH	Reverb	61.9
1963-08-31	USMPQMH	Reverb	63.42
1963-09-30	USMPQMH	Reverb	61.96
1963-10-31	USMPQMH	Reverb	65.81
1963-11-30	USMPQMH	Reverb	62.54
1963-12-31	USMPQMH	Reverb	61.960424522265605
1964-01-31	USMPQMH	Reverb	62.97957847031236
1964-02-29	USMPQMH	Reverb	61.09
1964-03-31	USMPQMH	Reverb	63.49
1964-04-30	USMPQMH	Reverb	62.87
1964-05-31	USMPQMH	Reverb	66.78
1964-06-30	USMPQMH	Reverb	69.39
1964-07-31	USMPQMH	Reverb	66.56
1964-08-31	USMPQMH	Reverb	61.32
1964-09-30	USMPQMH	Reverb	66.3
1964-10-31	USMPQMH	Reverb	65.12
1964-11-30	USMPQMH	Reverb	66.45
1964-12-31	USMPQMH	Reverb	63.91
1965-01-31	USMPQMH	Reverb	62.79381878779185
1965-02-28	USMPQMH	Reverb	62.46
1965-03-31	USMPQMH	Reverb	61.0
1965-04-30	USMPQMH	Reverb	63.07
1965-05-31	USMPQMH	Reverb	64.83
1965-06-30	USMPQMH	Reverb	61.31745668615444
1965-07-31	USMPQMH	Reverb	61.371106547043524
1965-08-31	USMPQMH	Reverb	63.82
1965-09-30	USMPQMH	Reverb	62.61014221908483
1965-10-31	USMPQMH	Reverb	63.22
1965-11-30	USMPQMH	Reverb	61.35198936179634
1965-12-31	USMPQMH	Reverb	64.37
1966-01-31	USMPQMH	Reverb	64.81
1966-02-28	USMPQMH	Reverb	72.66
1966-03-31	USMPQMH	Reverb	72.96
1966-04-30	USMPQMH	Reverb	79.96
1966-05-31	USMPQMH	Reverb	80.06
1966-06-30	USMPQMH	Reverb	81.96
1966-07-31	USMPQMH	Reverb	73.12
1966-08-31	USMPQMH	Reverb	81.17
1966-09-30	USMPQMH	Reverb	90.02
1966-10-31	USMPQMH	Reverb	93.74
1966-11-30	USMPQMH	Reverb	99.61
1966-12-31	USMPQMH	Reverb	97.35
1967-01-31	USMPQMH	Reverb	98.23
1967-02-28	USMPQMH	Reverb	99.6
1967-03-31	USMPQMH	Reverb	97.76
1967-04-30	USMPQMH	Reverb	97.22
1967-05-31	USMPQMH	Reverb	97.57
1967-06-30	USMPQMH	Reverb	98.12
1967-07-31	USMPQMH	Reverb	101.32
1967-08-31	USMPQMH	Reverb	100.65
1967-09-30	USMPQMH	Reverb	99.15
1967-10-31	USMPQMH	Reverb	104.45
1967-11-30	USMPQMH	Reverb	100.78
1967-12-31	USMPQMH	Reverb	98.75
1968-01-31	USMPQMH	Reverb	98.9
1968-02-29	USMPQMH	Reverb	99.53
1968-03-31	USMPQMH	Reverb	96.27
1968-04-30	USMPQMH	Reverb	94.63
1968-05-31	USMPQMH	Reverb	95.8
1968-06-30	USMPQMH	Reverb	95.19
1968-07-31	USMPQMH	Reverb	92.25
1968-08-31	USMPQMH	Reverb	92.05
1968-09-30	USMPQMH	Reverb	85.92
1968-10-31	USMPQMH	Reverb	83.74
1968-11-30	USMPQMH	Reverb	80.85
1968-12-31	USMPQMH	Reverb	84.95
1969-01-31	USMPQMH	Reverb	90.13
1969-02-28	USMPQMH	Reverb	91.37
1969-03-31	USMPQMH	Reverb	93.22
1969-04-30	USMPQMH	Reverb	85.95
1969-05-31	USMPQMH	Reverb	84.62
1969-06-30	USMPQMH	Reverb	89.31
1969-07-31	USMPQMH	Reverb	93.3
1969-08-31	USMPQMH	Reverb	95.88
1969-09-30	USMPQMH	Reverb	104.8
1969-10-31	USMPQMH	Reverb	110.86
1969-11-30	USMPQMH	Reverb	112.62
1969-12-31	USMPQMH	Reverb	112.95
1970-01-31	USMPQMH	Reverb	115.43
1970-02-28	USMPQMH	Reverb	114.05
1970-03-31	USMPQMH	Reverb	114.31
1970-04-30	USMPQMH	Reverb	116.2
1970-05-31	USMPQMH	Reverb	114.53
1970-06-30	USMPQMH	Reverb	105.46
1970-07-31	USMPQMH	Reverb	112.06
1970-08-31	USMPQMH	Reverb	112.21
1970-09-30	USMPQMH	Reverb	110.73
1970-10-31	USMPQMH	Reverb	111.56
1970-11-30	USMPQMH	Reverb	110.47
1970-12-31	USMPQMH	Reverb	111.95
1971-01-31	USMPQMH	Reverb	105.82
1971-02-28	USMPQMH	Reverb	110.8
1971-03-31	USMPQMH	Reverb	112.11
1971-04-30	USMPQMH	Reverb	104.75
1971-05-31	USMPQMH	Reverb	105.91
1971-06-30	USMPQMH	Reverb	111.11
1971-07-31	USMPQMH	Reverb	109.89
1971-08-31	USMPQMH	Reverb	110.06
1971-09-30	USMPQMH	Reverb	108.32
1971-10-31	USMPQMH	Reverb	103.76
1971-11-30	USMPQMH	Reverb	111.66
1971-12-31	USMPQMH	Reverb	113.82
1972-01-31	USMPQMH	Reverb	111.73
1972-02-29	USMPQMH	Reverb	119.23
1972-03-31	USMPQMH	Reverb	117.53
1972-04-30	USMPQMH	Reverb	116.49
1972-05-31	USMPQMH	Reverb	114.84
1972-06-30	USMPQMH	Reverb	120.81
1972-07-31	USMPQMH	Reverb	116.05
1972-08-31	USMPQMH	Reverb	124.78
1972-09-30	USMPQMH	Reverb	120.83
1972-10-31	USMPQMH	Reverb	122.64
1972-11-30	USMPQMH	Reverb	124.26
1972-12-31	USMPQMH	Reverb	123.11
1973-01-31	USMPQMH	Reverb	131.01
1973-02-28	USMPQMH	Reverb	135.03
1973-03-31	USMPQMH	Reverb	138.22
1973-04-30	USMPQMH	Reverb	135.16
1973-05-31	USMPQMH	Reverb	139.0
1973-06-30	USMPQMH	Reverb	139.7
1973-07-31	USMPQMH	Reverb	141.39
1973-08-31	USMPQMH	Reverb	149.5
1973-09-30	USMPQMH	Reverb	141.91
1973-10-31	USMPQMH	Reverb	142.39
1973-11-30	USMPQMH	Reverb	139.83
1973-12-31	USMPQMH	Reverb	136.95
1974-01-31	USMPQMH	Reverb	134.37
1974-02-28	USMPQMH	Reverb	133.86
1974-03-31	USMPQMH	Reverb	133.44
1974-04-30	USMPQMH	Reverb	127.66
1974-05-31	USMPQMH	Reverb	133.55
1974-06-30	USMPQMH	Reverb	133.57
1974-07-31	USMPQMH	Reverb	125.26
1974-08-31	USMPQMH	Reverb	125.37
1974-09-30	USMPQMH	Reverb	124.97
1974-10-31	USMPQMH	Reverb	118.1
1974-11-30	USMPQMH	Reverb	117.53
1974-12-31	USMPQMH	Reverb	119.66
1975-01-31	USMPQMH	Reverb	114.2
1975-02-28	USMPQMH	Reverb	116.78
1975-03-31	USMPQMH	Reverb	118.49
1975-04-30	USMPQMH	Reverb	120.94
1975-05-31	USMPQMH	Reverb	116.42
1975-06-30	USMPQMH	Reverb	117.41
1975-07-31	USMPQMH	Reverb	114.2
1975-08-31	USMPQMH	Reverb	109.65
1975-09-30	USMPQMH	Reverb	110.16
1975-10-31	USMPQMH	Reverb	111.37
1975-11-30	USMPQMH	Reverb	114.17
1975-12-31	USMPQMH	Reverb	110.62
1976-01-31	USMPQMH	Reverb	104.76
1976-02-29	USMPQMH	Reverb	107.57
1976-03-31	USMPQMH	Reverb	113.84
1976-04-30	USMPQMH	Reverb	116.87
1976-05-31	USMPQMH	Reverb	115.21
1976-06-30	USMPQMH	Reverb	116.86
1976-07-31	USMPQMH	Reverb	121.86
1976-08-31	USMPQMH	Reverb	121.7
1976-09-30	USMPQMH	Reverb	124.75
1976-10-31	USMPQMH	Reverb	116.58
1976-11-30	USMPQMH	Reverb	111.85
1976-12-31	USMPQMH	Reverb	120.98
1977-01-31	USMPQMH	Reverb	118.49
1977-02-28	USMPQMH	Reverb	117.18
1977-03-31	USMPQMH	Reverb	117.11
1977-04-30	USMPQMH	Reverb	124.37
1977-05-31	USMPQMH	Reverb	128.54
1977-06-30	USMPQMH	Reverb	127.87
1977-07-31	USMPQMH	Reverb	129.41
1977-08-31	USMPQMH	Reverb	126.37
1977-09-30	USMPQMH	Reverb	128.73
1977-10-31	USMPQMH	Reverb	129.8
1977-11-30	USMPQMH	Reverb	133.57
1977-12-31	USMPQMH	Reverb	130.54
1978-01-31	USMPQMH	Reverb	138.44
1978-02-28	USMPQMH	Reverb	133.5
1978-03-31	USMPQMH	Reverb	137.58
1978-04-30	USMPQMH	Reverb	138.43
1978-05-31	USMPQMH	Reverb	142.02
1978-06-30	USMPQMH	Reverb	147.53
1978-07-31	USMPQMH	Reverb	151.22
1978-08-31	USMPQMH	Reverb	144.25
1978-09-30	USMPQMH	Reverb	146.48
1978-10-31	USMPQMH	Reverb	146.43
1978-11-30	USMPQMH	Reverb	140.36
1978-12-31	USMPQMH	Reverb	137.43
1979-01-31	USMPQMH	Reverb	136.23
1979-02-28	USMPQMH	Reverb	138.46
1979-03-31	USMPQMH	Reverb	139.77
1979-04-30	USMPQMH	Reverb	136.88
1979-05-31	USMPQMH	Reverb	134.82
1979-06-30	USMPQMH	Reverb	132.13
1979-07-31	USMPQMH	Reverb	130.08
1979-08-31	USMPQMH	Reverb	136.21
1979-09-30	USMPQMH	Reverb	136.93
1979-10-31	USMPQMH	Reverb	134.11
1979-11-30	USMPQMH	Reverb	134.25
1979-12-31	USMPQMH	Reverb	135.1
1980-01-31	USMPQMH	Reverb	140.65
1980-02-29	USMPQMH	Reverb	140.1
1980-03-31	USMPQMH	Reverb	145.22
1980-04-30	USMPQMH	Reverb	147.87
1980-05-31	USMPQMH	Reverb	150.25
1980-06-30	USMPQMH	Reverb	154.71
1980-07-31	USMPQMH	Reverb	152.36
1980-08-31	USMPQMH	Reverb	150.34
1980-09-30	USMPQMH	Reverb	150.41
1980-10-31	USMPQMH	Reverb	150.34
1980-11-30	USMPQMH	Reverb	147.32
1980-12-31	USMPQMH	Reverb	149.72
1981-01-31	USMPQMH	Reverb	146.34
1981-02-28	USMPQMH	Reverb	154.92
1981-03-31	USMPQMH	Reverb	151.06
1981-04-30	USMPQMH	Reverb	148.48
1981-05-31	USMPQMH	Reverb	151.33
1981-06-30	USMPQMH	Reverb	149.24
1981-07-31	USMPQMH	Reverb	157.08
1981-08-31	USMPQMH	Reverb	157.77
1981-09-30	USMPQMH	Reverb	150.41
1981-10-31	USMPQMH	Reverb	158.81
1981-11-30	USMPQMH	Reverb	159.63
1981-12-31	USMPQMH	Reverb	159.72
1982-01-31	USMPQMH	Reverb	156.37
1982-02-28	USMPQMH	Reverb	163.26
1982-03-31	USMPQMH	Reverb	158.92
1982-04-30	USMPQMH	Reverb	158.07
1982-05-31	USMPQMH	Reverb	157.5
1982-06-30	USMPQMH	Reverb	157.42
1982-07-31	USMPQMH	Reverb	156.01
1982-08-31	USMPQMH	Reverb	150.09
1982-09-30	USMPQMH	Reverb	151.21
1982-10-31	USMPQMH	Reverb	155.3
1982-11-30	USMPQMH	Reverb	153.44
1982-12-31	USMPQMH	Reverb	154.38
1983-01-31	USMPQMH	Reverb	149.79
1983-02-28	USMPQMH	Reverb	153.81
1983-03-31	USMPQMH	Reverb	150.18
1983-04-30	USMPQMH	Reverb	150.34
