Date	Company Code	Company Name	Stock Price
1959-01-31	USXP8M0	RingCentral Inc.	114.51
1959-02-28	USXP8M0	RingCentral Inc.	118.71
1959-03-31	USXP8M0	RingCentral Inc.	123.97
1959-04-30	USXP8M0	RingCentral Inc.	123.53
1959-05-31	USXP8M0	RingCentral Inc.	126.59
1959-06-30	USXP8M0	RingCentral Inc.	131.98
1959-07-31	USXP8M0	RingCentral Inc.	128.77
1959-08-31	USXP8M0	RingCentral Inc.	132.64
1959-09-30	USXP8M0	RingCentral Inc.	128.44
1959-10-31	USXP8M0	RingCentral Inc.	122.15
1959-11-30	USXP8M0	RingCentral Inc.	121.43
1959-12-31	USXP8M0	RingCentral Inc.	122.24
1960-01-31	USXP8M0	RingCentral Inc.	120.67
1960-02-29	USXP8M0	RingCentral Inc.	121.78
1960-03-31	USXP8M0	RingCentral Inc.	122.31
1960-04-30	USXP8M0	RingCentral Inc.	116.23
1960-05-31	USXP8M0	RingCentral Inc.	117.11
1960-06-30	USXP8M0	RingCentral Inc.	123.89
1960-07-31	USXP8M0	RingCentral Inc.	124.44
1960-08-31	USXP8M0	RingCentral Inc.	127.1
1960-09-30	USXP8M0	RingCentral Inc.	127.68
1960-10-31	USXP8M0	RingCentral Inc.	127.65
1960-11-30	USXP8M0	RingCentral Inc.	136.3
1960-12-31	USXP8M0	RingCentral Inc.	129.22
1961-01-31	USXP8M0	RingCentral Inc.	131.9
1961-02-28	USXP8M0	RingCentral Inc.	136.08
1961-03-31	USXP8M0	RingCentral Inc.	135.79
1961-04-30	USXP8M0	RingCentral Inc.	135.15
1961-05-31	USXP8M0	RingCentral Inc.	138.5
1961-06-30	USXP8M0	RingCentral Inc.	138.7
1961-07-31	USXP8M0	RingCentral Inc.	133.68
1961-08-31	USXP8M0	RingCentral Inc.	135.27
1961-09-30	USXP8M0	RingCentral Inc.	131.57
1961-10-31	USXP8M0	RingCentral Inc.	140.38
1961-11-30	USXP8M0	RingCentral Inc.	142.85
1961-12-31	USXP8M0	RingCentral Inc.	135.66
1962-01-31	USXP8M0	RingCentral Inc.	131.62
1962-02-28	USXP8M0	RingCentral Inc.	137.82
1962-03-31	USXP8M0	RingCentral Inc.	137.3
1962-04-30	USXP8M0	RingCentral Inc.	131.86
1962-05-31	USXP8M0	RingCentral Inc.	134.4
1962-06-30	USXP8M0	RingCentral Inc.	132.85
1962-07-31	USXP8M0	RingCentral Inc.	130.94
1962-08-31	USXP8M0	RingCentral Inc.	135.55
1962-09-30	USXP8M0	RingCentral Inc.	141.34
1962-10-31	USXP8M0	RingCentral Inc.	145.14
1962-11-30	USXP8M0	RingCentral Inc.	146.62
1962-12-31	USXP8M0	RingCentral Inc.	140.82
1963-01-31	USXP8M0	RingCentral Inc.	144.16
1963-02-28	USXP8M0	RingCentral Inc.	139.98
1963-03-31	USXP8M0	RingCentral Inc.	136.52
1963-04-30	USXP8M0	RingCentral Inc.	135.52
1963-05-31	USXP8M0	RingCentral Inc.	139.26
1963-06-30	USXP8M0	RingCentral Inc.	137.32
1963-07-31	USXP8M0	RingCentral Inc.	133.1
1963-08-31	USXP8M0	RingCentral Inc.	132.3
1963-09-30	USXP8M0	RingCentral Inc.	137.48
1963-10-31	USXP8M0	RingCentral Inc.	137.94
1963-11-30	USXP8M0	RingCentral Inc.	140.72
1963-12-31	USXP8M0	RingCentral Inc.	143.39
1964-01-31	USXP8M0	RingCentral Inc.	139.25
1964-02-29	USXP8M0	RingCentral Inc.	140.77
1964-03-31	USXP8M0	RingCentral Inc.	142.83
1964-04-30	USXP8M0	RingCentral Inc.	147.9
1964-05-31	USXP8M0	RingCentral Inc.	145.3
1964-06-30	USXP8M0	RingCentral Inc.	146.1
1964-07-31	USXP8M0	RingCentral Inc.	147.21
1964-08-31	USXP8M0	RingCentral Inc.	148.56
1964-09-30	USXP8M0	RingCentral Inc.	151.28
1964-10-31	USXP8M0	RingCentral Inc.	150.66
1964-11-30	USXP8M0	RingCentral Inc.	154.62
1964-12-31	USXP8M0	RingCentral Inc.	160.0
1965-01-31	USXP8M0	RingCentral Inc.	165.5
1965-02-28	USXP8M0	RingCentral Inc.	165.62
1965-03-31	USXP8M0	RingCentral Inc.	159.98
1965-04-30	USXP8M0	RingCentral Inc.	165.47
1965-05-31	USXP8M0	RingCentral Inc.	156.54
1965-06-30	USXP8M0	RingCentral Inc.	155.78
1965-07-31	USXP8M0	RingCentral Inc.	149.7
1965-08-31	USXP8M0	RingCentral Inc.	145.88
1965-09-30	USXP8M0	RingCentral Inc.	145.64
1965-10-31	USXP8M0	RingCentral Inc.	145.24
1965-11-30	USXP8M0	RingCentral Inc.	151.54
1965-12-31	USXP8M0	RingCentral Inc.	156.64
1966-01-31	USXP8M0	RingCentral Inc.	152.78
1966-02-28	USXP8M0	RingCentral Inc.	152.66
1966-03-31	USXP8M0	RingCentral Inc.	159.39
1966-04-30	USXP8M0	RingCentral Inc.	160.81
1966-05-31	USXP8M0	RingCentral Inc.	159.09
1966-06-30	USXP8M0	RingCentral Inc.	164.81
1966-07-31	USXP8M0	RingCentral Inc.	172.97
1966-08-31	USXP8M0	RingCentral Inc.	179.35
1966-09-30	USXP8M0	RingCentral Inc.	175.37
1966-10-31	USXP8M0	RingCentral Inc.	172.33
1966-11-30	USXP8M0	RingCentral Inc.	172.84
1966-12-31	USXP8M0	RingCentral Inc.	173.83
1967-01-31	USXP8M0	RingCentral Inc.	168.77
1967-02-28	USXP8M0	RingCentral Inc.	164.32
1967-03-31	USXP8M0	RingCentral Inc.	164.93
1967-04-30	USXP8M0	RingCentral Inc.	166.92
