Date	Company Code	Company Name	Stock Price
1959-01-31	USAVXJN	Robinhood Markets Inc.	93.41
1959-02-28	USAVXJN	Robinhood Markets Inc.	89.08
1959-03-31	USAVXJN	Robinhood Markets Inc.	89.67
1959-04-30	USAVXJN	Robinhood Markets Inc.	93.44
1959-05-31	USAVXJN	Robinhood Markets Inc.	91.1
1959-06-30	USAVXJN	Robinhood Markets Inc.	98.15
1959-07-31	USAVXJN	Robinhood Markets Inc.	104.51
1959-08-31	USAVXJN	Robinhood Markets Inc.	105.44
1959-09-30	USAVXJN	Robinhood Markets Inc.	100.12
1959-10-31	USAVXJN	Robinhood Markets Inc.	97.41
1959-11-30	USAVXJN	Robinhood Markets Inc.	96.9
1959-12-31	USAVXJN	Robinhood Markets Inc.	99.79
1960-01-31	USAVXJN	Robinhood Markets Inc.	107.28
1960-02-29	USAVXJN	Robinhood Markets Inc.	112.23
1960-03-31	USAVXJN	Robinhood Markets Inc.	109.27
1960-04-30	USAVXJN	Robinhood Markets Inc.	110.36
1960-05-31	USAVXJN	Robinhood Markets Inc.	108.29
1960-06-30	USAVXJN	Robinhood Markets Inc.	115.04
1960-07-31	USAVXJN	Robinhood Markets Inc.	115.59
1960-08-31	USAVXJN	Robinhood Markets Inc.	116.68
1960-09-30	USAVXJN	Robinhood Markets Inc.	116.25
1960-10-31	USAVXJN	Robinhood Markets Inc.	114.61
1960-11-30	USAVXJN	Robinhood Markets Inc.	113.81
1960-12-31	USAVXJN	Robinhood Markets Inc.	112.24
1961-01-31	USAVXJN	Robinhood Markets Inc.	117.5
1961-02-28	USAVXJN	Robinhood Markets Inc.	121.27
1961-03-31	USAVXJN	Robinhood Markets Inc.	114.88
1961-04-30	USAVXJN	Robinhood Markets Inc.	118.03
1961-05-31	USAVXJN	Robinhood Markets Inc.	117.09
1961-06-30	USAVXJN	Robinhood Markets Inc.	113.9
1961-07-31	USAVXJN	Robinhood Markets Inc.	115.13
1961-08-31	USAVXJN	Robinhood Markets Inc.	115.07
1961-09-30	USAVXJN	Robinhood Markets Inc.	115.99
1961-10-31	USAVXJN	Robinhood Markets Inc.	116.73
1961-11-30	USAVXJN	Robinhood Markets Inc.	116.38
1961-12-31	USAVXJN	Robinhood Markets Inc.	118.66
1962-01-31	USAVXJN	Robinhood Markets Inc.	122.15
1962-02-28	USAVXJN	Robinhood Markets Inc.	122.0
1962-03-31	USAVXJN	Robinhood Markets Inc.	123.28
1962-04-30	USAVXJN	Robinhood Markets Inc.	124.59
1962-05-31	USAVXJN	Robinhood Markets Inc.	124.47
1962-06-30	USAVXJN	Robinhood Markets Inc.	119.49
1962-07-31	USAVXJN	Robinhood Markets Inc.	119.73
1962-08-31	USAVXJN	Robinhood Markets Inc.	129.11
1962-09-30	USAVXJN	Robinhood Markets Inc.	133.21
1962-10-31	USAVXJN	Robinhood Markets Inc.	129.11
1962-11-30	USAVXJN	Robinhood Markets Inc.	134.81
1962-12-31	USAVXJN	Robinhood Markets Inc.	133.06
1963-01-31	USAVXJN	Robinhood Markets Inc.	132.64
1963-02-28	USAVXJN	Robinhood Markets Inc.	134.82
1963-03-31	USAVXJN	Robinhood Markets Inc.	131.72
1963-04-30	USAVXJN	Robinhood Markets Inc.	131.57
1963-05-31	USAVXJN	Robinhood Markets Inc.	137.2
1963-06-30	USAVXJN	Robinhood Markets Inc.	137.43
1963-07-31	USAVXJN	Robinhood Markets Inc.	143.15
1963-08-31	USAVXJN	Robinhood Markets Inc.	148.4
1963-09-30	USAVXJN	Robinhood Markets Inc.	148.42
1963-10-31	USAVXJN	Robinhood Markets Inc.	144.45
1963-11-30	USAVXJN	Robinhood Markets Inc.	146.32
1963-12-31	USAVXJN	Robinhood Markets Inc.	144.98
1964-01-31	USAVXJN	Robinhood Markets Inc.	145.32
1964-02-29	USAVXJN	Robinhood Markets Inc.	149.62
1964-03-31	USAVXJN	Robinhood Markets Inc.	150.12
1964-04-30	USAVXJN	Robinhood Markets Inc.	149.52
1964-05-31	USAVXJN	Robinhood Markets Inc.	156.46
1964-06-30	USAVXJN	Robinhood Markets Inc.	165.25
1964-07-31	USAVXJN	Robinhood Markets Inc.	166.64
1964-08-31	USAVXJN	Robinhood Markets Inc.	160.21
1964-09-30	USAVXJN	Robinhood Markets Inc.	158.79
1964-10-31	USAVXJN	Robinhood Markets Inc.	156.31
1964-11-30	USAVXJN	Robinhood Markets Inc.	154.17
1964-12-31	USAVXJN	Robinhood Markets Inc.	154.08
1965-01-31	USAVXJN	Robinhood Markets Inc.	155.21
1965-02-28	USAVXJN	Robinhood Markets Inc.	157.55
1965-03-31	USAVXJN	Robinhood Markets Inc.	159.7
1965-04-30	USAVXJN	Robinhood Markets Inc.	153.52
1965-05-31	USAVXJN	Robinhood Markets Inc.	155.58
1965-06-30	USAVXJN	Robinhood Markets Inc.	152.86
1965-07-31	USAVXJN	Robinhood Markets Inc.	155.42
1965-08-31	USAVXJN	Robinhood Markets Inc.	150.67
1965-09-30	USAVXJN	Robinhood Markets Inc.	152.97
