Date	Company Code	Company Name	Stock Price
1959-01-31	USPXZU4	Rockwell Automation Inc.	105.53
1959-02-28	USPXZU4	Rockwell Automation Inc.	106.37
1959-03-31	USPXZU4	Rockwell Automation Inc.	99.97
1959-04-30	USPXZU4	Rockwell Automation Inc.	101.23
1959-05-31	USPXZU4	Rockwell Automation Inc.	104.49
1959-06-30	USPXZU4	Rockwell Automation Inc.	102.33
1959-07-31	USPXZU4	Rockwell Automation Inc.	97.75
1959-08-31	USPXZU4	Rockwell Automation Inc.	101.69
1959-09-30	USPXZU4	Rockwell Automation Inc.	109.92
1959-10-31	USPXZU4	Rockwell Automation Inc.	116.04
1959-11-30	USPXZU4	Rockwell Automation Inc.	117.67
1959-12-31	USPXZU4	Rockwell Automation Inc.	114.05
1960-01-31	USPXZU4	Rockwell Automation Inc.	115.14
1960-02-29	USPXZU4	Rockwell Automation Inc.	116.46
1960-03-31	USPXZU4	Rockwell Automation Inc.	118.85
1960-04-30	USPXZU4	Rockwell Automation Inc.	119.64
1960-05-31	USPXZU4	Rockwell Automation Inc.	125.87
1960-06-30	USPXZU4	Rockwell Automation Inc.	134.78
1960-07-31	USPXZU4	Rockwell Automation Inc.	129.12
1960-08-31	USPXZU4	Rockwell Automation Inc.	123.93
1960-09-30	USPXZU4	Rockwell Automation Inc.	123.29
1960-10-31	USPXZU4	Rockwell Automation Inc.	124.33
1960-11-30	USPXZU4	Rockwell Automation Inc.	124.09
1960-12-31	USPXZU4	Rockwell Automation Inc.	123.72
1961-01-31	USPXZU4	Rockwell Automation Inc.	129.25
1961-02-28	USPXZU4	Rockwell Automation Inc.	130.7
1961-03-31	USPXZU4	Rockwell Automation Inc.	133.04
1961-04-30	USPXZU4	Rockwell Automation Inc.	129.71
1961-05-31	USPXZU4	Rockwell Automation Inc.	127.48
1961-06-30	USPXZU4	Rockwell Automation Inc.	122.07
1961-07-31	USPXZU4	Rockwell Automation Inc.	117.32
1961-08-31	USPXZU4	Rockwell Automation Inc.	115.76
1961-09-30	USPXZU4	Rockwell Automation Inc.	114.29
1961-10-31	USPXZU4	Rockwell Automation Inc.	118.77
1961-11-30	USPXZU4	Rockwell Automation Inc.	118.96
1961-12-31	USPXZU4	Rockwell Automation Inc.	110.43
1962-01-31	USPXZU4	Rockwell Automation Inc.	109.98
1962-02-28	USPXZU4	Rockwell Automation Inc.	111.86
