Date	Company Code	Company Name	Stock Price
1959-01-31	USVZBNQ	Ross Stores Inc.	103.57
1959-02-28	USVZBNQ	Ross Stores Inc.	102.72
1959-03-31	USVZBNQ	Ross Stores Inc.	101.56
1959-04-30	USVZBNQ	Ross Stores Inc.	103.24
1959-05-31	USVZBNQ	Ross Stores Inc.	100.34
1959-06-30	USVZBNQ	Ross Stores Inc.	96.7
1959-07-31	USVZBNQ	Ross Stores Inc.	94.05
1959-08-31	USVZBNQ	Ross Stores Inc.	99.5
1959-09-30	USVZBNQ	Ross Stores Inc.	96.27
1959-10-31	USVZBNQ	Ross Stores Inc.	95.01
1959-11-30	USVZBNQ	Ross Stores Inc.	92.4
1959-12-31	USVZBNQ	Ross Stores Inc.	93.3
1960-01-31	USVZBNQ	Ross Stores Inc.	94.94
1960-02-29	USVZBNQ	Ross Stores Inc.	92.65
1960-03-31	USVZBNQ	Ross Stores Inc.	97.46
1960-04-30	USVZBNQ	Ross Stores Inc.	104.4
1960-05-31	USVZBNQ	Ross Stores Inc.	102.83
1960-06-30	USVZBNQ	Ross Stores Inc.	104.94
1960-07-31	USVZBNQ	Ross Stores Inc.	104.28
1960-08-31	USVZBNQ	Ross Stores Inc.	108.41
1960-09-30	USVZBNQ	Ross Stores Inc.	107.83
1960-10-31	USVZBNQ	Ross Stores Inc.	103.1
1960-11-30	USVZBNQ	Ross Stores Inc.	108.38
1960-12-31	USVZBNQ	Ross Stores Inc.	112.8
1961-01-31	USVZBNQ	Ross Stores Inc.	113.44
1961-02-28	USVZBNQ	Ross Stores Inc.	114.6
1961-03-31	USVZBNQ	Ross Stores Inc.	118.73
1961-04-30	USVZBNQ	Ross Stores Inc.	115.21
1961-05-31	USVZBNQ	Ross Stores Inc.	113.37
1961-06-30	USVZBNQ	Ross Stores Inc.	115.55
1961-07-31	USVZBNQ	Ross Stores Inc.	117.58
1961-08-31	USVZBNQ	Ross Stores Inc.	114.83
1961-09-30	USVZBNQ	Ross Stores Inc.	118.66
1961-10-31	USVZBNQ	Ross Stores Inc.	117.64
1961-11-30	USVZBNQ	Ross Stores Inc.	121.35
1961-12-31	USVZBNQ	Ross Stores Inc.	129.95
1962-01-31	USVZBNQ	Ross Stores Inc.	129.89
1962-02-28	USVZBNQ	Ross Stores Inc.	133.88
1962-03-31	USVZBNQ	Ross Stores Inc.	132.4
1962-04-30	USVZBNQ	Ross Stores Inc.	141.07
1962-05-31	USVZBNQ	Ross Stores Inc.	143.83
1962-06-30	USVZBNQ	Ross Stores Inc.	142.57
1962-07-31	USVZBNQ	Ross Stores Inc.	143.99
1962-08-31	USVZBNQ	Ross Stores Inc.	142.54
1962-09-30	USVZBNQ	Ross Stores Inc.	143.52
1962-10-31	USVZBNQ	Ross Stores Inc.	136.93
1962-11-30	USVZBNQ	Ross Stores Inc.	140.43
1962-12-31	USVZBNQ	Ross Stores Inc.	141.11
1963-01-31	USVZBNQ	Ross Stores Inc.	139.91
1963-02-28	USVZBNQ	Ross Stores Inc.	142.42
1963-03-31	USVZBNQ	Ross Stores Inc.	147.8
1963-04-30	USVZBNQ	Ross Stores Inc.	151.48
1963-05-31	USVZBNQ	Ross Stores Inc.	152.59
1963-06-30	USVZBNQ	Ross Stores Inc.	154.98
1963-07-31	USVZBNQ	Ross Stores Inc.	148.88
1963-08-31	USVZBNQ	Ross Stores Inc.	149.02
1963-09-30	USVZBNQ	Ross Stores Inc.	152.69
1963-10-31	USVZBNQ	Ross Stores Inc.	153.41
1963-11-30	USVZBNQ	Ross Stores Inc.	153.81
1963-12-31	USVZBNQ	Ross Stores Inc.	151.48
1964-01-31	USVZBNQ	Ross Stores Inc.	150.28
1964-02-29	USVZBNQ	Ross Stores Inc.	148.18
1964-03-31	USVZBNQ	Ross Stores Inc.	158.06
1964-04-30	USVZBNQ	Ross Stores Inc.	150.36
1964-05-31	USVZBNQ	Ross Stores Inc.	151.03
1964-06-30	USVZBNQ	Ross Stores Inc.	152.22
1964-07-31	USVZBNQ	Ross Stores Inc.	148.68
1964-08-31	USVZBNQ	Ross Stores Inc.	148.57
1964-09-30	USVZBNQ	Ross Stores Inc.	148.04
1964-10-31	USVZBNQ	Ross Stores Inc.	147.94
1964-11-30	USVZBNQ	Ross Stores Inc.	140.48
1964-12-31	USVZBNQ	Ross Stores Inc.	142.89
1965-01-31	USVZBNQ	Ross Stores Inc.	142.48
1965-02-28	USVZBNQ	Ross Stores Inc.	148.45
1965-03-31	USVZBNQ	Ross Stores Inc.	147.54
1965-04-30	USVZBNQ	Ross Stores Inc.	150.25
1965-05-31	USVZBNQ	Ross Stores Inc.	143.28
1965-06-30	USVZBNQ	Ross Stores Inc.	151.99
1965-07-31	USVZBNQ	Ross Stores Inc.	145.23
1965-08-31	USVZBNQ	Ross Stores Inc.	149.58
1965-09-30	USVZBNQ	Ross Stores Inc.	149.84
1965-10-31	USVZBNQ	Ross Stores Inc.	149.81
1965-11-30	USVZBNQ	Ross Stores Inc.	150.31
1965-12-31	USVZBNQ	Ross Stores Inc.	156.44
1966-01-31	USVZBNQ	Ross Stores Inc.	149.12
1966-02-28	USVZBNQ	Ross Stores Inc.	149.33
1966-03-31	USVZBNQ	Ross Stores Inc.	150.67
1966-04-30	USVZBNQ	Ross Stores Inc.	150.85
1966-05-31	USVZBNQ	Ross Stores Inc.	149.86
1966-06-30	USVZBNQ	Ross Stores Inc.	144.0
1966-07-31	USVZBNQ	Ross Stores Inc.	144.96
1966-08-31	USVZBNQ	Ross Stores Inc.	151.14
1966-09-30	USVZBNQ	Ross Stores Inc.	147.63
1966-10-31	USVZBNQ	Ross Stores Inc.	146.22
1966-11-30	USVZBNQ	Ross Stores Inc.	147.16
1966-12-31	USVZBNQ	Ross Stores Inc.	146.53
1967-01-31	USVZBNQ	Ross Stores Inc.	148.7
1967-02-28	USVZBNQ	Ross Stores Inc.	151.22
1967-03-31	USVZBNQ	Ross Stores Inc.	148.22
1967-04-30	USVZBNQ	Ross Stores Inc.	154.83
1967-05-31	USVZBNQ	Ross Stores Inc.	151.74
1967-06-30	USVZBNQ	Ross Stores Inc.	148.06
1967-07-31	USVZBNQ	Ross Stores Inc.	157.39
1967-08-31	USVZBNQ	Ross Stores Inc.	160.74
1967-09-30	USVZBNQ	Ross Stores Inc.	155.17
1967-10-31	USVZBNQ	Ross Stores Inc.	155.03
1967-11-30	USVZBNQ	Ross Stores Inc.	160.05
1967-12-31	USVZBNQ	Ross Stores Inc.	158.93
1968-01-31	USVZBNQ	Ross Stores Inc.	157.39
1968-02-29	USVZBNQ	Ross Stores Inc.	161.9
1968-03-31	USVZBNQ	Ross Stores Inc.	160.7
1968-04-30	USVZBNQ	Ross Stores Inc.	151.7
1968-05-31	USVZBNQ	Ross Stores Inc.	143.91
1968-06-30	USVZBNQ	Ross Stores Inc.	151.04
1968-07-31	USVZBNQ	Ross Stores Inc.	153.81
1968-08-31	USVZBNQ	Ross Stores Inc.	153.26
1968-09-30	USVZBNQ	Ross Stores Inc.	154.8
1968-10-31	USVZBNQ	Ross Stores Inc.	154.58
1968-11-30	USVZBNQ	Ross Stores Inc.	155.02
1968-12-31	USVZBNQ	Ross Stores Inc.	153.99
1969-01-31	USVZBNQ	Ross Stores Inc.	156.35
1969-02-28	USVZBNQ	Ross Stores Inc.	150.74
1969-03-31	USVZBNQ	Ross Stores Inc.	150.62
1969-04-30	USVZBNQ	Ross Stores Inc.	149.27
1969-05-31	USVZBNQ	Ross Stores Inc.	153.47
1969-06-30	USVZBNQ	Ross Stores Inc.	156.42
1969-07-31	USVZBNQ	Ross Stores Inc.	155.15
1969-08-31	USVZBNQ	Ross Stores Inc.	151.18
1969-09-30	USVZBNQ	Ross Stores Inc.	155.4
1969-10-31	USVZBNQ	Ross Stores Inc.	153.01
1969-11-30	USVZBNQ	Ross Stores Inc.	153.72
1969-12-31	USVZBNQ	Ross Stores Inc.	156.11
1970-01-31	USVZBNQ	Ross Stores Inc.	151.07
1970-02-28	USVZBNQ	Ross Stores Inc.	156.31
1970-03-31	USVZBNQ	Ross Stores Inc.	156.19
1970-04-30	USVZBNQ	Ross Stores Inc.	155.6
1970-05-31	USVZBNQ	Ross Stores Inc.	155.48
1970-06-30	USVZBNQ	Ross Stores Inc.	163.06
1970-07-31	USVZBNQ	Ross Stores Inc.	160.84
1970-08-31	USVZBNQ	Ross Stores Inc.	161.57
1970-09-30	USVZBNQ	Ross Stores Inc.	162.72
1970-10-31	USVZBNQ	Ross Stores Inc.	155.51
1970-11-30	USVZBNQ	Ross Stores Inc.	158.26
1970-12-31	USVZBNQ	Ross Stores Inc.	164.93
1971-01-31	USVZBNQ	Ross Stores Inc.	166.24
1971-02-28	USVZBNQ	Ross Stores Inc.	164.31
1971-03-31	USVZBNQ	Ross Stores Inc.	161.29
1971-04-30	USVZBNQ	Ross Stores Inc.	159.25
1971-05-31	USVZBNQ	Ross Stores Inc.	162.02
1971-06-30	USVZBNQ	Ross Stores Inc.	161.37
1971-07-31	USVZBNQ	Ross Stores Inc.	157.04
1971-08-31	USVZBNQ	Ross Stores Inc.	158.04
1971-09-30	USVZBNQ	Ross Stores Inc.	162.23
1971-10-31	USVZBNQ	Ross Stores Inc.	160.24
1971-11-30	USVZBNQ	Ross Stores Inc.	160.3
1971-12-31	USVZBNQ	Ross Stores Inc.	160.48
1972-01-31	USVZBNQ	Ross Stores Inc.	161.02
1972-02-29	USVZBNQ	Ross Stores Inc.	159.07
