Date	Company Code	Company Name	Stock Price
1959-01-31	USE9AD3	Saatchi Art	109.55
1959-02-28	USE9AD3	Saatchi Art	110.03
1959-03-31	USE9AD3	Saatchi Art	105.61
1959-04-30	USE9AD3	Saatchi Art	104.19
1959-05-31	USE9AD3	Saatchi Art	109.38
1959-06-30	USE9AD3	Saatchi Art	108.86
1959-07-31	USE9AD3	Saatchi Art	112.03
1959-08-31	USE9AD3	Saatchi Art	109.32
1959-09-30	USE9AD3	Saatchi Art	109.66
1959-10-31	USE9AD3	Saatchi Art	105.56
1959-11-30	USE9AD3	Saatchi Art	103.12
1959-12-31	USE9AD3	Saatchi Art	98.69
1960-01-31	USE9AD3	Saatchi Art	98.64
1960-02-29	USE9AD3	Saatchi Art	91.48
1960-03-31	USE9AD3	Saatchi Art	92.28
1960-04-30	USE9AD3	Saatchi Art	90.12
1960-05-31	USE9AD3	Saatchi Art	93.73
1960-06-30	USE9AD3	Saatchi Art	94.39
1960-07-31	USE9AD3	Saatchi Art	94.33
1960-08-31	USE9AD3	Saatchi Art	98.22
1960-09-30	USE9AD3	Saatchi Art	100.02
1960-10-31	USE9AD3	Saatchi Art	94.15
1960-11-30	USE9AD3	Saatchi Art	91.65
1960-12-31	USE9AD3	Saatchi Art	83.86
1961-01-31	USE9AD3	Saatchi Art	75.64
1961-02-28	USE9AD3	Saatchi Art	77.62
1961-03-31	USE9AD3	Saatchi Art	77.59
1961-04-30	USE9AD3	Saatchi Art	79.1
1961-05-31	USE9AD3	Saatchi Art	82.47
1961-06-30	USE9AD3	Saatchi Art	79.42
1961-07-31	USE9AD3	Saatchi Art	80.53
1961-08-31	USE9AD3	Saatchi Art	78.33
1961-09-30	USE9AD3	Saatchi Art	83.34
1961-10-31	USE9AD3	Saatchi Art	84.93
1961-11-30	USE9AD3	Saatchi Art	83.38
1961-12-31	USE9AD3	Saatchi Art	82.48
1962-01-31	USE9AD3	Saatchi Art	86.21
1962-02-28	USE9AD3	Saatchi Art	83.27
1962-03-31	USE9AD3	Saatchi Art	85.13
1962-04-30	USE9AD3	Saatchi Art	81.64
1962-05-31	USE9AD3	Saatchi Art	85.97
1962-06-30	USE9AD3	Saatchi Art	89.99
1962-07-31	USE9AD3	Saatchi Art	92.66
1962-08-31	USE9AD3	Saatchi Art	91.06
1962-09-30	USE9AD3	Saatchi Art	90.22
1962-10-31	USE9AD3	Saatchi Art	94.31
1962-11-30	USE9AD3	Saatchi Art	93.75
1962-12-31	USE9AD3	Saatchi Art	95.39
1963-01-31	USE9AD3	Saatchi Art	92.66
1963-02-28	USE9AD3	Saatchi Art	97.06
1963-03-31	USE9AD3	Saatchi Art	99.93
1963-04-30	USE9AD3	Saatchi Art	93.49
1963-05-31	USE9AD3	Saatchi Art	93.77
1963-06-30	USE9AD3	Saatchi Art	95.61
1963-07-31	USE9AD3	Saatchi Art	100.96
1963-08-31	USE9AD3	Saatchi Art	101.07
1963-09-30	USE9AD3	Saatchi Art	104.39
1963-10-31	USE9AD3	Saatchi Art	103.98
1963-11-30	USE9AD3	Saatchi Art	104.65
1963-12-31	USE9AD3	Saatchi Art	100.83
1964-01-31	USE9AD3	Saatchi Art	100.37
1964-02-29	USE9AD3	Saatchi Art	96.3
1964-03-31	USE9AD3	Saatchi Art	97.64
1964-04-30	USE9AD3	Saatchi Art	99.13
1964-05-31	USE9AD3	Saatchi Art	101.89
1964-06-30	USE9AD3	Saatchi Art	98.05
1964-07-31	USE9AD3	Saatchi Art	94.76
1964-08-31	USE9AD3	Saatchi Art	93.65
1964-09-30	USE9AD3	Saatchi Art	96.51
1964-10-31	USE9AD3	Saatchi Art	93.91
1964-11-30	USE9AD3	Saatchi Art	94.68
1964-12-31	USE9AD3	Saatchi Art	96.27
1965-01-31	USE9AD3	Saatchi Art	94.59
1965-02-28	USE9AD3	Saatchi Art	92.88
1965-03-31	USE9AD3	Saatchi Art	99.09
1965-04-30	USE9AD3	Saatchi Art	104.9
