Date	Company Code	Company Name	Stock Price
1959-01-31	US3EXL0	Saks Fifth Avenue	110.8
1959-02-28	US3EXL0	Saks Fifth Avenue	111.86
1959-03-31	US3EXL0	Saks Fifth Avenue	114.07
1959-04-30	US3EXL0	Saks Fifth Avenue	107.14
1959-05-31	US3EXL0	Saks Fifth Avenue	103.33
1959-06-30	US3EXL0	Saks Fifth Avenue	101.52
1959-07-31	US3EXL0	Saks Fifth Avenue	100.85
1959-08-31	US3EXL0	Saks Fifth Avenue	103.35
1959-09-30	US3EXL0	Saks Fifth Avenue	99.74
1959-10-31	US3EXL0	Saks Fifth Avenue	96.81
1959-11-30	US3EXL0	Saks Fifth Avenue	103.23
1959-12-31	US3EXL0	Saks Fifth Avenue	98.33
1960-01-31	US3EXL0	Saks Fifth Avenue	103.15
1960-02-29	US3EXL0	Saks Fifth Avenue	105.22
1960-03-31	US3EXL0	Saks Fifth Avenue	108.58
1960-04-30	US3EXL0	Saks Fifth Avenue	104.33
1960-05-31	US3EXL0	Saks Fifth Avenue	97.35
1960-06-30	US3EXL0	Saks Fifth Avenue	98.55
1960-07-31	US3EXL0	Saks Fifth Avenue	94.21
1960-08-31	US3EXL0	Saks Fifth Avenue	96.55
1960-09-30	US3EXL0	Saks Fifth Avenue	90.69
1960-10-31	US3EXL0	Saks Fifth Avenue	83.61
1960-11-30	US3EXL0	Saks Fifth Avenue	83.47
1960-12-31	US3EXL0	Saks Fifth Avenue	81.94
1961-01-31	US3EXL0	Saks Fifth Avenue	80.16
1961-02-28	US3EXL0	Saks Fifth Avenue	77.6
1961-03-31	US3EXL0	Saks Fifth Avenue	77.37
1961-04-30	US3EXL0	Saks Fifth Avenue	74.92
1961-05-31	US3EXL0	Saks Fifth Avenue	78.52
1961-06-30	US3EXL0	Saks Fifth Avenue	82.66
1961-07-31	US3EXL0	Saks Fifth Avenue	79.6
1961-08-31	US3EXL0	Saks Fifth Avenue	85.44
1961-09-30	US3EXL0	Saks Fifth Avenue	84.1
1961-10-31	US3EXL0	Saks Fifth Avenue	83.32
1961-11-30	US3EXL0	Saks Fifth Avenue	87.78
1961-12-31	US3EXL0	Saks Fifth Avenue	90.03
1962-01-31	US3EXL0	Saks Fifth Avenue	98.27
1962-02-28	US3EXL0	Saks Fifth Avenue	97.58
1962-03-31	US3EXL0	Saks Fifth Avenue	105.99
1962-04-30	US3EXL0	Saks Fifth Avenue	106.93
1962-05-31	US3EXL0	Saks Fifth Avenue	101.84
1962-06-30	US3EXL0	Saks Fifth Avenue	98.59
1962-07-31	US3EXL0	Saks Fifth Avenue	103.39
1962-08-31	US3EXL0	Saks Fifth Avenue	103.83
1962-09-30	US3EXL0	Saks Fifth Avenue	103.65
1962-10-31	US3EXL0	Saks Fifth Avenue	104.8
1962-11-30	US3EXL0	Saks Fifth Avenue	106.53
1962-12-31	US3EXL0	Saks Fifth Avenue	102.76
1963-01-31	US3EXL0	Saks Fifth Avenue	111.77
1963-02-28	US3EXL0	Saks Fifth Avenue	113.55
1963-03-31	US3EXL0	Saks Fifth Avenue	113.22
1963-04-30	US3EXL0	Saks Fifth Avenue	105.95
1963-05-31	US3EXL0	Saks Fifth Avenue	101.47
1963-06-30	US3EXL0	Saks Fifth Avenue	100.63
1963-07-31	US3EXL0	Saks Fifth Avenue	97.71
1963-08-31	US3EXL0	Saks Fifth Avenue	97.71
1963-09-30	US3EXL0	Saks Fifth Avenue	96.5
1963-10-31	US3EXL0	Saks Fifth Avenue	105.84
1963-11-30	US3EXL0	Saks Fifth Avenue	105.22
1963-12-31	US3EXL0	Saks Fifth Avenue	102.97
1964-01-31	US3EXL0	Saks Fifth Avenue	101.68
1964-02-29	US3EXL0	Saks Fifth Avenue	101.63
1964-03-31	US3EXL0	Saks Fifth Avenue	100.85
1964-04-30	US3EXL0	Saks Fifth Avenue	106.79
1964-05-31	US3EXL0	Saks Fifth Avenue	107.79
1964-06-30	US3EXL0	Saks Fifth Avenue	111.31
1964-07-31	US3EXL0	Saks Fifth Avenue	102.24
1964-08-31	US3EXL0	Saks Fifth Avenue	96.31
1964-09-30	US3EXL0	Saks Fifth Avenue	93.08
1964-10-31	US3EXL0	Saks Fifth Avenue	95.38
1964-11-30	US3EXL0	Saks Fifth Avenue	98.26
1964-12-31	US3EXL0	Saks Fifth Avenue	100.57
1965-01-31	US3EXL0	Saks Fifth Avenue	97.22
1965-02-28	US3EXL0	Saks Fifth Avenue	97.52
1965-03-31	US3EXL0	Saks Fifth Avenue	99.9
1965-04-30	US3EXL0	Saks Fifth Avenue	90.48
1965-05-31	US3EXL0	Saks Fifth Avenue	92.19
1965-06-30	US3EXL0	Saks Fifth Avenue	82.74
1965-07-31	US3EXL0	Saks Fifth Avenue	83.09
1965-08-31	US3EXL0	Saks Fifth Avenue	79.07
1965-09-30	US3EXL0	Saks Fifth Avenue	70.49
1965-10-31	US3EXL0	Saks Fifth Avenue	71.96
1965-11-30	US3EXL0	Saks Fifth Avenue	75.58
1965-12-31	US3EXL0	Saks Fifth Avenue	75.88
1966-01-31	US3EXL0	Saks Fifth Avenue	79.68
1966-02-28	US3EXL0	Saks Fifth Avenue	84.48
1966-03-31	US3EXL0	Saks Fifth Avenue	83.55
1966-04-30	US3EXL0	Saks Fifth Avenue	87.59
1966-05-31	US3EXL0	Saks Fifth Avenue	85.4
1966-06-30	US3EXL0	Saks Fifth Avenue	82.56
1966-07-31	US3EXL0	Saks Fifth Avenue	89.69
1966-08-31	US3EXL0	Saks Fifth Avenue	97.94
1966-09-30	US3EXL0	Saks Fifth Avenue	102.6
1966-10-31	US3EXL0	Saks Fifth Avenue	101.06
1966-11-30	US3EXL0	Saks Fifth Avenue	104.55
1966-12-31	US3EXL0	Saks Fifth Avenue	106.25
1967-01-31	US3EXL0	Saks Fifth Avenue	100.51
1967-02-28	US3EXL0	Saks Fifth Avenue	98.56
1967-03-31	US3EXL0	Saks Fifth Avenue	99.83
1967-04-30	US3EXL0	Saks Fifth Avenue	99.61
1967-05-31	US3EXL0	Saks Fifth Avenue	97.73
1967-06-30	US3EXL0	Saks Fifth Avenue	101.51
1967-07-31	US3EXL0	Saks Fifth Avenue	96.25
1967-08-31	US3EXL0	Saks Fifth Avenue	97.24
1967-09-30	US3EXL0	Saks Fifth Avenue	94.61
1967-10-31	US3EXL0	Saks Fifth Avenue	97.03
1967-11-30	US3EXL0	Saks Fifth Avenue	93.4
1967-12-31	US3EXL0	Saks Fifth Avenue	95.78
1968-01-31	US3EXL0	Saks Fifth Avenue	88.27
1968-02-29	US3EXL0	Saks Fifth Avenue	89.23
1968-03-31	US3EXL0	Saks Fifth Avenue	87.34
1968-04-30	US3EXL0	Saks Fifth Avenue	90.23
1968-05-31	US3EXL0	Saks Fifth Avenue	89.37
1968-06-30	US3EXL0	Saks Fifth Avenue	95.82
1968-07-31	US3EXL0	Saks Fifth Avenue	89.02
1968-08-31	US3EXL0	Saks Fifth Avenue	80.69
1968-09-30	US3EXL0	Saks Fifth Avenue	80.39
1968-10-31	US3EXL0	Saks Fifth Avenue	80.24
1968-11-30	US3EXL0	Saks Fifth Avenue	79.91
1968-12-31	US3EXL0	Saks Fifth Avenue	75.25
1969-01-31	US3EXL0	Saks Fifth Avenue	74.7
1969-02-28	US3EXL0	Saks Fifth Avenue	70.96
1969-03-31	US3EXL0	Saks Fifth Avenue	68.08
1969-04-30	US3EXL0	Saks Fifth Avenue	69.55
1969-05-31	US3EXL0	Saks Fifth Avenue	72.88
1969-06-30	US3EXL0	Saks Fifth Avenue	69.81
1969-07-31	US3EXL0	Saks Fifth Avenue	68.77
1969-08-31	US3EXL0	Saks Fifth Avenue	67.71
1969-09-30	US3EXL0	Saks Fifth Avenue	64.72
1969-10-31	US3EXL0	Saks Fifth Avenue	65.85
1969-11-30	US3EXL0	Saks Fifth Avenue	62.64807109766558
1969-12-31	US3EXL0	Saks Fifth Avenue	66.64
1970-01-31	US3EXL0	Saks Fifth Avenue	60.27
1970-02-28	US3EXL0	Saks Fifth Avenue	62.84
1970-03-31	US3EXL0	Saks Fifth Avenue	66.33
1970-04-30	US3EXL0	Saks Fifth Avenue	68.02
1970-05-31	US3EXL0	Saks Fifth Avenue	64.03
1970-06-30	US3EXL0	Saks Fifth Avenue	63.22
1970-07-31	US3EXL0	Saks Fifth Avenue	69.36
1970-08-31	US3EXL0	Saks Fifth Avenue	70.1
1970-09-30	US3EXL0	Saks Fifth Avenue	63.52
1970-10-31	US3EXL0	Saks Fifth Avenue	64.53
1970-11-30	US3EXL0	Saks Fifth Avenue	66.74
1970-12-31	US3EXL0	Saks Fifth Avenue	69.73
1971-01-31	US3EXL0	Saks Fifth Avenue	64.88
1971-02-28	US3EXL0	Saks Fifth Avenue	67.83
1971-03-31	US3EXL0	Saks Fifth Avenue	72.98
