Date	Company Code	Company Name	Stock Price
1959-01-31	USXJXTF	Salesforce.com Inc.	114.24
1959-02-28	USXJXTF	Salesforce.com Inc.	116.29
1959-03-31	USXJXTF	Salesforce.com Inc.	118.54
1959-04-30	USXJXTF	Salesforce.com Inc.	125.85
1959-05-31	USXJXTF	Salesforce.com Inc.	128.25
1959-06-30	USXJXTF	Salesforce.com Inc.	134.27
1959-07-31	USXJXTF	Salesforce.com Inc.	137.4
1959-08-31	USXJXTF	Salesforce.com Inc.	138.75
1959-09-30	USXJXTF	Salesforce.com Inc.	129.66
1959-10-31	USXJXTF	Salesforce.com Inc.	128.98
1959-11-30	USXJXTF	Salesforce.com Inc.	132.72
1959-12-31	USXJXTF	Salesforce.com Inc.	135.71
1960-01-31	USXJXTF	Salesforce.com Inc.	126.95
1960-02-29	USXJXTF	Salesforce.com Inc.	126.66
1960-03-31	USXJXTF	Salesforce.com Inc.	120.88
1960-04-30	USXJXTF	Salesforce.com Inc.	112.75
1960-05-31	USXJXTF	Salesforce.com Inc.	110.41
1960-06-30	USXJXTF	Salesforce.com Inc.	109.75
1960-07-31	USXJXTF	Salesforce.com Inc.	113.46
1960-08-31	USXJXTF	Salesforce.com Inc.	115.0
1960-09-30	USXJXTF	Salesforce.com Inc.	122.86
1960-10-31	USXJXTF	Salesforce.com Inc.	124.34
1960-11-30	USXJXTF	Salesforce.com Inc.	123.64
1960-12-31	USXJXTF	Salesforce.com Inc.	115.46
1961-01-31	USXJXTF	Salesforce.com Inc.	115.81
1961-02-28	USXJXTF	Salesforce.com Inc.	120.5
1961-03-31	USXJXTF	Salesforce.com Inc.	114.66
1961-04-30	USXJXTF	Salesforce.com Inc.	117.1
1961-05-31	USXJXTF	Salesforce.com Inc.	113.78
1961-06-30	USXJXTF	Salesforce.com Inc.	115.4
1961-07-31	USXJXTF	Salesforce.com Inc.	122.85
1961-08-31	USXJXTF	Salesforce.com Inc.	120.48
1961-09-30	USXJXTF	Salesforce.com Inc.	118.45
1961-10-31	USXJXTF	Salesforce.com Inc.	119.04
1961-11-30	USXJXTF	Salesforce.com Inc.	118.7
1961-12-31	USXJXTF	Salesforce.com Inc.	119.01
1962-01-31	USXJXTF	Salesforce.com Inc.	117.42
1962-02-28	USXJXTF	Salesforce.com Inc.	112.93
1962-03-31	USXJXTF	Salesforce.com Inc.	112.03
