Date	Company Code	Company Name	Stock Price
1959-01-31	USOEZGK	Schneider Electric SE	100.56
1959-02-28	USOEZGK	Schneider Electric SE	99.84
1959-03-31	USOEZGK	Schneider Electric SE	96.7
1959-04-30	USOEZGK	Schneider Electric SE	96.41
1959-05-31	USOEZGK	Schneider Electric SE	99.03
1959-06-30	USOEZGK	Schneider Electric SE	100.41
1959-07-31	USOEZGK	Schneider Electric SE	102.41
1959-08-31	USOEZGK	Schneider Electric SE	100.25
1959-09-30	USOEZGK	Schneider Electric SE	105.49
1959-10-31	USOEZGK	Schneider Electric SE	106.54
1959-11-30	USOEZGK	Schneider Electric SE	106.65
1959-12-31	USOEZGK	Schneider Electric SE	112.56
1960-01-31	USOEZGK	Schneider Electric SE	110.71
1960-02-29	USOEZGK	Schneider Electric SE	111.47
1960-03-31	USOEZGK	Schneider Electric SE	115.83
1960-04-30	USOEZGK	Schneider Electric SE	115.52
1960-05-31	USOEZGK	Schneider Electric SE	110.2
1960-06-30	USOEZGK	Schneider Electric SE	110.91
1960-07-31	USOEZGK	Schneider Electric SE	101.55
1960-08-31	USOEZGK	Schneider Electric SE	103.0
1960-09-30	USOEZGK	Schneider Electric SE	103.24
1960-10-31	USOEZGK	Schneider Electric SE	105.95
1960-11-30	USOEZGK	Schneider Electric SE	105.62
1960-12-31	USOEZGK	Schneider Electric SE	107.15
1961-01-31	USOEZGK	Schneider Electric SE	103.23
1961-02-28	USOEZGK	Schneider Electric SE	108.47
1961-03-31	USOEZGK	Schneider Electric SE	107.31
1961-04-30	USOEZGK	Schneider Electric SE	101.24
1961-05-31	USOEZGK	Schneider Electric SE	93.84
1961-06-30	USOEZGK	Schneider Electric SE	88.93
1961-07-31	USOEZGK	Schneider Electric SE	89.75
1961-08-31	USOEZGK	Schneider Electric SE	87.92
1961-09-30	USOEZGK	Schneider Electric SE	90.08
1961-10-31	USOEZGK	Schneider Electric SE	92.57
1961-11-30	USOEZGK	Schneider Electric SE	91.53
1961-12-31	USOEZGK	Schneider Electric SE	94.13
1962-01-31	USOEZGK	Schneider Electric SE	95.42
1962-02-28	USOEZGK	Schneider Electric SE	89.51
1962-03-31	USOEZGK	Schneider Electric SE	92.75
1962-04-30	USOEZGK	Schneider Electric SE	97.1
1962-05-31	USOEZGK	Schneider Electric SE	97.68
1962-06-30	USOEZGK	Schneider Electric SE	96.89
1962-07-31	USOEZGK	Schneider Electric SE	99.46
1962-08-31	USOEZGK	Schneider Electric SE	102.86
1962-09-30	USOEZGK	Schneider Electric SE	107.09
1962-10-31	USOEZGK	Schneider Electric SE	105.71
1962-11-30	USOEZGK	Schneider Electric SE	107.95
1962-12-31	USOEZGK	Schneider Electric SE	109.83
1963-01-31	USOEZGK	Schneider Electric SE	105.73
1963-02-28	USOEZGK	Schneider Electric SE	107.43
1963-03-31	USOEZGK	Schneider Electric SE	106.98
1963-04-30	USOEZGK	Schneider Electric SE	105.64
1963-05-31	USOEZGK	Schneider Electric SE	108.05
1963-06-30	USOEZGK	Schneider Electric SE	114.44
1963-07-31	USOEZGK	Schneider Electric SE	110.52
1963-08-31	USOEZGK	Schneider Electric SE	116.2
1963-09-30	USOEZGK	Schneider Electric SE	124.14
1963-10-31	USOEZGK	Schneider Electric SE	121.47
1963-11-30	USOEZGK	Schneider Electric SE	119.79
1963-12-31	USOEZGK	Schneider Electric SE	121.17
1964-01-31	USOEZGK	Schneider Electric SE	123.92
1964-02-29	USOEZGK	Schneider Electric SE	121.97
1964-03-31	USOEZGK	Schneider Electric SE	119.63
1964-04-30	USOEZGK	Schneider Electric SE	120.38
1964-05-31	USOEZGK	Schneider Electric SE	120.7
1964-06-30	USOEZGK	Schneider Electric SE	122.53
1964-07-31	USOEZGK	Schneider Electric SE	125.34
1964-08-31	USOEZGK	Schneider Electric SE	124.93
1964-09-30	USOEZGK	Schneider Electric SE	122.3
