Date	Company Code	Company Name	Stock Price
1959-01-31	USFB96X	Sears Holdings Corp.	99.26
1959-02-28	USFB96X	Sears Holdings Corp.	99.12
1959-03-31	USFB96X	Sears Holdings Corp.	95.42
1959-04-30	USFB96X	Sears Holdings Corp.	99.37
1959-05-31	USFB96X	Sears Holdings Corp.	102.64
1959-06-30	USFB96X	Sears Holdings Corp.	97.07
1959-07-31	USFB96X	Sears Holdings Corp.	102.28
1959-08-31	USFB96X	Sears Holdings Corp.	103.85
1959-09-30	USFB96X	Sears Holdings Corp.	95.24
1959-10-31	USFB96X	Sears Holdings Corp.	101.2
1959-11-30	USFB96X	Sears Holdings Corp.	101.36
1959-12-31	USFB96X	Sears Holdings Corp.	99.57
1960-01-31	USFB96X	Sears Holdings Corp.	94.41
1960-02-29	USFB96X	Sears Holdings Corp.	94.64
1960-03-31	USFB96X	Sears Holdings Corp.	93.43
1960-04-30	USFB96X	Sears Holdings Corp.	87.24
1960-05-31	USFB96X	Sears Holdings Corp.	81.9
1960-06-30	USFB96X	Sears Holdings Corp.	86.61
1960-07-31	USFB96X	Sears Holdings Corp.	90.14
1960-08-31	USFB96X	Sears Holdings Corp.	88.8
1960-09-30	USFB96X	Sears Holdings Corp.	88.76
1960-10-31	USFB96X	Sears Holdings Corp.	88.48
1960-11-30	USFB96X	Sears Holdings Corp.	94.39
1960-12-31	USFB96X	Sears Holdings Corp.	95.97
1961-01-31	USFB96X	Sears Holdings Corp.	98.83
1961-02-28	USFB96X	Sears Holdings Corp.	94.76
1961-03-31	USFB96X	Sears Holdings Corp.	99.86
1961-04-30	USFB96X	Sears Holdings Corp.	105.29
1961-05-31	USFB96X	Sears Holdings Corp.	104.76
1961-06-30	USFB96X	Sears Holdings Corp.	103.08
1961-07-31	USFB96X	Sears Holdings Corp.	101.33
1961-08-31	USFB96X	Sears Holdings Corp.	106.54
1961-09-30	USFB96X	Sears Holdings Corp.	102.99
1961-10-31	USFB96X	Sears Holdings Corp.	104.91
1961-11-30	USFB96X	Sears Holdings Corp.	98.15
1961-12-31	USFB96X	Sears Holdings Corp.	98.67
1962-01-31	USFB96X	Sears Holdings Corp.	98.31
1962-02-28	USFB96X	Sears Holdings Corp.	103.64
1962-03-31	USFB96X	Sears Holdings Corp.	104.34
1962-04-30	USFB96X	Sears Holdings Corp.	101.67
1962-05-31	USFB96X	Sears Holdings Corp.	99.96
1962-06-30	USFB96X	Sears Holdings Corp.	105.37
1962-07-31	USFB96X	Sears Holdings Corp.	110.57
1962-08-31	USFB96X	Sears Holdings Corp.	104.16
1962-09-30	USFB96X	Sears Holdings Corp.	111.78
1962-10-31	USFB96X	Sears Holdings Corp.	111.79
1962-11-30	USFB96X	Sears Holdings Corp.	118.5
1962-12-31	USFB96X	Sears Holdings Corp.	113.66
1963-01-31	USFB96X	Sears Holdings Corp.	113.88
1963-02-28	USFB96X	Sears Holdings Corp.	117.49
1963-03-31	USFB96X	Sears Holdings Corp.	117.43
1963-04-30	USFB96X	Sears Holdings Corp.	115.68
1963-05-31	USFB96X	Sears Holdings Corp.	114.18
1963-06-30	USFB96X	Sears Holdings Corp.	110.62
1963-07-31	USFB96X	Sears Holdings Corp.	104.53
1963-08-31	USFB96X	Sears Holdings Corp.	103.87
1963-09-30	USFB96X	Sears Holdings Corp.	104.56
1963-10-31	USFB96X	Sears Holdings Corp.	100.77
1963-11-30	USFB96X	Sears Holdings Corp.	100.25
1963-12-31	USFB96X	Sears Holdings Corp.	102.58
