Date	Company Code	Company Name	Stock Price
1959-01-31	US12DD4	Shopify Inc.	86.27
1959-02-28	US12DD4	Shopify Inc.	85.55
1959-03-31	US12DD4	Shopify Inc.	87.54
1959-04-30	US12DD4	Shopify Inc.	80.14
1959-05-31	US12DD4	Shopify Inc.	75.58
1959-06-30	US12DD4	Shopify Inc.	73.57
1959-07-31	US12DD4	Shopify Inc.	76.66
1959-08-31	US12DD4	Shopify Inc.	76.43
1959-09-30	US12DD4	Shopify Inc.	80.37
1959-10-31	US12DD4	Shopify Inc.	82.08
1959-11-30	US12DD4	Shopify Inc.	81.53
1959-12-31	US12DD4	Shopify Inc.	83.93
1960-01-31	US12DD4	Shopify Inc.	80.36
1960-02-29	US12DD4	Shopify Inc.	81.57
1960-03-31	US12DD4	Shopify Inc.	86.43
1960-04-30	US12DD4	Shopify Inc.	93.37
1960-05-31	US12DD4	Shopify Inc.	86.75
1960-06-30	US12DD4	Shopify Inc.	81.44
1960-07-31	US12DD4	Shopify Inc.	80.1
1960-08-31	US12DD4	Shopify Inc.	81.3
1960-09-30	US12DD4	Shopify Inc.	78.33
1960-10-31	US12DD4	Shopify Inc.	76.51
1960-11-30	US12DD4	Shopify Inc.	79.01
1960-12-31	US12DD4	Shopify Inc.	79.24
1961-01-31	US12DD4	Shopify Inc.	84.76
1961-02-28	US12DD4	Shopify Inc.	85.2
1961-03-31	US12DD4	Shopify Inc.	87.83
1961-04-30	US12DD4	Shopify Inc.	81.76
1961-05-31	US12DD4	Shopify Inc.	84.52
1961-06-30	US12DD4	Shopify Inc.	86.36
1961-07-31	US12DD4	Shopify Inc.	92.02
1961-08-31	US12DD4	Shopify Inc.	90.65
1961-09-30	US12DD4	Shopify Inc.	98.6
1961-10-31	US12DD4	Shopify Inc.	105.31
1961-11-30	US12DD4	Shopify Inc.	110.81
1961-12-31	US12DD4	Shopify Inc.	110.51
1962-01-31	US12DD4	Shopify Inc.	107.36
1962-02-28	US12DD4	Shopify Inc.	108.97
1962-03-31	US12DD4	Shopify Inc.	117.84
1962-04-30	US12DD4	Shopify Inc.	124.65
1962-05-31	US12DD4	Shopify Inc.	125.91
1962-06-30	US12DD4	Shopify Inc.	122.51
1962-07-31	US12DD4	Shopify Inc.	127.79
1962-08-31	US12DD4	Shopify Inc.	124.46
1962-09-30	US12DD4	Shopify Inc.	123.59
1962-10-31	US12DD4	Shopify Inc.	129.13
1962-11-30	US12DD4	Shopify Inc.	130.11
1962-12-31	US12DD4	Shopify Inc.	129.65
