Date	Company Code	Company Name	Stock Price
1959-01-31	USPAA2H	Siemens AG	96.25
1959-02-28	USPAA2H	Siemens AG	99.85
1959-03-31	USPAA2H	Siemens AG	104.83
1959-04-30	USPAA2H	Siemens AG	105.54
1959-05-31	USPAA2H	Siemens AG	101.19
1959-06-30	USPAA2H	Siemens AG	104.18
1959-07-31	USPAA2H	Siemens AG	100.92
1959-08-31	USPAA2H	Siemens AG	96.78
1959-09-30	USPAA2H	Siemens AG	95.66
1959-10-31	USPAA2H	Siemens AG	97.99
1959-11-30	USPAA2H	Siemens AG	96.73
1959-12-31	USPAA2H	Siemens AG	100.91
1960-01-31	USPAA2H	Siemens AG	93.88
1960-02-29	USPAA2H	Siemens AG	84.67
1960-03-31	USPAA2H	Siemens AG	81.86
1960-04-30	USPAA2H	Siemens AG	82.3
1960-05-31	USPAA2H	Siemens AG	86.27
1960-06-30	USPAA2H	Siemens AG	87.29
1960-07-31	USPAA2H	Siemens AG	85.4
1960-08-31	USPAA2H	Siemens AG	86.21
1960-09-30	USPAA2H	Siemens AG	86.18
1960-10-31	USPAA2H	Siemens AG	88.39
1960-11-30	USPAA2H	Siemens AG	83.19
1960-12-31	USPAA2H	Siemens AG	84.05
1961-01-31	USPAA2H	Siemens AG	85.11
1961-02-28	USPAA2H	Siemens AG	77.94
1961-03-31	USPAA2H	Siemens AG	76.04
1961-04-30	USPAA2H	Siemens AG	76.89
1961-05-31	USPAA2H	Siemens AG	76.7
1961-06-30	USPAA2H	Siemens AG	83.11
1961-07-31	USPAA2H	Siemens AG	85.85
1961-08-31	USPAA2H	Siemens AG	85.83
1961-09-30	USPAA2H	Siemens AG	88.24
1961-10-31	USPAA2H	Siemens AG	88.4
1961-11-30	USPAA2H	Siemens AG	86.1
1961-12-31	USPAA2H	Siemens AG	81.06
1962-01-31	USPAA2H	Siemens AG	84.5
1962-02-28	USPAA2H	Siemens AG	83.98
1962-03-31	USPAA2H	Siemens AG	81.23
1962-04-30	USPAA2H	Siemens AG	82.46
1962-05-31	USPAA2H	Siemens AG	75.16
1962-06-30	USPAA2H	Siemens AG	81.54
1962-07-31	USPAA2H	Siemens AG	83.17
1962-08-31	USPAA2H	Siemens AG	83.67
1962-09-30	USPAA2H	Siemens AG	76.98
1962-10-31	USPAA2H	Siemens AG	76.3
1962-11-30	USPAA2H	Siemens AG	80.63
1962-12-31	USPAA2H	Siemens AG	88.15
1963-01-31	USPAA2H	Siemens AG	91.1
1963-02-28	USPAA2H	Siemens AG	90.31
1963-03-31	USPAA2H	Siemens AG	92.1
1963-04-30	USPAA2H	Siemens AG	95.52
1963-05-31	USPAA2H	Siemens AG	98.09
1963-06-30	USPAA2H	Siemens AG	97.0
1963-07-31	USPAA2H	Siemens AG	98.39
1963-08-31	USPAA2H	Siemens AG	95.72
1963-09-30	USPAA2H	Siemens AG	96.19
1963-10-31	USPAA2H	Siemens AG	100.23
1963-11-30	USPAA2H	Siemens AG	95.2
1963-12-31	USPAA2H	Siemens AG	104.17
1964-01-31	USPAA2H	Siemens AG	108.75
1964-02-29	USPAA2H	Siemens AG	112.51
1964-03-31	USPAA2H	Siemens AG	105.32
1964-04-30	USPAA2H	Siemens AG	110.55
1964-05-31	USPAA2H	Siemens AG	111.05
1964-06-30	USPAA2H	Siemens AG	113.03
1964-07-31	USPAA2H	Siemens AG	113.47
1964-08-31	USPAA2H	Siemens AG	111.5
1964-09-30	USPAA2H	Siemens AG	110.95
1964-10-31	USPAA2H	Siemens AG	104.11
1964-11-30	USPAA2H	Siemens AG	100.33
1964-12-31	USPAA2H	Siemens AG	104.38
1965-01-31	USPAA2H	Siemens AG	110.15
1965-02-28	USPAA2H	Siemens AG	109.55
