Date	Company Code	Company Name	Stock Price
1959-01-31	USKISLG	Skechers USA Inc.	116.22
1959-02-28	USKISLG	Skechers USA Inc.	117.17
1959-03-31	USKISLG	Skechers USA Inc.	108.25
1959-04-30	USKISLG	Skechers USA Inc.	110.69
1959-05-31	USKISLG	Skechers USA Inc.	118.08
1959-06-30	USKISLG	Skechers USA Inc.	121.54
1959-07-31	USKISLG	Skechers USA Inc.	116.66
1959-08-31	USKISLG	Skechers USA Inc.	113.36
1959-09-30	USKISLG	Skechers USA Inc.	109.68
1959-10-31	USKISLG	Skechers USA Inc.	102.64
1959-11-30	USKISLG	Skechers USA Inc.	101.89
1959-12-31	USKISLG	Skechers USA Inc.	95.78
1960-01-31	USKISLG	Skechers USA Inc.	89.9
1960-02-29	USKISLG	Skechers USA Inc.	84.27
1960-03-31	USKISLG	Skechers USA Inc.	80.85
1960-04-30	USKISLG	Skechers USA Inc.	81.73
1960-05-31	USKISLG	Skechers USA Inc.	79.46
1960-06-30	USKISLG	Skechers USA Inc.	77.28
1960-07-31	USKISLG	Skechers USA Inc.	72.71
1960-08-31	USKISLG	Skechers USA Inc.	74.74
1960-09-30	USKISLG	Skechers USA Inc.	78.08
1960-10-31	USKISLG	Skechers USA Inc.	78.89
1960-11-30	USKISLG	Skechers USA Inc.	78.43
1960-12-31	USKISLG	Skechers USA Inc.	73.57
1961-01-31	USKISLG	Skechers USA Inc.	72.26
1961-02-28	USKISLG	Skechers USA Inc.	69.53
1961-03-31	USKISLG	Skechers USA Inc.	71.71
1961-04-30	USKISLG	Skechers USA Inc.	71.37
1961-05-31	USKISLG	Skechers USA Inc.	77.14
1961-06-30	USKISLG	Skechers USA Inc.	79.14
1961-07-31	USKISLG	Skechers USA Inc.	80.71
1961-08-31	USKISLG	Skechers USA Inc.	82.61
1961-09-30	USKISLG	Skechers USA Inc.	88.11
1961-10-31	USKISLG	Skechers USA Inc.	84.99
1961-11-30	USKISLG	Skechers USA Inc.	81.58
1961-12-31	USKISLG	Skechers USA Inc.	76.07
1962-01-31	USKISLG	Skechers USA Inc.	77.16
1962-02-28	USKISLG	Skechers USA Inc.	77.71
1962-03-31	USKISLG	Skechers USA Inc.	79.92
1962-04-30	USKISLG	Skechers USA Inc.	71.61
1962-05-31	USKISLG	Skechers USA Inc.	68.0
1962-06-30	USKISLG	Skechers USA Inc.	69.63
1962-07-31	USKISLG	Skechers USA Inc.	70.13
1962-08-31	USKISLG	Skechers USA Inc.	66.68
1962-09-30	USKISLG	Skechers USA Inc.	63.98
1962-10-31	USKISLG	Skechers USA Inc.	61.97991874116981
1962-11-30	USKISLG	Skechers USA Inc.	61.14
1962-12-31	USKISLG	Skechers USA Inc.	60.01
1963-01-31	USKISLG	Skechers USA Inc.	62.681064454448986
1963-02-28	USKISLG	Skechers USA Inc.	64.23
1963-03-31	USKISLG	Skechers USA Inc.	62.32
1963-04-30	USKISLG	Skechers USA Inc.	64.24
1963-05-31	USKISLG	Skechers USA Inc.	64.43
1963-06-30	USKISLG	Skechers USA Inc.	62.24
1963-07-31	USKISLG	Skechers USA Inc.	68.8
1963-08-31	USKISLG	Skechers USA Inc.	71.4
1963-09-30	USKISLG	Skechers USA Inc.	70.66
1963-10-31	USKISLG	Skechers USA Inc.	74.25
1963-11-30	USKISLG	Skechers USA Inc.	74.5
1963-12-31	USKISLG	Skechers USA Inc.	77.88
1964-01-31	USKISLG	Skechers USA Inc.	75.26
1964-02-29	USKISLG	Skechers USA Inc.	73.9
1964-03-31	USKISLG	Skechers USA Inc.	78.28
1964-04-30	USKISLG	Skechers USA Inc.	73.89
1964-05-31	USKISLG	Skechers USA Inc.	75.27
1964-06-30	USKISLG	Skechers USA Inc.	76.22
1964-07-31	USKISLG	Skechers USA Inc.	70.08
1964-08-31	USKISLG	Skechers USA Inc.	74.66
1964-09-30	USKISLG	Skechers USA Inc.	74.62
1964-10-31	USKISLG	Skechers USA Inc.	79.4
1964-11-30	USKISLG	Skechers USA Inc.	88.23
1964-12-31	USKISLG	Skechers USA Inc.	94.89
1965-01-31	USKISLG	Skechers USA Inc.	95.77
1965-02-28	USKISLG	Skechers USA Inc.	90.96
1965-03-31	USKISLG	Skechers USA Inc.	86.58
1965-04-30	USKISLG	Skechers USA Inc.	83.53
1965-05-31	USKISLG	Skechers USA Inc.	82.15
1965-06-30	USKISLG	Skechers USA Inc.	86.71
1965-07-31	USKISLG	Skechers USA Inc.	85.52
1965-08-31	USKISLG	Skechers USA Inc.	91.49
1965-09-30	USKISLG	Skechers USA Inc.	96.24
1965-10-31	USKISLG	Skechers USA Inc.	100.52
1965-11-30	USKISLG	Skechers USA Inc.	96.02
1965-12-31	USKISLG	Skechers USA Inc.	99.14
1966-01-31	USKISLG	Skechers USA Inc.	101.56
1966-02-28	USKISLG	Skechers USA Inc.	105.78
1966-03-31	USKISLG	Skechers USA Inc.	111.55
1966-04-30	USKISLG	Skechers USA Inc.	108.65
