Date	Company Code	Company Name	Stock Price
1959-01-31	US1TVCE	Slack Technologies	117.11
1959-02-28	US1TVCE	Slack Technologies	123.13
1959-03-31	US1TVCE	Slack Technologies	124.47
1959-04-30	US1TVCE	Slack Technologies	128.46
1959-05-31	US1TVCE	Slack Technologies	130.78
1959-06-30	US1TVCE	Slack Technologies	126.19
1959-07-31	US1TVCE	Slack Technologies	123.0
1959-08-31	US1TVCE	Slack Technologies	124.6
1959-09-30	US1TVCE	Slack Technologies	123.93
1959-10-31	US1TVCE	Slack Technologies	118.61
1959-11-30	US1TVCE	Slack Technologies	120.05
1959-12-31	US1TVCE	Slack Technologies	114.71
1960-01-31	US1TVCE	Slack Technologies	112.82
1960-02-29	US1TVCE	Slack Technologies	108.9
1960-03-31	US1TVCE	Slack Technologies	111.18
1960-04-30	US1TVCE	Slack Technologies	115.7
1960-05-31	US1TVCE	Slack Technologies	119.11
1960-06-30	US1TVCE	Slack Technologies	120.73
1960-07-31	US1TVCE	Slack Technologies	116.07
1960-08-31	US1TVCE	Slack Technologies	113.72
1960-09-30	US1TVCE	Slack Technologies	118.19
1960-10-31	US1TVCE	Slack Technologies	121.18
1960-11-30	US1TVCE	Slack Technologies	117.56
1960-12-31	US1TVCE	Slack Technologies	117.83
1961-01-31	US1TVCE	Slack Technologies	122.09
1961-02-28	US1TVCE	Slack Technologies	124.73
1961-03-31	US1TVCE	Slack Technologies	133.55
1961-04-30	US1TVCE	Slack Technologies	132.74
1961-05-31	US1TVCE	Slack Technologies	132.47
1961-06-30	US1TVCE	Slack Technologies	135.78
1961-07-31	US1TVCE	Slack Technologies	132.61
1961-08-31	US1TVCE	Slack Technologies	128.22
1961-09-30	US1TVCE	Slack Technologies	124.55
1961-10-31	US1TVCE	Slack Technologies	124.63
1961-11-30	US1TVCE	Slack Technologies	119.37
1961-12-31	US1TVCE	Slack Technologies	119.6
1962-01-31	US1TVCE	Slack Technologies	115.84
1962-02-28	US1TVCE	Slack Technologies	116.5
1962-03-31	US1TVCE	Slack Technologies	119.85
1962-04-30	US1TVCE	Slack Technologies	120.06
1962-05-31	US1TVCE	Slack Technologies	114.84
1962-06-30	US1TVCE	Slack Technologies	109.73
1962-07-31	US1TVCE	Slack Technologies	109.41
1962-08-31	US1TVCE	Slack Technologies	108.8
1962-09-30	US1TVCE	Slack Technologies	107.51
1962-10-31	US1TVCE	Slack Technologies	108.05
1962-11-30	US1TVCE	Slack Technologies	112.64
1962-12-31	US1TVCE	Slack Technologies	119.57
1963-01-31	US1TVCE	Slack Technologies	119.86
1963-02-28	US1TVCE	Slack Technologies	128.41
1963-03-31	US1TVCE	Slack Technologies	133.54
1963-04-30	US1TVCE	Slack Technologies	129.35
1963-05-31	US1TVCE	Slack Technologies	129.48
1963-06-30	US1TVCE	Slack Technologies	130.61
1963-07-31	US1TVCE	Slack Technologies	134.22
1963-08-31	US1TVCE	Slack Technologies	130.12
1963-09-30	US1TVCE	Slack Technologies	128.23
1963-10-31	US1TVCE	Slack Technologies	133.2
1963-11-30	US1TVCE	Slack Technologies	143.03
1963-12-31	US1TVCE	Slack Technologies	140.67
1964-01-31	US1TVCE	Slack Technologies	143.52
1964-02-29	US1TVCE	Slack Technologies	141.13
1964-03-31	US1TVCE	Slack Technologies	148.86
1964-04-30	US1TVCE	Slack Technologies	149.15
1964-05-31	US1TVCE	Slack Technologies	153.41
1964-06-30	US1TVCE	Slack Technologies	156.79
1964-07-31	US1TVCE	Slack Technologies	157.1
1964-08-31	US1TVCE	Slack Technologies	148.59
1964-09-30	US1TVCE	Slack Technologies	145.28
1964-10-31	US1TVCE	Slack Technologies	142.08
1964-11-30	US1TVCE	Slack Technologies	143.12
