Date	Company Code	Company Name	Stock Price
1959-01-31	US54UKF	Snap Inc.	123.05
1959-02-28	US54UKF	Snap Inc.	121.02
1959-03-31	US54UKF	Snap Inc.	119.13
1959-04-30	US54UKF	Snap Inc.	119.87
1959-05-31	US54UKF	Snap Inc.	124.25
1959-06-30	US54UKF	Snap Inc.	119.84
1959-07-31	US54UKF	Snap Inc.	121.18
1959-08-31	US54UKF	Snap Inc.	118.15
1959-09-30	US54UKF	Snap Inc.	113.89
1959-10-31	US54UKF	Snap Inc.	108.63
1959-11-30	US54UKF	Snap Inc.	102.15
1959-12-31	US54UKF	Snap Inc.	103.38
1960-01-31	US54UKF	Snap Inc.	105.42
1960-02-29	US54UKF	Snap Inc.	111.46
1960-03-31	US54UKF	Snap Inc.	111.99
1960-04-30	US54UKF	Snap Inc.	110.6
1960-05-31	US54UKF	Snap Inc.	108.11
1960-06-30	US54UKF	Snap Inc.	105.29
1960-07-31	US54UKF	Snap Inc.	105.68
1960-08-31	US54UKF	Snap Inc.	98.26
1960-09-30	US54UKF	Snap Inc.	96.54
1960-10-31	US54UKF	Snap Inc.	91.64
1960-11-30	US54UKF	Snap Inc.	88.8
1960-12-31	US54UKF	Snap Inc.	93.73
1961-01-31	US54UKF	Snap Inc.	91.57
1961-02-28	US54UKF	Snap Inc.	86.72
1961-03-31	US54UKF	Snap Inc.	82.42
1961-04-30	US54UKF	Snap Inc.	82.32
1961-05-31	US54UKF	Snap Inc.	80.95
1961-06-30	US54UKF	Snap Inc.	84.07
1961-07-31	US54UKF	Snap Inc.	77.07
1961-08-31	US54UKF	Snap Inc.	73.51
1961-09-30	US54UKF	Snap Inc.	75.45
1961-10-31	US54UKF	Snap Inc.	71.9
1961-11-30	US54UKF	Snap Inc.	77.43
1961-12-31	US54UKF	Snap Inc.	71.5
1962-01-31	US54UKF	Snap Inc.	68.52
1962-02-28	US54UKF	Snap Inc.	71.05
1962-03-31	US54UKF	Snap Inc.	74.94
