Date	Company Code	Company Name	Stock Price
1959-01-31	USDPA4L	Sotheby’s	105.39
1959-02-28	USDPA4L	Sotheby’s	107.93
1959-03-31	USDPA4L	Sotheby’s	105.29
1959-04-30	USDPA4L	Sotheby’s	102.02
1959-05-31	USDPA4L	Sotheby’s	97.54
1959-06-30	USDPA4L	Sotheby’s	98.55
1959-07-31	USDPA4L	Sotheby’s	101.39
1959-08-31	USDPA4L	Sotheby’s	99.22
1959-09-30	USDPA4L	Sotheby’s	98.96
1959-10-31	USDPA4L	Sotheby’s	106.03
1959-11-30	USDPA4L	Sotheby’s	109.74
1959-12-31	USDPA4L	Sotheby’s	103.81
1960-01-31	USDPA4L	Sotheby’s	100.22
1960-02-29	USDPA4L	Sotheby’s	99.18
1960-03-31	USDPA4L	Sotheby’s	107.62
1960-04-30	USDPA4L	Sotheby’s	113.04
1960-05-31	USDPA4L	Sotheby’s	112.35
1960-06-30	USDPA4L	Sotheby’s	112.66
1960-07-31	USDPA4L	Sotheby’s	106.19
1960-08-31	USDPA4L	Sotheby’s	104.98
1960-09-30	USDPA4L	Sotheby’s	103.23
1960-10-31	USDPA4L	Sotheby’s	102.11
1960-11-30	USDPA4L	Sotheby’s	99.58
1960-12-31	USDPA4L	Sotheby’s	98.49
1961-01-31	USDPA4L	Sotheby’s	100.73
1961-02-28	USDPA4L	Sotheby’s	101.77
1961-03-31	USDPA4L	Sotheby’s	100.27
1961-04-30	USDPA4L	Sotheby’s	100.24
1961-05-31	USDPA4L	Sotheby’s	98.48
1961-06-30	USDPA4L	Sotheby’s	93.66
1961-07-31	USDPA4L	Sotheby’s	92.28
1961-08-31	USDPA4L	Sotheby’s	85.87
1961-09-30	USDPA4L	Sotheby’s	85.08
1961-10-31	USDPA4L	Sotheby’s	79.89
1961-11-30	USDPA4L	Sotheby’s	80.06
1961-12-31	USDPA4L	Sotheby’s	82.5
1962-01-31	USDPA4L	Sotheby’s	82.12
1962-02-28	USDPA4L	Sotheby’s	85.66
1962-03-31	USDPA4L	Sotheby’s	80.91
1962-04-30	USDPA4L	Sotheby’s	84.17
1962-05-31	USDPA4L	Sotheby’s	87.23
1962-06-30	USDPA4L	Sotheby’s	86.72
1962-07-31	USDPA4L	Sotheby’s	80.95
1962-08-31	USDPA4L	Sotheby’s	77.55
1962-09-30	USDPA4L	Sotheby’s	72.9
1962-10-31	USDPA4L	Sotheby’s	73.78
1962-11-30	USDPA4L	Sotheby’s	69.12
1962-12-31	USDPA4L	Sotheby’s	71.58
1963-01-31	USDPA4L	Sotheby’s	70.82
1963-02-28	USDPA4L	Sotheby’s	67.91
1963-03-31	USDPA4L	Sotheby’s	61.64520927612364
1963-04-30	USDPA4L	Sotheby’s	65.97
1963-05-31	USDPA4L	Sotheby’s	65.23
1963-06-30	USDPA4L	Sotheby’s	65.85
1963-07-31	USDPA4L	Sotheby’s	68.8
1963-08-31	USDPA4L	Sotheby’s	63.43
1963-09-30	USDPA4L	Sotheby’s	62.38373791903053
1963-10-31	USDPA4L	Sotheby’s	63.75
1963-11-30	USDPA4L	Sotheby’s	64.74
1963-12-31	USDPA4L	Sotheby’s	64.07
1964-01-31	USDPA4L	Sotheby’s	62.88677066521187
1964-02-29	USDPA4L	Sotheby’s	62.29
1964-03-31	USDPA4L	Sotheby’s	65.6
1964-04-30	USDPA4L	Sotheby’s	64.27
1964-05-31	USDPA4L	Sotheby’s	67.64
1964-06-30	USDPA4L	Sotheby’s	70.8
1964-07-31	USDPA4L	Sotheby’s	72.32
1964-08-31	USDPA4L	Sotheby’s	78.18
1964-09-30	USDPA4L	Sotheby’s	84.02
1964-10-31	USDPA4L	Sotheby’s	82.91
1964-11-30	USDPA4L	Sotheby’s	86.84
1964-12-31	USDPA4L	Sotheby’s	91.62
1965-01-31	USDPA4L	Sotheby’s	86.59
1965-02-28	USDPA4L	Sotheby’s	86.84
1965-03-31	USDPA4L	Sotheby’s	87.95
1965-04-30	USDPA4L	Sotheby’s	90.81
1965-05-31	USDPA4L	Sotheby’s	91.58
1965-06-30	USDPA4L	Sotheby’s	91.56
1965-07-31	USDPA4L	Sotheby’s	98.21
1965-08-31	USDPA4L	Sotheby’s	93.47
1965-09-30	USDPA4L	Sotheby’s	95.78
1965-10-31	USDPA4L	Sotheby’s	90.95
1965-11-30	USDPA4L	Sotheby’s	90.29
1965-12-31	USDPA4L	Sotheby’s	92.48
1966-01-31	USDPA4L	Sotheby’s	85.94
1966-02-28	USDPA4L	Sotheby’s	89.4
1966-03-31	USDPA4L	Sotheby’s	87.35
1966-04-30	USDPA4L	Sotheby’s	89.28
1966-05-31	USDPA4L	Sotheby’s	92.65
1966-06-30	USDPA4L	Sotheby’s	88.29
1966-07-31	USDPA4L	Sotheby’s	92.93
1966-08-31	USDPA4L	Sotheby’s	93.11
1966-09-30	USDPA4L	Sotheby’s	90.36
1966-10-31	USDPA4L	Sotheby’s	94.86
1966-11-30	USDPA4L	Sotheby’s	97.89
1966-12-31	USDPA4L	Sotheby’s	92.81
1967-01-31	USDPA4L	Sotheby’s	91.92
1967-02-28	USDPA4L	Sotheby’s	88.71
1967-03-31	USDPA4L	Sotheby’s	88.82
1967-04-30	USDPA4L	Sotheby’s	89.12
1967-05-31	USDPA4L	Sotheby’s	95.34
1967-06-30	USDPA4L	Sotheby’s	91.88
1967-07-31	USDPA4L	Sotheby’s	91.97
1967-08-31	USDPA4L	Sotheby’s	92.46
1967-09-30	USDPA4L	Sotheby’s	95.97
1967-10-31	USDPA4L	Sotheby’s	99.49
1967-11-30	USDPA4L	Sotheby’s	98.03
1967-12-31	USDPA4L	Sotheby’s	96.02
1968-01-31	USDPA4L	Sotheby’s	97.1
1968-02-29	USDPA4L	Sotheby’s	94.23
1968-03-31	USDPA4L	Sotheby’s	100.21
1968-04-30	USDPA4L	Sotheby’s	101.52
1968-05-31	USDPA4L	Sotheby’s	110.03
1968-06-30	USDPA4L	Sotheby’s	105.11
1968-07-31	USDPA4L	Sotheby’s	114.59
1968-08-31	USDPA4L	Sotheby’s	115.54
1968-09-30	USDPA4L	Sotheby’s	114.47
1968-10-31	USDPA4L	Sotheby’s	114.15
1968-11-30	USDPA4L	Sotheby’s	115.26
1968-12-31	USDPA4L	Sotheby’s	112.95
1969-01-31	USDPA4L	Sotheby’s	109.8
1969-02-28	USDPA4L	Sotheby’s	109.27
1969-03-31	USDPA4L	Sotheby’s	104.88
1969-04-30	USDPA4L	Sotheby’s	100.51
1969-05-31	USDPA4L	Sotheby’s	98.01
1969-06-30	USDPA4L	Sotheby’s	99.33
1969-07-31	USDPA4L	Sotheby’s	95.38
1969-08-31	USDPA4L	Sotheby’s	98.75
1969-09-30	USDPA4L	Sotheby’s	102.21
1969-10-31	USDPA4L	Sotheby’s	103.03
1969-11-30	USDPA4L	Sotheby’s	112.03
