Date	Company Code	Company Name	Stock Price
1959-01-31	USU1RE6	Sotheby’s Institute of Art	118.36
1959-02-28	USU1RE6	Sotheby’s Institute of Art	116.44
1959-03-31	USU1RE6	Sotheby’s Institute of Art	122.56
1959-04-30	USU1RE6	Sotheby’s Institute of Art	120.45
1959-05-31	USU1RE6	Sotheby’s Institute of Art	125.9
1959-06-30	USU1RE6	Sotheby’s Institute of Art	122.44
1959-07-31	USU1RE6	Sotheby’s Institute of Art	119.69
1959-08-31	USU1RE6	Sotheby’s Institute of Art	121.99
1959-09-30	USU1RE6	Sotheby’s Institute of Art	119.95
1959-10-31	USU1RE6	Sotheby’s Institute of Art	122.41
1959-11-30	USU1RE6	Sotheby’s Institute of Art	115.87
1959-12-31	USU1RE6	Sotheby’s Institute of Art	120.59
1960-01-31	USU1RE6	Sotheby’s Institute of Art	115.99
1960-02-29	USU1RE6	Sotheby’s Institute of Art	107.49
1960-03-31	USU1RE6	Sotheby’s Institute of Art	107.23
1960-04-30	USU1RE6	Sotheby’s Institute of Art	106.83
1960-05-31	USU1RE6	Sotheby’s Institute of Art	105.84
1960-06-30	USU1RE6	Sotheby’s Institute of Art	100.17
1960-07-31	USU1RE6	Sotheby’s Institute of Art	102.83
1960-08-31	USU1RE6	Sotheby’s Institute of Art	109.8
1960-09-30	USU1RE6	Sotheby’s Institute of Art	109.14
1960-10-31	USU1RE6	Sotheby’s Institute of Art	112.46
1960-11-30	USU1RE6	Sotheby’s Institute of Art	105.83
1960-12-31	USU1RE6	Sotheby’s Institute of Art	104.64
1961-01-31	USU1RE6	Sotheby’s Institute of Art	101.46
1961-02-28	USU1RE6	Sotheby’s Institute of Art	102.63
1961-03-31	USU1RE6	Sotheby’s Institute of Art	100.67
1961-04-30	USU1RE6	Sotheby’s Institute of Art	101.52
1961-05-31	USU1RE6	Sotheby’s Institute of Art	104.56
1961-06-30	USU1RE6	Sotheby’s Institute of Art	110.1
1961-07-31	USU1RE6	Sotheby’s Institute of Art	119.0
1961-08-31	USU1RE6	Sotheby’s Institute of Art	121.77
1961-09-30	USU1RE6	Sotheby’s Institute of Art	128.55
1961-10-31	USU1RE6	Sotheby’s Institute of Art	125.38
1961-11-30	USU1RE6	Sotheby’s Institute of Art	118.55
1961-12-31	USU1RE6	Sotheby’s Institute of Art	121.8
1962-01-31	USU1RE6	Sotheby’s Institute of Art	119.43
1962-02-28	USU1RE6	Sotheby’s Institute of Art	119.02
1962-03-31	USU1RE6	Sotheby’s Institute of Art	116.51
1962-04-30	USU1RE6	Sotheby’s Institute of Art	118.48
1962-05-31	USU1RE6	Sotheby’s Institute of Art	120.97
1962-06-30	USU1RE6	Sotheby’s Institute of Art	121.28
1962-07-31	USU1RE6	Sotheby’s Institute of Art	119.53
1962-08-31	USU1RE6	Sotheby’s Institute of Art	112.05
1962-09-30	USU1RE6	Sotheby’s Institute of Art	118.65
1962-10-31	USU1RE6	Sotheby’s Institute of Art	123.66
1962-11-30	USU1RE6	Sotheby’s Institute of Art	118.07
1962-12-31	USU1RE6	Sotheby’s Institute of Art	121.18
1963-01-31	USU1RE6	Sotheby’s Institute of Art	124.66
1963-02-28	USU1RE6	Sotheby’s Institute of Art	125.91
1963-03-31	USU1RE6	Sotheby’s Institute of Art	127.23
1963-04-30	USU1RE6	Sotheby’s Institute of Art	122.84
1963-05-31	USU1RE6	Sotheby’s Institute of Art	121.76
1963-06-30	USU1RE6	Sotheby’s Institute of Art	114.44
1963-07-31	USU1RE6	Sotheby’s Institute of Art	111.78
1963-08-31	USU1RE6	Sotheby’s Institute of Art	110.47
1963-09-30	USU1RE6	Sotheby’s Institute of Art	104.45
1963-10-31	USU1RE6	Sotheby’s Institute of Art	110.96
1963-11-30	USU1RE6	Sotheby’s Institute of Art	112.4
1963-12-31	USU1RE6	Sotheby’s Institute of Art	110.64
1964-01-31	USU1RE6	Sotheby’s Institute of Art	104.4
1964-02-29	USU1RE6	Sotheby’s Institute of Art	101.09
1964-03-31	USU1RE6	Sotheby’s Institute of Art	107.17
1964-04-30	USU1RE6	Sotheby’s Institute of Art	113.09
1964-05-31	USU1RE6	Sotheby’s Institute of Art	106.56
1964-06-30	USU1RE6	Sotheby’s Institute of Art	110.34
1964-07-31	USU1RE6	Sotheby’s Institute of Art	115.75
1964-08-31	USU1RE6	Sotheby’s Institute of Art	116.81
1964-09-30	USU1RE6	Sotheby’s Institute of Art	117.8
1964-10-31	USU1RE6	Sotheby’s Institute of Art	120.34
1964-11-30	USU1RE6	Sotheby’s Institute of Art	122.46
1964-12-31	USU1RE6	Sotheby’s Institute of Art	126.48
1965-01-31	USU1RE6	Sotheby’s Institute of Art	126.41
1965-02-28	USU1RE6	Sotheby’s Institute of Art	126.16
1965-03-31	USU1RE6	Sotheby’s Institute of Art	121.17
1965-04-30	USU1RE6	Sotheby’s Institute of Art	120.27
1965-05-31	USU1RE6	Sotheby’s Institute of Art	118.09
1965-06-30	USU1RE6	Sotheby’s Institute of Art	112.66
1965-07-31	USU1RE6	Sotheby’s Institute of Art	112.14
1965-08-31	USU1RE6	Sotheby’s Institute of Art	116.26
1965-09-30	USU1RE6	Sotheby’s Institute of Art	114.08
1965-10-31	USU1RE6	Sotheby’s Institute of Art	111.8
1965-11-30	USU1RE6	Sotheby’s Institute of Art	110.26
1965-12-31	USU1RE6	Sotheby’s Institute of Art	115.33
1966-01-31	USU1RE6	Sotheby’s Institute of Art	119.55
1966-02-28	USU1RE6	Sotheby’s Institute of Art	117.4
1966-03-31	USU1RE6	Sotheby’s Institute of Art	123.22
1966-04-30	USU1RE6	Sotheby’s Institute of Art	122.23
1966-05-31	USU1RE6	Sotheby’s Institute of Art	121.73
1966-06-30	USU1RE6	Sotheby’s Institute of Art	119.0
1966-07-31	USU1RE6	Sotheby’s Institute of Art	111.58
1966-08-31	USU1RE6	Sotheby’s Institute of Art	108.89
1966-09-30	USU1RE6	Sotheby’s Institute of Art	107.68
1966-10-31	USU1RE6	Sotheby’s Institute of Art	99.6
1966-11-30	USU1RE6	Sotheby’s Institute of Art	95.63
1966-12-31	USU1RE6	Sotheby’s Institute of Art	86.83
1967-01-31	USU1RE6	Sotheby’s Institute of Art	86.35
1967-02-28	USU1RE6	Sotheby’s Institute of Art	79.96
1967-03-31	USU1RE6	Sotheby’s Institute of Art	84.37
1967-04-30	USU1RE6	Sotheby’s Institute of Art	83.24
1967-05-31	USU1RE6	Sotheby’s Institute of Art	86.93
1967-06-30	USU1RE6	Sotheby’s Institute of Art	83.24
1967-07-31	USU1RE6	Sotheby’s Institute of Art	84.44
1967-08-31	USU1RE6	Sotheby’s Institute of Art	88.44
1967-09-30	USU1RE6	Sotheby’s Institute of Art	82.56
1967-10-31	USU1RE6	Sotheby’s Institute of Art	84.57
1967-11-30	USU1RE6	Sotheby’s Institute of Art	81.73
1967-12-31	USU1RE6	Sotheby’s Institute of Art	87.73
1968-01-31	USU1RE6	Sotheby’s Institute of Art	92.63
1968-02-29	USU1RE6	Sotheby’s Institute of Art	88.65
1968-03-31	USU1RE6	Sotheby’s Institute of Art	91.44
1968-04-30	USU1RE6	Sotheby’s Institute of Art	85.9
1968-05-31	USU1RE6	Sotheby’s Institute of Art	92.8
1968-06-30	USU1RE6	Sotheby’s Institute of Art	92.84
1968-07-31	USU1RE6	Sotheby’s Institute of Art	89.3
1968-08-31	USU1RE6	Sotheby’s Institute of Art	87.12
1968-09-30	USU1RE6	Sotheby’s Institute of Art	88.22
1968-10-31	USU1RE6	Sotheby’s Institute of Art	83.71
