Date	Company Code	Company Name	Stock Price
1959-01-31	USMVL9P	Spotify Technology S.A.	89.8
1959-02-28	USMVL9P	Spotify Technology S.A.	88.21
1959-03-31	USMVL9P	Spotify Technology S.A.	84.22
1959-04-30	USMVL9P	Spotify Technology S.A.	79.97
1959-05-31	USMVL9P	Spotify Technology S.A.	75.12
1959-06-30	USMVL9P	Spotify Technology S.A.	72.57
1959-07-31	USMVL9P	Spotify Technology S.A.	78.95
1959-08-31	USMVL9P	Spotify Technology S.A.	70.7
1959-09-30	USMVL9P	Spotify Technology S.A.	74.3
1959-10-31	USMVL9P	Spotify Technology S.A.	81.16
1959-11-30	USMVL9P	Spotify Technology S.A.	81.69
1959-12-31	USMVL9P	Spotify Technology S.A.	80.51
1960-01-31	USMVL9P	Spotify Technology S.A.	75.38
1960-02-29	USMVL9P	Spotify Technology S.A.	80.94
1960-03-31	USMVL9P	Spotify Technology S.A.	77.27
1960-04-30	USMVL9P	Spotify Technology S.A.	78.1
1960-05-31	USMVL9P	Spotify Technology S.A.	78.02
1960-06-30	USMVL9P	Spotify Technology S.A.	80.13
1960-07-31	USMVL9P	Spotify Technology S.A.	81.81
1960-08-31	USMVL9P	Spotify Technology S.A.	84.25
1960-09-30	USMVL9P	Spotify Technology S.A.	85.39
1960-10-31	USMVL9P	Spotify Technology S.A.	76.91
1960-11-30	USMVL9P	Spotify Technology S.A.	73.33
1960-12-31	USMVL9P	Spotify Technology S.A.	75.28
1961-01-31	USMVL9P	Spotify Technology S.A.	81.85
1961-02-28	USMVL9P	Spotify Technology S.A.	84.78
1961-03-31	USMVL9P	Spotify Technology S.A.	78.05
1961-04-30	USMVL9P	Spotify Technology S.A.	77.59
1961-05-31	USMVL9P	Spotify Technology S.A.	82.25
1961-06-30	USMVL9P	Spotify Technology S.A.	87.29
1961-07-31	USMVL9P	Spotify Technology S.A.	88.97
1961-08-31	USMVL9P	Spotify Technology S.A.	84.75
1961-09-30	USMVL9P	Spotify Technology S.A.	81.75
1961-10-31	USMVL9P	Spotify Technology S.A.	78.86
1961-11-30	USMVL9P	Spotify Technology S.A.	78.57
1961-12-31	USMVL9P	Spotify Technology S.A.	77.54
1962-01-31	USMVL9P	Spotify Technology S.A.	72.87
1962-02-28	USMVL9P	Spotify Technology S.A.	65.94
1962-03-31	USMVL9P	Spotify Technology S.A.	70.29
1962-04-30	USMVL9P	Spotify Technology S.A.	66.93
1962-05-31	USMVL9P	Spotify Technology S.A.	63.7
1962-06-30	USMVL9P	Spotify Technology S.A.	69.81
1962-07-31	USMVL9P	Spotify Technology S.A.	68.05
1962-08-31	USMVL9P	Spotify Technology S.A.	68.54
1962-09-30	USMVL9P	Spotify Technology S.A.	65.52
1962-10-31	USMVL9P	Spotify Technology S.A.	61.51
1962-11-30	USMVL9P	Spotify Technology S.A.	63.64
1962-12-31	USMVL9P	Spotify Technology S.A.	63.98
1963-01-31	USMVL9P	Spotify Technology S.A.	65.99
1963-02-28	USMVL9P	Spotify Technology S.A.	63.93
1963-03-31	USMVL9P	Spotify Technology S.A.	65.3
1963-04-30	USMVL9P	Spotify Technology S.A.	64.8
1963-05-31	USMVL9P	Spotify Technology S.A.	69.19
1963-06-30	USMVL9P	Spotify Technology S.A.	66.9
1963-07-31	USMVL9P	Spotify Technology S.A.	66.7
1963-08-31	USMVL9P	Spotify Technology S.A.	70.66
1963-09-30	USMVL9P	Spotify Technology S.A.	68.25
1963-10-31	USMVL9P	Spotify Technology S.A.	67.55
1963-11-30	USMVL9P	Spotify Technology S.A.	74.32
1963-12-31	USMVL9P	Spotify Technology S.A.	71.85
