Date	Company Code	Company Name	Stock Price
1959-01-31	US0YA1F	SquareSpace Inc.	103.05
1959-02-28	US0YA1F	SquareSpace Inc.	99.86
1959-03-31	US0YA1F	SquareSpace Inc.	100.8
1959-04-30	US0YA1F	SquareSpace Inc.	102.33
1959-05-31	US0YA1F	SquareSpace Inc.	103.26
1959-06-30	US0YA1F	SquareSpace Inc.	102.45
1959-07-31	US0YA1F	SquareSpace Inc.	100.18
1959-08-31	US0YA1F	SquareSpace Inc.	99.43
1959-09-30	US0YA1F	SquareSpace Inc.	96.47
1959-10-31	US0YA1F	SquareSpace Inc.	94.36
1959-11-30	US0YA1F	SquareSpace Inc.	98.97
1959-12-31	US0YA1F	SquareSpace Inc.	99.1
1960-01-31	US0YA1F	SquareSpace Inc.	99.23
1960-02-29	US0YA1F	SquareSpace Inc.	101.15
1960-03-31	US0YA1F	SquareSpace Inc.	102.89
1960-04-30	US0YA1F	SquareSpace Inc.	102.51
1960-05-31	US0YA1F	SquareSpace Inc.	99.78
1960-06-30	US0YA1F	SquareSpace Inc.	101.97
1960-07-31	US0YA1F	SquareSpace Inc.	103.37
1960-08-31	US0YA1F	SquareSpace Inc.	96.07
1960-09-30	US0YA1F	SquareSpace Inc.	91.03
1960-10-31	US0YA1F	SquareSpace Inc.	94.67
1960-11-30	US0YA1F	SquareSpace Inc.	89.95
1960-12-31	US0YA1F	SquareSpace Inc.	87.61
1961-01-31	US0YA1F	SquareSpace Inc.	84.93
1961-02-28	US0YA1F	SquareSpace Inc.	88.05
1961-03-31	US0YA1F	SquareSpace Inc.	86.85
1961-04-30	US0YA1F	SquareSpace Inc.	85.51
1961-05-31	US0YA1F	SquareSpace Inc.	83.46
1961-06-30	US0YA1F	SquareSpace Inc.	84.56
1961-07-31	US0YA1F	SquareSpace Inc.	90.96
1961-08-31	US0YA1F	SquareSpace Inc.	88.54
1961-09-30	US0YA1F	SquareSpace Inc.	92.07
1961-10-31	US0YA1F	SquareSpace Inc.	86.67
1961-11-30	US0YA1F	SquareSpace Inc.	84.07
1961-12-31	US0YA1F	SquareSpace Inc.	83.2
1962-01-31	US0YA1F	SquareSpace Inc.	85.11
