Date	Company Code	Company Name	Stock Price
1959-01-31	US4TG0P	Square Inc.	96.76
1959-02-28	US4TG0P	Square Inc.	100.54
1959-03-31	US4TG0P	Square Inc.	95.59
1959-04-30	US4TG0P	Square Inc.	100.27
1959-05-31	US4TG0P	Square Inc.	100.55
1959-06-30	US4TG0P	Square Inc.	101.09
1959-07-31	US4TG0P	Square Inc.	106.92
1959-08-31	US4TG0P	Square Inc.	103.38
1959-09-30	US4TG0P	Square Inc.	102.85
1959-10-31	US4TG0P	Square Inc.	106.47
1959-11-30	US4TG0P	Square Inc.	100.02
1959-12-31	US4TG0P	Square Inc.	108.69
1960-01-31	US4TG0P	Square Inc.	111.96
1960-02-29	US4TG0P	Square Inc.	108.84
1960-03-31	US4TG0P	Square Inc.	107.03
1960-04-30	US4TG0P	Square Inc.	111.45
1960-05-31	US4TG0P	Square Inc.	115.59
1960-06-30	US4TG0P	Square Inc.	110.88
1960-07-31	US4TG0P	Square Inc.	107.79
1960-08-31	US4TG0P	Square Inc.	107.7
1960-09-30	US4TG0P	Square Inc.	108.06
1960-10-31	US4TG0P	Square Inc.	110.13
1960-11-30	US4TG0P	Square Inc.	109.76
1960-12-31	US4TG0P	Square Inc.	117.83
1961-01-31	US4TG0P	Square Inc.	115.5
1961-02-28	US4TG0P	Square Inc.	108.55
1961-03-31	US4TG0P	Square Inc.	109.21
1961-04-30	US4TG0P	Square Inc.	102.79
1961-05-31	US4TG0P	Square Inc.	102.31
1961-06-30	US4TG0P	Square Inc.	101.3
1961-07-31	US4TG0P	Square Inc.	110.14
1961-08-31	US4TG0P	Square Inc.	113.28
1961-09-30	US4TG0P	Square Inc.	106.94
1961-10-31	US4TG0P	Square Inc.	111.59
1961-11-30	US4TG0P	Square Inc.	112.79
1961-12-31	US4TG0P	Square Inc.	111.82
1962-01-31	US4TG0P	Square Inc.	110.85
1962-02-28	US4TG0P	Square Inc.	107.77
1962-03-31	US4TG0P	Square Inc.	109.66
1962-04-30	US4TG0P	Square Inc.	106.18
1962-05-31	US4TG0P	Square Inc.	100.32
1962-06-30	US4TG0P	Square Inc.	95.42
1962-07-31	US4TG0P	Square Inc.	100.5
1962-08-31	US4TG0P	Square Inc.	103.32
1962-09-30	US4TG0P	Square Inc.	102.74
1962-10-31	US4TG0P	Square Inc.	105.42
1962-11-30	US4TG0P	Square Inc.	103.38
1962-12-31	US4TG0P	Square Inc.	108.72
1963-01-31	US4TG0P	Square Inc.	112.58
1963-02-28	US4TG0P	Square Inc.	111.47
1963-03-31	US4TG0P	Square Inc.	113.9
1963-04-30	US4TG0P	Square Inc.	117.14
1963-05-31	US4TG0P	Square Inc.	118.97
1963-06-30	US4TG0P	Square Inc.	123.72
1963-07-31	US4TG0P	Square Inc.	126.53
1963-08-31	US4TG0P	Square Inc.	127.08
1963-09-30	US4TG0P	Square Inc.	124.41
1963-10-31	US4TG0P	Square Inc.	124.83
1963-11-30	US4TG0P	Square Inc.	125.86
1963-12-31	US4TG0P	Square Inc.	132.26
