Date	Company Code	Company Name	Stock Price
1959-01-31	USJPJSS	Starbucks Corp.	104.0
1959-02-28	USJPJSS	Starbucks Corp.	99.71
1959-03-31	USJPJSS	Starbucks Corp.	101.71
1959-04-30	USJPJSS	Starbucks Corp.	98.72
1959-05-31	USJPJSS	Starbucks Corp.	98.16
1959-06-30	USJPJSS	Starbucks Corp.	92.33
1959-07-31	USJPJSS	Starbucks Corp.	93.18
1959-08-31	USJPJSS	Starbucks Corp.	92.06
1959-09-30	USJPJSS	Starbucks Corp.	100.69
1959-10-31	USJPJSS	Starbucks Corp.	110.18
1959-11-30	USJPJSS	Starbucks Corp.	107.67
1959-12-31	USJPJSS	Starbucks Corp.	104.75
1960-01-31	USJPJSS	Starbucks Corp.	100.34
1960-02-29	USJPJSS	Starbucks Corp.	108.36
1960-03-31	USJPJSS	Starbucks Corp.	113.19
1960-04-30	USJPJSS	Starbucks Corp.	113.45
1960-05-31	USJPJSS	Starbucks Corp.	113.93
1960-06-30	USJPJSS	Starbucks Corp.	110.34
1960-07-31	USJPJSS	Starbucks Corp.	115.25
1960-08-31	USJPJSS	Starbucks Corp.	112.46
1960-09-30	USJPJSS	Starbucks Corp.	114.05
1960-10-31	USJPJSS	Starbucks Corp.	112.57
1960-11-30	USJPJSS	Starbucks Corp.	106.37
1960-12-31	USJPJSS	Starbucks Corp.	107.47
1961-01-31	USJPJSS	Starbucks Corp.	105.83
1961-02-28	USJPJSS	Starbucks Corp.	106.57
1961-03-31	USJPJSS	Starbucks Corp.	102.98
1961-04-30	USJPJSS	Starbucks Corp.	108.02
1961-05-31	USJPJSS	Starbucks Corp.	105.83
1961-06-30	USJPJSS	Starbucks Corp.	106.08
1961-07-31	USJPJSS	Starbucks Corp.	105.87
1961-08-31	USJPJSS	Starbucks Corp.	107.9
1961-09-30	USJPJSS	Starbucks Corp.	109.76
1961-10-31	USJPJSS	Starbucks Corp.	114.15
1961-11-30	USJPJSS	Starbucks Corp.	112.78
