Date	Company Code	Company Name	Stock Price
1959-01-31	USK37R4	Stitch Fix Inc.	111.46
1959-02-28	USK37R4	Stitch Fix Inc.	111.82
1959-03-31	USK37R4	Stitch Fix Inc.	104.43
1959-04-30	USK37R4	Stitch Fix Inc.	107.85
1959-05-31	USK37R4	Stitch Fix Inc.	105.86
1959-06-30	USK37R4	Stitch Fix Inc.	110.6
1959-07-31	USK37R4	Stitch Fix Inc.	107.89
1959-08-31	USK37R4	Stitch Fix Inc.	108.63
1959-09-30	USK37R4	Stitch Fix Inc.	113.85
1959-10-31	USK37R4	Stitch Fix Inc.	117.31
1959-11-30	USK37R4	Stitch Fix Inc.	116.19
1959-12-31	USK37R4	Stitch Fix Inc.	113.6
1960-01-31	USK37R4	Stitch Fix Inc.	112.55
1960-02-29	USK37R4	Stitch Fix Inc.	117.05
1960-03-31	USK37R4	Stitch Fix Inc.	112.13
1960-04-30	USK37R4	Stitch Fix Inc.	116.39
1960-05-31	USK37R4	Stitch Fix Inc.	115.78
1960-06-30	USK37R4	Stitch Fix Inc.	116.25
1960-07-31	USK37R4	Stitch Fix Inc.	112.8
1960-08-31	USK37R4	Stitch Fix Inc.	109.69
1960-09-30	USK37R4	Stitch Fix Inc.	107.57
1960-10-31	USK37R4	Stitch Fix Inc.	107.9
1960-11-30	USK37R4	Stitch Fix Inc.	103.28
1960-12-31	USK37R4	Stitch Fix Inc.	101.96
1961-01-31	USK37R4	Stitch Fix Inc.	97.5
1961-02-28	USK37R4	Stitch Fix Inc.	98.44
1961-03-31	USK37R4	Stitch Fix Inc.	98.03
1961-04-30	USK37R4	Stitch Fix Inc.	99.01
1961-05-31	USK37R4	Stitch Fix Inc.	103.46
1961-06-30	USK37R4	Stitch Fix Inc.	104.67
1961-07-31	USK37R4	Stitch Fix Inc.	106.03
1961-08-31	USK37R4	Stitch Fix Inc.	106.45
1961-09-30	USK37R4	Stitch Fix Inc.	103.8
1961-10-31	USK37R4	Stitch Fix Inc.	105.33
1961-11-30	USK37R4	Stitch Fix Inc.	107.38
1961-12-31	USK37R4	Stitch Fix Inc.	104.41
1962-01-31	USK37R4	Stitch Fix Inc.	110.51
1962-02-28	USK37R4	Stitch Fix Inc.	108.94
1962-03-31	USK37R4	Stitch Fix Inc.	112.42
1962-04-30	USK37R4	Stitch Fix Inc.	112.98
1962-05-31	USK37R4	Stitch Fix Inc.	110.22
1962-06-30	USK37R4	Stitch Fix Inc.	114.71
1962-07-31	USK37R4	Stitch Fix Inc.	117.99
1962-08-31	USK37R4	Stitch Fix Inc.	112.05
1962-09-30	USK37R4	Stitch Fix Inc.	111.47
1962-10-31	USK37R4	Stitch Fix Inc.	111.18
1962-11-30	USK37R4	Stitch Fix Inc.	117.11
