Date	Company Code	Company Name	Stock Price
1959-01-31	USVFDK1	StockX	107.87
1959-02-28	USVFDK1	StockX	108.53
1959-03-31	USVFDK1	StockX	104.46
1959-04-30	USVFDK1	StockX	109.4
1959-05-31	USVFDK1	StockX	108.38
1959-06-30	USVFDK1	StockX	108.68
1959-07-31	USVFDK1	StockX	104.99
1959-08-31	USVFDK1	StockX	108.96
1959-09-30	USVFDK1	StockX	111.16
1959-10-31	USVFDK1	StockX	111.31
1959-11-30	USVFDK1	StockX	117.15
1959-12-31	USVFDK1	StockX	116.12
1960-01-31	USVFDK1	StockX	116.76
1960-02-29	USVFDK1	StockX	116.89
1960-03-31	USVFDK1	StockX	120.97
1960-04-30	USVFDK1	StockX	123.07
1960-05-31	USVFDK1	StockX	127.28
1960-06-30	USVFDK1	StockX	131.25
1960-07-31	USVFDK1	StockX	133.35
1960-08-31	USVFDK1	StockX	129.6
1960-09-30	USVFDK1	StockX	127.27
1960-10-31	USVFDK1	StockX	131.84
1960-11-30	USVFDK1	StockX	133.61
1960-12-31	USVFDK1	StockX	139.21
1961-01-31	USVFDK1	StockX	138.21
1961-02-28	USVFDK1	StockX	138.31
1961-03-31	USVFDK1	StockX	138.16
1961-04-30	USVFDK1	StockX	138.92
1961-05-31	USVFDK1	StockX	144.9
1961-06-30	USVFDK1	StockX	144.96
1961-07-31	USVFDK1	StockX	139.36
1961-08-31	USVFDK1	StockX	139.6
1961-09-30	USVFDK1	StockX	138.28
1961-10-31	USVFDK1	StockX	143.17
1961-11-30	USVFDK1	StockX	142.99
1961-12-31	USVFDK1	StockX	140.9
1962-01-31	USVFDK1	StockX	142.02
1962-02-28	USVFDK1	StockX	139.94
1962-03-31	USVFDK1	StockX	137.63
1962-04-30	USVFDK1	StockX	139.11
1962-05-31	USVFDK1	StockX	137.25
1962-06-30	USVFDK1	StockX	141.76
1962-07-31	USVFDK1	StockX	149.3
1962-08-31	USVFDK1	StockX	142.43
1962-09-30	USVFDK1	StockX	140.4
1962-10-31	USVFDK1	StockX	144.45
1962-11-30	USVFDK1	StockX	149.13
1962-12-31	USVFDK1	StockX	150.64
1963-01-31	USVFDK1	StockX	150.78
1963-02-28	USVFDK1	StockX	146.47
1963-03-31	USVFDK1	StockX	148.01
1963-04-30	USVFDK1	StockX	143.76
1963-05-31	USVFDK1	StockX	140.47
1963-06-30	USVFDK1	StockX	140.13
1963-07-31	USVFDK1	StockX	142.01
1963-08-31	USVFDK1	StockX	140.52
1963-09-30	USVFDK1	StockX	136.25
1963-10-31	USVFDK1	StockX	132.69
1963-11-30	USVFDK1	StockX	140.68
1963-12-31	USVFDK1	StockX	143.69
1964-01-31	USVFDK1	StockX	143.05
1964-02-29	USVFDK1	StockX	142.65
1964-03-31	USVFDK1	StockX	141.88
1964-04-30	USVFDK1	StockX	143.36
1964-05-31	USVFDK1	StockX	147.17
1964-06-30	USVFDK1	StockX	142.15
1964-07-31	USVFDK1	StockX	139.29
1964-08-31	USVFDK1	StockX	133.84
1964-09-30	USVFDK1	StockX	131.7
1964-10-31	USVFDK1	StockX	135.2
1964-11-30	USVFDK1	StockX	139.6
1964-12-31	USVFDK1	StockX	136.75
1965-01-31	USVFDK1	StockX	134.68
