Date	Company Code	Company Name	Stock Price
1959-01-31	USQAHS6	T-Mobile US Inc.	116.38
1959-02-28	USQAHS6	T-Mobile US Inc.	121.79
1959-03-31	USQAHS6	T-Mobile US Inc.	119.75
1959-04-30	USQAHS6	T-Mobile US Inc.	120.15
1959-05-31	USQAHS6	T-Mobile US Inc.	123.72
1959-06-30	USQAHS6	T-Mobile US Inc.	122.46
1959-07-31	USQAHS6	T-Mobile US Inc.	117.49
1959-08-31	USQAHS6	T-Mobile US Inc.	116.5
1959-09-30	USQAHS6	T-Mobile US Inc.	122.38
1959-10-31	USQAHS6	T-Mobile US Inc.	124.23
1959-11-30	USQAHS6	T-Mobile US Inc.	123.4
1959-12-31	USQAHS6	T-Mobile US Inc.	126.27
1960-01-31	USQAHS6	T-Mobile US Inc.	120.09
1960-02-29	USQAHS6	T-Mobile US Inc.	116.12
1960-03-31	USQAHS6	T-Mobile US Inc.	118.69
1960-04-30	USQAHS6	T-Mobile US Inc.	120.19
1960-05-31	USQAHS6	T-Mobile US Inc.	117.14
1960-06-30	USQAHS6	T-Mobile US Inc.	112.14
1960-07-31	USQAHS6	T-Mobile US Inc.	112.54
1960-08-31	USQAHS6	T-Mobile US Inc.	116.42
1960-09-30	USQAHS6	T-Mobile US Inc.	114.0
1960-10-31	USQAHS6	T-Mobile US Inc.	114.88
1960-11-30	USQAHS6	T-Mobile US Inc.	114.37
1960-12-31	USQAHS6	T-Mobile US Inc.	117.34
1961-01-31	USQAHS6	T-Mobile US Inc.	114.13
1961-02-28	USQAHS6	T-Mobile US Inc.	115.3
1961-03-31	USQAHS6	T-Mobile US Inc.	105.91
1961-04-30	USQAHS6	T-Mobile US Inc.	100.87
1961-05-31	USQAHS6	T-Mobile US Inc.	98.4
1961-06-30	USQAHS6	T-Mobile US Inc.	100.73
1961-07-31	USQAHS6	T-Mobile US Inc.	96.33
1961-08-31	USQAHS6	T-Mobile US Inc.	96.93
1961-09-30	USQAHS6	T-Mobile US Inc.	95.1
1961-10-31	USQAHS6	T-Mobile US Inc.	91.72
1961-11-30	USQAHS6	T-Mobile US Inc.	92.18
1961-12-31	USQAHS6	T-Mobile US Inc.	89.98
1962-01-31	USQAHS6	T-Mobile US Inc.	86.46
1962-02-28	USQAHS6	T-Mobile US Inc.	90.4
1962-03-31	USQAHS6	T-Mobile US Inc.	95.91
1962-04-30	USQAHS6	T-Mobile US Inc.	97.15
1962-05-31	USQAHS6	T-Mobile US Inc.	97.66
1962-06-30	USQAHS6	T-Mobile US Inc.	96.21
1962-07-31	USQAHS6	T-Mobile US Inc.	100.53
1962-08-31	USQAHS6	T-Mobile US Inc.	100.1
1962-09-30	USQAHS6	T-Mobile US Inc.	101.14
1962-10-31	USQAHS6	T-Mobile US Inc.	107.94
1962-11-30	USQAHS6	T-Mobile US Inc.	111.97
1962-12-31	USQAHS6	T-Mobile US Inc.	115.12
1963-01-31	USQAHS6	T-Mobile US Inc.	107.42
1963-02-28	USQAHS6	T-Mobile US Inc.	105.15
1963-03-31	USQAHS6	T-Mobile US Inc.	96.99
1963-04-30	USQAHS6	T-Mobile US Inc.	91.1
1963-05-31	USQAHS6	T-Mobile US Inc.	85.99
1963-06-30	USQAHS6	T-Mobile US Inc.	90.13
1963-07-31	USQAHS6	T-Mobile US Inc.	89.05
1963-08-31	USQAHS6	T-Mobile US Inc.	93.0
1963-09-30	USQAHS6	T-Mobile US Inc.	91.89
1963-10-31	USQAHS6	T-Mobile US Inc.	93.52
1963-11-30	USQAHS6	T-Mobile US Inc.	93.08
1963-12-31	USQAHS6	T-Mobile US Inc.	90.94
1964-01-31	USQAHS6	T-Mobile US Inc.	90.19
1964-02-29	USQAHS6	T-Mobile US Inc.	93.48
1964-03-31	USQAHS6	T-Mobile US Inc.	95.66
1964-04-30	USQAHS6	T-Mobile US Inc.	95.69
1964-05-31	USQAHS6	T-Mobile US Inc.	94.71
1964-06-30	USQAHS6	T-Mobile US Inc.	96.99
1964-07-31	USQAHS6	T-Mobile US Inc.	96.12
1964-08-31	USQAHS6	T-Mobile US Inc.	98.44
1964-09-30	USQAHS6	T-Mobile US Inc.	96.85
1964-10-31	USQAHS6	T-Mobile US Inc.	91.35
