Date	Company Code	Company Name	Stock Price
1959-01-31	USX5JKE	TJX Companies Inc.	96.88
1959-02-28	USX5JKE	TJX Companies Inc.	93.03
1959-03-31	USX5JKE	TJX Companies Inc.	90.72
1959-04-30	USX5JKE	TJX Companies Inc.	89.31
1959-05-31	USX5JKE	TJX Companies Inc.	93.6
1959-06-30	USX5JKE	TJX Companies Inc.	91.92
1959-07-31	USX5JKE	TJX Companies Inc.	91.71
1959-08-31	USX5JKE	TJX Companies Inc.	92.08
1959-09-30	USX5JKE	TJX Companies Inc.	95.96
1959-10-31	USX5JKE	TJX Companies Inc.	93.29
1959-11-30	USX5JKE	TJX Companies Inc.	92.34
1959-12-31	USX5JKE	TJX Companies Inc.	96.09
1960-01-31	USX5JKE	TJX Companies Inc.	91.17
1960-02-29	USX5JKE	TJX Companies Inc.	86.98
1960-03-31	USX5JKE	TJX Companies Inc.	84.6
1960-04-30	USX5JKE	TJX Companies Inc.	83.01
1960-05-31	USX5JKE	TJX Companies Inc.	87.09
1960-06-30	USX5JKE	TJX Companies Inc.	87.42
1960-07-31	USX5JKE	TJX Companies Inc.	85.75
1960-08-31	USX5JKE	TJX Companies Inc.	86.74
1960-09-30	USX5JKE	TJX Companies Inc.	87.84
1960-10-31	USX5JKE	TJX Companies Inc.	92.05
1960-11-30	USX5JKE	TJX Companies Inc.	92.24
1960-12-31	USX5JKE	TJX Companies Inc.	87.65
1961-01-31	USX5JKE	TJX Companies Inc.	85.58
1961-02-28	USX5JKE	TJX Companies Inc.	87.46
1961-03-31	USX5JKE	TJX Companies Inc.	92.81
1961-04-30	USX5JKE	TJX Companies Inc.	93.98
1961-05-31	USX5JKE	TJX Companies Inc.	92.4
1961-06-30	USX5JKE	TJX Companies Inc.	87.56
1961-07-31	USX5JKE	TJX Companies Inc.	90.48
1961-08-31	USX5JKE	TJX Companies Inc.	89.35
1961-09-30	USX5JKE	TJX Companies Inc.	94.27
1961-10-31	USX5JKE	TJX Companies Inc.	91.8
1961-11-30	USX5JKE	TJX Companies Inc.	94.35
1961-12-31	USX5JKE	TJX Companies Inc.	94.89
1962-01-31	USX5JKE	TJX Companies Inc.	95.93
1962-02-28	USX5JKE	TJX Companies Inc.	92.48
1962-03-31	USX5JKE	TJX Companies Inc.	86.23
1962-04-30	USX5JKE	TJX Companies Inc.	88.14
1962-05-31	USX5JKE	TJX Companies Inc.	89.53
1962-06-30	USX5JKE	TJX Companies Inc.	88.48
1962-07-31	USX5JKE	TJX Companies Inc.	86.35
1962-08-31	USX5JKE	TJX Companies Inc.	77.99
1962-09-30	USX5JKE	TJX Companies Inc.	84.03
1962-10-31	USX5JKE	TJX Companies Inc.	81.58
1962-11-30	USX5JKE	TJX Companies Inc.	74.96
1962-12-31	USX5JKE	TJX Companies Inc.	72.43
1963-01-31	USX5JKE	TJX Companies Inc.	70.11
1963-02-28	USX5JKE	TJX Companies Inc.	65.28
1963-03-31	USX5JKE	TJX Companies Inc.	71.21
1963-04-30	USX5JKE	TJX Companies Inc.	74.61
1963-05-31	USX5JKE	TJX Companies Inc.	68.53
1963-06-30	USX5JKE	TJX Companies Inc.	71.22
1963-07-31	USX5JKE	TJX Companies Inc.	65.53
1963-08-31	USX5JKE	TJX Companies Inc.	74.1
1963-09-30	USX5JKE	TJX Companies Inc.	70.5
1963-10-31	USX5JKE	TJX Companies Inc.	73.32
1963-11-30	USX5JKE	TJX Companies Inc.	68.2
1963-12-31	USX5JKE	TJX Companies Inc.	62.03
1964-01-31	USX5JKE	TJX Companies Inc.	61.77
1964-02-29	USX5JKE	TJX Companies Inc.	66.53
1964-03-31	USX5JKE	TJX Companies Inc.	69.7
1964-04-30	USX5JKE	TJX Companies Inc.	65.36
1964-05-31	USX5JKE	TJX Companies Inc.	68.37
1964-06-30	USX5JKE	TJX Companies Inc.	67.09
1964-07-31	USX5JKE	TJX Companies Inc.	62.87
1964-08-31	USX5JKE	TJX Companies Inc.	63.09
1964-09-30	USX5JKE	TJX Companies Inc.	72.86
1964-10-31	USX5JKE	TJX Companies Inc.	68.56
1964-11-30	USX5JKE	TJX Companies Inc.	67.32
1964-12-31	USX5JKE	TJX Companies Inc.	68.68
1965-01-31	USX5JKE	TJX Companies Inc.	74.15
1965-02-28	USX5JKE	TJX Companies Inc.	79.28
1965-03-31	USX5JKE	TJX Companies Inc.	70.54
1965-04-30	USX5JKE	TJX Companies Inc.	72.38
1965-05-31	USX5JKE	TJX Companies Inc.	70.61
1965-06-30	USX5JKE	TJX Companies Inc.	73.73
1965-07-31	USX5JKE	TJX Companies Inc.	71.71
1965-08-31	USX5JKE	TJX Companies Inc.	71.66
1965-09-30	USX5JKE	TJX Companies Inc.	67.29
1965-10-31	USX5JKE	TJX Companies Inc.	72.1
1965-11-30	USX5JKE	TJX Companies Inc.	72.16
1965-12-31	USX5JKE	TJX Companies Inc.	69.91
1966-01-31	USX5JKE	TJX Companies Inc.	74.85
1966-02-28	USX5JKE	TJX Companies Inc.	73.32
1966-03-31	USX5JKE	TJX Companies Inc.	69.84
1966-04-30	USX5JKE	TJX Companies Inc.	70.3
1966-05-31	USX5JKE	TJX Companies Inc.	74.0
1966-06-30	USX5JKE	TJX Companies Inc.	70.6
1966-07-31	USX5JKE	TJX Companies Inc.	73.49
1966-08-31	USX5JKE	TJX Companies Inc.	74.84
1966-09-30	USX5JKE	TJX Companies Inc.	81.95
1966-10-31	USX5JKE	TJX Companies Inc.	76.78
1966-11-30	USX5JKE	TJX Companies Inc.	74.62
1966-12-31	USX5JKE	TJX Companies Inc.	74.25
1967-01-31	USX5JKE	TJX Companies Inc.	66.92
1967-02-28	USX5JKE	TJX Companies Inc.	60.79
1967-03-31	USX5JKE	TJX Companies Inc.	64.35
1967-04-30	USX5JKE	TJX Companies Inc.	61.49531812516571
1967-05-31	USX5JKE	TJX Companies Inc.	60.09
1967-06-30	USX5JKE	TJX Companies Inc.	61.853699471610796
1967-07-31	USX5JKE	TJX Companies Inc.	62.83
1967-08-31	USX5JKE	TJX Companies Inc.	61.86
1967-09-30	USX5JKE	TJX Companies Inc.	62.23
1967-10-31	USX5JKE	TJX Companies Inc.	61.01373427365714
1967-11-30	USX5JKE	TJX Companies Inc.	62.04147844075018
1967-12-31	USX5JKE	TJX Companies Inc.	61.22893708896569
1968-01-31	USX5JKE	TJX Companies Inc.	66.57
1968-02-29	USX5JKE	TJX Companies Inc.	60.92
1968-03-31	USX5JKE	TJX Companies Inc.	61.478143384317455
1968-04-30	USX5JKE	TJX Companies Inc.	61.73694967806635
1968-05-31	USX5JKE	TJX Companies Inc.	67.61
1968-06-30	USX5JKE	TJX Companies Inc.	66.02
1968-07-31	USX5JKE	TJX Companies Inc.	64.47
1968-08-31	USX5JKE	TJX Companies Inc.	64.32
1968-09-30	USX5JKE	TJX Companies Inc.	69.41
1968-10-31	USX5JKE	TJX Companies Inc.	72.34
1968-11-30	USX5JKE	TJX Companies Inc.	73.54
1968-12-31	USX5JKE	TJX Companies Inc.	75.33
1969-01-31	USX5JKE	TJX Companies Inc.	78.14
1969-02-28	USX5JKE	TJX Companies Inc.	72.45
1969-03-31	USX5JKE	TJX Companies Inc.	69.14
1969-04-30	USX5JKE	TJX Companies Inc.	68.6
1969-05-31	USX5JKE	TJX Companies Inc.	66.61
1969-06-30	USX5JKE	TJX Companies Inc.	65.71
1969-07-31	USX5JKE	TJX Companies Inc.	70.0
1969-08-31	USX5JKE	TJX Companies Inc.	63.34
1969-09-30	USX5JKE	TJX Companies Inc.	66.15
1969-10-31	USX5JKE	TJX Companies Inc.	66.11
1969-11-30	USX5JKE	TJX Companies Inc.	64.26
1969-12-31	USX5JKE	TJX Companies Inc.	67.43
1970-01-31	USX5JKE	TJX Companies Inc.	68.65
1970-02-28	USX5JKE	TJX Companies Inc.	68.6
1970-03-31	USX5JKE	TJX Companies Inc.	60.74
1970-04-30	USX5JKE	TJX Companies Inc.	61.133332783519165
1970-05-31	USX5JKE	TJX Companies Inc.	61.46936456746363
1970-06-30	USX5JKE	TJX Companies Inc.	68.45
1970-07-31	USX5JKE	TJX Companies Inc.	67.85
1970-08-31	USX5JKE	TJX Companies Inc.	68.95
1970-09-30	USX5JKE	TJX Companies Inc.	67.47
1970-10-31	USX5JKE	TJX Companies Inc.	69.24
1970-11-30	USX5JKE	TJX Companies Inc.	62.61
1970-12-31	USX5JKE	TJX Companies Inc.	68.93
1971-01-31	USX5JKE	TJX Companies Inc.	69.45
1971-02-28	USX5JKE	TJX Companies Inc.	67.97
1971-03-31	USX5JKE	TJX Companies Inc.	61.86686091464018
1971-04-30	USX5JKE	TJX Companies Inc.	62.845158564849186
1971-05-31	USX5JKE	TJX Companies Inc.	61.55364456377987
1971-06-30	USX5JKE	TJX Companies Inc.	61.27985317110028
1971-07-31	USX5JKE	TJX Companies Inc.	61.28879173595582
1971-08-31	USX5JKE	TJX Companies Inc.	66.84
1971-09-30	USX5JKE	TJX Companies Inc.	64.44
1971-10-31	USX5JKE	TJX Companies Inc.	68.46
1971-11-30	USX5JKE	TJX Companies Inc.	61.77
1971-12-31	USX5JKE	TJX Companies Inc.	62.765595780674936
1972-01-31	USX5JKE	TJX Companies Inc.	65.92
1972-02-29	USX5JKE	TJX Companies Inc.	69.96
1972-03-31	USX5JKE	TJX Companies Inc.	71.78
1972-04-30	USX5JKE	TJX Companies Inc.	72.19
1972-05-31	USX5JKE	TJX Companies Inc.	68.79
1972-06-30	USX5JKE	TJX Companies Inc.	70.61
1972-07-31	USX5JKE	TJX Companies Inc.	74.81
