Date	Company Code	Company Name	Stock Price
1959-01-31	USFS2A6	Target Corp.	102.74
1959-02-28	USFS2A6	Target Corp.	101.92
1959-03-31	USFS2A6	Target Corp.	107.23
1959-04-30	USFS2A6	Target Corp.	109.52
1959-05-31	USFS2A6	Target Corp.	110.45
1959-06-30	USFS2A6	Target Corp.	103.43
1959-07-31	USFS2A6	Target Corp.	108.48
1959-08-31	USFS2A6	Target Corp.	109.9
1959-09-30	USFS2A6	Target Corp.	111.74
1959-10-31	USFS2A6	Target Corp.	109.25
1959-11-30	USFS2A6	Target Corp.	113.67
1959-12-31	USFS2A6	Target Corp.	117.82
1960-01-31	USFS2A6	Target Corp.	119.65
1960-02-29	USFS2A6	Target Corp.	126.91
1960-03-31	USFS2A6	Target Corp.	125.59
1960-04-30	USFS2A6	Target Corp.	124.86
1960-05-31	USFS2A6	Target Corp.	125.48
1960-06-30	USFS2A6	Target Corp.	122.61
1960-07-31	USFS2A6	Target Corp.	121.55
1960-08-31	USFS2A6	Target Corp.	125.47
1960-09-30	USFS2A6	Target Corp.	125.39
1960-10-31	USFS2A6	Target Corp.	118.83
1960-11-30	USFS2A6	Target Corp.	123.19
1960-12-31	USFS2A6	Target Corp.	127.33
1961-01-31	USFS2A6	Target Corp.	125.54
1961-02-28	USFS2A6	Target Corp.	128.67
1961-03-31	USFS2A6	Target Corp.	126.36
1961-04-30	USFS2A6	Target Corp.	127.84
1961-05-31	USFS2A6	Target Corp.	126.22
1961-06-30	USFS2A6	Target Corp.	124.15
1961-07-31	USFS2A6	Target Corp.	124.74
1961-08-31	USFS2A6	Target Corp.	130.29
1961-09-30	USFS2A6	Target Corp.	125.45
1961-10-31	USFS2A6	Target Corp.	120.43
1961-11-30	USFS2A6	Target Corp.	113.42
1961-12-31	USFS2A6	Target Corp.	106.73
1962-01-31	USFS2A6	Target Corp.	105.98
1962-02-28	USFS2A6	Target Corp.	97.56
1962-03-31	USFS2A6	Target Corp.	92.14
1962-04-30	USFS2A6	Target Corp.	94.12
1962-05-31	USFS2A6	Target Corp.	94.29
1962-06-30	USFS2A6	Target Corp.	99.93
1962-07-31	USFS2A6	Target Corp.	101.84
1962-08-31	USFS2A6	Target Corp.	106.93
1962-09-30	USFS2A6	Target Corp.	110.25
1962-10-31	USFS2A6	Target Corp.	113.34
1962-11-30	USFS2A6	Target Corp.	110.61
1962-12-31	USFS2A6	Target Corp.	108.12
1963-01-31	USFS2A6	Target Corp.	103.59
1963-02-28	USFS2A6	Target Corp.	99.41
1963-03-31	USFS2A6	Target Corp.	103.28
1963-04-30	USFS2A6	Target Corp.	109.59
1963-05-31	USFS2A6	Target Corp.	105.31
1963-06-30	USFS2A6	Target Corp.	97.56
1963-07-31	USFS2A6	Target Corp.	93.86
1963-08-31	USFS2A6	Target Corp.	99.42
1963-09-30	USFS2A6	Target Corp.	96.42
1963-10-31	USFS2A6	Target Corp.	98.92
1963-11-30	USFS2A6	Target Corp.	101.88
1963-12-31	USFS2A6	Target Corp.	102.57
1964-01-31	USFS2A6	Target Corp.	100.37
1964-02-29	USFS2A6	Target Corp.	102.92
1964-03-31	USFS2A6	Target Corp.	104.55
1964-04-30	USFS2A6	Target Corp.	102.11
1964-05-31	USFS2A6	Target Corp.	104.09
1964-06-30	USFS2A6	Target Corp.	106.61
1964-07-31	USFS2A6	Target Corp.	106.99
1964-08-31	USFS2A6	Target Corp.	103.26
1964-09-30	USFS2A6	Target Corp.	101.34
1964-10-31	USFS2A6	Target Corp.	103.89
1964-11-30	USFS2A6	Target Corp.	105.12
1964-12-31	USFS2A6	Target Corp.	103.83
1965-01-31	USFS2A6	Target Corp.	96.4
1965-02-28	USFS2A6	Target Corp.	90.78
1965-03-31	USFS2A6	Target Corp.	94.98
1965-04-30	USFS2A6	Target Corp.	97.39
1965-05-31	USFS2A6	Target Corp.	93.95
1965-06-30	USFS2A6	Target Corp.	93.06
1965-07-31	USFS2A6	Target Corp.	92.22
1965-08-31	USFS2A6	Target Corp.	92.09
1965-09-30	USFS2A6	Target Corp.	100.39
1965-10-31	USFS2A6	Target Corp.	96.53
1965-11-30	USFS2A6	Target Corp.	95.72
1965-12-31	USFS2A6	Target Corp.	98.16
1966-01-31	USFS2A6	Target Corp.	101.73
1966-02-28	USFS2A6	Target Corp.	97.77
1966-03-31	USFS2A6	Target Corp.	96.7
1966-04-30	USFS2A6	Target Corp.	96.39
1966-05-31	USFS2A6	Target Corp.	98.98
1966-06-30	USFS2A6	Target Corp.	107.92
1966-07-31	USFS2A6	Target Corp.	106.04
1966-08-31	USFS2A6	Target Corp.	107.79
1966-09-30	USFS2A6	Target Corp.	102.39
1966-10-31	USFS2A6	Target Corp.	100.28
1966-11-30	USFS2A6	Target Corp.	102.25
1966-12-31	USFS2A6	Target Corp.	104.75
1967-01-31	USFS2A6	Target Corp.	107.43
1967-02-28	USFS2A6	Target Corp.	109.06
1967-03-31	USFS2A6	Target Corp.	107.15
1967-04-30	USFS2A6	Target Corp.	104.22
1967-05-31	USFS2A6	Target Corp.	101.0
1967-06-30	USFS2A6	Target Corp.	101.7
1967-07-31	USFS2A6	Target Corp.	94.46
1967-08-31	USFS2A6	Target Corp.	95.52
1967-09-30	USFS2A6	Target Corp.	97.41
1967-10-31	USFS2A6	Target Corp.	99.32
1967-11-30	USFS2A6	Target Corp.	104.0
1967-12-31	USFS2A6	Target Corp.	104.36
1968-01-31	USFS2A6	Target Corp.	103.78
1968-02-29	USFS2A6	Target Corp.	110.1
1968-03-31	USFS2A6	Target Corp.	109.91
1968-04-30	USFS2A6	Target Corp.	109.01
1968-05-31	USFS2A6	Target Corp.	108.09
1968-06-30	USFS2A6	Target Corp.	110.64
1968-07-31	USFS2A6	Target Corp.	113.11
1968-08-31	USFS2A6	Target Corp.	104.49
1968-09-30	USFS2A6	Target Corp.	100.36
1968-10-31	USFS2A6	Target Corp.	100.53
1968-11-30	USFS2A6	Target Corp.	108.31
1968-12-31	USFS2A6	Target Corp.	113.63
1969-01-31	USFS2A6	Target Corp.	121.79
1969-02-28	USFS2A6	Target Corp.	117.26
1969-03-31	USFS2A6	Target Corp.	122.76
1969-04-30	USFS2A6	Target Corp.	125.54
1969-05-31	USFS2A6	Target Corp.	120.75
1969-06-30	USFS2A6	Target Corp.	123.54
1969-07-31	USFS2A6	Target Corp.	122.21
1969-08-31	USFS2A6	Target Corp.	123.45
1969-09-30	USFS2A6	Target Corp.	126.71
1969-10-31	USFS2A6	Target Corp.	125.83
1969-11-30	USFS2A6	Target Corp.	121.86
1969-12-31	USFS2A6	Target Corp.	120.31
1970-01-31	USFS2A6	Target Corp.	128.18
1970-02-28	USFS2A6	Target Corp.	130.56
1970-03-31	USFS2A6	Target Corp.	137.56
1970-04-30	USFS2A6	Target Corp.	142.65
1970-05-31	USFS2A6	Target Corp.	148.96
1970-06-30	USFS2A6	Target Corp.	141.35
1970-07-31	USFS2A6	Target Corp.	140.15
1970-08-31	USFS2A6	Target Corp.	140.61
1970-09-30	USFS2A6	Target Corp.	139.47
1970-10-31	USFS2A6	Target Corp.	142.45
1970-11-30	USFS2A6	Target Corp.	148.92
1970-12-31	USFS2A6	Target Corp.	155.48
1971-01-31	USFS2A6	Target Corp.	152.94
1971-02-28	USFS2A6	Target Corp.	153.29
1971-03-31	USFS2A6	Target Corp.	156.38
1971-04-30	USFS2A6	Target Corp.	158.67
1971-05-31	USFS2A6	Target Corp.	159.18
1971-06-30	USFS2A6	Target Corp.	155.69
1971-07-31	USFS2A6	Target Corp.	155.34
1971-08-31	USFS2A6	Target Corp.	156.49
1971-09-30	USFS2A6	Target Corp.	154.37
1971-10-31	USFS2A6	Target Corp.	154.21
1971-11-30	USFS2A6	Target Corp.	156.42
1971-12-31	USFS2A6	Target Corp.	155.57
1972-01-31	USFS2A6	Target Corp.	153.18
1972-02-29	USFS2A6	Target Corp.	150.16
1972-03-31	USFS2A6	Target Corp.	155.35
1972-04-30	USFS2A6	Target Corp.	155.43
1972-05-31	USFS2A6	Target Corp.	158.53
1972-06-30	USFS2A6	Target Corp.	152.44
1972-07-31	USFS2A6	Target Corp.	155.77
1972-08-31	USFS2A6	Target Corp.	154.78
1972-09-30	USFS2A6	Target Corp.	154.97
1972-10-31	USFS2A6	Target Corp.	157.36
1972-11-30	USFS2A6	Target Corp.	160.45
1972-12-31	USFS2A6	Target Corp.	161.97
1973-01-31	USFS2A6	Target Corp.	159.03
1973-02-28	USFS2A6	Target Corp.	157.26
1973-03-31	USFS2A6	Target Corp.	159.11
1973-04-30	USFS2A6	Target Corp.	156.19
1973-05-31	USFS2A6	Target Corp.	156.14
1973-06-30	USFS2A6	Target Corp.	157.81
1973-07-31	USFS2A6	Target Corp.	153.93
1973-08-31	USFS2A6	Target Corp.	152.35
1973-09-30	USFS2A6	Target Corp.	147.9
1973-10-31	USFS2A6	Target Corp.	149.98
1973-11-30	USFS2A6	Target Corp.	148.04
1973-12-31	USFS2A6	Target Corp.	146.01
1974-01-31	USFS2A6	Target Corp.	149.16
1974-02-28	USFS2A6	Target Corp.	147.59
1974-03-31	USFS2A6	Target Corp.	152.04
1974-04-30	USFS2A6	Target Corp.	160.55
1974-05-31	USFS2A6	Target Corp.	163.25
1974-06-30	USFS2A6	Target Corp.	163.28
1974-07-31	USFS2A6	Target Corp.	161.83
1974-08-31	USFS2A6	Target Corp.	165.11
1974-09-30	USFS2A6	Target Corp.	162.2
1974-10-31	USFS2A6	Target Corp.	159.96
1974-11-30	USFS2A6	Target Corp.	158.39
1974-12-31	USFS2A6	Target Corp.	159.33
1975-01-31	USFS2A6	Target Corp.	160.29
1975-02-28	USFS2A6	Target Corp.	158.16
1975-03-31	USFS2A6	Target Corp.	157.47
1975-04-30	USFS2A6	Target Corp.	149.54
1975-05-31	USFS2A6	Target Corp.	149.71
1975-06-30	USFS2A6	Target Corp.	149.78
1975-07-31	USFS2A6	Target Corp.	146.77
1975-08-31	USFS2A6	Target Corp.	147.15
1975-09-30	USFS2A6	Target Corp.	147.52
1975-10-31	USFS2A6	Target Corp.	148.59
1975-11-30	USFS2A6	Target Corp.	152.06
1975-12-31	USFS2A6	Target Corp.	148.86
1976-01-31	USFS2A6	Target Corp.	151.04
1976-02-29	USFS2A6	Target Corp.	150.92
1976-03-31	USFS2A6	Target Corp.	151.78
1976-04-30	USFS2A6	Target Corp.	158.59
1976-05-31	USFS2A6	Target Corp.	159.86
1976-06-30	USFS2A6	Target Corp.	157.51
