Date	Company Code	Company Name	Stock Price
1959-01-31	USBYEPC	Tencent Holdings Ltd.	115.35
1959-02-28	USBYEPC	Tencent Holdings Ltd.	117.61
1959-03-31	USBYEPC	Tencent Holdings Ltd.	117.08
1959-04-30	USBYEPC	Tencent Holdings Ltd.	118.39
1959-05-31	USBYEPC	Tencent Holdings Ltd.	116.54
1959-06-30	USBYEPC	Tencent Holdings Ltd.	112.6
1959-07-31	USBYEPC	Tencent Holdings Ltd.	112.68
1959-08-31	USBYEPC	Tencent Holdings Ltd.	112.88
1959-09-30	USBYEPC	Tencent Holdings Ltd.	114.25
1959-10-31	USBYEPC	Tencent Holdings Ltd.	113.0
1959-11-30	USBYEPC	Tencent Holdings Ltd.	106.79
1959-12-31	USBYEPC	Tencent Holdings Ltd.	110.67
1960-01-31	USBYEPC	Tencent Holdings Ltd.	118.49
1960-02-29	USBYEPC	Tencent Holdings Ltd.	109.42
1960-03-31	USBYEPC	Tencent Holdings Ltd.	105.06
1960-04-30	USBYEPC	Tencent Holdings Ltd.	99.91
1960-05-31	USBYEPC	Tencent Holdings Ltd.	105.19
1960-06-30	USBYEPC	Tencent Holdings Ltd.	106.25
1960-07-31	USBYEPC	Tencent Holdings Ltd.	106.43
1960-08-31	USBYEPC	Tencent Holdings Ltd.	107.65
1960-09-30	USBYEPC	Tencent Holdings Ltd.	109.43
1960-10-31	USBYEPC	Tencent Holdings Ltd.	107.34
1960-11-30	USBYEPC	Tencent Holdings Ltd.	109.73
1960-12-31	USBYEPC	Tencent Holdings Ltd.	106.72
1961-01-31	USBYEPC	Tencent Holdings Ltd.	104.52
1961-02-28	USBYEPC	Tencent Holdings Ltd.	109.82
1961-03-31	USBYEPC	Tencent Holdings Ltd.	116.06
1961-04-30	USBYEPC	Tencent Holdings Ltd.	118.05
1961-05-31	USBYEPC	Tencent Holdings Ltd.	118.28
1961-06-30	USBYEPC	Tencent Holdings Ltd.	120.46
1961-07-31	USBYEPC	Tencent Holdings Ltd.	123.0
1961-08-31	USBYEPC	Tencent Holdings Ltd.	119.45
1961-09-30	USBYEPC	Tencent Holdings Ltd.	123.88
1961-10-31	USBYEPC	Tencent Holdings Ltd.	115.6
1961-11-30	USBYEPC	Tencent Holdings Ltd.	117.13
1961-12-31	USBYEPC	Tencent Holdings Ltd.	118.62
1962-01-31	USBYEPC	Tencent Holdings Ltd.	126.05
1962-02-28	USBYEPC	Tencent Holdings Ltd.	124.93
1962-03-31	USBYEPC	Tencent Holdings Ltd.	123.55
1962-04-30	USBYEPC	Tencent Holdings Ltd.	119.58
1962-05-31	USBYEPC	Tencent Holdings Ltd.	121.84
1962-06-30	USBYEPC	Tencent Holdings Ltd.	125.42
1962-07-31	USBYEPC	Tencent Holdings Ltd.	131.79
1962-08-31	USBYEPC	Tencent Holdings Ltd.	133.26
1962-09-30	USBYEPC	Tencent Holdings Ltd.	134.54
1962-10-31	USBYEPC	Tencent Holdings Ltd.	126.76
1962-11-30	USBYEPC	Tencent Holdings Ltd.	122.61
1962-12-31	USBYEPC	Tencent Holdings Ltd.	122.35
1963-01-31	USBYEPC	Tencent Holdings Ltd.	123.29
1963-02-28	USBYEPC	Tencent Holdings Ltd.	131.18
1963-03-31	USBYEPC	Tencent Holdings Ltd.	129.09
1963-04-30	USBYEPC	Tencent Holdings Ltd.	124.15
1963-05-31	USBYEPC	Tencent Holdings Ltd.	123.72
1963-06-30	USBYEPC	Tencent Holdings Ltd.	122.96
1963-07-31	USBYEPC	Tencent Holdings Ltd.	119.18
1963-08-31	USBYEPC	Tencent Holdings Ltd.	119.26
1963-09-30	USBYEPC	Tencent Holdings Ltd.	120.36
1963-10-31	USBYEPC	Tencent Holdings Ltd.	118.69
1963-11-30	USBYEPC	Tencent Holdings Ltd.	120.45
1963-12-31	USBYEPC	Tencent Holdings Ltd.	121.65
1964-01-31	USBYEPC	Tencent Holdings Ltd.	118.54
1964-02-29	USBYEPC	Tencent Holdings Ltd.	112.6
1964-03-31	USBYEPC	Tencent Holdings Ltd.	112.61
1964-04-30	USBYEPC	Tencent Holdings Ltd.	113.09
1964-05-31	USBYEPC	Tencent Holdings Ltd.	114.4
1964-06-30	USBYEPC	Tencent Holdings Ltd.	114.51
1964-07-31	USBYEPC	Tencent Holdings Ltd.	113.13
1964-08-31	USBYEPC	Tencent Holdings Ltd.	107.93
1964-09-30	USBYEPC	Tencent Holdings Ltd.	107.25
1964-10-31	USBYEPC	Tencent Holdings Ltd.	105.73
1964-11-30	USBYEPC	Tencent Holdings Ltd.	101.62
1964-12-31	USBYEPC	Tencent Holdings Ltd.	105.66
1965-01-31	USBYEPC	Tencent Holdings Ltd.	101.1
1965-02-28	USBYEPC	Tencent Holdings Ltd.	100.68
1965-03-31	USBYEPC	Tencent Holdings Ltd.	107.45
1965-04-30	USBYEPC	Tencent Holdings Ltd.	102.52
1965-05-31	USBYEPC	Tencent Holdings Ltd.	106.99
1965-06-30	USBYEPC	Tencent Holdings Ltd.	106.64
1965-07-31	USBYEPC	Tencent Holdings Ltd.	106.68
1965-08-31	USBYEPC	Tencent Holdings Ltd.	108.51
1965-09-30	USBYEPC	Tencent Holdings Ltd.	108.45
1965-10-31	USBYEPC	Tencent Holdings Ltd.	104.14
1965-11-30	USBYEPC	Tencent Holdings Ltd.	107.35
1965-12-31	USBYEPC	Tencent Holdings Ltd.	113.71
1966-01-31	USBYEPC	Tencent Holdings Ltd.	106.79
1966-02-28	USBYEPC	Tencent Holdings Ltd.	107.59
1966-03-31	USBYEPC	Tencent Holdings Ltd.	107.51
1966-04-30	USBYEPC	Tencent Holdings Ltd.	109.32
1966-05-31	USBYEPC	Tencent Holdings Ltd.	110.16
1966-06-30	USBYEPC	Tencent Holdings Ltd.	109.34
1966-07-31	USBYEPC	Tencent Holdings Ltd.	107.43
1966-08-31	USBYEPC	Tencent Holdings Ltd.	114.79
1966-09-30	USBYEPC	Tencent Holdings Ltd.	108.94
1966-10-31	USBYEPC	Tencent Holdings Ltd.	109.36
1966-11-30	USBYEPC	Tencent Holdings Ltd.	111.15
1966-12-31	USBYEPC	Tencent Holdings Ltd.	113.56
1967-01-31	USBYEPC	Tencent Holdings Ltd.	111.58
1967-02-28	USBYEPC	Tencent Holdings Ltd.	107.12
1967-03-31	USBYEPC	Tencent Holdings Ltd.	106.89
1967-04-30	USBYEPC	Tencent Holdings Ltd.	105.57
