Date	Company Code	Company Name	Stock Price
1959-01-31	USXUAUF	Tesla Inc.	111.97
1959-02-28	USXUAUF	Tesla Inc.	113.48
1959-03-31	USXUAUF	Tesla Inc.	113.14
1959-04-30	USXUAUF	Tesla Inc.	113.17
1959-05-31	USXUAUF	Tesla Inc.	113.04
1959-06-30	USXUAUF	Tesla Inc.	117.69
1959-07-31	USXUAUF	Tesla Inc.	113.78
1959-08-31	USXUAUF	Tesla Inc.	117.89
1959-09-30	USXUAUF	Tesla Inc.	120.79
1959-10-31	USXUAUF	Tesla Inc.	122.56
1959-11-30	USXUAUF	Tesla Inc.	122.58
1959-12-31	USXUAUF	Tesla Inc.	118.92
1960-01-31	USXUAUF	Tesla Inc.	114.21
1960-02-29	USXUAUF	Tesla Inc.	116.1
1960-03-31	USXUAUF	Tesla Inc.	116.37
1960-04-30	USXUAUF	Tesla Inc.	115.02
1960-05-31	USXUAUF	Tesla Inc.	113.16
1960-06-30	USXUAUF	Tesla Inc.	113.21
1960-07-31	USXUAUF	Tesla Inc.	113.16
1960-08-31	USXUAUF	Tesla Inc.	112.86
1960-09-30	USXUAUF	Tesla Inc.	107.9
1960-10-31	USXUAUF	Tesla Inc.	100.58
1960-11-30	USXUAUF	Tesla Inc.	103.42
1960-12-31	USXUAUF	Tesla Inc.	105.73
1961-01-31	USXUAUF	Tesla Inc.	107.11
1961-02-28	USXUAUF	Tesla Inc.	102.27
1961-03-31	USXUAUF	Tesla Inc.	100.3
1961-04-30	USXUAUF	Tesla Inc.	103.88
1961-05-31	USXUAUF	Tesla Inc.	97.33
1961-06-30	USXUAUF	Tesla Inc.	96.18
1961-07-31	USXUAUF	Tesla Inc.	96.28
1961-08-31	USXUAUF	Tesla Inc.	101.86
1961-09-30	USXUAUF	Tesla Inc.	103.32
1961-10-31	USXUAUF	Tesla Inc.	101.66
1961-11-30	USXUAUF	Tesla Inc.	100.9
1961-12-31	USXUAUF	Tesla Inc.	94.0
1962-01-31	USXUAUF	Tesla Inc.	92.87
1962-02-28	USXUAUF	Tesla Inc.	101.15
1962-03-31	USXUAUF	Tesla Inc.	96.61
1962-04-30	USXUAUF	Tesla Inc.	94.2
1962-05-31	USXUAUF	Tesla Inc.	93.28
1962-06-30	USXUAUF	Tesla Inc.	86.41
1962-07-31	USXUAUF	Tesla Inc.	91.11
1962-08-31	USXUAUF	Tesla Inc.	89.77
1962-09-30	USXUAUF	Tesla Inc.	87.5
1962-10-31	USXUAUF	Tesla Inc.	87.64
1962-11-30	USXUAUF	Tesla Inc.	89.99
1962-12-31	USXUAUF	Tesla Inc.	87.21
1963-01-31	USXUAUF	Tesla Inc.	87.65
1963-02-28	USXUAUF	Tesla Inc.	83.21
1963-03-31	USXUAUF	Tesla Inc.	84.56
1963-04-30	USXUAUF	Tesla Inc.	82.55
1963-05-31	USXUAUF	Tesla Inc.	78.82
1963-06-30	USXUAUF	Tesla Inc.	83.78
1963-07-31	USXUAUF	Tesla Inc.	84.82
1963-08-31	USXUAUF	Tesla Inc.	84.36
1963-09-30	USXUAUF	Tesla Inc.	82.6
1963-10-31	USXUAUF	Tesla Inc.	81.77
1963-11-30	USXUAUF	Tesla Inc.	88.06
1963-12-31	USXUAUF	Tesla Inc.	93.14
1964-01-31	USXUAUF	Tesla Inc.	93.96
1964-02-29	USXUAUF	Tesla Inc.	92.04
1964-03-31	USXUAUF	Tesla Inc.	91.13
1964-04-30	USXUAUF	Tesla Inc.	93.57
1964-05-31	USXUAUF	Tesla Inc.	97.96
1964-06-30	USXUAUF	Tesla Inc.	95.56
1964-07-31	USXUAUF	Tesla Inc.	92.57
1964-08-31	USXUAUF	Tesla Inc.	95.76
1964-09-30	USXUAUF	Tesla Inc.	91.41
1964-10-31	USXUAUF	Tesla Inc.	88.83
1964-11-30	USXUAUF	Tesla Inc.	89.88
1964-12-31	USXUAUF	Tesla Inc.	93.89
1965-01-31	USXUAUF	Tesla Inc.	97.64
1965-02-28	USXUAUF	Tesla Inc.	98.42
1965-03-31	USXUAUF	Tesla Inc.	100.7
1965-04-30	USXUAUF	Tesla Inc.	98.3
1965-05-31	USXUAUF	Tesla Inc.	97.38
1965-06-30	USXUAUF	Tesla Inc.	99.57
1965-07-31	USXUAUF	Tesla Inc.	104.98
1965-08-31	USXUAUF	Tesla Inc.	99.8
1965-09-30	USXUAUF	Tesla Inc.	94.32
1965-10-31	USXUAUF	Tesla Inc.	94.89
1965-11-30	USXUAUF	Tesla Inc.	91.11
1965-12-31	USXUAUF	Tesla Inc.	93.16
1966-01-31	USXUAUF	Tesla Inc.	90.77
1966-02-28	USXUAUF	Tesla Inc.	90.05
1966-03-31	USXUAUF	Tesla Inc.	87.39
1966-04-30	USXUAUF	Tesla Inc.	94.15
1966-05-31	USXUAUF	Tesla Inc.	93.3
1966-06-30	USXUAUF	Tesla Inc.	92.3
1966-07-31	USXUAUF	Tesla Inc.	97.66
1966-08-31	USXUAUF	Tesla Inc.	94.93
1966-09-30	USXUAUF	Tesla Inc.	95.88
1966-10-31	USXUAUF	Tesla Inc.	103.5
1966-11-30	USXUAUF	Tesla Inc.	100.51
1966-12-31	USXUAUF	Tesla Inc.	101.75
1967-01-31	USXUAUF	Tesla Inc.	104.3
1967-02-28	USXUAUF	Tesla Inc.	96.33
1967-03-31	USXUAUF	Tesla Inc.	93.7
1967-04-30	USXUAUF	Tesla Inc.	97.33
1967-05-31	USXUAUF	Tesla Inc.	92.99
1967-06-30	USXUAUF	Tesla Inc.	94.57
1967-07-31	USXUAUF	Tesla Inc.	96.32
1967-08-31	USXUAUF	Tesla Inc.	93.18
1967-09-30	USXUAUF	Tesla Inc.	92.85
1967-10-31	USXUAUF	Tesla Inc.	88.28
1967-11-30	USXUAUF	Tesla Inc.	82.67
1967-12-31	USXUAUF	Tesla Inc.	81.32
1968-01-31	USXUAUF	Tesla Inc.	83.4
1968-02-29	USXUAUF	Tesla Inc.	76.8
1968-03-31	USXUAUF	Tesla Inc.	75.19
1968-04-30	USXUAUF	Tesla Inc.	74.94
1968-05-31	USXUAUF	Tesla Inc.	75.77
1968-06-30	USXUAUF	Tesla Inc.	77.7
1968-07-31	USXUAUF	Tesla Inc.	80.0
1968-08-31	USXUAUF	Tesla Inc.	82.71
1968-09-30	USXUAUF	Tesla Inc.	82.93
1968-10-31	USXUAUF	Tesla Inc.	82.18
1968-11-30	USXUAUF	Tesla Inc.	86.27
1968-12-31	USXUAUF	Tesla Inc.	92.88
1969-01-31	USXUAUF	Tesla Inc.	101.92
1969-02-28	USXUAUF	Tesla Inc.	100.92
1969-03-31	USXUAUF	Tesla Inc.	97.66
1969-04-30	USXUAUF	Tesla Inc.	95.67
1969-05-31	USXUAUF	Tesla Inc.	99.78
1969-06-30	USXUAUF	Tesla Inc.	100.32
1969-07-31	USXUAUF	Tesla Inc.	101.87
1969-08-31	USXUAUF	Tesla Inc.	102.32
1969-09-30	USXUAUF	Tesla Inc.	96.83
1969-10-31	USXUAUF	Tesla Inc.	100.36
1969-11-30	USXUAUF	Tesla Inc.	103.49
1969-12-31	USXUAUF	Tesla Inc.	107.27
1970-01-31	USXUAUF	Tesla Inc.	108.62
1970-02-28	USXUAUF	Tesla Inc.	102.77
1970-03-31	USXUAUF	Tesla Inc.	99.1
1970-04-30	USXUAUF	Tesla Inc.	101.25
1970-05-31	USXUAUF	Tesla Inc.	100.81
1970-06-30	USXUAUF	Tesla Inc.	101.67
1970-07-31	USXUAUF	Tesla Inc.	96.12
1970-08-31	USXUAUF	Tesla Inc.	102.88
1970-09-30	USXUAUF	Tesla Inc.	98.57
1970-10-31	USXUAUF	Tesla Inc.	96.96
1970-11-30	USXUAUF	Tesla Inc.	96.93
1970-12-31	USXUAUF	Tesla Inc.	103.39
