Date	Company Code	Company Name	Stock Price
1959-01-31	US7IABC	Textron Inc.	102.1
1959-02-28	US7IABC	Textron Inc.	101.82
1959-03-31	US7IABC	Textron Inc.	101.12
1959-04-30	US7IABC	Textron Inc.	100.66
1959-05-31	US7IABC	Textron Inc.	102.87
1959-06-30	US7IABC	Textron Inc.	97.39
1959-07-31	US7IABC	Textron Inc.	92.0
1959-08-31	US7IABC	Textron Inc.	89.1
1959-09-30	US7IABC	Textron Inc.	86.7
1959-10-31	US7IABC	Textron Inc.	85.61
1959-11-30	US7IABC	Textron Inc.	87.2
1959-12-31	US7IABC	Textron Inc.	89.03
1960-01-31	US7IABC	Textron Inc.	92.72
1960-02-29	US7IABC	Textron Inc.	93.03
1960-03-31	US7IABC	Textron Inc.	94.17
1960-04-30	US7IABC	Textron Inc.	97.6
1960-05-31	US7IABC	Textron Inc.	98.08
1960-06-30	US7IABC	Textron Inc.	94.01
1960-07-31	US7IABC	Textron Inc.	96.49
1960-08-31	US7IABC	Textron Inc.	97.8
1960-09-30	US7IABC	Textron Inc.	95.36
1960-10-31	US7IABC	Textron Inc.	94.73
1960-11-30	US7IABC	Textron Inc.	92.87
1960-12-31	US7IABC	Textron Inc.	90.73
1961-01-31	US7IABC	Textron Inc.	91.16
1961-02-28	US7IABC	Textron Inc.	88.93
1961-03-31	US7IABC	Textron Inc.	87.13
1961-04-30	US7IABC	Textron Inc.	84.08
1961-05-31	US7IABC	Textron Inc.	82.42
1961-06-30	US7IABC	Textron Inc.	80.9
1961-07-31	US7IABC	Textron Inc.	79.17
1961-08-31	US7IABC	Textron Inc.	74.06
1961-09-30	US7IABC	Textron Inc.	67.66
1961-10-31	US7IABC	Textron Inc.	63.8
1961-11-30	US7IABC	Textron Inc.	66.61
1961-12-31	US7IABC	Textron Inc.	60.77
1962-01-31	US7IABC	Textron Inc.	62.19033725025584
1962-02-28	US7IABC	Textron Inc.	64.98
1962-03-31	US7IABC	Textron Inc.	70.94
1962-04-30	US7IABC	Textron Inc.	65.81
1962-05-31	US7IABC	Textron Inc.	67.67
1962-06-30	US7IABC	Textron Inc.	66.71
1962-07-31	US7IABC	Textron Inc.	69.25
1962-08-31	US7IABC	Textron Inc.	68.63
1962-09-30	US7IABC	Textron Inc.	66.27
1962-10-31	US7IABC	Textron Inc.	67.45
1962-11-30	US7IABC	Textron Inc.	64.54
1962-12-31	US7IABC	Textron Inc.	63.44
1963-01-31	US7IABC	Textron Inc.	61.45996755327417
1963-02-28	US7IABC	Textron Inc.	64.16
1963-03-31	US7IABC	Textron Inc.	65.38
1963-04-30	US7IABC	Textron Inc.	69.29
1963-05-31	US7IABC	Textron Inc.	71.54
1963-06-30	US7IABC	Textron Inc.	68.52
1963-07-31	US7IABC	Textron Inc.	68.23
1963-08-31	US7IABC	Textron Inc.	68.86
1963-09-30	US7IABC	Textron Inc.	66.23
1963-10-31	US7IABC	Textron Inc.	62.52927069444006
1963-11-30	US7IABC	Textron Inc.	62.16969346634894
1963-12-31	US7IABC	Textron Inc.	65.7
1964-01-31	US7IABC	Textron Inc.	62.67
1964-02-29	US7IABC	Textron Inc.	62.3388788105879
1964-03-31	US7IABC	Textron Inc.	62.67
1964-04-30	US7IABC	Textron Inc.	61.584579674238775
1964-05-31	US7IABC	Textron Inc.	62.671141786814005
1964-06-30	US7IABC	Textron Inc.	64.64
1964-07-31	US7IABC	Textron Inc.	64.97
1964-08-31	US7IABC	Textron Inc.	66.59
1964-09-30	US7IABC	Textron Inc.	63.41
1964-10-31	US7IABC	Textron Inc.	60.62
1964-11-30	US7IABC	Textron Inc.	67.07
1964-12-31	US7IABC	Textron Inc.	66.21
1965-01-31	US7IABC	Textron Inc.	60.78
1965-02-28	US7IABC	Textron Inc.	61.46356942834734
1965-03-31	US7IABC	Textron Inc.	62.55056079242798
1965-04-30	US7IABC	Textron Inc.	61.6259343444821
1965-05-31	US7IABC	Textron Inc.	62.20901550747035
1965-06-30	US7IABC	Textron Inc.	70.08
1965-07-31	US7IABC	Textron Inc.	62.11
1965-08-31	US7IABC	Textron Inc.	63.16
1965-09-30	US7IABC	Textron Inc.	61.010567042186146
1965-10-31	US7IABC	Textron Inc.	62.42
1965-11-30	US7IABC	Textron Inc.	64.07
1965-12-31	US7IABC	Textron Inc.	61.09124524095229
1966-01-31	US7IABC	Textron Inc.	61.48857005582843
1966-02-28	US7IABC	Textron Inc.	60.23
1966-03-31	US7IABC	Textron Inc.	60.56
1966-04-30	US7IABC	Textron Inc.	61.40393071959532
1966-05-31	US7IABC	Textron Inc.	63.63
1966-06-30	US7IABC	Textron Inc.	61.83564145149045
1966-07-31	US7IABC	Textron Inc.	62.48606509017547
1966-08-31	US7IABC	Textron Inc.	60.76
1966-09-30	US7IABC	Textron Inc.	61.98335369676679
1966-10-31	US7IABC	Textron Inc.	62.87818681896169
1966-11-30	US7IABC	Textron Inc.	71.39
1966-12-31	US7IABC	Textron Inc.	79.69
1967-01-31	US7IABC	Textron Inc.	79.37
1967-02-28	US7IABC	Textron Inc.	78.79
1967-03-31	US7IABC	Textron Inc.	75.19
1967-04-30	US7IABC	Textron Inc.	77.66
1967-05-31	US7IABC	Textron Inc.	77.63
1967-06-30	US7IABC	Textron Inc.	75.73
1967-07-31	US7IABC	Textron Inc.	71.26
1967-08-31	US7IABC	Textron Inc.	79.25
1967-09-30	US7IABC	Textron Inc.	78.94
1967-10-31	US7IABC	Textron Inc.	87.22
1967-11-30	US7IABC	Textron Inc.	82.15
1967-12-31	US7IABC	Textron Inc.	83.81
1968-01-31	US7IABC	Textron Inc.	81.75
1968-02-29	US7IABC	Textron Inc.	83.8
1968-03-31	US7IABC	Textron Inc.	86.18
1968-04-30	US7IABC	Textron Inc.	77.88
1968-05-31	US7IABC	Textron Inc.	76.75
1968-06-30	US7IABC	Textron Inc.	81.05
1968-07-31	US7IABC	Textron Inc.	83.32
1968-08-31	US7IABC	Textron Inc.	81.33
1968-09-30	US7IABC	Textron Inc.	82.15
1968-10-31	US7IABC	Textron Inc.	81.54
1968-11-30	US7IABC	Textron Inc.	83.06
1968-12-31	US7IABC	Textron Inc.	82.89
1969-01-31	US7IABC	Textron Inc.	86.05
1969-02-28	US7IABC	Textron Inc.	84.77
1969-03-31	US7IABC	Textron Inc.	82.08
1969-04-30	US7IABC	Textron Inc.	81.12
1969-05-31	US7IABC	Textron Inc.	77.61
1969-06-30	US7IABC	Textron Inc.	84.54
1969-07-31	US7IABC	Textron Inc.	86.2
1969-08-31	US7IABC	Textron Inc.	88.54
1969-09-30	US7IABC	Textron Inc.	82.11
1969-10-31	US7IABC	Textron Inc.	87.55
1969-11-30	US7IABC	Textron Inc.	78.2
1969-12-31	US7IABC	Textron Inc.	78.1
1970-01-31	US7IABC	Textron Inc.	79.77
1970-02-28	US7IABC	Textron Inc.	84.24
1970-03-31	US7IABC	Textron Inc.	92.44
1970-04-30	US7IABC	Textron Inc.	96.76
1970-05-31	US7IABC	Textron Inc.	93.29
1970-06-30	US7IABC	Textron Inc.	98.82
1970-07-31	US7IABC	Textron Inc.	98.57
1970-08-31	US7IABC	Textron Inc.	102.74
1970-09-30	US7IABC	Textron Inc.	101.03
1970-10-31	US7IABC	Textron Inc.	104.36
1970-11-30	US7IABC	Textron Inc.	104.28
1970-12-31	US7IABC	Textron Inc.	103.38
1971-01-31	US7IABC	Textron Inc.	112.75
1971-02-28	US7IABC	Textron Inc.	112.34
1971-03-31	US7IABC	Textron Inc.	106.75
1971-04-30	US7IABC	Textron Inc.	108.71
1971-05-31	US7IABC	Textron Inc.	107.3
1971-06-30	US7IABC	Textron Inc.	106.07
1971-07-31	US7IABC	Textron Inc.	106.31
1971-08-31	US7IABC	Textron Inc.	106.67
1971-09-30	US7IABC	Textron Inc.	105.24
1971-10-31	US7IABC	Textron Inc.	107.97
1971-11-30	US7IABC	Textron Inc.	112.35
1971-12-31	US7IABC	Textron Inc.	109.66
1972-01-31	US7IABC	Textron Inc.	104.18
1972-02-29	US7IABC	Textron Inc.	110.52
1972-03-31	US7IABC	Textron Inc.	104.29
1972-04-30	US7IABC	Textron Inc.	107.4
1972-05-31	US7IABC	Textron Inc.	101.24
1972-06-30	US7IABC	Textron Inc.	98.92
1972-07-31	US7IABC	Textron Inc.	95.8
1972-08-31	US7IABC	Textron Inc.	95.37
1972-09-30	US7IABC	Textron Inc.	91.38
1972-10-31	US7IABC	Textron Inc.	90.23
1972-11-30	US7IABC	Textron Inc.	92.63
1972-12-31	US7IABC	Textron Inc.	95.75
1973-01-31	US7IABC	Textron Inc.	97.36
1973-02-28	US7IABC	Textron Inc.	91.51
1973-03-31	US7IABC	Textron Inc.	93.63
1973-04-30	US7IABC	Textron Inc.	85.25
1973-05-31	US7IABC	Textron Inc.	88.39
1973-06-30	US7IABC	Textron Inc.	85.89
1973-07-31	US7IABC	Textron Inc.	91.14
1973-08-31	US7IABC	Textron Inc.	92.26
1973-09-30	US7IABC	Textron Inc.	89.44
1973-10-31	US7IABC	Textron Inc.	91.54
1973-11-30	US7IABC	Textron Inc.	95.39
1973-12-31	US7IABC	Textron Inc.	88.82
1974-01-31	US7IABC	Textron Inc.	91.8
1974-02-28	US7IABC	Textron Inc.	96.63
1974-03-31	US7IABC	Textron Inc.	93.26
1974-04-30	US7IABC	Textron Inc.	90.02
1974-05-31	US7IABC	Textron Inc.	93.64
1974-06-30	US7IABC	Textron Inc.	91.17
1974-07-31	US7IABC	Textron Inc.	93.77
1974-08-31	US7IABC	Textron Inc.	89.04
1974-09-30	US7IABC	Textron Inc.	91.74
1974-10-31	US7IABC	Textron Inc.	90.83
1974-11-30	US7IABC	Textron Inc.	87.64
1974-12-31	US7IABC	Textron Inc.	88.2
1975-01-31	US7IABC	Textron Inc.	89.96
1975-02-28	US7IABC	Textron Inc.	83.9
1975-03-31	US7IABC	Textron Inc.	84.62
1975-04-30	US7IABC	Textron Inc.	86.65
1975-05-31	US7IABC	Textron Inc.	87.64
1975-06-30	US7IABC	Textron Inc.	89.6
1975-07-31	US7IABC	Textron Inc.	95.26
1975-08-31	US7IABC	Textron Inc.	101.68
1975-09-30	US7IABC	Textron Inc.	108.66
1975-10-31	US7IABC	Textron Inc.	110.59
1975-11-30	US7IABC	Textron Inc.	112.34
1975-12-31	US7IABC	Textron Inc.	110.07
1976-01-31	US7IABC	Textron Inc.	110.82
1976-02-29	US7IABC	Textron Inc.	112.02
1976-03-31	US7IABC	Textron Inc.	111.36
1976-04-30	US7IABC	Textron Inc.	116.32
1976-05-31	US7IABC	Textron Inc.	114.97
1976-06-30	US7IABC	Textron Inc.	115.53
1976-07-31	US7IABC	Textron Inc.	110.3
1976-08-31	US7IABC	Textron Inc.	108.79
1976-09-30	US7IABC	Textron Inc.	110.19
1976-10-31	US7IABC	Textron Inc.	108.05
1976-11-30	US7IABC	Textron Inc.	111.86
1976-12-31	US7IABC	Textron Inc.	116.05
1977-01-31	US7IABC	Textron Inc.	112.67
1977-02-28	US7IABC	Textron Inc.	114.64
1977-03-31	US7IABC	Textron Inc.	107.48
1977-04-30	US7IABC	Textron Inc.	111.41
1977-05-31	US7IABC	Textron Inc.	110.82
1977-06-30	US7IABC	Textron Inc.	110.77
1977-07-31	US7IABC	Textron Inc.	102.95
1977-08-31	US7IABC	Textron Inc.	101.86
1977-09-30	US7IABC	Textron Inc.	93.85
1977-10-31	US7IABC	Textron Inc.	97.61
1977-11-30	US7IABC	Textron Inc.	95.57
1977-12-31	US7IABC	Textron Inc.	97.31
1978-01-31	US7IABC	Textron Inc.	98.48
1978-02-28	US7IABC	Textron Inc.	95.53
1978-03-31	US7IABC	Textron Inc.	94.04
1978-04-30	US7IABC	Textron Inc.	94.18
1978-05-31	US7IABC	Textron Inc.	95.41
1978-06-30	US7IABC	Textron Inc.	97.08
1978-07-31	US7IABC	Textron Inc.	98.15
