Date	Company Code	Company Name	Stock Price
1959-01-31	US66DOM	The British Museum	107.18
1959-02-28	US66DOM	The British Museum	107.92
1959-03-31	US66DOM	The British Museum	110.12
1959-04-30	US66DOM	The British Museum	103.5
1959-05-31	US66DOM	The British Museum	104.39
1959-06-30	US66DOM	The British Museum	101.01
1959-07-31	US66DOM	The British Museum	98.22
1959-08-31	US66DOM	The British Museum	104.57
1959-09-30	US66DOM	The British Museum	104.49
1959-10-31	US66DOM	The British Museum	109.12
1959-11-30	US66DOM	The British Museum	110.22
1959-12-31	US66DOM	The British Museum	114.88
1960-01-31	US66DOM	The British Museum	117.69
1960-02-29	US66DOM	The British Museum	112.12
1960-03-31	US66DOM	The British Museum	108.73
1960-04-30	US66DOM	The British Museum	110.12
1960-05-31	US66DOM	The British Museum	110.3
1960-06-30	US66DOM	The British Museum	110.08
1960-07-31	US66DOM	The British Museum	107.15
1960-08-31	US66DOM	The British Museum	104.42
1960-09-30	US66DOM	The British Museum	108.66
1960-10-31	US66DOM	The British Museum	103.1
1960-11-30	US66DOM	The British Museum	104.79
1960-12-31	US66DOM	The British Museum	104.48
1961-01-31	US66DOM	The British Museum	101.97
1961-02-28	US66DOM	The British Museum	100.57
1961-03-31	US66DOM	The British Museum	101.03
1961-04-30	US66DOM	The British Museum	106.18
1961-05-31	US66DOM	The British Museum	103.62
1961-06-30	US66DOM	The British Museum	104.79
1961-07-31	US66DOM	The British Museum	106.77
1961-08-31	US66DOM	The British Museum	109.56
1961-09-30	US66DOM	The British Museum	106.63
1961-10-31	US66DOM	The British Museum	105.79
1961-11-30	US66DOM	The British Museum	106.24
1961-12-31	US66DOM	The British Museum	106.46
1962-01-31	US66DOM	The British Museum	109.39
1962-02-28	US66DOM	The British Museum	102.68
1962-03-31	US66DOM	The British Museum	96.04
1962-04-30	US66DOM	The British Museum	96.32
1962-05-31	US66DOM	The British Museum	98.27
1962-06-30	US66DOM	The British Museum	96.64
1962-07-31	US66DOM	The British Museum	100.8
1962-08-31	US66DOM	The British Museum	103.59
1962-09-30	US66DOM	The British Museum	103.07
1962-10-31	US66DOM	The British Museum	110.78
1962-11-30	US66DOM	The British Museum	104.05
1962-12-31	US66DOM	The British Museum	108.06
1963-01-31	US66DOM	The British Museum	107.92
1963-02-28	US66DOM	The British Museum	107.59
1963-03-31	US66DOM	The British Museum	111.66
1963-04-30	US66DOM	The British Museum	114.53
1963-05-31	US66DOM	The British Museum	110.19
1963-06-30	US66DOM	The British Museum	116.73
1963-07-31	US66DOM	The British Museum	117.5
1963-08-31	US66DOM	The British Museum	116.25
1963-09-30	US66DOM	The British Museum	117.23
1963-10-31	US66DOM	The British Museum	122.48
1963-11-30	US66DOM	The British Museum	120.53
1963-12-31	US66DOM	The British Museum	120.49
1964-01-31	US66DOM	The British Museum	121.62
1964-02-29	US66DOM	The British Museum	123.72
1964-03-31	US66DOM	The British Museum	121.2
1964-04-30	US66DOM	The British Museum	124.81
1964-05-31	US66DOM	The British Museum	121.17
1964-06-30	US66DOM	The British Museum	122.14
1964-07-31	US66DOM	The British Museum	121.18
1964-08-31	US66DOM	The British Museum	118.42
1964-09-30	US66DOM	The British Museum	124.5
1964-10-31	US66DOM	The British Museum	118.69
1964-11-30	US66DOM	The British Museum	121.67
1964-12-31	US66DOM	The British Museum	128.46
1965-01-31	US66DOM	The British Museum	134.34
1965-02-28	US66DOM	The British Museum	131.4
1965-03-31	US66DOM	The British Museum	133.19
1965-04-30	US66DOM	The British Museum	132.57
1965-05-31	US66DOM	The British Museum	133.39
1965-06-30	US66DOM	The British Museum	130.34
1965-07-31	US66DOM	The British Museum	130.18
1965-08-31	US66DOM	The British Museum	122.99
1965-09-30	US66DOM	The British Museum	120.9
1965-10-31	US66DOM	The British Museum	124.79
1965-11-30	US66DOM	The British Museum	128.34
1965-12-31	US66DOM	The British Museum	126.56
1966-01-31	US66DOM	The British Museum	122.88
1966-02-28	US66DOM	The British Museum	125.44
1966-03-31	US66DOM	The British Museum	129.33
1966-04-30	US66DOM	The British Museum	121.69
1966-05-31	US66DOM	The British Museum	122.69
1966-06-30	US66DOM	The British Museum	126.76
1966-07-31	US66DOM	The British Museum	125.3
1966-08-31	US66DOM	The British Museum	128.4
1966-09-30	US66DOM	The British Museum	128.82
1966-10-31	US66DOM	The British Museum	133.21
1966-11-30	US66DOM	The British Museum	137.33
1966-12-31	US66DOM	The British Museum	134.27
1967-01-31	US66DOM	The British Museum	140.67
1967-02-28	US66DOM	The British Museum	140.22
1967-03-31	US66DOM	The British Museum	139.0
1967-04-30	US66DOM	The British Museum	138.12
1967-05-31	US66DOM	The British Museum	133.6
1967-06-30	US66DOM	The British Museum	135.9
1967-07-31	US66DOM	The British Museum	137.37
1967-08-31	US66DOM	The British Museum	133.54
1967-09-30	US66DOM	The British Museum	134.03
1967-10-31	US66DOM	The British Museum	133.97
1967-11-30	US66DOM	The British Museum	135.16
1967-12-31	US66DOM	The British Museum	134.1
1968-01-31	US66DOM	The British Museum	130.62
1968-02-29	US66DOM	The British Museum	128.58
1968-03-31	US66DOM	The British Museum	131.77
1968-04-30	US66DOM	The British Museum	138.75
1968-05-31	US66DOM	The British Museum	137.01
1968-06-30	US66DOM	The British Museum	138.23
1968-07-31	US66DOM	The British Museum	138.89
1968-08-31	US66DOM	The British Museum	134.31
