Date	Company Code	Company Name	Stock Price
1959-01-31	USM1FS6	The Courtauld Institute of Art	109.69
1959-02-28	USM1FS6	The Courtauld Institute of Art	118.06
1959-03-31	USM1FS6	The Courtauld Institute of Art	112.86
1959-04-30	USM1FS6	The Courtauld Institute of Art	109.0
1959-05-31	USM1FS6	The Courtauld Institute of Art	106.91
1959-06-30	USM1FS6	The Courtauld Institute of Art	108.38
1959-07-31	USM1FS6	The Courtauld Institute of Art	102.71
1959-08-31	USM1FS6	The Courtauld Institute of Art	98.45
1959-09-30	USM1FS6	The Courtauld Institute of Art	95.34
1959-10-31	USM1FS6	The Courtauld Institute of Art	95.77
1959-11-30	USM1FS6	The Courtauld Institute of Art	90.93
1959-12-31	USM1FS6	The Courtauld Institute of Art	95.05
1960-01-31	USM1FS6	The Courtauld Institute of Art	90.12
1960-02-29	USM1FS6	The Courtauld Institute of Art	97.66
1960-03-31	USM1FS6	The Courtauld Institute of Art	91.35
1960-04-30	USM1FS6	The Courtauld Institute of Art	87.8
1960-05-31	USM1FS6	The Courtauld Institute of Art	88.2
1960-06-30	USM1FS6	The Courtauld Institute of Art	88.38
1960-07-31	USM1FS6	The Courtauld Institute of Art	83.38
1960-08-31	USM1FS6	The Courtauld Institute of Art	83.35
1960-09-30	USM1FS6	The Courtauld Institute of Art	73.86
1960-10-31	USM1FS6	The Courtauld Institute of Art	76.47
1960-11-30	USM1FS6	The Courtauld Institute of Art	74.78
1960-12-31	USM1FS6	The Courtauld Institute of Art	77.52
1961-01-31	USM1FS6	The Courtauld Institute of Art	84.25
1961-02-28	USM1FS6	The Courtauld Institute of Art	84.08
1961-03-31	USM1FS6	The Courtauld Institute of Art	79.81
1961-04-30	USM1FS6	The Courtauld Institute of Art	80.72
1961-05-31	USM1FS6	The Courtauld Institute of Art	81.63
1961-06-30	USM1FS6	The Courtauld Institute of Art	80.43
1961-07-31	USM1FS6	The Courtauld Institute of Art	77.1
1961-08-31	USM1FS6	The Courtauld Institute of Art	73.91
1961-09-30	USM1FS6	The Courtauld Institute of Art	74.19
1961-10-31	USM1FS6	The Courtauld Institute of Art	75.19
1961-11-30	USM1FS6	The Courtauld Institute of Art	80.36
1961-12-31	USM1FS6	The Courtauld Institute of Art	81.24
1962-01-31	USM1FS6	The Courtauld Institute of Art	83.04
1962-02-28	USM1FS6	The Courtauld Institute of Art	84.21
1962-03-31	USM1FS6	The Courtauld Institute of Art	81.05
1962-04-30	USM1FS6	The Courtauld Institute of Art	78.23
1962-05-31	USM1FS6	The Courtauld Institute of Art	80.73
1962-06-30	USM1FS6	The Courtauld Institute of Art	84.47
1962-07-31	USM1FS6	The Courtauld Institute of Art	89.26
1962-08-31	USM1FS6	The Courtauld Institute of Art	81.76
1962-09-30	USM1FS6	The Courtauld Institute of Art	77.19
1962-10-31	USM1FS6	The Courtauld Institute of Art	70.71
1962-11-30	USM1FS6	The Courtauld Institute of Art	69.75
1962-12-31	USM1FS6	The Courtauld Institute of Art	73.24
1963-01-31	USM1FS6	The Courtauld Institute of Art	79.22
1963-02-28	USM1FS6	The Courtauld Institute of Art	74.5
1963-03-31	USM1FS6	The Courtauld Institute of Art	77.04
1963-04-30	USM1FS6	The Courtauld Institute of Art	74.62
1963-05-31	USM1FS6	The Courtauld Institute of Art	74.88
1963-06-30	USM1FS6	The Courtauld Institute of Art	75.28
1963-07-31	USM1FS6	The Courtauld Institute of Art	79.15
1963-08-31	USM1FS6	The Courtauld Institute of Art	72.56
1963-09-30	USM1FS6	The Courtauld Institute of Art	69.11
1963-10-31	USM1FS6	The Courtauld Institute of Art	75.21
1963-11-30	USM1FS6	The Courtauld Institute of Art	75.01
1963-12-31	USM1FS6	The Courtauld Institute of Art	77.5
1964-01-31	USM1FS6	The Courtauld Institute of Art	73.89
1964-02-29	USM1FS6	The Courtauld Institute of Art	76.98
1964-03-31	USM1FS6	The Courtauld Institute of Art	74.43
1964-04-30	USM1FS6	The Courtauld Institute of Art	73.28
1964-05-31	USM1FS6	The Courtauld Institute of Art	71.93
1964-06-30	USM1FS6	The Courtauld Institute of Art	65.87
1964-07-31	USM1FS6	The Courtauld Institute of Art	65.05
1964-08-31	USM1FS6	The Courtauld Institute of Art	66.77
1964-09-30	USM1FS6	The Courtauld Institute of Art	68.6
1964-10-31	USM1FS6	The Courtauld Institute of Art	68.81
1964-11-30	USM1FS6	The Courtauld Institute of Art	73.58
1964-12-31	USM1FS6	The Courtauld Institute of Art	67.66
1965-01-31	USM1FS6	The Courtauld Institute of Art	67.98
1965-02-28	USM1FS6	The Courtauld Institute of Art	70.11
1965-03-31	USM1FS6	The Courtauld Institute of Art	71.88
1965-04-30	USM1FS6	The Courtauld Institute of Art	64.27
1965-05-31	USM1FS6	The Courtauld Institute of Art	66.78
1965-06-30	USM1FS6	The Courtauld Institute of Art	64.68
1965-07-31	USM1FS6	The Courtauld Institute of Art	65.07
1965-08-31	USM1FS6	The Courtauld Institute of Art	63.36
1965-09-30	USM1FS6	The Courtauld Institute of Art	62.895905409098496
1965-10-31	USM1FS6	The Courtauld Institute of Art	61.98
1965-11-30	USM1FS6	The Courtauld Institute of Art	70.71
1965-12-31	USM1FS6	The Courtauld Institute of Art	74.99
1966-01-31	USM1FS6	The Courtauld Institute of Art	75.32
1966-02-28	USM1FS6	The Courtauld Institute of Art	77.64
1966-03-31	USM1FS6	The Courtauld Institute of Art	81.74
1966-04-30	USM1FS6	The Courtauld Institute of Art	83.39
1966-05-31	USM1FS6	The Courtauld Institute of Art	83.44
1966-06-30	USM1FS6	The Courtauld Institute of Art	84.25
1966-07-31	USM1FS6	The Courtauld Institute of Art	84.18
1966-08-31	USM1FS6	The Courtauld Institute of Art	82.46
1966-09-30	USM1FS6	The Courtauld Institute of Art	84.01
1966-10-31	USM1FS6	The Courtauld Institute of Art	84.84
1966-11-30	USM1FS6	The Courtauld Institute of Art	82.09
1966-12-31	USM1FS6	The Courtauld Institute of Art	84.09
1967-01-31	USM1FS6	The Courtauld Institute of Art	85.47
1967-02-28	USM1FS6	The Courtauld Institute of Art	88.0
1967-03-31	USM1FS6	The Courtauld Institute of Art	87.54
1967-04-30	USM1FS6	The Courtauld Institute of Art	88.36
1967-05-31	USM1FS6	The Courtauld Institute of Art	86.4
1967-06-30	USM1FS6	The Courtauld Institute of Art	82.41
1967-07-31	USM1FS6	The Courtauld Institute of Art	87.6
1967-08-31	USM1FS6	The Courtauld Institute of Art	85.44
1967-09-30	USM1FS6	The Courtauld Institute of Art	88.65
1967-10-31	USM1FS6	The Courtauld Institute of Art	84.23
1967-11-30	USM1FS6	The Courtauld Institute of Art	83.81
1967-12-31	USM1FS6	The Courtauld Institute of Art	88.55
1968-01-31	USM1FS6	The Courtauld Institute of Art	94.11
1968-02-29	USM1FS6	The Courtauld Institute of Art	95.59
1968-03-31	USM1FS6	The Courtauld Institute of Art	100.79
1968-04-30	USM1FS6	The Courtauld Institute of Art	100.42
1968-05-31	USM1FS6	The Courtauld Institute of Art	95.05
1968-06-30	USM1FS6	The Courtauld Institute of Art	90.87
1968-07-31	USM1FS6	The Courtauld Institute of Art	89.2
1968-08-31	USM1FS6	The Courtauld Institute of Art	90.0
1968-09-30	USM1FS6	The Courtauld Institute of Art	94.44
1968-10-31	USM1FS6	The Courtauld Institute of Art	99.69
1968-11-30	USM1FS6	The Courtauld Institute of Art	100.17
1968-12-31	USM1FS6	The Courtauld Institute of Art	102.08
1969-01-31	USM1FS6	The Courtauld Institute of Art	98.05
1969-02-28	USM1FS6	The Courtauld Institute of Art	100.63
1969-03-31	USM1FS6	The Courtauld Institute of Art	98.83
1969-04-30	USM1FS6	The Courtauld Institute of Art	97.63
1969-05-31	USM1FS6	The Courtauld Institute of Art	96.84
1969-06-30	USM1FS6	The Courtauld Institute of Art	95.85
1969-07-31	USM1FS6	The Courtauld Institute of Art	94.89
1969-08-31	USM1FS6	The Courtauld Institute of Art	95.53
1969-09-30	USM1FS6	The Courtauld Institute of Art	93.02
1969-10-31	USM1FS6	The Courtauld Institute of Art	91.83
1969-11-30	USM1FS6	The Courtauld Institute of Art	91.56
1969-12-31	USM1FS6	The Courtauld Institute of Art	89.25
1970-01-31	USM1FS6	The Courtauld Institute of Art	87.24
1970-02-28	USM1FS6	The Courtauld Institute of Art	94.6
1970-03-31	USM1FS6	The Courtauld Institute of Art	97.81
1970-04-30	USM1FS6	The Courtauld Institute of Art	100.48
1970-05-31	USM1FS6	The Courtauld Institute of Art	98.93
1970-06-30	USM1FS6	The Courtauld Institute of Art	98.6
1970-07-31	USM1FS6	The Courtauld Institute of Art	91.94
1970-08-31	USM1FS6	The Courtauld Institute of Art	86.13
1970-09-30	USM1FS6	The Courtauld Institute of Art	88.41
1970-10-31	USM1FS6	The Courtauld Institute of Art	91.43
1970-11-30	USM1FS6	The Courtauld Institute of Art	91.89
1970-12-31	USM1FS6	The Courtauld Institute of Art	98.68
1971-01-31	USM1FS6	The Courtauld Institute of Art	97.96
1971-02-28	USM1FS6	The Courtauld Institute of Art	97.47
1971-03-31	USM1FS6	The Courtauld Institute of Art	101.28
1971-04-30	USM1FS6	The Courtauld Institute of Art	99.92
1971-05-31	USM1FS6	The Courtauld Institute of Art	98.77
1971-06-30	USM1FS6	The Courtauld Institute of Art	104.32
1971-07-31	USM1FS6	The Courtauld Institute of Art	101.96
1971-08-31	USM1FS6	The Courtauld Institute of Art	110.05
1971-09-30	USM1FS6	The Courtauld Institute of Art	111.77
1971-10-31	USM1FS6	The Courtauld Institute of Art	110.28
1971-11-30	USM1FS6	The Courtauld Institute of Art	110.0
1971-12-31	USM1FS6	The Courtauld Institute of Art	109.19
1972-01-31	USM1FS6	The Courtauld Institute of Art	112.46
1972-02-29	USM1FS6	The Courtauld Institute of Art	112.12
1972-03-31	USM1FS6	The Courtauld Institute of Art	114.77
1972-04-30	USM1FS6	The Courtauld Institute of Art	118.0
1972-05-31	USM1FS6	The Courtauld Institute of Art	118.41
1972-06-30	USM1FS6	The Courtauld Institute of Art	111.6
1972-07-31	USM1FS6	The Courtauld Institute of Art	105.99
1972-08-31	USM1FS6	The Courtauld Institute of Art	108.67
1972-09-30	USM1FS6	The Courtauld Institute of Art	115.07
1972-10-31	USM1FS6	The Courtauld Institute of Art	115.01
1972-11-30	USM1FS6	The Courtauld Institute of Art	117.51
1972-12-31	USM1FS6	The Courtauld Institute of Art	116.86
1973-01-31	USM1FS6	The Courtauld Institute of Art	113.37
1973-02-28	USM1FS6	The Courtauld Institute of Art	114.77
1973-03-31	USM1FS6	The Courtauld Institute of Art	112.4
1973-04-30	USM1FS6	The Courtauld Institute of Art	121.78
1973-05-31	USM1FS6	The Courtauld Institute of Art	121.52
1973-06-30	USM1FS6	The Courtauld Institute of Art	122.52
1973-07-31	USM1FS6	The Courtauld Institute of Art	118.42
1973-08-31	USM1FS6	The Courtauld Institute of Art	115.97
1973-09-30	USM1FS6	The Courtauld Institute of Art	115.58
1973-10-31	USM1FS6	The Courtauld Institute of Art	112.67
1973-11-30	USM1FS6	The Courtauld Institute of Art	110.53
1973-12-31	USM1FS6	The Courtauld Institute of Art	112.96
1974-01-31	USM1FS6	The Courtauld Institute of Art	112.82
1974-02-28	USM1FS6	The Courtauld Institute of Art	116.78
1974-03-31	USM1FS6	The Courtauld Institute of Art	113.47
1974-04-30	USM1FS6	The Courtauld Institute of Art	112.57
1974-05-31	USM1FS6	The Courtauld Institute of Art	113.72
1974-06-30	USM1FS6	The Courtauld Institute of Art	114.28
1974-07-31	USM1FS6	The Courtauld Institute of Art	112.33
1974-08-31	USM1FS6	The Courtauld Institute of Art	112.34
1974-09-30	USM1FS6	The Courtauld Institute of Art	112.43
1974-10-31	USM1FS6	The Courtauld Institute of Art	106.64
1974-11-30	USM1FS6	The Courtauld Institute of Art	104.51
1974-12-31	USM1FS6	The Courtauld Institute of Art	107.37
1975-01-31	USM1FS6	The Courtauld Institute of Art	101.45
1975-02-28	USM1FS6	The Courtauld Institute of Art	100.23
1975-03-31	USM1FS6	The Courtauld Institute of Art	100.84
1975-04-30	USM1FS6	The Courtauld Institute of Art	99.16
1975-05-31	USM1FS6	The Courtauld Institute of Art	103.55
1975-06-30	USM1FS6	The Courtauld Institute of Art	101.63
1975-07-31	USM1FS6	The Courtauld Institute of Art	106.57
1975-08-31	USM1FS6	The Courtauld Institute of Art	101.41
1975-09-30	USM1FS6	The Courtauld Institute of Art	104.35
1975-10-31	USM1FS6	The Courtauld Institute of Art	101.87
1975-11-30	USM1FS6	The Courtauld Institute of Art	101.51
1975-12-31	USM1FS6	The Courtauld Institute of Art	102.86
1976-01-31	USM1FS6	The Courtauld Institute of Art	104.2
1976-02-29	USM1FS6	The Courtauld Institute of Art	103.13
1976-03-31	USM1FS6	The Courtauld Institute of Art	103.88
1976-04-30	USM1FS6	The Courtauld Institute of Art	103.35
1976-05-31	USM1FS6	The Courtauld Institute of Art	102.2
1976-06-30	USM1FS6	The Courtauld Institute of Art	96.33
1976-07-31	USM1FS6	The Courtauld Institute of Art	99.53
1976-08-31	USM1FS6	The Courtauld Institute of Art	99.05
1976-09-30	USM1FS6	The Courtauld Institute of Art	96.09
1976-10-31	USM1FS6	The Courtauld Institute of Art	95.97
1976-11-30	USM1FS6	The Courtauld Institute of Art	100.55
1976-12-31	USM1FS6	The Courtauld Institute of Art	98.88
1977-01-31	USM1FS6	The Courtauld Institute of Art	100.37
1977-02-28	USM1FS6	The Courtauld Institute of Art	96.47
1977-03-31	USM1FS6	The Courtauld Institute of Art	101.73
1977-04-30	USM1FS6	The Courtauld Institute of Art	107.65
1977-05-31	USM1FS6	The Courtauld Institute of Art	109.69
1977-06-30	USM1FS6	The Courtauld Institute of Art	114.1
1977-07-31	USM1FS6	The Courtauld Institute of Art	120.95
1977-08-31	USM1FS6	The Courtauld Institute of Art	121.83
1977-09-30	USM1FS6	The Courtauld Institute of Art	119.35
1977-10-31	USM1FS6	The Courtauld Institute of Art	113.08
1977-11-30	USM1FS6	The Courtauld Institute of Art	109.38
1977-12-31	USM1FS6	The Courtauld Institute of Art	109.88
1978-01-31	USM1FS6	The Courtauld Institute of Art	109.13
1978-02-28	USM1FS6	The Courtauld Institute of Art	104.4
1978-03-31	USM1FS6	The Courtauld Institute of Art	102.56
1978-04-30	USM1FS6	The Courtauld Institute of Art	97.74
1978-05-31	USM1FS6	The Courtauld Institute of Art	97.88
1978-06-30	USM1FS6	The Courtauld Institute of Art	101.93
1978-07-31	USM1FS6	The Courtauld Institute of Art	101.52
1978-08-31	USM1FS6	The Courtauld Institute of Art	106.8
1978-09-30	USM1FS6	The Courtauld Institute of Art	104.84
1978-10-31	USM1FS6	The Courtauld Institute of Art	106.44
1978-11-30	USM1FS6	The Courtauld Institute of Art	100.23
1978-12-31	USM1FS6	The Courtauld Institute of Art	97.16
1979-01-31	USM1FS6	The Courtauld Institute of Art	93.29
1979-02-28	USM1FS6	The Courtauld Institute of Art	94.13
1979-03-31	USM1FS6	The Courtauld Institute of Art	95.36
1979-04-30	USM1FS6	The Courtauld Institute of Art	94.63
1979-05-31	USM1FS6	The Courtauld Institute of Art	97.54
1979-06-30	USM1FS6	The Courtauld Institute of Art	100.86
1979-07-31	USM1FS6	The Courtauld Institute of Art	98.78
1979-08-31	USM1FS6	The Courtauld Institute of Art	98.25
1979-09-30	USM1FS6	The Courtauld Institute of Art	92.34
1979-10-31	USM1FS6	The Courtauld Institute of Art	96.32
1979-11-30	USM1FS6	The Courtauld Institute of Art	98.34
1979-12-31	USM1FS6	The Courtauld Institute of Art	100.37
1980-01-31	USM1FS6	The Courtauld Institute of Art	101.1
1980-02-29	USM1FS6	The Courtauld Institute of Art	104.7
1980-03-31	USM1FS6	The Courtauld Institute of Art	109.76
1980-04-30	USM1FS6	The Courtauld Institute of Art	109.52
1980-05-31	USM1FS6	The Courtauld Institute of Art	105.22
1980-06-30	USM1FS6	The Courtauld Institute of Art	96.87
1980-07-31	USM1FS6	The Courtauld Institute of Art	94.75
1980-08-31	USM1FS6	The Courtauld Institute of Art	96.8
1980-09-30	USM1FS6	The Courtauld Institute of Art	95.18
1980-10-31	USM1FS6	The Courtauld Institute of Art	96.68
1980-11-30	USM1FS6	The Courtauld Institute of Art	93.01
1980-12-31	USM1FS6	The Courtauld Institute of Art	93.57
1981-01-31	USM1FS6	The Courtauld Institute of Art	95.74
1981-02-28	USM1FS6	The Courtauld Institute of Art	95.11
1981-03-31	USM1FS6	The Courtauld Institute of Art	94.65
1981-04-30	USM1FS6	The Courtauld Institute of Art	92.69
1981-05-31	USM1FS6	The Courtauld Institute of Art	95.62
1981-06-30	USM1FS6	The Courtauld Institute of Art	96.34
1981-07-31	USM1FS6	The Courtauld Institute of Art	102.75
1981-08-31	USM1FS6	The Courtauld Institute of Art	100.46
1981-09-30	USM1FS6	The Courtauld Institute of Art	102.38
1981-10-31	USM1FS6	The Courtauld Institute of Art	106.69
1981-11-30	USM1FS6	The Courtauld Institute of Art	106.32
1981-12-31	USM1FS6	The Courtauld Institute of Art	108.42
1982-01-31	USM1FS6	The Courtauld Institute of Art	104.68
1982-02-28	USM1FS6	The Courtauld Institute of Art	98.17
1982-03-31	USM1FS6	The Courtauld Institute of Art	96.72
1982-04-30	USM1FS6	The Courtauld Institute of Art	91.09
1982-05-31	USM1FS6	The Courtauld Institute of Art	94.12
1982-06-30	USM1FS6	The Courtauld Institute of Art	91.9
1982-07-31	USM1FS6	The Courtauld Institute of Art	93.97
1982-08-31	USM1FS6	The Courtauld Institute of Art	92.66
1982-09-30	USM1FS6	The Courtauld Institute of Art	88.77
1982-10-31	USM1FS6	The Courtauld Institute of Art	91.88
1982-11-30	USM1FS6	The Courtauld Institute of Art	91.57
1982-12-31	USM1FS6	The Courtauld Institute of Art	95.5
1983-01-31	USM1FS6	The Courtauld Institute of Art	104.72
1983-02-28	USM1FS6	The Courtauld Institute of Art	100.46
1983-03-31	USM1FS6	The Courtauld Institute of Art	96.29
1983-04-30	USM1FS6	The Courtauld Institute of Art	97.78
