Date	Company Code	Company Name	Stock Price
1959-01-31	US1GKZH	The Getty Center	100.05
1959-02-28	US1GKZH	The Getty Center	101.77
1959-03-31	US1GKZH	The Getty Center	102.5
1959-04-30	US1GKZH	The Getty Center	106.07
1959-05-31	US1GKZH	The Getty Center	106.21
1959-06-30	US1GKZH	The Getty Center	110.43
1959-07-31	US1GKZH	The Getty Center	107.18
1959-08-31	US1GKZH	The Getty Center	115.02
1959-09-30	US1GKZH	The Getty Center	112.79
1959-10-31	US1GKZH	The Getty Center	114.19
1959-11-30	US1GKZH	The Getty Center	108.09
1959-12-31	US1GKZH	The Getty Center	106.42
1960-01-31	US1GKZH	The Getty Center	106.63
1960-02-29	US1GKZH	The Getty Center	106.87
1960-03-31	US1GKZH	The Getty Center	111.67
1960-04-30	US1GKZH	The Getty Center	110.29
1960-05-31	US1GKZH	The Getty Center	108.81
1960-06-30	US1GKZH	The Getty Center	109.63
1960-07-31	US1GKZH	The Getty Center	108.99
1960-08-31	US1GKZH	The Getty Center	110.59
1960-09-30	US1GKZH	The Getty Center	109.82
1960-10-31	US1GKZH	The Getty Center	106.19
1960-11-30	US1GKZH	The Getty Center	98.46
1960-12-31	US1GKZH	The Getty Center	104.03
1961-01-31	US1GKZH	The Getty Center	103.21
1961-02-28	US1GKZH	The Getty Center	101.78
1961-03-31	US1GKZH	The Getty Center	101.12
1961-04-30	US1GKZH	The Getty Center	103.23
1961-05-31	US1GKZH	The Getty Center	93.74
1961-06-30	US1GKZH	The Getty Center	90.81
1961-07-31	US1GKZH	The Getty Center	91.43
1961-08-31	US1GKZH	The Getty Center	93.48
1961-09-30	US1GKZH	The Getty Center	88.98
1961-10-31	US1GKZH	The Getty Center	84.83
1961-11-30	US1GKZH	The Getty Center	89.42
1961-12-31	US1GKZH	The Getty Center	87.75
1962-01-31	US1GKZH	The Getty Center	88.2
1962-02-28	US1GKZH	The Getty Center	89.1
1962-03-31	US1GKZH	The Getty Center	87.57
1962-04-30	US1GKZH	The Getty Center	84.13
1962-05-31	US1GKZH	The Getty Center	83.89
1962-06-30	US1GKZH	The Getty Center	86.04
1962-07-31	US1GKZH	The Getty Center	79.91
1962-08-31	US1GKZH	The Getty Center	77.52
1962-09-30	US1GKZH	The Getty Center	70.53
1962-10-31	US1GKZH	The Getty Center	64.19
1962-11-30	US1GKZH	The Getty Center	66.22
1962-12-31	US1GKZH	The Getty Center	71.9
1963-01-31	US1GKZH	The Getty Center	71.72
1963-02-28	US1GKZH	The Getty Center	72.01
1963-03-31	US1GKZH	The Getty Center	68.85
1963-04-30	US1GKZH	The Getty Center	69.16
1963-05-31	US1GKZH	The Getty Center	61.28
1963-06-30	US1GKZH	The Getty Center	61.13792782339152
1963-07-31	US1GKZH	The Getty Center	60.99
1963-08-31	US1GKZH	The Getty Center	66.21
1963-09-30	US1GKZH	The Getty Center	61.0
1963-10-31	US1GKZH	The Getty Center	61.86340315420148
1963-11-30	US1GKZH	The Getty Center	61.36225263211066
1963-12-31	US1GKZH	The Getty Center	68.04
1964-01-31	US1GKZH	The Getty Center	68.09
1964-02-29	US1GKZH	The Getty Center	65.9
1964-03-31	US1GKZH	The Getty Center	67.43
1964-04-30	US1GKZH	The Getty Center	70.21
1964-05-31	US1GKZH	The Getty Center	68.39
1964-06-30	US1GKZH	The Getty Center	72.84
1964-07-31	US1GKZH	The Getty Center	70.3
1964-08-31	US1GKZH	The Getty Center	71.32
1964-09-30	US1GKZH	The Getty Center	73.41
1964-10-31	US1GKZH	The Getty Center	71.36
1964-11-30	US1GKZH	The Getty Center	74.3
1964-12-31	US1GKZH	The Getty Center	82.84
1965-01-31	US1GKZH	The Getty Center	89.07
1965-02-28	US1GKZH	The Getty Center	90.58
1965-03-31	US1GKZH	The Getty Center	86.65
1965-04-30	US1GKZH	The Getty Center	87.67
1965-05-31	US1GKZH	The Getty Center	84.5
1965-06-30	US1GKZH	The Getty Center	89.42
1965-07-31	US1GKZH	The Getty Center	80.21
1965-08-31	US1GKZH	The Getty Center	75.96
1965-09-30	US1GKZH	The Getty Center	73.82
1965-10-31	US1GKZH	The Getty Center	67.66
1965-11-30	US1GKZH	The Getty Center	67.97
1965-12-31	US1GKZH	The Getty Center	68.95
1966-01-31	US1GKZH	The Getty Center	75.32
1966-02-28	US1GKZH	The Getty Center	73.84
1966-03-31	US1GKZH	The Getty Center	77.37
1966-04-30	US1GKZH	The Getty Center	71.47
1966-05-31	US1GKZH	The Getty Center	74.93
1966-06-30	US1GKZH	The Getty Center	76.34
1966-07-31	US1GKZH	The Getty Center	81.54
1966-08-31	US1GKZH	The Getty Center	83.84
1966-09-30	US1GKZH	The Getty Center	83.74
1966-10-31	US1GKZH	The Getty Center	85.6
1966-11-30	US1GKZH	The Getty Center	92.42
1966-12-31	US1GKZH	The Getty Center	94.53
1967-01-31	US1GKZH	The Getty Center	92.35
1967-02-28	US1GKZH	The Getty Center	88.63
1967-03-31	US1GKZH	The Getty Center	91.53
1967-04-30	US1GKZH	The Getty Center	95.84
1967-05-31	US1GKZH	The Getty Center	103.03
1967-06-30	US1GKZH	The Getty Center	102.04
1967-07-31	US1GKZH	The Getty Center	97.8
1967-08-31	US1GKZH	The Getty Center	102.21
1967-09-30	US1GKZH	The Getty Center	102.84
1967-10-31	US1GKZH	The Getty Center	108.38
1967-11-30	US1GKZH	The Getty Center	107.99
1967-12-31	US1GKZH	The Getty Center	106.67
1968-01-31	US1GKZH	The Getty Center	103.96
1968-02-29	US1GKZH	The Getty Center	101.99
1968-03-31	US1GKZH	The Getty Center	99.1
1968-04-30	US1GKZH	The Getty Center	99.74
1968-05-31	US1GKZH	The Getty Center	102.27
1968-06-30	US1GKZH	The Getty Center	106.68
1968-07-31	US1GKZH	The Getty Center	107.79
1968-08-31	US1GKZH	The Getty Center	105.47
1968-09-30	US1GKZH	The Getty Center	108.69
1968-10-31	US1GKZH	The Getty Center	108.86
1968-11-30	US1GKZH	The Getty Center	106.45
1968-12-31	US1GKZH	The Getty Center	112.8
1969-01-31	US1GKZH	The Getty Center	105.88
1969-02-28	US1GKZH	The Getty Center	107.99
1969-03-31	US1GKZH	The Getty Center	108.99
1969-04-30	US1GKZH	The Getty Center	108.89
1969-05-31	US1GKZH	The Getty Center	106.68
1969-06-30	US1GKZH	The Getty Center	104.51
1969-07-31	US1GKZH	The Getty Center	110.06
1969-08-31	US1GKZH	The Getty Center	106.35
1969-09-30	US1GKZH	The Getty Center	108.85
1969-10-31	US1GKZH	The Getty Center	107.77
1969-11-30	US1GKZH	The Getty Center	108.51
1969-12-31	US1GKZH	The Getty Center	114.1
1970-01-31	US1GKZH	The Getty Center	109.71
1970-02-28	US1GKZH	The Getty Center	110.5
1970-03-31	US1GKZH	The Getty Center	108.48
1970-04-30	US1GKZH	The Getty Center	114.79
1970-05-31	US1GKZH	The Getty Center	121.61
1970-06-30	US1GKZH	The Getty Center	122.49
1970-07-31	US1GKZH	The Getty Center	119.42
1970-08-31	US1GKZH	The Getty Center	125.58
1970-09-30	US1GKZH	The Getty Center	122.7
1970-10-31	US1GKZH	The Getty Center	121.43
1970-11-30	US1GKZH	The Getty Center	120.79
1970-12-31	US1GKZH	The Getty Center	124.98
1971-01-31	US1GKZH	The Getty Center	126.7
1971-02-28	US1GKZH	The Getty Center	128.04
1971-03-31	US1GKZH	The Getty Center	136.52
1971-04-30	US1GKZH	The Getty Center	128.96
1971-05-31	US1GKZH	The Getty Center	130.48
1971-06-30	US1GKZH	The Getty Center	132.21
1971-07-31	US1GKZH	The Getty Center	132.31
1971-08-31	US1GKZH	The Getty Center	134.14
1971-09-30	US1GKZH	The Getty Center	130.56
1971-10-31	US1GKZH	The Getty Center	127.51
1971-11-30	US1GKZH	The Getty Center	123.35
1971-12-31	US1GKZH	The Getty Center	127.97
1972-01-31	US1GKZH	The Getty Center	129.63
1972-02-29	US1GKZH	The Getty Center	131.26
1972-03-31	US1GKZH	The Getty Center	134.36
1972-04-30	US1GKZH	The Getty Center	134.26
1972-05-31	US1GKZH	The Getty Center	140.09
1972-06-30	US1GKZH	The Getty Center	145.73
1972-07-31	US1GKZH	The Getty Center	140.44
1972-08-31	US1GKZH	The Getty Center	140.69
1972-09-30	US1GKZH	The Getty Center	137.62
1972-10-31	US1GKZH	The Getty Center	131.58
1972-11-30	US1GKZH	The Getty Center	136.26
1972-12-31	US1GKZH	The Getty Center	137.3
1973-01-31	US1GKZH	The Getty Center	140.75
