Date	Company Code	Company Name	Stock Price
1959-01-31	USLIYWI	The Guggenheim Museum	102.62
1959-02-28	USLIYWI	The Guggenheim Museum	98.61
1959-03-31	USLIYWI	The Guggenheim Museum	98.34
1959-04-30	USLIYWI	The Guggenheim Museum	105.25
1959-05-31	USLIYWI	The Guggenheim Museum	106.85
1959-06-30	USLIYWI	The Guggenheim Museum	112.96
1959-07-31	USLIYWI	The Guggenheim Museum	119.38
1959-08-31	USLIYWI	The Guggenheim Museum	118.93
1959-09-30	USLIYWI	The Guggenheim Museum	115.99
1959-10-31	USLIYWI	The Guggenheim Museum	120.73
1959-11-30	USLIYWI	The Guggenheim Museum	120.88
1959-12-31	USLIYWI	The Guggenheim Museum	117.58
1960-01-31	USLIYWI	The Guggenheim Museum	117.58
1960-02-29	USLIYWI	The Guggenheim Museum	113.44
1960-03-31	USLIYWI	The Guggenheim Museum	111.14
1960-04-30	USLIYWI	The Guggenheim Museum	117.97
1960-05-31	USLIYWI	The Guggenheim Museum	119.19
1960-06-30	USLIYWI	The Guggenheim Museum	110.32
1960-07-31	USLIYWI	The Guggenheim Museum	104.49
1960-08-31	USLIYWI	The Guggenheim Museum	113.97
1960-09-30	USLIYWI	The Guggenheim Museum	115.16
1960-10-31	USLIYWI	The Guggenheim Museum	114.52
1960-11-30	USLIYWI	The Guggenheim Museum	116.37
1960-12-31	USLIYWI	The Guggenheim Museum	114.04
1961-01-31	USLIYWI	The Guggenheim Museum	117.87
1961-02-28	USLIYWI	The Guggenheim Museum	115.92
1961-03-31	USLIYWI	The Guggenheim Museum	116.57
1961-04-30	USLIYWI	The Guggenheim Museum	111.59
1961-05-31	USLIYWI	The Guggenheim Museum	116.53
1961-06-30	USLIYWI	The Guggenheim Museum	109.41
1961-07-31	USLIYWI	The Guggenheim Museum	113.49
1961-08-31	USLIYWI	The Guggenheim Museum	116.13
1961-09-30	USLIYWI	The Guggenheim Museum	110.26
1961-10-31	USLIYWI	The Guggenheim Museum	114.17
1961-11-30	USLIYWI	The Guggenheim Museum	122.09
1961-12-31	USLIYWI	The Guggenheim Museum	123.38
1962-01-31	USLIYWI	The Guggenheim Museum	119.94
1962-02-28	USLIYWI	The Guggenheim Museum	117.95
1962-03-31	USLIYWI	The Guggenheim Museum	118.25
1962-04-30	USLIYWI	The Guggenheim Museum	123.74
1962-05-31	USLIYWI	The Guggenheim Museum	123.64
1962-06-30	USLIYWI	The Guggenheim Museum	126.23
1962-07-31	USLIYWI	The Guggenheim Museum	127.43
1962-08-31	USLIYWI	The Guggenheim Museum	134.1
1962-09-30	USLIYWI	The Guggenheim Museum	133.26
1962-10-31	USLIYWI	The Guggenheim Museum	134.86
1962-11-30	USLIYWI	The Guggenheim Museum	138.6
1962-12-31	USLIYWI	The Guggenheim Museum	132.81
1963-01-31	USLIYWI	The Guggenheim Museum	131.27
1963-02-28	USLIYWI	The Guggenheim Museum	133.01
1963-03-31	USLIYWI	The Guggenheim Museum	140.72
1963-04-30	USLIYWI	The Guggenheim Museum	138.41
1963-05-31	USLIYWI	The Guggenheim Museum	140.28
1963-06-30	USLIYWI	The Guggenheim Museum	140.13
1963-07-31	USLIYWI	The Guggenheim Museum	141.3
1963-08-31	USLIYWI	The Guggenheim Museum	140.16
1963-09-30	USLIYWI	The Guggenheim Museum	138.18
1963-10-31	USLIYWI	The Guggenheim Museum	132.16
1963-11-30	USLIYWI	The Guggenheim Museum	134.74
1963-12-31	USLIYWI	The Guggenheim Museum	136.43
1964-01-31	USLIYWI	The Guggenheim Museum	137.67
1964-02-29	USLIYWI	The Guggenheim Museum	137.92
1964-03-31	USLIYWI	The Guggenheim Museum	135.39
1964-04-30	USLIYWI	The Guggenheim Museum	130.14
1964-05-31	USLIYWI	The Guggenheim Museum	130.38
1964-06-30	USLIYWI	The Guggenheim Museum	124.77
1964-07-31	USLIYWI	The Guggenheim Museum	123.33
1964-08-31	USLIYWI	The Guggenheim Museum	128.5
1964-09-30	USLIYWI	The Guggenheim Museum	123.36
1964-10-31	USLIYWI	The Guggenheim Museum	127.41
1964-11-30	USLIYWI	The Guggenheim Museum	121.58
1964-12-31	USLIYWI	The Guggenheim Museum	117.71
1965-01-31	USLIYWI	The Guggenheim Museum	110.23
1965-02-28	USLIYWI	The Guggenheim Museum	110.13
1965-03-31	USLIYWI	The Guggenheim Museum	117.07
1965-04-30	USLIYWI	The Guggenheim Museum	119.24
1965-05-31	USLIYWI	The Guggenheim Museum	116.56
1965-06-30	USLIYWI	The Guggenheim Museum	117.57
1965-07-31	USLIYWI	The Guggenheim Museum	119.04
1965-08-31	USLIYWI	The Guggenheim Museum	114.37
1965-09-30	USLIYWI	The Guggenheim Museum	112.88
1965-10-31	USLIYWI	The Guggenheim Museum	114.12
1965-11-30	USLIYWI	The Guggenheim Museum	118.99
1965-12-31	USLIYWI	The Guggenheim Museum	116.92
1966-01-31	USLIYWI	The Guggenheim Museum	119.03
1966-02-28	USLIYWI	The Guggenheim Museum	114.57
1966-03-31	USLIYWI	The Guggenheim Museum	115.51
1966-04-30	USLIYWI	The Guggenheim Museum	112.04
1966-05-31	USLIYWI	The Guggenheim Museum	113.56
1966-06-30	USLIYWI	The Guggenheim Museum	119.98
1966-07-31	USLIYWI	The Guggenheim Museum	124.49
1966-08-31	USLIYWI	The Guggenheim Museum	124.44
1966-09-30	USLIYWI	The Guggenheim Museum	123.46
1966-10-31	USLIYWI	The Guggenheim Museum	119.95
