Date	Company Code	Company Name	Stock Price
1959-01-31	USTWGPZ	The Louvre	121.98
1959-02-28	USTWGPZ	The Louvre	123.72
1959-03-31	USTWGPZ	The Louvre	124.47
1959-04-30	USTWGPZ	The Louvre	128.24
1959-05-31	USTWGPZ	The Louvre	125.28
1959-06-30	USTWGPZ	The Louvre	124.61
1959-07-31	USTWGPZ	The Louvre	126.21
1959-08-31	USTWGPZ	The Louvre	121.09
1959-09-30	USTWGPZ	The Louvre	115.25
1959-10-31	USTWGPZ	The Louvre	112.2
1959-11-30	USTWGPZ	The Louvre	115.89
1959-12-31	USTWGPZ	The Louvre	117.07
1960-01-31	USTWGPZ	The Louvre	119.47
1960-02-29	USTWGPZ	The Louvre	120.85
1960-03-31	USTWGPZ	The Louvre	115.46
1960-04-30	USTWGPZ	The Louvre	111.12
1960-05-31	USTWGPZ	The Louvre	109.79
1960-06-30	USTWGPZ	The Louvre	111.01
1960-07-31	USTWGPZ	The Louvre	111.49
1960-08-31	USTWGPZ	The Louvre	116.74
1960-09-30	USTWGPZ	The Louvre	118.07
1960-10-31	USTWGPZ	The Louvre	117.34
1960-11-30	USTWGPZ	The Louvre	108.59
1960-12-31	USTWGPZ	The Louvre	112.58
1961-01-31	USTWGPZ	The Louvre	109.35
1961-02-28	USTWGPZ	The Louvre	112.75
1961-03-31	USTWGPZ	The Louvre	114.8
1961-04-30	USTWGPZ	The Louvre	113.31
1961-05-31	USTWGPZ	The Louvre	114.32
1961-06-30	USTWGPZ	The Louvre	111.49
1961-07-31	USTWGPZ	The Louvre	109.48
1961-08-31	USTWGPZ	The Louvre	112.88
1961-09-30	USTWGPZ	The Louvre	111.54
1961-10-31	USTWGPZ	The Louvre	105.36
1961-11-30	USTWGPZ	The Louvre	105.02
1961-12-31	USTWGPZ	The Louvre	105.05
1962-01-31	USTWGPZ	The Louvre	109.07
1962-02-28	USTWGPZ	The Louvre	106.62
1962-03-31	USTWGPZ	The Louvre	101.53
1962-04-30	USTWGPZ	The Louvre	94.4
1962-05-31	USTWGPZ	The Louvre	92.4
1962-06-30	USTWGPZ	The Louvre	95.49
1962-07-31	USTWGPZ	The Louvre	101.55
1962-08-31	USTWGPZ	The Louvre	106.07
1962-09-30	USTWGPZ	The Louvre	102.47
1962-10-31	USTWGPZ	The Louvre	100.3
1962-11-30	USTWGPZ	The Louvre	99.59
1962-12-31	USTWGPZ	The Louvre	103.29
1963-01-31	USTWGPZ	The Louvre	106.35
1963-02-28	USTWGPZ	The Louvre	107.53
1963-03-31	USTWGPZ	The Louvre	109.97
1963-04-30	USTWGPZ	The Louvre	110.1
1963-05-31	USTWGPZ	The Louvre	118.39
1963-06-30	USTWGPZ	The Louvre	114.03
1963-07-31	USTWGPZ	The Louvre	111.26
1963-08-31	USTWGPZ	The Louvre	111.41
1963-09-30	USTWGPZ	The Louvre	112.63
1963-10-31	USTWGPZ	The Louvre	112.14
1963-11-30	USTWGPZ	The Louvre	111.22
1963-12-31	USTWGPZ	The Louvre	108.35
1964-01-31	USTWGPZ	The Louvre	102.29
1964-02-29	USTWGPZ	The Louvre	100.64
1964-03-31	USTWGPZ	The Louvre	97.15
1964-04-30	USTWGPZ	The Louvre	103.66
1964-05-31	USTWGPZ	The Louvre	94.53
1964-06-30	USTWGPZ	The Louvre	89.29
1964-07-31	USTWGPZ	The Louvre	94.02
1964-08-31	USTWGPZ	The Louvre	97.3
1964-09-30	USTWGPZ	The Louvre	96.81
1964-10-31	USTWGPZ	The Louvre	96.23
1964-11-30	USTWGPZ	The Louvre	97.48
1964-12-31	USTWGPZ	The Louvre	97.82
1965-01-31	USTWGPZ	The Louvre	90.28
1965-02-28	USTWGPZ	The Louvre	95.14
1965-03-31	USTWGPZ	The Louvre	97.18
1965-04-30	USTWGPZ	The Louvre	95.76
1965-05-31	USTWGPZ	The Louvre	90.11
1965-06-30	USTWGPZ	The Louvre	95.53
1965-07-31	USTWGPZ	The Louvre	100.03
1965-08-31	USTWGPZ	The Louvre	103.35
1965-09-30	USTWGPZ	The Louvre	103.25
1965-10-31	USTWGPZ	The Louvre	101.86
1965-11-30	USTWGPZ	The Louvre	102.68
1965-12-31	USTWGPZ	The Louvre	102.88
1966-01-31	USTWGPZ	The Louvre	101.92
1966-02-28	USTWGPZ	The Louvre	96.18
1966-03-31	USTWGPZ	The Louvre	94.64
1966-04-30	USTWGPZ	The Louvre	91.07
1966-05-31	USTWGPZ	The Louvre	95.82
1966-06-30	USTWGPZ	The Louvre	99.69
1966-07-31	USTWGPZ	The Louvre	98.19
1966-08-31	USTWGPZ	The Louvre	93.6
1966-09-30	USTWGPZ	The Louvre	93.74
1966-10-31	USTWGPZ	The Louvre	92.68
1966-11-30	USTWGPZ	The Louvre	98.01
1966-12-31	USTWGPZ	The Louvre	105.43
1967-01-31	USTWGPZ	The Louvre	101.65
1967-02-28	USTWGPZ	The Louvre	103.63
1967-03-31	USTWGPZ	The Louvre	102.71
1967-04-30	USTWGPZ	The Louvre	109.86
1967-05-31	USTWGPZ	The Louvre	110.84
1967-06-30	USTWGPZ	The Louvre	106.83
1967-07-31	USTWGPZ	The Louvre	108.0
1967-08-31	USTWGPZ	The Louvre	106.03
1967-09-30	USTWGPZ	The Louvre	105.03
1967-10-31	USTWGPZ	The Louvre	104.76
1967-11-30	USTWGPZ	The Louvre	101.59
1967-12-31	USTWGPZ	The Louvre	98.01
1968-01-31	USTWGPZ	The Louvre	98.17
1968-02-29	USTWGPZ	The Louvre	91.67
1968-03-31	USTWGPZ	The Louvre	89.09
1968-04-30	USTWGPZ	The Louvre	90.31
1968-05-31	USTWGPZ	The Louvre	85.02
