Date	Company Code	Company Name	Stock Price
1959-01-31	USPNHMS	The Metropolitan Museum of Art	87.74
1959-02-28	USPNHMS	The Metropolitan Museum of Art	87.28
1959-03-31	USPNHMS	The Metropolitan Museum of Art	91.9
1959-04-30	USPNHMS	The Metropolitan Museum of Art	94.78
1959-05-31	USPNHMS	The Metropolitan Museum of Art	94.3
1959-06-30	USPNHMS	The Metropolitan Museum of Art	98.89
1959-07-31	USPNHMS	The Metropolitan Museum of Art	99.74
1959-08-31	USPNHMS	The Metropolitan Museum of Art	100.54
1959-09-30	USPNHMS	The Metropolitan Museum of Art	98.91
1959-10-31	USPNHMS	The Metropolitan Museum of Art	96.62
1959-11-30	USPNHMS	The Metropolitan Museum of Art	100.24
1959-12-31	USPNHMS	The Metropolitan Museum of Art	93.7
1960-01-31	USPNHMS	The Metropolitan Museum of Art	96.27
1960-02-29	USPNHMS	The Metropolitan Museum of Art	91.06
1960-03-31	USPNHMS	The Metropolitan Museum of Art	86.21
1960-04-30	USPNHMS	The Metropolitan Museum of Art	81.52
1960-05-31	USPNHMS	The Metropolitan Museum of Art	83.89
1960-06-30	USPNHMS	The Metropolitan Museum of Art	83.36
1960-07-31	USPNHMS	The Metropolitan Museum of Art	83.86
1960-08-31	USPNHMS	The Metropolitan Museum of Art	83.41
1960-09-30	USPNHMS	The Metropolitan Museum of Art	84.37
1960-10-31	USPNHMS	The Metropolitan Museum of Art	82.05
1960-11-30	USPNHMS	The Metropolitan Museum of Art	84.83
1960-12-31	USPNHMS	The Metropolitan Museum of Art	90.55
1961-01-31	USPNHMS	The Metropolitan Museum of Art	91.0
1961-02-28	USPNHMS	The Metropolitan Museum of Art	89.77
1961-03-31	USPNHMS	The Metropolitan Museum of Art	93.54
1961-04-30	USPNHMS	The Metropolitan Museum of Art	93.49
1961-05-31	USPNHMS	The Metropolitan Museum of Art	93.09
1961-06-30	USPNHMS	The Metropolitan Museum of Art	95.74
1961-07-31	USPNHMS	The Metropolitan Museum of Art	97.78
1961-08-31	USPNHMS	The Metropolitan Museum of Art	90.53
1961-09-30	USPNHMS	The Metropolitan Museum of Art	90.41
1961-10-31	USPNHMS	The Metropolitan Museum of Art	81.88
1961-11-30	USPNHMS	The Metropolitan Museum of Art	76.25
1961-12-31	USPNHMS	The Metropolitan Museum of Art	73.56
1962-01-31	USPNHMS	The Metropolitan Museum of Art	74.18
1962-02-28	USPNHMS	The Metropolitan Museum of Art	72.96
1962-03-31	USPNHMS	The Metropolitan Museum of Art	68.18
1962-04-30	USPNHMS	The Metropolitan Museum of Art	67.12
1962-05-31	USPNHMS	The Metropolitan Museum of Art	68.29
1962-06-30	USPNHMS	The Metropolitan Museum of Art	73.7
1962-07-31	USPNHMS	The Metropolitan Museum of Art	77.08
1962-08-31	USPNHMS	The Metropolitan Museum of Art	85.1
1962-09-30	USPNHMS	The Metropolitan Museum of Art	88.3
1962-10-31	USPNHMS	The Metropolitan Museum of Art	84.36
1962-11-30	USPNHMS	The Metropolitan Museum of Art	78.31
1962-12-31	USPNHMS	The Metropolitan Museum of Art	85.48
