Date	Company Code	Company Name	Stock Price
1959-01-31	US4LCM6	The Museo Nacional de Bellas Artes	109.25
1959-02-28	US4LCM6	The Museo Nacional de Bellas Artes	110.86
1959-03-31	US4LCM6	The Museo Nacional de Bellas Artes	113.3
1959-04-30	US4LCM6	The Museo Nacional de Bellas Artes	118.58
1959-05-31	US4LCM6	The Museo Nacional de Bellas Artes	113.26
1959-06-30	US4LCM6	The Museo Nacional de Bellas Artes	106.87
1959-07-31	US4LCM6	The Museo Nacional de Bellas Artes	108.67
1959-08-31	US4LCM6	The Museo Nacional de Bellas Artes	110.16
1959-09-30	US4LCM6	The Museo Nacional de Bellas Artes	109.96
1959-10-31	US4LCM6	The Museo Nacional de Bellas Artes	104.56
1959-11-30	US4LCM6	The Museo Nacional de Bellas Artes	105.37
1959-12-31	US4LCM6	The Museo Nacional de Bellas Artes	103.73
1960-01-31	US4LCM6	The Museo Nacional de Bellas Artes	99.69
1960-02-29	US4LCM6	The Museo Nacional de Bellas Artes	103.47
1960-03-31	US4LCM6	The Museo Nacional de Bellas Artes	106.26
1960-04-30	US4LCM6	The Museo Nacional de Bellas Artes	108.29
1960-05-31	US4LCM6	The Museo Nacional de Bellas Artes	106.58
1960-06-30	US4LCM6	The Museo Nacional de Bellas Artes	106.35
1960-07-31	US4LCM6	The Museo Nacional de Bellas Artes	104.17
1960-08-31	US4LCM6	The Museo Nacional de Bellas Artes	103.7
1960-09-30	US4LCM6	The Museo Nacional de Bellas Artes	109.6
1960-10-31	US4LCM6	The Museo Nacional de Bellas Artes	104.29
1960-11-30	US4LCM6	The Museo Nacional de Bellas Artes	104.23
1960-12-31	US4LCM6	The Museo Nacional de Bellas Artes	106.73
1961-01-31	US4LCM6	The Museo Nacional de Bellas Artes	99.97
1961-02-28	US4LCM6	The Museo Nacional de Bellas Artes	95.42
1961-03-31	US4LCM6	The Museo Nacional de Bellas Artes	98.6
1961-04-30	US4LCM6	The Museo Nacional de Bellas Artes	108.42
1961-05-31	US4LCM6	The Museo Nacional de Bellas Artes	110.45
1961-06-30	US4LCM6	The Museo Nacional de Bellas Artes	109.47
1961-07-31	US4LCM6	The Museo Nacional de Bellas Artes	115.91
1961-08-31	US4LCM6	The Museo Nacional de Bellas Artes	117.09
1961-09-30	US4LCM6	The Museo Nacional de Bellas Artes	120.89
1961-10-31	US4LCM6	The Museo Nacional de Bellas Artes	115.11
1961-11-30	US4LCM6	The Museo Nacional de Bellas Artes	113.33
1961-12-31	US4LCM6	The Museo Nacional de Bellas Artes	105.7
1962-01-31	US4LCM6	The Museo Nacional de Bellas Artes	110.72
1962-02-28	US4LCM6	The Museo Nacional de Bellas Artes	106.43
1962-03-31	US4LCM6	The Museo Nacional de Bellas Artes	105.44
1962-04-30	US4LCM6	The Museo Nacional de Bellas Artes	102.26
1962-05-31	US4LCM6	The Museo Nacional de Bellas Artes	105.23
1962-06-30	US4LCM6	The Museo Nacional de Bellas Artes	109.58
1962-07-31	US4LCM6	The Museo Nacional de Bellas Artes	112.82
1962-08-31	US4LCM6	The Museo Nacional de Bellas Artes	113.44
1962-09-30	US4LCM6	The Museo Nacional de Bellas Artes	117.49
1962-10-31	US4LCM6	The Museo Nacional de Bellas Artes	111.81
1962-11-30	US4LCM6	The Museo Nacional de Bellas Artes	107.44
1962-12-31	US4LCM6	The Museo Nacional de Bellas Artes	108.53
1963-01-31	US4LCM6	The Museo Nacional de Bellas Artes	106.64
1963-02-28	US4LCM6	The Museo Nacional de Bellas Artes	106.86
1963-03-31	US4LCM6	The Museo Nacional de Bellas Artes	100.47
1963-04-30	US4LCM6	The Museo Nacional de Bellas Artes	100.61
1963-05-31	US4LCM6	The Museo Nacional de Bellas Artes	99.0
1963-06-30	US4LCM6	The Museo Nacional de Bellas Artes	96.91
1963-07-31	US4LCM6	The Museo Nacional de Bellas Artes	98.33
1963-08-31	US4LCM6	The Museo Nacional de Bellas Artes	95.73
1963-09-30	US4LCM6	The Museo Nacional de Bellas Artes	97.98
1963-10-31	US4LCM6	The Museo Nacional de Bellas Artes	98.02
1963-11-30	US4LCM6	The Museo Nacional de Bellas Artes	101.08
1963-12-31	US4LCM6	The Museo Nacional de Bellas Artes	106.05
1964-01-31	US4LCM6	The Museo Nacional de Bellas Artes	109.45
1964-02-29	US4LCM6	The Museo Nacional de Bellas Artes	115.54
1964-03-31	US4LCM6	The Museo Nacional de Bellas Artes	121.54
1964-04-30	US4LCM6	The Museo Nacional de Bellas Artes	122.67
1964-05-31	US4LCM6	The Museo Nacional de Bellas Artes	119.43
1964-06-30	US4LCM6	The Museo Nacional de Bellas Artes	120.63
1964-07-31	US4LCM6	The Museo Nacional de Bellas Artes	116.82
1964-08-31	US4LCM6	The Museo Nacional de Bellas Artes	121.77
1964-09-30	US4LCM6	The Museo Nacional de Bellas Artes	120.02
1964-10-31	US4LCM6	The Museo Nacional de Bellas Artes	110.44
1964-11-30	US4LCM6	The Museo Nacional de Bellas Artes	108.86
1964-12-31	US4LCM6	The Museo Nacional de Bellas Artes	113.37
1965-01-31	US4LCM6	The Museo Nacional de Bellas Artes	107.69
1965-02-28	US4LCM6	The Museo Nacional de Bellas Artes	112.16
1965-03-31	US4LCM6	The Museo Nacional de Bellas Artes	111.49
1965-04-30	US4LCM6	The Museo Nacional de Bellas Artes	108.72
