Date	Company Code	Company Name	Stock Price
1959-01-31	USIF8RJ	The Museo Nacional del Prado	111.54
1959-02-28	USIF8RJ	The Museo Nacional del Prado	113.93
1959-03-31	USIF8RJ	The Museo Nacional del Prado	122.39
1959-04-30	USIF8RJ	The Museo Nacional del Prado	117.37
1959-05-31	USIF8RJ	The Museo Nacional del Prado	109.77
1959-06-30	USIF8RJ	The Museo Nacional del Prado	114.48
1959-07-31	USIF8RJ	The Museo Nacional del Prado	119.47
1959-08-31	USIF8RJ	The Museo Nacional del Prado	115.74
1959-09-30	USIF8RJ	The Museo Nacional del Prado	118.8
1959-10-31	USIF8RJ	The Museo Nacional del Prado	120.76
1959-11-30	USIF8RJ	The Museo Nacional del Prado	123.09
1959-12-31	USIF8RJ	The Museo Nacional del Prado	113.38
1960-01-31	USIF8RJ	The Museo Nacional del Prado	115.22
1960-02-29	USIF8RJ	The Museo Nacional del Prado	116.24
1960-03-31	USIF8RJ	The Museo Nacional del Prado	109.96
1960-04-30	USIF8RJ	The Museo Nacional del Prado	110.02
1960-05-31	USIF8RJ	The Museo Nacional del Prado	106.65
1960-06-30	USIF8RJ	The Museo Nacional del Prado	111.15
1960-07-31	USIF8RJ	The Museo Nacional del Prado	114.43
1960-08-31	USIF8RJ	The Museo Nacional del Prado	120.17
1960-09-30	USIF8RJ	The Museo Nacional del Prado	122.62
1960-10-31	USIF8RJ	The Museo Nacional del Prado	118.52
1960-11-30	USIF8RJ	The Museo Nacional del Prado	117.82
1960-12-31	USIF8RJ	The Museo Nacional del Prado	115.48
1961-01-31	USIF8RJ	The Museo Nacional del Prado	119.47
1961-02-28	USIF8RJ	The Museo Nacional del Prado	119.86
1961-03-31	USIF8RJ	The Museo Nacional del Prado	117.28
1961-04-30	USIF8RJ	The Museo Nacional del Prado	119.07
1961-05-31	USIF8RJ	The Museo Nacional del Prado	113.82
1961-06-30	USIF8RJ	The Museo Nacional del Prado	113.44
1961-07-31	USIF8RJ	The Museo Nacional del Prado	119.79
1961-08-31	USIF8RJ	The Museo Nacional del Prado	126.37
1961-09-30	USIF8RJ	The Museo Nacional del Prado	130.93
1961-10-31	USIF8RJ	The Museo Nacional del Prado	138.27
1961-11-30	USIF8RJ	The Museo Nacional del Prado	140.51
1961-12-31	USIF8RJ	The Museo Nacional del Prado	138.6
1962-01-31	USIF8RJ	The Museo Nacional del Prado	138.99
1962-02-28	USIF8RJ	The Museo Nacional del Prado	134.33
1962-03-31	USIF8RJ	The Museo Nacional del Prado	129.65
1962-04-30	USIF8RJ	The Museo Nacional del Prado	133.35
1962-05-31	USIF8RJ	The Museo Nacional del Prado	134.64
1962-06-30	USIF8RJ	The Museo Nacional del Prado	139.84
1962-07-31	USIF8RJ	The Museo Nacional del Prado	131.71
1962-08-31	USIF8RJ	The Museo Nacional del Prado	134.53
1962-09-30	USIF8RJ	The Museo Nacional del Prado	136.85
1962-10-31	USIF8RJ	The Museo Nacional del Prado	133.65
1962-11-30	USIF8RJ	The Museo Nacional del Prado	127.03
1962-12-31	USIF8RJ	The Museo Nacional del Prado	129.77
1963-01-31	USIF8RJ	The Museo Nacional del Prado	126.43
1963-02-28	USIF8RJ	The Museo Nacional del Prado	122.93
1963-03-31	USIF8RJ	The Museo Nacional del Prado	127.13
1963-04-30	USIF8RJ	The Museo Nacional del Prado	126.27
1963-05-31	USIF8RJ	The Museo Nacional del Prado	130.66
1963-06-30	USIF8RJ	The Museo Nacional del Prado	132.28
1963-07-31	USIF8RJ	The Museo Nacional del Prado	133.95
1963-08-31	USIF8RJ	The Museo Nacional del Prado	134.85
1963-09-30	USIF8RJ	The Museo Nacional del Prado	130.68
1963-10-31	USIF8RJ	The Museo Nacional del Prado	133.06
1963-11-30	USIF8RJ	The Museo Nacional del Prado	132.95
1963-12-31	USIF8RJ	The Museo Nacional del Prado	139.25
1964-01-31	USIF8RJ	The Museo Nacional del Prado	136.35
1964-02-29	USIF8RJ	The Museo Nacional del Prado	135.63
1964-03-31	USIF8RJ	The Museo Nacional del Prado	134.7
1964-04-30	USIF8RJ	The Museo Nacional del Prado	135.29
1964-05-31	USIF8RJ	The Museo Nacional del Prado	129.74
1964-06-30	USIF8RJ	The Museo Nacional del Prado	123.72
1964-07-31	USIF8RJ	The Museo Nacional del Prado	114.71
1964-08-31	USIF8RJ	The Museo Nacional del Prado	114.37
1964-09-30	USIF8RJ	The Museo Nacional del Prado	112.49
1964-10-31	USIF8RJ	The Museo Nacional del Prado	111.44
1964-11-30	USIF8RJ	The Museo Nacional del Prado	118.71
1964-12-31	USIF8RJ	The Museo Nacional del Prado	119.71
1965-01-31	USIF8RJ	The Museo Nacional del Prado	119.57
1965-02-28	USIF8RJ	The Museo Nacional del Prado	119.7
1965-03-31	USIF8RJ	The Museo Nacional del Prado	124.57
1965-04-30	USIF8RJ	The Museo Nacional del Prado	121.85
1965-05-31	USIF8RJ	The Museo Nacional del Prado	120.87
1965-06-30	USIF8RJ	The Museo Nacional del Prado	125.66
1965-07-31	USIF8RJ	The Museo Nacional del Prado	121.9
1965-08-31	USIF8RJ	The Museo Nacional del Prado	122.44
1965-09-30	USIF8RJ	The Museo Nacional del Prado	119.05
1965-10-31	USIF8RJ	The Museo Nacional del Prado	118.1
1965-11-30	USIF8RJ	The Museo Nacional del Prado	116.39
1965-12-31	USIF8RJ	The Museo Nacional del Prado	123.33
1966-01-31	USIF8RJ	The Museo Nacional del Prado	123.94
1966-02-28	USIF8RJ	The Museo Nacional del Prado	118.78
1966-03-31	USIF8RJ	The Museo Nacional del Prado	111.38
1966-04-30	USIF8RJ	The Museo Nacional del Prado	106.59
1966-05-31	USIF8RJ	The Museo Nacional del Prado	107.63
1966-06-30	USIF8RJ	The Museo Nacional del Prado	106.81
1966-07-31	USIF8RJ	The Museo Nacional del Prado	112.03
1966-08-31	USIF8RJ	The Museo Nacional del Prado	111.94
1966-09-30	USIF8RJ	The Museo Nacional del Prado	107.0
1966-10-31	USIF8RJ	The Museo Nacional del Prado	106.7
1966-11-30	USIF8RJ	The Museo Nacional del Prado	106.02
1966-12-31	USIF8RJ	The Museo Nacional del Prado	109.87
1967-01-31	USIF8RJ	The Museo Nacional del Prado	109.84
1967-02-28	USIF8RJ	The Museo Nacional del Prado	108.45
1967-03-31	USIF8RJ	The Museo Nacional del Prado	109.76
1967-04-30	USIF8RJ	The Museo Nacional del Prado	112.92
1967-05-31	USIF8RJ	The Museo Nacional del Prado	116.51
1967-06-30	USIF8RJ	The Museo Nacional del Prado	117.86
1967-07-31	USIF8RJ	The Museo Nacional del Prado	120.7
1967-08-31	USIF8RJ	The Museo Nacional del Prado	119.58
1967-09-30	USIF8RJ	The Museo Nacional del Prado	118.21
1967-10-31	USIF8RJ	The Museo Nacional del Prado	121.94
1967-11-30	USIF8RJ	The Museo Nacional del Prado	122.14
1967-12-31	USIF8RJ	The Museo Nacional del Prado	119.94
1968-01-31	USIF8RJ	The Museo Nacional del Prado	117.48
1968-02-29	USIF8RJ	The Museo Nacional del Prado	117.09
1968-03-31	USIF8RJ	The Museo Nacional del Prado	114.8
1968-04-30	USIF8RJ	The Museo Nacional del Prado	116.28
1968-05-31	USIF8RJ	The Museo Nacional del Prado	110.04
1968-06-30	USIF8RJ	The Museo Nacional del Prado	107.76
1968-07-31	USIF8RJ	The Museo Nacional del Prado	105.32
1968-08-31	USIF8RJ	The Museo Nacional del Prado	108.33
1968-09-30	USIF8RJ	The Museo Nacional del Prado	109.75
1968-10-31	USIF8RJ	The Museo Nacional del Prado	109.58
1968-11-30	USIF8RJ	The Museo Nacional del Prado	110.1
1968-12-31	USIF8RJ	The Museo Nacional del Prado	103.25
1969-01-31	USIF8RJ	The Museo Nacional del Prado	106.31
1969-02-28	USIF8RJ	The Museo Nacional del Prado	108.19
1969-03-31	USIF8RJ	The Museo Nacional del Prado	103.03
1969-04-30	USIF8RJ	The Museo Nacional del Prado	102.34
1969-05-31	USIF8RJ	The Museo Nacional del Prado	103.48
1969-06-30	USIF8RJ	The Museo Nacional del Prado	105.64
1969-07-31	USIF8RJ	The Museo Nacional del Prado	100.13
1969-08-31	USIF8RJ	The Museo Nacional del Prado	101.88
1969-09-30	USIF8RJ	The Museo Nacional del Prado	105.66
1969-10-31	USIF8RJ	The Museo Nacional del Prado	106.97
1969-11-30	USIF8RJ	The Museo Nacional del Prado	105.58
1969-12-31	USIF8RJ	The Museo Nacional del Prado	104.96
1970-01-31	USIF8RJ	The Museo Nacional del Prado	107.06
1970-02-28	USIF8RJ	The Museo Nacional del Prado	109.26
1970-03-31	USIF8RJ	The Museo Nacional del Prado	110.75
1970-04-30	USIF8RJ	The Museo Nacional del Prado	109.52
1970-05-31	USIF8RJ	The Museo Nacional del Prado	107.51
1970-06-30	USIF8RJ	The Museo Nacional del Prado	113.73
1970-07-31	USIF8RJ	The Museo Nacional del Prado	116.54
1970-08-31	USIF8RJ	The Museo Nacional del Prado	118.9
1970-09-30	USIF8RJ	The Museo Nacional del Prado	118.18
1970-10-31	USIF8RJ	The Museo Nacional del Prado	122.05
1970-11-30	USIF8RJ	The Museo Nacional del Prado	122.73
1970-12-31	USIF8RJ	The Museo Nacional del Prado	121.29
1971-01-31	USIF8RJ	The Museo Nacional del Prado	126.29
1971-02-28	USIF8RJ	The Museo Nacional del Prado	132.35
1971-03-31	USIF8RJ	The Museo Nacional del Prado	128.69
1971-04-30	USIF8RJ	The Museo Nacional del Prado	127.79
1971-05-31	USIF8RJ	The Museo Nacional del Prado	126.29
1971-06-30	USIF8RJ	The Museo Nacional del Prado	122.49
1971-07-31	USIF8RJ	The Museo Nacional del Prado	123.75
1971-08-31	USIF8RJ	The Museo Nacional del Prado	121.07
1971-09-30	USIF8RJ	The Museo Nacional del Prado	115.85
1971-10-31	USIF8RJ	The Museo Nacional del Prado	109.18
1971-11-30	USIF8RJ	The Museo Nacional del Prado	114.15
1971-12-31	USIF8RJ	The Museo Nacional del Prado	107.42
1972-01-31	USIF8RJ	The Museo Nacional del Prado	107.38
1972-02-29	USIF8RJ	The Museo Nacional del Prado	105.37
1972-03-31	USIF8RJ	The Museo Nacional del Prado	103.02
1972-04-30	USIF8RJ	The Museo Nacional del Prado	100.63
1972-05-31	USIF8RJ	The Museo Nacional del Prado	102.84
1972-06-30	USIF8RJ	The Museo Nacional del Prado	111.01
1972-07-31	USIF8RJ	The Museo Nacional del Prado	111.5
1972-08-31	USIF8RJ	The Museo Nacional del Prado	107.69
1972-09-30	USIF8RJ	The Museo Nacional del Prado	108.45
1972-10-31	USIF8RJ	The Museo Nacional del Prado	108.05
1972-11-30	USIF8RJ	The Museo Nacional del Prado	106.48
1972-12-31	USIF8RJ	The Museo Nacional del Prado	107.03
1973-01-31	USIF8RJ	The Museo Nacional del Prado	110.23
1973-02-28	USIF8RJ	The Museo Nacional del Prado	116.19
1973-03-31	USIF8RJ	The Museo Nacional del Prado	116.96
1973-04-30	USIF8RJ	The Museo Nacional del Prado	108.83
1973-05-31	USIF8RJ	The Museo Nacional del Prado	101.5
1973-06-30	USIF8RJ	The Museo Nacional del Prado	105.2
1973-07-31	USIF8RJ	The Museo Nacional del Prado	100.49
1973-08-31	USIF8RJ	The Museo Nacional del Prado	98.26
1973-09-30	USIF8RJ	The Museo Nacional del Prado	100.87
1973-10-31	USIF8RJ	The Museo Nacional del Prado	95.82
1973-11-30	USIF8RJ	The Museo Nacional del Prado	94.25
1973-12-31	USIF8RJ	The Museo Nacional del Prado	90.58
1974-01-31	USIF8RJ	The Museo Nacional del Prado	86.89
1974-02-28	USIF8RJ	The Museo Nacional del Prado	88.75
1974-03-31	USIF8RJ	The Museo Nacional del Prado	91.13
1974-04-30	USIF8RJ	The Museo Nacional del Prado	95.33
1974-05-31	USIF8RJ	The Museo Nacional del Prado	97.36
1974-06-30	USIF8RJ	The Museo Nacional del Prado	98.23
1974-07-31	USIF8RJ	The Museo Nacional del Prado	100.86
1974-08-31	USIF8RJ	The Museo Nacional del Prado	103.62
1974-09-30	USIF8RJ	The Museo Nacional del Prado	100.82
1974-10-31	USIF8RJ	The Museo Nacional del Prado	100.92
1974-11-30	USIF8RJ	The Museo Nacional del Prado	100.7
1974-12-31	USIF8RJ	The Museo Nacional del Prado	99.99
1975-01-31	USIF8RJ	The Museo Nacional del Prado	99.21
1975-02-28	USIF8RJ	The Museo Nacional del Prado	96.9
1975-03-31	USIF8RJ	The Museo Nacional del Prado	102.28
1975-04-30	USIF8RJ	The Museo Nacional del Prado	99.74
1975-05-31	USIF8RJ	The Museo Nacional del Prado	94.57
1975-06-30	USIF8RJ	The Museo Nacional del Prado	95.78
1975-07-31	USIF8RJ	The Museo Nacional del Prado	95.38
1975-08-31	USIF8RJ	The Museo Nacional del Prado	96.49
1975-09-30	USIF8RJ	The Museo Nacional del Prado	100.47
1975-10-31	USIF8RJ	The Museo Nacional del Prado	100.79
1975-11-30	USIF8RJ	The Museo Nacional del Prado	100.72
1975-12-31	USIF8RJ	The Museo Nacional del Prado	94.22
1976-01-31	USIF8RJ	The Museo Nacional del Prado	102.18
1976-02-29	USIF8RJ	The Museo Nacional del Prado	106.03
1976-03-31	USIF8RJ	The Museo Nacional del Prado	101.31
1976-04-30	USIF8RJ	The Museo Nacional del Prado	96.7
1976-05-31	USIF8RJ	The Museo Nacional del Prado	98.04
1976-06-30	USIF8RJ	The Museo Nacional del Prado	93.34
1976-07-31	USIF8RJ	The Museo Nacional del Prado	96.26
1976-08-31	USIF8RJ	The Museo Nacional del Prado	95.25
1976-09-30	USIF8RJ	The Museo Nacional del Prado	99.47
1976-10-31	USIF8RJ	The Museo Nacional del Prado	105.69
1976-11-30	USIF8RJ	The Museo Nacional del Prado	109.28
1976-12-31	USIF8RJ	The Museo Nacional del Prado	111.61
1977-01-31	USIF8RJ	The Museo Nacional del Prado	114.07
1977-02-28	USIF8RJ	The Museo Nacional del Prado	113.54
1977-03-31	USIF8RJ	The Museo Nacional del Prado	118.77
