Date	Company Code	Company Name	Stock Price
1959-01-31	USQPZRB	The Museo de Arte Colonial	88.43
1959-02-28	USQPZRB	The Museo de Arte Colonial	82.99
1959-03-31	USQPZRB	The Museo de Arte Colonial	83.4
1959-04-30	USQPZRB	The Museo de Arte Colonial	88.13
1959-05-31	USQPZRB	The Museo de Arte Colonial	86.47
1959-06-30	USQPZRB	The Museo de Arte Colonial	91.52
1959-07-31	USQPZRB	The Museo de Arte Colonial	87.19
1959-08-31	USQPZRB	The Museo de Arte Colonial	88.81
1959-09-30	USQPZRB	The Museo de Arte Colonial	85.43
1959-10-31	USQPZRB	The Museo de Arte Colonial	85.88
1959-11-30	USQPZRB	The Museo de Arte Colonial	86.74
1959-12-31	USQPZRB	The Museo de Arte Colonial	83.05
1960-01-31	USQPZRB	The Museo de Arte Colonial	86.03
1960-02-29	USQPZRB	The Museo de Arte Colonial	80.66
1960-03-31	USQPZRB	The Museo de Arte Colonial	82.13
1960-04-30	USQPZRB	The Museo de Arte Colonial	78.27
1960-05-31	USQPZRB	The Museo de Arte Colonial	77.48
1960-06-30	USQPZRB	The Museo de Arte Colonial	78.64
1960-07-31	USQPZRB	The Museo de Arte Colonial	83.02
1960-08-31	USQPZRB	The Museo de Arte Colonial	79.7
1960-09-30	USQPZRB	The Museo de Arte Colonial	80.41
1960-10-31	USQPZRB	The Museo de Arte Colonial	85.32
1960-11-30	USQPZRB	The Museo de Arte Colonial	82.16
1960-12-31	USQPZRB	The Museo de Arte Colonial	83.33
1961-01-31	USQPZRB	The Museo de Arte Colonial	78.43
1961-02-28	USQPZRB	The Museo de Arte Colonial	83.24
1961-03-31	USQPZRB	The Museo de Arte Colonial	83.06
1961-04-30	USQPZRB	The Museo de Arte Colonial	84.15
1961-05-31	USQPZRB	The Museo de Arte Colonial	84.05
1961-06-30	USQPZRB	The Museo de Arte Colonial	80.35
1961-07-31	USQPZRB	The Museo de Arte Colonial	86.09
1961-08-31	USQPZRB	The Museo de Arte Colonial	89.6
1961-09-30	USQPZRB	The Museo de Arte Colonial	84.68
1961-10-31	USQPZRB	The Museo de Arte Colonial	81.37
1961-11-30	USQPZRB	The Museo de Arte Colonial	91.04
1961-12-31	USQPZRB	The Museo de Arte Colonial	92.98
1962-01-31	USQPZRB	The Museo de Arte Colonial	90.02
1962-02-28	USQPZRB	The Museo de Arte Colonial	96.3
1962-03-31	USQPZRB	The Museo de Arte Colonial	94.74
1962-04-30	USQPZRB	The Museo de Arte Colonial	95.32
1962-05-31	USQPZRB	The Museo de Arte Colonial	90.39
1962-06-30	USQPZRB	The Museo de Arte Colonial	95.22
1962-07-31	USQPZRB	The Museo de Arte Colonial	99.89
1962-08-31	USQPZRB	The Museo de Arte Colonial	98.67
1962-09-30	USQPZRB	The Museo de Arte Colonial	98.76
1962-10-31	USQPZRB	The Museo de Arte Colonial	97.91
1962-11-30	USQPZRB	The Museo de Arte Colonial	98.56
1962-12-31	USQPZRB	The Museo de Arte Colonial	105.6
1963-01-31	USQPZRB	The Museo de Arte Colonial	104.09
1963-02-28	USQPZRB	The Museo de Arte Colonial	105.54
1963-03-31	USQPZRB	The Museo de Arte Colonial	106.67
1963-04-30	USQPZRB	The Museo de Arte Colonial	113.83
1963-05-31	USQPZRB	The Museo de Arte Colonial	115.62
1963-06-30	USQPZRB	The Museo de Arte Colonial	108.46
1963-07-31	USQPZRB	The Museo de Arte Colonial	105.79
1963-08-31	USQPZRB	The Museo de Arte Colonial	112.01
1963-09-30	USQPZRB	The Museo de Arte Colonial	121.0
1963-10-31	USQPZRB	The Museo de Arte Colonial	122.33
1963-11-30	USQPZRB	The Museo de Arte Colonial	121.76
1963-12-31	USQPZRB	The Museo de Arte Colonial	117.42
1964-01-31	USQPZRB	The Museo de Arte Colonial	111.71
1964-02-29	USQPZRB	The Museo de Arte Colonial	107.01
1964-03-31	USQPZRB	The Museo de Arte Colonial	108.53
1964-04-30	USQPZRB	The Museo de Arte Colonial	109.25
1964-05-31	USQPZRB	The Museo de Arte Colonial	111.47
1964-06-30	USQPZRB	The Museo de Arte Colonial	113.39
1964-07-31	USQPZRB	The Museo de Arte Colonial	116.68
1964-08-31	USQPZRB	The Museo de Arte Colonial	120.34
1964-09-30	USQPZRB	The Museo de Arte Colonial	113.85
1964-10-31	USQPZRB	The Museo de Arte Colonial	116.66
1964-11-30	USQPZRB	The Museo de Arte Colonial	119.0
1964-12-31	USQPZRB	The Museo de Arte Colonial	119.93
1965-01-31	USQPZRB	The Museo de Arte Colonial	117.34
1965-02-28	USQPZRB	The Museo de Arte Colonial	123.68
1965-03-31	USQPZRB	The Museo de Arte Colonial	121.39
1965-04-30	USQPZRB	The Museo de Arte Colonial	123.6
1965-05-31	USQPZRB	The Museo de Arte Colonial	118.1
1965-06-30	USQPZRB	The Museo de Arte Colonial	120.02
1965-07-31	USQPZRB	The Museo de Arte Colonial	116.14
1965-08-31	USQPZRB	The Museo de Arte Colonial	115.17
1965-09-30	USQPZRB	The Museo de Arte Colonial	108.26
1965-10-31	USQPZRB	The Museo de Arte Colonial	106.27
1965-11-30	USQPZRB	The Museo de Arte Colonial	105.6
1965-12-31	USQPZRB	The Museo de Arte Colonial	101.07
1966-01-31	USQPZRB	The Museo de Arte Colonial	103.16
1966-02-28	USQPZRB	The Museo de Arte Colonial	105.98
1966-03-31	USQPZRB	The Museo de Arte Colonial	100.66
1966-04-30	USQPZRB	The Museo de Arte Colonial	100.06
1966-05-31	USQPZRB	The Museo de Arte Colonial	104.13
1966-06-30	USQPZRB	The Museo de Arte Colonial	101.79
1966-07-31	USQPZRB	The Museo de Arte Colonial	98.09
1966-08-31	USQPZRB	The Museo de Arte Colonial	98.03
1966-09-30	USQPZRB	The Museo de Arte Colonial	95.23
1966-10-31	USQPZRB	The Museo de Arte Colonial	99.0
1966-11-30	USQPZRB	The Museo de Arte Colonial	102.64
1966-12-31	USQPZRB	The Museo de Arte Colonial	100.5
1967-01-31	USQPZRB	The Museo de Arte Colonial	105.95
1967-02-28	USQPZRB	The Museo de Arte Colonial	101.97
1967-03-31	USQPZRB	The Museo de Arte Colonial	101.6
1967-04-30	USQPZRB	The Museo de Arte Colonial	101.91
1967-05-31	USQPZRB	The Museo de Arte Colonial	103.93
1967-06-30	USQPZRB	The Museo de Arte Colonial	109.01
1967-07-31	USQPZRB	The Museo de Arte Colonial	110.16
1967-08-31	USQPZRB	The Museo de Arte Colonial	105.38
1967-09-30	USQPZRB	The Museo de Arte Colonial	104.63
1967-10-31	USQPZRB	The Museo de Arte Colonial	110.32
1967-11-30	USQPZRB	The Museo de Arte Colonial	103.63
1967-12-31	USQPZRB	The Museo de Arte Colonial	103.77
1968-01-31	USQPZRB	The Museo de Arte Colonial	105.83
1968-02-29	USQPZRB	The Museo de Arte Colonial	101.92
1968-03-31	USQPZRB	The Museo de Arte Colonial	102.13
1968-04-30	USQPZRB	The Museo de Arte Colonial	102.07
1968-05-31	USQPZRB	The Museo de Arte Colonial	103.31
1968-06-30	USQPZRB	The Museo de Arte Colonial	103.73
1968-07-31	USQPZRB	The Museo de Arte Colonial	102.56
1968-08-31	USQPZRB	The Museo de Arte Colonial	101.46
1968-09-30	USQPZRB	The Museo de Arte Colonial	105.07
1968-10-31	USQPZRB	The Museo de Arte Colonial	104.73
1968-11-30	USQPZRB	The Museo de Arte Colonial	97.05
1968-12-31	USQPZRB	The Museo de Arte Colonial	104.44
1969-01-31	USQPZRB	The Museo de Arte Colonial	106.22
1969-02-28	USQPZRB	The Museo de Arte Colonial	111.55
1969-03-31	USQPZRB	The Museo de Arte Colonial	117.98
1969-04-30	USQPZRB	The Museo de Arte Colonial	119.18
1969-05-31	USQPZRB	The Museo de Arte Colonial	118.65
1969-06-30	USQPZRB	The Museo de Arte Colonial	112.0
1969-07-31	USQPZRB	The Museo de Arte Colonial	110.57
1969-08-31	USQPZRB	The Museo de Arte Colonial	107.62
1969-09-30	USQPZRB	The Museo de Arte Colonial	114.17
1969-10-31	USQPZRB	The Museo de Arte Colonial	118.73
1969-11-30	USQPZRB	The Museo de Arte Colonial	119.09
1969-12-31	USQPZRB	The Museo de Arte Colonial	120.69
1970-01-31	USQPZRB	The Museo de Arte Colonial	118.9
1970-02-28	USQPZRB	The Museo de Arte Colonial	115.53
1970-03-31	USQPZRB	The Museo de Arte Colonial	109.71
1970-04-30	USQPZRB	The Museo de Arte Colonial	109.17
1970-05-31	USQPZRB	The Museo de Arte Colonial	110.52
1970-06-30	USQPZRB	The Museo de Arte Colonial	105.46
1970-07-31	USQPZRB	The Museo de Arte Colonial	106.25
