Date	Company Code	Company Name	Stock Price
1959-01-31	USLGFA7	The Museo de Arte Moderno de Medellín	102.99
1959-02-28	USLGFA7	The Museo de Arte Moderno de Medellín	99.26
1959-03-31	USLGFA7	The Museo de Arte Moderno de Medellín	95.92
1959-04-30	USLGFA7	The Museo de Arte Moderno de Medellín	94.8
1959-05-31	USLGFA7	The Museo de Arte Moderno de Medellín	99.65
1959-06-30	USLGFA7	The Museo de Arte Moderno de Medellín	100.04
1959-07-31	USLGFA7	The Museo de Arte Moderno de Medellín	97.24
1959-08-31	USLGFA7	The Museo de Arte Moderno de Medellín	99.73
1959-09-30	USLGFA7	The Museo de Arte Moderno de Medellín	92.58
1959-10-31	USLGFA7	The Museo de Arte Moderno de Medellín	87.53
1959-11-30	USLGFA7	The Museo de Arte Moderno de Medellín	90.55
1959-12-31	USLGFA7	The Museo de Arte Moderno de Medellín	84.85
1960-01-31	USLGFA7	The Museo de Arte Moderno de Medellín	85.65
1960-02-29	USLGFA7	The Museo de Arte Moderno de Medellín	84.78
1960-03-31	USLGFA7	The Museo de Arte Moderno de Medellín	84.83
1960-04-30	USLGFA7	The Museo de Arte Moderno de Medellín	83.49
1960-05-31	USLGFA7	The Museo de Arte Moderno de Medellín	84.15
1960-06-30	USLGFA7	The Museo de Arte Moderno de Medellín	82.32
1960-07-31	USLGFA7	The Museo de Arte Moderno de Medellín	87.39
1960-08-31	USLGFA7	The Museo de Arte Moderno de Medellín	85.42
1960-09-30	USLGFA7	The Museo de Arte Moderno de Medellín	92.66
1960-10-31	USLGFA7	The Museo de Arte Moderno de Medellín	95.13
1960-11-30	USLGFA7	The Museo de Arte Moderno de Medellín	98.11
1960-12-31	USLGFA7	The Museo de Arte Moderno de Medellín	106.63
1961-01-31	USLGFA7	The Museo de Arte Moderno de Medellín	109.19
1961-02-28	USLGFA7	The Museo de Arte Moderno de Medellín	109.3
1961-03-31	USLGFA7	The Museo de Arte Moderno de Medellín	116.93
1961-04-30	USLGFA7	The Museo de Arte Moderno de Medellín	114.17
1961-05-31	USLGFA7	The Museo de Arte Moderno de Medellín	114.24
1961-06-30	USLGFA7	The Museo de Arte Moderno de Medellín	114.42
1961-07-31	USLGFA7	The Museo de Arte Moderno de Medellín	114.35
1961-08-31	USLGFA7	The Museo de Arte Moderno de Medellín	119.51
1961-09-30	USLGFA7	The Museo de Arte Moderno de Medellín	118.74
1961-10-31	USLGFA7	The Museo de Arte Moderno de Medellín	113.87
1961-11-30	USLGFA7	The Museo de Arte Moderno de Medellín	113.95
1961-12-31	USLGFA7	The Museo de Arte Moderno de Medellín	108.03
1962-01-31	USLGFA7	The Museo de Arte Moderno de Medellín	112.86
1962-02-28	USLGFA7	The Museo de Arte Moderno de Medellín	117.43
1962-03-31	USLGFA7	The Museo de Arte Moderno de Medellín	112.51
1962-04-30	USLGFA7	The Museo de Arte Moderno de Medellín	119.7
1962-05-31	USLGFA7	The Museo de Arte Moderno de Medellín	119.47
1962-06-30	USLGFA7	The Museo de Arte Moderno de Medellín	112.22
