Date	Company Code	Company Name	Stock Price
1959-01-31	USVSY6B	The Museo de Arte de Aguascalientes	84.85
1959-02-28	USVSY6B	The Museo de Arte de Aguascalientes	91.51
1959-03-31	USVSY6B	The Museo de Arte de Aguascalientes	96.37
1959-04-30	USVSY6B	The Museo de Arte de Aguascalientes	92.74
1959-05-31	USVSY6B	The Museo de Arte de Aguascalientes	97.54
1959-06-30	USVSY6B	The Museo de Arte de Aguascalientes	99.13
1959-07-31	USVSY6B	The Museo de Arte de Aguascalientes	103.48
1959-08-31	USVSY6B	The Museo de Arte de Aguascalientes	105.04
1959-09-30	USVSY6B	The Museo de Arte de Aguascalientes	103.28
1959-10-31	USVSY6B	The Museo de Arte de Aguascalientes	105.95
1959-11-30	USVSY6B	The Museo de Arte de Aguascalientes	105.66
1959-12-31	USVSY6B	The Museo de Arte de Aguascalientes	103.97
1960-01-31	USVSY6B	The Museo de Arte de Aguascalientes	96.74
1960-02-29	USVSY6B	The Museo de Arte de Aguascalientes	93.97
1960-03-31	USVSY6B	The Museo de Arte de Aguascalientes	91.58
1960-04-30	USVSY6B	The Museo de Arte de Aguascalientes	88.8
1960-05-31	USVSY6B	The Museo de Arte de Aguascalientes	85.13
1960-06-30	USVSY6B	The Museo de Arte de Aguascalientes	83.56
1960-07-31	USVSY6B	The Museo de Arte de Aguascalientes	82.57
1960-08-31	USVSY6B	The Museo de Arte de Aguascalientes	84.0
1960-09-30	USVSY6B	The Museo de Arte de Aguascalientes	89.61
1960-10-31	USVSY6B	The Museo de Arte de Aguascalientes	87.22
1960-11-30	USVSY6B	The Museo de Arte de Aguascalientes	89.12
1960-12-31	USVSY6B	The Museo de Arte de Aguascalientes	96.71
1961-01-31	USVSY6B	The Museo de Arte de Aguascalientes	94.08
1961-02-28	USVSY6B	The Museo de Arte de Aguascalientes	94.07
1961-03-31	USVSY6B	The Museo de Arte de Aguascalientes	95.17
1961-04-30	USVSY6B	The Museo de Arte de Aguascalientes	92.32
1961-05-31	USVSY6B	The Museo de Arte de Aguascalientes	96.57
1961-06-30	USVSY6B	The Museo de Arte de Aguascalientes	94.26
1961-07-31	USVSY6B	The Museo de Arte de Aguascalientes	98.3
1961-08-31	USVSY6B	The Museo de Arte de Aguascalientes	101.14
1961-09-30	USVSY6B	The Museo de Arte de Aguascalientes	102.23
1961-10-31	USVSY6B	The Museo de Arte de Aguascalientes	95.84
1961-11-30	USVSY6B	The Museo de Arte de Aguascalientes	95.92
1961-12-31	USVSY6B	The Museo de Arte de Aguascalientes	95.4
1962-01-31	USVSY6B	The Museo de Arte de Aguascalientes	88.84
1962-02-28	USVSY6B	The Museo de Arte de Aguascalientes	94.01
1962-03-31	USVSY6B	The Museo de Arte de Aguascalientes	94.38
1962-04-30	USVSY6B	The Museo de Arte de Aguascalientes	92.65
1962-05-31	USVSY6B	The Museo de Arte de Aguascalientes	94.53
1962-06-30	USVSY6B	The Museo de Arte de Aguascalientes	98.82
1962-07-31	USVSY6B	The Museo de Arte de Aguascalientes	101.1
1962-08-31	USVSY6B	The Museo de Arte de Aguascalientes	103.67
1962-09-30	USVSY6B	The Museo de Arte de Aguascalientes	108.27
1962-10-31	USVSY6B	The Museo de Arte de Aguascalientes	105.67
1962-11-30	USVSY6B	The Museo de Arte de Aguascalientes	107.49
1962-12-31	USVSY6B	The Museo de Arte de Aguascalientes	108.95
1963-01-31	USVSY6B	The Museo de Arte de Aguascalientes	103.39
1963-02-28	USVSY6B	The Museo de Arte de Aguascalientes	104.79
1963-03-31	USVSY6B	The Museo de Arte de Aguascalientes	105.9
1963-04-30	USVSY6B	The Museo de Arte de Aguascalientes	107.68
1963-05-31	USVSY6B	The Museo de Arte de Aguascalientes	114.35
1963-06-30	USVSY6B	The Museo de Arte de Aguascalientes	107.88
1963-07-31	USVSY6B	The Museo de Arte de Aguascalientes	106.21
1963-08-31	USVSY6B	The Museo de Arte de Aguascalientes	107.61
