Date	Company Code	Company Name	Stock Price
1959-01-31	USDAVQQ	The Museo de Arte de Asunción	103.72
1959-02-28	USDAVQQ	The Museo de Arte de Asunción	103.25
1959-03-31	USDAVQQ	The Museo de Arte de Asunción	109.82
1959-04-30	USDAVQQ	The Museo de Arte de Asunción	117.62
1959-05-31	USDAVQQ	The Museo de Arte de Asunción	110.68
1959-06-30	USDAVQQ	The Museo de Arte de Asunción	106.24
1959-07-31	USDAVQQ	The Museo de Arte de Asunción	106.79
1959-08-31	USDAVQQ	The Museo de Arte de Asunción	109.2
1959-09-30	USDAVQQ	The Museo de Arte de Asunción	106.18
1959-10-31	USDAVQQ	The Museo de Arte de Asunción	106.66
1959-11-30	USDAVQQ	The Museo de Arte de Asunción	101.29
1959-12-31	USDAVQQ	The Museo de Arte de Asunción	99.16
1960-01-31	USDAVQQ	The Museo de Arte de Asunción	94.13
1960-02-29	USDAVQQ	The Museo de Arte de Asunción	96.92
1960-03-31	USDAVQQ	The Museo de Arte de Asunción	90.81
1960-04-30	USDAVQQ	The Museo de Arte de Asunción	85.89
1960-05-31	USDAVQQ	The Museo de Arte de Asunción	85.41
1960-06-30	USDAVQQ	The Museo de Arte de Asunción	88.25
1960-07-31	USDAVQQ	The Museo de Arte de Asunción	95.26
1960-08-31	USDAVQQ	The Museo de Arte de Asunción	96.6
1960-09-30	USDAVQQ	The Museo de Arte de Asunción	91.35
1960-10-31	USDAVQQ	The Museo de Arte de Asunción	83.52
1960-11-30	USDAVQQ	The Museo de Arte de Asunción	88.21
1960-12-31	USDAVQQ	The Museo de Arte de Asunción	91.9
1961-01-31	USDAVQQ	The Museo de Arte de Asunción	93.11
1961-02-28	USDAVQQ	The Museo de Arte de Asunción	97.53
1961-03-31	USDAVQQ	The Museo de Arte de Asunción	95.38
1961-04-30	USDAVQQ	The Museo de Arte de Asunción	92.39
1961-05-31	USDAVQQ	The Museo de Arte de Asunción	88.77
1961-06-30	USDAVQQ	The Museo de Arte de Asunción	87.16
1961-07-31	USDAVQQ	The Museo de Arte de Asunción	82.88
1961-08-31	USDAVQQ	The Museo de Arte de Asunción	88.27
1961-09-30	USDAVQQ	The Museo de Arte de Asunción	93.39
1961-10-31	USDAVQQ	The Museo de Arte de Asunción	97.06
1961-11-30	USDAVQQ	The Museo de Arte de Asunción	104.82
1961-12-31	USDAVQQ	The Museo de Arte de Asunción	104.63
1962-01-31	USDAVQQ	The Museo de Arte de Asunción	105.67
1962-02-28	USDAVQQ	The Museo de Arte de Asunción	105.9
1962-03-31	USDAVQQ	The Museo de Arte de Asunción	99.4
1962-04-30	USDAVQQ	The Museo de Arte de Asunción	93.29
1962-05-31	USDAVQQ	The Museo de Arte de Asunción	99.85
1962-06-30	USDAVQQ	The Museo de Arte de Asunción	107.48
1962-07-31	USDAVQQ	The Museo de Arte de Asunción	114.15
1962-08-31	USDAVQQ	The Museo de Arte de Asunción	113.81
1962-09-30	USDAVQQ	The Museo de Arte de Asunción	117.16
1962-10-31	USDAVQQ	The Museo de Arte de Asunción	126.56
1962-11-30	USDAVQQ	The Museo de Arte de Asunción	118.27
1962-12-31	USDAVQQ	The Museo de Arte de Asunción	125.23
1963-01-31	USDAVQQ	The Museo de Arte de Asunción	125.97
1963-02-28	USDAVQQ	The Museo de Arte de Asunción	124.06
1963-03-31	USDAVQQ	The Museo de Arte de Asunción	123.84
1963-04-30	USDAVQQ	The Museo de Arte de Asunción	120.03
1963-05-31	USDAVQQ	The Museo de Arte de Asunción	126.36
1963-06-30	USDAVQQ	The Museo de Arte de Asunción	126.24
1963-07-31	USDAVQQ	The Museo de Arte de Asunción	127.77
1963-08-31	USDAVQQ	The Museo de Arte de Asunción	123.65
1963-09-30	USDAVQQ	The Museo de Arte de Asunción	115.78
1963-10-31	USDAVQQ	The Museo de Arte de Asunción	110.26
1963-11-30	USDAVQQ	The Museo de Arte de Asunción	110.05
1963-12-31	USDAVQQ	The Museo de Arte de Asunción	113.83
1964-01-31	USDAVQQ	The Museo de Arte de Asunción	113.14
1964-02-29	USDAVQQ	The Museo de Arte de Asunción	113.41
1964-03-31	USDAVQQ	The Museo de Arte de Asunción	119.51
1964-04-30	USDAVQQ	The Museo de Arte de Asunción	116.73
1964-05-31	USDAVQQ	The Museo de Arte de Asunción	119.09
1964-06-30	USDAVQQ	The Museo de Arte de Asunción	117.98
1964-07-31	USDAVQQ	The Museo de Arte de Asunción	118.37
1964-08-31	USDAVQQ	The Museo de Arte de Asunción	116.78
1964-09-30	USDAVQQ	The Museo de Arte de Asunción	124.59
1964-10-31	USDAVQQ	The Museo de Arte de Asunción	126.26
1964-11-30	USDAVQQ	The Museo de Arte de Asunción	126.1
1964-12-31	USDAVQQ	The Museo de Arte de Asunción	126.82
1965-01-31	USDAVQQ	The Museo de Arte de Asunción	128.75
1965-02-28	USDAVQQ	The Museo de Arte de Asunción	125.96
1965-03-31	USDAVQQ	The Museo de Arte de Asunción	126.66
1965-04-30	USDAVQQ	The Museo de Arte de Asunción	126.17
1965-05-31	USDAVQQ	The Museo de Arte de Asunción	132.83
1965-06-30	USDAVQQ	The Museo de Arte de Asunción	131.16
1965-07-31	USDAVQQ	The Museo de Arte de Asunción	133.68
1965-08-31	USDAVQQ	The Museo de Arte de Asunción	126.18
1965-09-30	USDAVQQ	The Museo de Arte de Asunción	122.59
1965-10-31	USDAVQQ	The Museo de Arte de Asunción	117.66
1965-11-30	USDAVQQ	The Museo de Arte de Asunción	123.43
1965-12-31	USDAVQQ	The Museo de Arte de Asunción	127.27
1966-01-31	USDAVQQ	The Museo de Arte de Asunción	126.92
1966-02-28	USDAVQQ	The Museo de Arte de Asunción	125.0
1966-03-31	USDAVQQ	The Museo de Arte de Asunción	121.55
1966-04-30	USDAVQQ	The Museo de Arte de Asunción	127.99
1966-05-31	USDAVQQ	The Museo de Arte de Asunción	127.43
1966-06-30	USDAVQQ	The Museo de Arte de Asunción	127.53
1966-07-31	USDAVQQ	The Museo de Arte de Asunción	124.92
1966-08-31	USDAVQQ	The Museo de Arte de Asunción	119.75
1966-09-30	USDAVQQ	The Museo de Arte de Asunción	124.54
1966-10-31	USDAVQQ	The Museo de Arte de Asunción	121.4
1966-11-30	USDAVQQ	The Museo de Arte de Asunción	127.52
1966-12-31	USDAVQQ	The Museo de Arte de Asunción	131.76
1967-01-31	USDAVQQ	The Museo de Arte de Asunción	127.29
1967-02-28	USDAVQQ	The Museo de Arte de Asunción	129.7
1967-03-31	USDAVQQ	The Museo de Arte de Asunción	130.78
1967-04-30	USDAVQQ	The Museo de Arte de Asunción	130.77
1967-05-31	USDAVQQ	The Museo de Arte de Asunción	130.82
1967-06-30	USDAVQQ	The Museo de Arte de Asunción	135.43
1967-07-31	USDAVQQ	The Museo de Arte de Asunción	135.54
1967-08-31	USDAVQQ	The Museo de Arte de Asunción	140.54
1967-09-30	USDAVQQ	The Museo de Arte de Asunción	137.01
1967-10-31	USDAVQQ	The Museo de Arte de Asunción	136.69
1967-11-30	USDAVQQ	The Museo de Arte de Asunción	134.44
1967-12-31	USDAVQQ	The Museo de Arte de Asunción	139.61
1968-01-31	USDAVQQ	The Museo de Arte de Asunción	137.18
1968-02-29	USDAVQQ	The Museo de Arte de Asunción	138.21
1968-03-31	USDAVQQ	The Museo de Arte de Asunción	137.56
1968-04-30	USDAVQQ	The Museo de Arte de Asunción	138.94
1968-05-31	USDAVQQ	The Museo de Arte de Asunción	141.62
1968-06-30	USDAVQQ	The Museo de Arte de Asunción	132.55
1968-07-31	USDAVQQ	The Museo de Arte de Asunción	133.3
1968-08-31	USDAVQQ	The Museo de Arte de Asunción	133.71
1968-09-30	USDAVQQ	The Museo de Arte de Asunción	136.74
1968-10-31	USDAVQQ	The Museo de Arte de Asunción	139.4
1968-11-30	USDAVQQ	The Museo de Arte de Asunción	137.3
1968-12-31	USDAVQQ	The Museo de Arte de Asunción	139.04
1969-01-31	USDAVQQ	The Museo de Arte de Asunción	141.03
1969-02-28	USDAVQQ	The Museo de Arte de Asunción	140.39
1969-03-31	USDAVQQ	The Museo de Arte de Asunción	133.88
1969-04-30	USDAVQQ	The Museo de Arte de Asunción	126.08
1969-05-31	USDAVQQ	The Museo de Arte de Asunción	125.2
1969-06-30	USDAVQQ	The Museo de Arte de Asunción	121.57
1969-07-31	USDAVQQ	The Museo de Arte de Asunción	119.99
1969-08-31	USDAVQQ	The Museo de Arte de Asunción	125.67
1969-09-30	USDAVQQ	The Museo de Arte de Asunción	124.02
1969-10-31	USDAVQQ	The Museo de Arte de Asunción	117.81
1969-11-30	USDAVQQ	The Museo de Arte de Asunción	121.99
1969-12-31	USDAVQQ	The Museo de Arte de Asunción	119.39
1970-01-31	USDAVQQ	The Museo de Arte de Asunción	116.54
1970-02-28	USDAVQQ	The Museo de Arte de Asunción	110.4
1970-03-31	USDAVQQ	The Museo de Arte de Asunción	115.95
1970-04-30	USDAVQQ	The Museo de Arte de Asunción	119.24
1970-05-31	USDAVQQ	The Museo de Arte de Asunción	110.64
1970-06-30	USDAVQQ	The Museo de Arte de Asunción	105.54
1970-07-31	USDAVQQ	The Museo de Arte de Asunción	102.32
1970-08-31	USDAVQQ	The Museo de Arte de Asunción	102.29
1970-09-30	USDAVQQ	The Museo de Arte de Asunción	96.08
1970-10-31	USDAVQQ	The Museo de Arte de Asunción	97.2
1970-11-30	USDAVQQ	The Museo de Arte de Asunción	97.11
1970-12-31	USDAVQQ	The Museo de Arte de Asunción	96.24
1971-01-31	USDAVQQ	The Museo de Arte de Asunción	99.75
1971-02-28	USDAVQQ	The Museo de Arte de Asunción	97.58
1971-03-31	USDAVQQ	The Museo de Arte de Asunción	101.93
1971-04-30	USDAVQQ	The Museo de Arte de Asunción	101.02
1971-05-31	USDAVQQ	The Museo de Arte de Asunción	102.17
1971-06-30	USDAVQQ	The Museo de Arte de Asunción	102.15
1971-07-31	USDAVQQ	The Museo de Arte de Asunción	105.54
1971-08-31	USDAVQQ	The Museo de Arte de Asunción	102.49
1971-09-30	USDAVQQ	The Museo de Arte de Asunción	106.62
1971-10-31	USDAVQQ	The Museo de Arte de Asunción	108.86
