Date	Company Code	Company Name	Stock Price
1959-01-31	USAJ1N7	The Museo de Arte de Baja California	109.22
1959-02-28	USAJ1N7	The Museo de Arte de Baja California	117.09
1959-03-31	USAJ1N7	The Museo de Arte de Baja California	117.66
1959-04-30	USAJ1N7	The Museo de Arte de Baja California	116.96
1959-05-31	USAJ1N7	The Museo de Arte de Baja California	115.41
1959-06-30	USAJ1N7	The Museo de Arte de Baja California	113.02
1959-07-31	USAJ1N7	The Museo de Arte de Baja California	106.4
1959-08-31	USAJ1N7	The Museo de Arte de Baja California	107.46
1959-09-30	USAJ1N7	The Museo de Arte de Baja California	109.71
1959-10-31	USAJ1N7	The Museo de Arte de Baja California	108.54
1959-11-30	USAJ1N7	The Museo de Arte de Baja California	102.99
1959-12-31	USAJ1N7	The Museo de Arte de Baja California	100.69
1960-01-31	USAJ1N7	The Museo de Arte de Baja California	95.77
1960-02-29	USAJ1N7	The Museo de Arte de Baja California	95.69
1960-03-31	USAJ1N7	The Museo de Arte de Baja California	94.78
1960-04-30	USAJ1N7	The Museo de Arte de Baja California	100.4
1960-05-31	USAJ1N7	The Museo de Arte de Baja California	95.82
1960-06-30	USAJ1N7	The Museo de Arte de Baja California	91.4
1960-07-31	USAJ1N7	The Museo de Arte de Baja California	90.7
1960-08-31	USAJ1N7	The Museo de Arte de Baja California	90.05
1960-09-30	USAJ1N7	The Museo de Arte de Baja California	94.68
1960-10-31	USAJ1N7	The Museo de Arte de Baja California	91.19
1960-11-30	USAJ1N7	The Museo de Arte de Baja California	90.83
1960-12-31	USAJ1N7	The Museo de Arte de Baja California	93.8
1961-01-31	USAJ1N7	The Museo de Arte de Baja California	84.79
1961-02-28	USAJ1N7	The Museo de Arte de Baja California	79.0
1961-03-31	USAJ1N7	The Museo de Arte de Baja California	79.11
1961-04-30	USAJ1N7	The Museo de Arte de Baja California	78.24
1961-05-31	USAJ1N7	The Museo de Arte de Baja California	77.1
1961-06-30	USAJ1N7	The Museo de Arte de Baja California	77.84
1961-07-31	USAJ1N7	The Museo de Arte de Baja California	80.63
1961-08-31	USAJ1N7	The Museo de Arte de Baja California	82.26
1961-09-30	USAJ1N7	The Museo de Arte de Baja California	82.9
1961-10-31	USAJ1N7	The Museo de Arte de Baja California	83.77
1961-11-30	USAJ1N7	The Museo de Arte de Baja California	84.83
1961-12-31	USAJ1N7	The Museo de Arte de Baja California	84.58
1962-01-31	USAJ1N7	The Museo de Arte de Baja California	84.07
1962-02-28	USAJ1N7	The Museo de Arte de Baja California	93.67
1962-03-31	USAJ1N7	The Museo de Arte de Baja California	96.97
1962-04-30	USAJ1N7	The Museo de Arte de Baja California	97.07
1962-05-31	USAJ1N7	The Museo de Arte de Baja California	101.35
1962-06-30	USAJ1N7	The Museo de Arte de Baja California	98.43
1962-07-31	USAJ1N7	The Museo de Arte de Baja California	97.19
1962-08-31	USAJ1N7	The Museo de Arte de Baja California	97.36
1962-09-30	USAJ1N7	The Museo de Arte de Baja California	99.15
1962-10-31	USAJ1N7	The Museo de Arte de Baja California	97.52
1962-11-30	USAJ1N7	The Museo de Arte de Baja California	101.15
1962-12-31	USAJ1N7	The Museo de Arte de Baja California	107.21
1963-01-31	USAJ1N7	The Museo de Arte de Baja California	108.42
