Date	Company Code	Company Name	Stock Price
1959-01-31	USRDRCD	The Museo de Arte de Bogotá	110.92
1959-02-28	USRDRCD	The Museo de Arte de Bogotá	109.71
1959-03-31	USRDRCD	The Museo de Arte de Bogotá	109.39
1959-04-30	USRDRCD	The Museo de Arte de Bogotá	111.7
1959-05-31	USRDRCD	The Museo de Arte de Bogotá	111.09
1959-06-30	USRDRCD	The Museo de Arte de Bogotá	108.64
1959-07-31	USRDRCD	The Museo de Arte de Bogotá	116.49
1959-08-31	USRDRCD	The Museo de Arte de Bogotá	117.95
1959-09-30	USRDRCD	The Museo de Arte de Bogotá	118.85
1959-10-31	USRDRCD	The Museo de Arte de Bogotá	122.56
1959-11-30	USRDRCD	The Museo de Arte de Bogotá	123.04
1959-12-31	USRDRCD	The Museo de Arte de Bogotá	124.17
1960-01-31	USRDRCD	The Museo de Arte de Bogotá	124.29
1960-02-29	USRDRCD	The Museo de Arte de Bogotá	127.79
1960-03-31	USRDRCD	The Museo de Arte de Bogotá	120.29
1960-04-30	USRDRCD	The Museo de Arte de Bogotá	123.7
1960-05-31	USRDRCD	The Museo de Arte de Bogotá	124.76
1960-06-30	USRDRCD	The Museo de Arte de Bogotá	121.73
1960-07-31	USRDRCD	The Museo de Arte de Bogotá	123.44
1960-08-31	USRDRCD	The Museo de Arte de Bogotá	123.86
1960-09-30	USRDRCD	The Museo de Arte de Bogotá	125.39
1960-10-31	USRDRCD	The Museo de Arte de Bogotá	131.88
1960-11-30	USRDRCD	The Museo de Arte de Bogotá	139.93
1960-12-31	USRDRCD	The Museo de Arte de Bogotá	148.04
1961-01-31	USRDRCD	The Museo de Arte de Bogotá	143.49
1961-02-28	USRDRCD	The Museo de Arte de Bogotá	148.37
1961-03-31	USRDRCD	The Museo de Arte de Bogotá	144.34
1961-04-30	USRDRCD	The Museo de Arte de Bogotá	141.65
1961-05-31	USRDRCD	The Museo de Arte de Bogotá	143.93
1961-06-30	USRDRCD	The Museo de Arte de Bogotá	148.4
1961-07-31	USRDRCD	The Museo de Arte de Bogotá	148.19
1961-08-31	USRDRCD	The Museo de Arte de Bogotá	146.71
1961-09-30	USRDRCD	The Museo de Arte de Bogotá	149.24
1961-10-31	USRDRCD	The Museo de Arte de Bogotá	152.79
1961-11-30	USRDRCD	The Museo de Arte de Bogotá	148.01
