Date	Company Code	Company Name	Stock Price
1959-01-31	USGOYKK	The Museo de Arte de Buenos Aires	91.52
1959-02-28	USGOYKK	The Museo de Arte de Buenos Aires	88.29
1959-03-31	USGOYKK	The Museo de Arte de Buenos Aires	96.39
1959-04-30	USGOYKK	The Museo de Arte de Buenos Aires	95.94
1959-05-31	USGOYKK	The Museo de Arte de Buenos Aires	97.67
1959-06-30	USGOYKK	The Museo de Arte de Buenos Aires	89.27
1959-07-31	USGOYKK	The Museo de Arte de Buenos Aires	95.02
1959-08-31	USGOYKK	The Museo de Arte de Buenos Aires	99.26
1959-09-30	USGOYKK	The Museo de Arte de Buenos Aires	94.8
1959-10-31	USGOYKK	The Museo de Arte de Buenos Aires	94.5
1959-11-30	USGOYKK	The Museo de Arte de Buenos Aires	102.0
1959-12-31	USGOYKK	The Museo de Arte de Buenos Aires	101.2
1960-01-31	USGOYKK	The Museo de Arte de Buenos Aires	104.21
1960-02-29	USGOYKK	The Museo de Arte de Buenos Aires	108.23
1960-03-31	USGOYKK	The Museo de Arte de Buenos Aires	105.24
1960-04-30	USGOYKK	The Museo de Arte de Buenos Aires	104.61
1960-05-31	USGOYKK	The Museo de Arte de Buenos Aires	104.7
1960-06-30	USGOYKK	The Museo de Arte de Buenos Aires	110.28
1960-07-31	USGOYKK	The Museo de Arte de Buenos Aires	110.34
1960-08-31	USGOYKK	The Museo de Arte de Buenos Aires	114.17
1960-09-30	USGOYKK	The Museo de Arte de Buenos Aires	114.52
1960-10-31	USGOYKK	The Museo de Arte de Buenos Aires	119.17
1960-11-30	USGOYKK	The Museo de Arte de Buenos Aires	124.33
1960-12-31	USGOYKK	The Museo de Arte de Buenos Aires	121.02
1961-01-31	USGOYKK	The Museo de Arte de Buenos Aires	114.09
1961-02-28	USGOYKK	The Museo de Arte de Buenos Aires	109.71
1961-03-31	USGOYKK	The Museo de Arte de Buenos Aires	104.7
1961-04-30	USGOYKK	The Museo de Arte de Buenos Aires	102.39
1961-05-31	USGOYKK	The Museo de Arte de Buenos Aires	100.85
1961-06-30	USGOYKK	The Museo de Arte de Buenos Aires	102.85
1961-07-31	USGOYKK	The Museo de Arte de Buenos Aires	102.42
1961-08-31	USGOYKK	The Museo de Arte de Buenos Aires	102.93
1961-09-30	USGOYKK	The Museo de Arte de Buenos Aires	98.03
1961-10-31	USGOYKK	The Museo de Arte de Buenos Aires	102.08
1961-11-30	USGOYKK	The Museo de Arte de Buenos Aires	103.51
1961-12-31	USGOYKK	The Museo de Arte de Buenos Aires	107.97
1962-01-31	USGOYKK	The Museo de Arte de Buenos Aires	110.07
1962-02-28	USGOYKK	The Museo de Arte de Buenos Aires	119.53
1962-03-31	USGOYKK	The Museo de Arte de Buenos Aires	119.41
1962-04-30	USGOYKK	The Museo de Arte de Buenos Aires	120.35
1962-05-31	USGOYKK	The Museo de Arte de Buenos Aires	125.81
1962-06-30	USGOYKK	The Museo de Arte de Buenos Aires	122.59
1962-07-31	USGOYKK	The Museo de Arte de Buenos Aires	115.91
1962-08-31	USGOYKK	The Museo de Arte de Buenos Aires	114.48
1962-09-30	USGOYKK	The Museo de Arte de Buenos Aires	108.39
1962-10-31	USGOYKK	The Museo de Arte de Buenos Aires	104.75
1962-11-30	USGOYKK	The Museo de Arte de Buenos Aires	106.46
1962-12-31	USGOYKK	The Museo de Arte de Buenos Aires	103.37
1963-01-31	USGOYKK	The Museo de Arte de Buenos Aires	102.93
1963-02-28	USGOYKK	The Museo de Arte de Buenos Aires	99.3
1963-03-31	USGOYKK	The Museo de Arte de Buenos Aires	94.59
1963-04-30	USGOYKK	The Museo de Arte de Buenos Aires	94.59
1963-05-31	USGOYKK	The Museo de Arte de Buenos Aires	92.72
1963-06-30	USGOYKK	The Museo de Arte de Buenos Aires	88.94
1963-07-31	USGOYKK	The Museo de Arte de Buenos Aires	87.65
1963-08-31	USGOYKK	The Museo de Arte de Buenos Aires	83.27
1963-09-30	USGOYKK	The Museo de Arte de Buenos Aires	90.66
1963-10-31	USGOYKK	The Museo de Arte de Buenos Aires	85.7
1963-11-30	USGOYKK	The Museo de Arte de Buenos Aires	87.8
1963-12-31	USGOYKK	The Museo de Arte de Buenos Aires	85.33
1964-01-31	USGOYKK	The Museo de Arte de Buenos Aires	85.24
1964-02-29	USGOYKK	The Museo de Arte de Buenos Aires	84.97
1964-03-31	USGOYKK	The Museo de Arte de Buenos Aires	86.58
1964-04-30	USGOYKK	The Museo de Arte de Buenos Aires	83.43
1964-05-31	USGOYKK	The Museo de Arte de Buenos Aires	81.29
1964-06-30	USGOYKK	The Museo de Arte de Buenos Aires	81.46
1964-07-31	USGOYKK	The Museo de Arte de Buenos Aires	79.65
1964-08-31	USGOYKK	The Museo de Arte de Buenos Aires	76.09
1964-09-30	USGOYKK	The Museo de Arte de Buenos Aires	74.47
1964-10-31	USGOYKK	The Museo de Arte de Buenos Aires	80.96
1964-11-30	USGOYKK	The Museo de Arte de Buenos Aires	78.07
1964-12-31	USGOYKK	The Museo de Arte de Buenos Aires	79.5
1965-01-31	USGOYKK	The Museo de Arte de Buenos Aires	79.95
1965-02-28	USGOYKK	The Museo de Arte de Buenos Aires	82.8
1965-03-31	USGOYKK	The Museo de Arte de Buenos Aires	83.02
1965-04-30	USGOYKK	The Museo de Arte de Buenos Aires	87.95
1965-05-31	USGOYKK	The Museo de Arte de Buenos Aires	89.56
1965-06-30	USGOYKK	The Museo de Arte de Buenos Aires	79.95
1965-07-31	USGOYKK	The Museo de Arte de Buenos Aires	87.17
1965-08-31	USGOYKK	The Museo de Arte de Buenos Aires	89.08
