Date	Company Code	Company Name	Stock Price
1959-01-31	USOUZWP	The Museo de Arte de Campeche	90.97
1959-02-28	USOUZWP	The Museo de Arte de Campeche	88.96
1959-03-31	USOUZWP	The Museo de Arte de Campeche	83.33
1959-04-30	USOUZWP	The Museo de Arte de Campeche	82.64
1959-05-31	USOUZWP	The Museo de Arte de Campeche	83.42
1959-06-30	USOUZWP	The Museo de Arte de Campeche	85.46
1959-07-31	USOUZWP	The Museo de Arte de Campeche	86.68
1959-08-31	USOUZWP	The Museo de Arte de Campeche	88.26
1959-09-30	USOUZWP	The Museo de Arte de Campeche	90.32
1959-10-31	USOUZWP	The Museo de Arte de Campeche	91.98
1959-11-30	USOUZWP	The Museo de Arte de Campeche	95.2
1959-12-31	USOUZWP	The Museo de Arte de Campeche	104.32
1960-01-31	USOUZWP	The Museo de Arte de Campeche	107.0
1960-02-29	USOUZWP	The Museo de Arte de Campeche	108.48
1960-03-31	USOUZWP	The Museo de Arte de Campeche	103.18
1960-04-30	USOUZWP	The Museo de Arte de Campeche	100.35
1960-05-31	USOUZWP	The Museo de Arte de Campeche	99.18
1960-06-30	USOUZWP	The Museo de Arte de Campeche	103.47
1960-07-31	USOUZWP	The Museo de Arte de Campeche	109.32
1960-08-31	USOUZWP	The Museo de Arte de Campeche	106.01
1960-09-30	USOUZWP	The Museo de Arte de Campeche	106.75
1960-10-31	USOUZWP	The Museo de Arte de Campeche	109.51
1960-11-30	USOUZWP	The Museo de Arte de Campeche	110.9
1960-12-31	USOUZWP	The Museo de Arte de Campeche	102.19
1961-01-31	USOUZWP	The Museo de Arte de Campeche	106.3
1961-02-28	USOUZWP	The Museo de Arte de Campeche	105.41
1961-03-31	USOUZWP	The Museo de Arte de Campeche	106.67
1961-04-30	USOUZWP	The Museo de Arte de Campeche	104.28
1961-05-31	USOUZWP	The Museo de Arte de Campeche	110.16
1961-06-30	USOUZWP	The Museo de Arte de Campeche	111.96
1961-07-31	USOUZWP	The Museo de Arte de Campeche	108.61
1961-08-31	USOUZWP	The Museo de Arte de Campeche	112.42
1961-09-30	USOUZWP	The Museo de Arte de Campeche	114.91
1961-10-31	USOUZWP	The Museo de Arte de Campeche	120.96
1961-11-30	USOUZWP	The Museo de Arte de Campeche	130.09
1961-12-31	USOUZWP	The Museo de Arte de Campeche	133.04
1962-01-31	USOUZWP	The Museo de Arte de Campeche	133.52
1962-02-28	USOUZWP	The Museo de Arte de Campeche	126.18
1962-03-31	USOUZWP	The Museo de Arte de Campeche	125.83
1962-04-30	USOUZWP	The Museo de Arte de Campeche	124.95
1962-05-31	USOUZWP	The Museo de Arte de Campeche	126.72
1962-06-30	USOUZWP	The Museo de Arte de Campeche	119.33
1962-07-31	USOUZWP	The Museo de Arte de Campeche	124.82
1962-08-31	USOUZWP	The Museo de Arte de Campeche	126.73
1962-09-30	USOUZWP	The Museo de Arte de Campeche	124.93
1962-10-31	USOUZWP	The Museo de Arte de Campeche	124.48
1962-11-30	USOUZWP	The Museo de Arte de Campeche	120.4
1962-12-31	USOUZWP	The Museo de Arte de Campeche	120.77
1963-01-31	USOUZWP	The Museo de Arte de Campeche	120.05
1963-02-28	USOUZWP	The Museo de Arte de Campeche	119.35
1963-03-31	USOUZWP	The Museo de Arte de Campeche	118.13
1963-04-30	USOUZWP	The Museo de Arte de Campeche	118.26
1963-05-31	USOUZWP	The Museo de Arte de Campeche	113.27
1963-06-30	USOUZWP	The Museo de Arte de Campeche	111.56
1963-07-31	USOUZWP	The Museo de Arte de Campeche	113.44
1963-08-31	USOUZWP	The Museo de Arte de Campeche	111.5
1963-09-30	USOUZWP	The Museo de Arte de Campeche	108.26
1963-10-31	USOUZWP	The Museo de Arte de Campeche	106.52
1963-11-30	USOUZWP	The Museo de Arte de Campeche	102.96
1963-12-31	USOUZWP	The Museo de Arte de Campeche	103.71
1964-01-31	USOUZWP	The Museo de Arte de Campeche	105.37
1964-02-29	USOUZWP	The Museo de Arte de Campeche	104.98
1964-03-31	USOUZWP	The Museo de Arte de Campeche	102.47
1964-04-30	USOUZWP	The Museo de Arte de Campeche	101.42
1964-05-31	USOUZWP	The Museo de Arte de Campeche	95.85
1964-06-30	USOUZWP	The Museo de Arte de Campeche	96.48
1964-07-31	USOUZWP	The Museo de Arte de Campeche	95.39
1964-08-31	USOUZWP	The Museo de Arte de Campeche	96.17
1964-09-30	USOUZWP	The Museo de Arte de Campeche	99.83
1964-10-31	USOUZWP	The Museo de Arte de Campeche	99.52
1964-11-30	USOUZWP	The Museo de Arte de Campeche	94.72
1964-12-31	USOUZWP	The Museo de Arte de Campeche	90.52
1965-01-31	USOUZWP	The Museo de Arte de Campeche	92.77
1965-02-28	USOUZWP	The Museo de Arte de Campeche	91.01
1965-03-31	USOUZWP	The Museo de Arte de Campeche	92.01
1965-04-30	USOUZWP	The Museo de Arte de Campeche	89.01
1965-05-31	USOUZWP	The Museo de Arte de Campeche	84.78
1965-06-30	USOUZWP	The Museo de Arte de Campeche	78.25
1965-07-31	USOUZWP	The Museo de Arte de Campeche	72.66
1965-08-31	USOUZWP	The Museo de Arte de Campeche	72.93
1965-09-30	USOUZWP	The Museo de Arte de Campeche	71.38
1965-10-31	USOUZWP	The Museo de Arte de Campeche	73.57
1965-11-30	USOUZWP	The Museo de Arte de Campeche	72.43
1965-12-31	USOUZWP	The Museo de Arte de Campeche	76.89
1966-01-31	USOUZWP	The Museo de Arte de Campeche	81.85
1966-02-28	USOUZWP	The Museo de Arte de Campeche	85.7
1966-03-31	USOUZWP	The Museo de Arte de Campeche	80.67
1966-04-30	USOUZWP	The Museo de Arte de Campeche	78.87
1966-05-31	USOUZWP	The Museo de Arte de Campeche	84.73
1966-06-30	USOUZWP	The Museo de Arte de Campeche	84.19
1966-07-31	USOUZWP	The Museo de Arte de Campeche	85.95
1966-08-31	USOUZWP	The Museo de Arte de Campeche	84.82
1966-09-30	USOUZWP	The Museo de Arte de Campeche	89.68
1966-10-31	USOUZWP	The Museo de Arte de Campeche	92.93
1966-11-30	USOUZWP	The Museo de Arte de Campeche	95.97
1966-12-31	USOUZWP	The Museo de Arte de Campeche	96.79
1967-01-31	USOUZWP	The Museo de Arte de Campeche	98.16
1967-02-28	USOUZWP	The Museo de Arte de Campeche	100.49
1967-03-31	USOUZWP	The Museo de Arte de Campeche	99.24
1967-04-30	USOUZWP	The Museo de Arte de Campeche	104.98
1967-05-31	USOUZWP	The Museo de Arte de Campeche	104.61
1967-06-30	USOUZWP	The Museo de Arte de Campeche	101.66
1967-07-31	USOUZWP	The Museo de Arte de Campeche	107.84
1967-08-31	USOUZWP	The Museo de Arte de Campeche	106.39
1967-09-30	USOUZWP	The Museo de Arte de Campeche	99.56
1967-10-31	USOUZWP	The Museo de Arte de Campeche	95.85
1967-11-30	USOUZWP	The Museo de Arte de Campeche	99.07
1967-12-31	USOUZWP	The Museo de Arte de Campeche	94.46
1968-01-31	USOUZWP	The Museo de Arte de Campeche	94.33
1968-02-29	USOUZWP	The Museo de Arte de Campeche	88.41
1968-03-31	USOUZWP	The Museo de Arte de Campeche	90.4
1968-04-30	USOUZWP	The Museo de Arte de Campeche	95.5
1968-05-31	USOUZWP	The Museo de Arte de Campeche	94.38
1968-06-30	USOUZWP	The Museo de Arte de Campeche	92.32
1968-07-31	USOUZWP	The Museo de Arte de Campeche	91.77
1968-08-31	USOUZWP	The Museo de Arte de Campeche	92.2
1968-09-30	USOUZWP	The Museo de Arte de Campeche	88.78
1968-10-31	USOUZWP	The Museo de Arte de Campeche	92.83
1968-11-30	USOUZWP	The Museo de Arte de Campeche	94.62
1968-12-31	USOUZWP	The Museo de Arte de Campeche	93.2
1969-01-31	USOUZWP	The Museo de Arte de Campeche	90.69
1969-02-28	USOUZWP	The Museo de Arte de Campeche	88.43
1969-03-31	USOUZWP	The Museo de Arte de Campeche	85.14
1969-04-30	USOUZWP	The Museo de Arte de Campeche	85.62
1969-05-31	USOUZWP	The Museo de Arte de Campeche	89.4
1969-06-30	USOUZWP	The Museo de Arte de Campeche	89.93
1969-07-31	USOUZWP	The Museo de Arte de Campeche	92.07
1969-08-31	USOUZWP	The Museo de Arte de Campeche	97.32
1969-09-30	USOUZWP	The Museo de Arte de Campeche	96.13
1969-10-31	USOUZWP	The Museo de Arte de Campeche	97.94
1969-11-30	USOUZWP	The Museo de Arte de Campeche	100.57
1969-12-31	USOUZWP	The Museo de Arte de Campeche	107.59
1970-01-31	USOUZWP	The Museo de Arte de Campeche	102.27
1970-02-28	USOUZWP	The Museo de Arte de Campeche	96.48
1970-03-31	USOUZWP	The Museo de Arte de Campeche	90.89
1970-04-30	USOUZWP	The Museo de Arte de Campeche	85.23
1970-05-31	USOUZWP	The Museo de Arte de Campeche	89.06
1970-06-30	USOUZWP	The Museo de Arte de Campeche	89.84
1970-07-31	USOUZWP	The Museo de Arte de Campeche	87.08
1970-08-31	USOUZWP	The Museo de Arte de Campeche	81.52
1970-09-30	USOUZWP	The Museo de Arte de Campeche	79.67
1970-10-31	USOUZWP	The Museo de Arte de Campeche	79.6
1970-11-30	USOUZWP	The Museo de Arte de Campeche	80.28
1970-12-31	USOUZWP	The Museo de Arte de Campeche	85.03
1971-01-31	USOUZWP	The Museo de Arte de Campeche	87.77
1971-02-28	USOUZWP	The Museo de Arte de Campeche	89.3
1971-03-31	USOUZWP	The Museo de Arte de Campeche	87.03
1971-04-30	USOUZWP	The Museo de Arte de Campeche	84.57
1971-05-31	USOUZWP	The Museo de Arte de Campeche	84.89
1971-06-30	USOUZWP	The Museo de Arte de Campeche	85.29
1971-07-31	USOUZWP	The Museo de Arte de Campeche	93.28
1971-08-31	USOUZWP	The Museo de Arte de Campeche	99.25
1971-09-30	USOUZWP	The Museo de Arte de Campeche	101.02
1971-10-31	USOUZWP	The Museo de Arte de Campeche	101.37
1971-11-30	USOUZWP	The Museo de Arte de Campeche	102.03
1971-12-31	USOUZWP	The Museo de Arte de Campeche	100.15
1972-01-31	USOUZWP	The Museo de Arte de Campeche	101.0
1972-02-29	USOUZWP	The Museo de Arte de Campeche	108.39
1972-03-31	USOUZWP	The Museo de Arte de Campeche	107.46
1972-04-30	USOUZWP	The Museo de Arte de Campeche	108.71
1972-05-31	USOUZWP	The Museo de Arte de Campeche	110.6
1972-06-30	USOUZWP	The Museo de Arte de Campeche	114.05
1972-07-31	USOUZWP	The Museo de Arte de Campeche	120.4
1972-08-31	USOUZWP	The Museo de Arte de Campeche	121.02
1972-09-30	USOUZWP	The Museo de Arte de Campeche	123.0
1972-10-31	USOUZWP	The Museo de Arte de Campeche	118.37
1972-11-30	USOUZWP	The Museo de Arte de Campeche	118.8
1972-12-31	USOUZWP	The Museo de Arte de Campeche	124.95
1973-01-31	USOUZWP	The Museo de Arte de Campeche	130.04
1973-02-28	USOUZWP	The Museo de Arte de Campeche	130.37
1973-03-31	USOUZWP	The Museo de Arte de Campeche	129.28
1973-04-30	USOUZWP	The Museo de Arte de Campeche	129.74
1973-05-31	USOUZWP	The Museo de Arte de Campeche	130.77
1973-06-30	USOUZWP	The Museo de Arte de Campeche	128.16
1973-07-31	USOUZWP	The Museo de Arte de Campeche	126.26
1973-08-31	USOUZWP	The Museo de Arte de Campeche	125.66
1973-09-30	USOUZWP	The Museo de Arte de Campeche	119.82
1973-10-31	USOUZWP	The Museo de Arte de Campeche	124.03
1973-11-30	USOUZWP	The Museo de Arte de Campeche	123.85
1973-12-31	USOUZWP	The Museo de Arte de Campeche	117.35
1974-01-31	USOUZWP	The Museo de Arte de Campeche	117.97
1974-02-28	USOUZWP	The Museo de Arte de Campeche	119.49
1974-03-31	USOUZWP	The Museo de Arte de Campeche	117.87
1974-04-30	USOUZWP	The Museo de Arte de Campeche	114.75
1974-05-31	USOUZWP	The Museo de Arte de Campeche	114.15
1974-06-30	USOUZWP	The Museo de Arte de Campeche	111.36
1974-07-31	USOUZWP	The Museo de Arte de Campeche	109.7
1974-08-31	USOUZWP	The Museo de Arte de Campeche	108.9
1974-09-30	USOUZWP	The Museo de Arte de Campeche	102.17
1974-10-31	USOUZWP	The Museo de Arte de Campeche	103.15
1974-11-30	USOUZWP	The Museo de Arte de Campeche	97.53
1974-12-31	USOUZWP	The Museo de Arte de Campeche	96.0
1975-01-31	USOUZWP	The Museo de Arte de Campeche	94.31
1975-02-28	USOUZWP	The Museo de Arte de Campeche	97.48
1975-03-31	USOUZWP	The Museo de Arte de Campeche	95.53
