Date	Company Code	Company Name	Stock Price
1959-01-31	US6SODY	The Museo de Arte de Chiapas	120.94
1959-02-28	US6SODY	The Museo de Arte de Chiapas	125.52
1959-03-31	US6SODY	The Museo de Arte de Chiapas	123.57
1959-04-30	US6SODY	The Museo de Arte de Chiapas	130.58
1959-05-31	US6SODY	The Museo de Arte de Chiapas	132.75
1959-06-30	US6SODY	The Museo de Arte de Chiapas	134.97
1959-07-31	US6SODY	The Museo de Arte de Chiapas	135.7
1959-08-31	US6SODY	The Museo de Arte de Chiapas	134.02
1959-09-30	US6SODY	The Museo de Arte de Chiapas	137.34
1959-10-31	US6SODY	The Museo de Arte de Chiapas	140.31
1959-11-30	US6SODY	The Museo de Arte de Chiapas	140.31
1959-12-31	US6SODY	The Museo de Arte de Chiapas	141.46
1960-01-31	US6SODY	The Museo de Arte de Chiapas	145.86
1960-02-29	US6SODY	The Museo de Arte de Chiapas	143.75
1960-03-31	US6SODY	The Museo de Arte de Chiapas	139.16
1960-04-30	US6SODY	The Museo de Arte de Chiapas	140.52
1960-05-31	US6SODY	The Museo de Arte de Chiapas	140.11
1960-06-30	US6SODY	The Museo de Arte de Chiapas	142.38
1960-07-31	US6SODY	The Museo de Arte de Chiapas	144.13
1960-08-31	US6SODY	The Museo de Arte de Chiapas	150.41
1960-09-30	US6SODY	The Museo de Arte de Chiapas	154.96
1960-10-31	US6SODY	The Museo de Arte de Chiapas	154.17
1960-11-30	US6SODY	The Museo de Arte de Chiapas	151.05
1960-12-31	US6SODY	The Museo de Arte de Chiapas	155.09
1961-01-31	US6SODY	The Museo de Arte de Chiapas	151.93
1961-02-28	US6SODY	The Museo de Arte de Chiapas	148.63
1961-03-31	US6SODY	The Museo de Arte de Chiapas	147.28
1961-04-30	US6SODY	The Museo de Arte de Chiapas	149.97
1961-05-31	US6SODY	The Museo de Arte de Chiapas	149.05
1961-06-30	US6SODY	The Museo de Arte de Chiapas	146.94
1961-07-31	US6SODY	The Museo de Arte de Chiapas	144.6
1961-08-31	US6SODY	The Museo de Arte de Chiapas	146.69
1961-09-30	US6SODY	The Museo de Arte de Chiapas	145.83
1961-10-31	US6SODY	The Museo de Arte de Chiapas	147.95
1961-11-30	US6SODY	The Museo de Arte de Chiapas	150.11
