Date	Company Code	Company Name	Stock Price
1959-01-31	USWP186	The Museo de Arte de Durango	103.8
1959-02-28	USWP186	The Museo de Arte de Durango	97.9
1959-03-31	USWP186	The Museo de Arte de Durango	93.92
1959-04-30	USWP186	The Museo de Arte de Durango	92.52
1959-05-31	USWP186	The Museo de Arte de Durango	91.48
1959-06-30	USWP186	The Museo de Arte de Durango	95.18
1959-07-31	USWP186	The Museo de Arte de Durango	99.47
1959-08-31	USWP186	The Museo de Arte de Durango	93.54
1959-09-30	USWP186	The Museo de Arte de Durango	101.96
1959-10-31	USWP186	The Museo de Arte de Durango	99.59
1959-11-30	USWP186	The Museo de Arte de Durango	104.99
1959-12-31	USWP186	The Museo de Arte de Durango	104.39
1960-01-31	USWP186	The Museo de Arte de Durango	109.25
1960-02-29	USWP186	The Museo de Arte de Durango	115.36
1960-03-31	USWP186	The Museo de Arte de Durango	113.32
1960-04-30	USWP186	The Museo de Arte de Durango	107.05
1960-05-31	USWP186	The Museo de Arte de Durango	109.72
1960-06-30	USWP186	The Museo de Arte de Durango	106.27
1960-07-31	USWP186	The Museo de Arte de Durango	101.51
1960-08-31	USWP186	The Museo de Arte de Durango	101.82
1960-09-30	USWP186	The Museo de Arte de Durango	110.19
1960-10-31	USWP186	The Museo de Arte de Durango	106.44
1960-11-30	USWP186	The Museo de Arte de Durango	106.36
1960-12-31	USWP186	The Museo de Arte de Durango	109.11
1961-01-31	USWP186	The Museo de Arte de Durango	116.61
1961-02-28	USWP186	The Museo de Arte de Durango	108.71
1961-03-31	USWP186	The Museo de Arte de Durango	101.84
1961-04-30	USWP186	The Museo de Arte de Durango	93.19
1961-05-31	USWP186	The Museo de Arte de Durango	90.64
1961-06-30	USWP186	The Museo de Arte de Durango	96.42
1961-07-31	USWP186	The Museo de Arte de Durango	87.92
1961-08-31	USWP186	The Museo de Arte de Durango	97.28
1961-09-30	USWP186	The Museo de Arte de Durango	93.59
1961-10-31	USWP186	The Museo de Arte de Durango	93.31
1961-11-30	USWP186	The Museo de Arte de Durango	99.78
1961-12-31	USWP186	The Museo de Arte de Durango	101.69
1962-01-31	USWP186	The Museo de Arte de Durango	102.89
1962-02-28	USWP186	The Museo de Arte de Durango	103.36
1962-03-31	USWP186	The Museo de Arte de Durango	105.31
1962-04-30	USWP186	The Museo de Arte de Durango	105.14
1962-05-31	USWP186	The Museo de Arte de Durango	106.11
1962-06-30	USWP186	The Museo de Arte de Durango	112.77
1962-07-31	USWP186	The Museo de Arte de Durango	110.56
1962-08-31	USWP186	The Museo de Arte de Durango	109.4
1962-09-30	USWP186	The Museo de Arte de Durango	112.41
1962-10-31	USWP186	The Museo de Arte de Durango	107.96
1962-11-30	USWP186	The Museo de Arte de Durango	110.33
1962-12-31	USWP186	The Museo de Arte de Durango	108.46
1963-01-31	USWP186	The Museo de Arte de Durango	116.54
1963-02-28	USWP186	The Museo de Arte de Durango	119.1
1963-03-31	USWP186	The Museo de Arte de Durango	114.95
1963-04-30	USWP186	The Museo de Arte de Durango	110.29
1963-05-31	USWP186	The Museo de Arte de Durango	106.68
1963-06-30	USWP186	The Museo de Arte de Durango	105.62
1963-07-31	USWP186	The Museo de Arte de Durango	105.17
1963-08-31	USWP186	The Museo de Arte de Durango	109.96
1963-09-30	USWP186	The Museo de Arte de Durango	106.42
1963-10-31	USWP186	The Museo de Arte de Durango	106.84
1963-11-30	USWP186	The Museo de Arte de Durango	103.12
1963-12-31	USWP186	The Museo de Arte de Durango	95.85
1964-01-31	USWP186	The Museo de Arte de Durango	96.72
1964-02-29	USWP186	The Museo de Arte de Durango	94.37
1964-03-31	USWP186	The Museo de Arte de Durango	101.13
1964-04-30	USWP186	The Museo de Arte de Durango	101.59
1964-05-31	USWP186	The Museo de Arte de Durango	97.89
1964-06-30	USWP186	The Museo de Arte de Durango	95.85
1964-07-31	USWP186	The Museo de Arte de Durango	89.16
1964-08-31	USWP186	The Museo de Arte de Durango	89.12
1964-09-30	USWP186	The Museo de Arte de Durango	88.36
1964-10-31	USWP186	The Museo de Arte de Durango	91.85
1964-11-30	USWP186	The Museo de Arte de Durango	91.79
1964-12-31	USWP186	The Museo de Arte de Durango	85.73
1965-01-31	USWP186	The Museo de Arte de Durango	89.47
1965-02-28	USWP186	The Museo de Arte de Durango	85.79
1965-03-31	USWP186	The Museo de Arte de Durango	79.45
1965-04-30	USWP186	The Museo de Arte de Durango	81.49
1965-05-31	USWP186	The Museo de Arte de Durango	81.85
1965-06-30	USWP186	The Museo de Arte de Durango	81.37
1965-07-31	USWP186	The Museo de Arte de Durango	75.88
1965-08-31	USWP186	The Museo de Arte de Durango	80.48
1965-09-30	USWP186	The Museo de Arte de Durango	87.75
1965-10-31	USWP186	The Museo de Arte de Durango	80.43
1965-11-30	USWP186	The Museo de Arte de Durango	81.63
1965-12-31	USWP186	The Museo de Arte de Durango	82.71
1966-01-31	USWP186	The Museo de Arte de Durango	81.72
1966-02-28	USWP186	The Museo de Arte de Durango	81.85
1966-03-31	USWP186	The Museo de Arte de Durango	76.4
1966-04-30	USWP186	The Museo de Arte de Durango	74.96
1966-05-31	USWP186	The Museo de Arte de Durango	71.51
1966-06-30	USWP186	The Museo de Arte de Durango	69.37
1966-07-31	USWP186	The Museo de Arte de Durango	72.16
1966-08-31	USWP186	The Museo de Arte de Durango	78.7
1966-09-30	USWP186	The Museo de Arte de Durango	73.28
1966-10-31	USWP186	The Museo de Arte de Durango	72.55
1966-11-30	USWP186	The Museo de Arte de Durango	73.15
1966-12-31	USWP186	The Museo de Arte de Durango	73.8
1967-01-31	USWP186	The Museo de Arte de Durango	74.76
1967-02-28	USWP186	The Museo de Arte de Durango	71.56
1967-03-31	USWP186	The Museo de Arte de Durango	71.09
1967-04-30	USWP186	The Museo de Arte de Durango	71.24
1967-05-31	USWP186	The Museo de Arte de Durango	68.36
1967-06-30	USWP186	The Museo de Arte de Durango	64.95
1967-07-31	USWP186	The Museo de Arte de Durango	64.68
1967-08-31	USWP186	The Museo de Arte de Durango	61.16013706932124
1967-09-30	USWP186	The Museo de Arte de Durango	66.95
1967-10-31	USWP186	The Museo de Arte de Durango	64.11
1967-11-30	USWP186	The Museo de Arte de Durango	67.5
1967-12-31	USWP186	The Museo de Arte de Durango	62.75
1968-01-31	USWP186	The Museo de Arte de Durango	62.9
1968-02-29	USWP186	The Museo de Arte de Durango	69.58
1968-03-31	USWP186	The Museo de Arte de Durango	71.41
1968-04-30	USWP186	The Museo de Arte de Durango	66.67
1968-05-31	USWP186	The Museo de Arte de Durango	67.85
1968-06-30	USWP186	The Museo de Arte de Durango	68.56
1968-07-31	USWP186	The Museo de Arte de Durango	65.01
1968-08-31	USWP186	The Museo de Arte de Durango	66.43
1968-09-30	USWP186	The Museo de Arte de Durango	72.92
1968-10-31	USWP186	The Museo de Arte de Durango	73.97
1968-11-30	USWP186	The Museo de Arte de Durango	73.29
1968-12-31	USWP186	The Museo de Arte de Durango	70.95
1969-01-31	USWP186	The Museo de Arte de Durango	72.02
1969-02-28	USWP186	The Museo de Arte de Durango	69.9
1969-03-31	USWP186	The Museo de Arte de Durango	74.09
1969-04-30	USWP186	The Museo de Arte de Durango	72.86
1969-05-31	USWP186	The Museo de Arte de Durango	66.31
1969-06-30	USWP186	The Museo de Arte de Durango	67.71
1969-07-31	USWP186	The Museo de Arte de Durango	62.666567887095106
1969-08-31	USWP186	The Museo de Arte de Durango	62.33229819548252
1969-09-30	USWP186	The Museo de Arte de Durango	62.48
1969-10-31	USWP186	The Museo de Arte de Durango	61.93681579798235
1969-11-30	USWP186	The Museo de Arte de Durango	62.67322048320789
1969-12-31	USWP186	The Museo de Arte de Durango	62.044553311079476
1970-01-31	USWP186	The Museo de Arte de Durango	61.69
1970-02-28	USWP186	The Museo de Arte de Durango	61.20196468600559
1970-03-31	USWP186	The Museo de Arte de Durango	66.51
1970-04-30	USWP186	The Museo de Arte de Durango	69.59
1970-05-31	USWP186	The Museo de Arte de Durango	76.25
