Date	Company Code	Company Name	Stock Price
1959-01-31	US96DEW	The Museo de Arte de Estado de México	110.4
1959-02-28	US96DEW	The Museo de Arte de Estado de México	112.91
1959-03-31	US96DEW	The Museo de Arte de Estado de México	110.13
1959-04-30	US96DEW	The Museo de Arte de Estado de México	105.97
1959-05-31	US96DEW	The Museo de Arte de Estado de México	107.1
1959-06-30	US96DEW	The Museo de Arte de Estado de México	106.42
1959-07-31	US96DEW	The Museo de Arte de Estado de México	104.19
1959-08-31	US96DEW	The Museo de Arte de Estado de México	106.45
1959-09-30	US96DEW	The Museo de Arte de Estado de México	104.4
1959-10-31	US96DEW	The Museo de Arte de Estado de México	100.56
1959-11-30	US96DEW	The Museo de Arte de Estado de México	103.6
1959-12-31	US96DEW	The Museo de Arte de Estado de México	105.84
1960-01-31	US96DEW	The Museo de Arte de Estado de México	108.34
1960-02-29	US96DEW	The Museo de Arte de Estado de México	109.97
1960-03-31	US96DEW	The Museo de Arte de Estado de México	116.12
1960-04-30	US96DEW	The Museo de Arte de Estado de México	116.23
1960-05-31	US96DEW	The Museo de Arte de Estado de México	115.94
1960-06-30	US96DEW	The Museo de Arte de Estado de México	117.73
1960-07-31	US96DEW	The Museo de Arte de Estado de México	114.12
1960-08-31	US96DEW	The Museo de Arte de Estado de México	115.74
1960-09-30	US96DEW	The Museo de Arte de Estado de México	113.24
1960-10-31	US96DEW	The Museo de Arte de Estado de México	110.47
1960-11-30	US96DEW	The Museo de Arte de Estado de México	108.26
1960-12-31	US96DEW	The Museo de Arte de Estado de México	105.21
1961-01-31	US96DEW	The Museo de Arte de Estado de México	102.98
1961-02-28	US96DEW	The Museo de Arte de Estado de México	101.4
1961-03-31	US96DEW	The Museo de Arte de Estado de México	98.56
1961-04-30	US96DEW	The Museo de Arte de Estado de México	99.62
1961-05-31	US96DEW	The Museo de Arte de Estado de México	105.39
1961-06-30	US96DEW	The Museo de Arte de Estado de México	101.85
1961-07-31	US96DEW	The Museo de Arte de Estado de México	104.87
1961-08-31	US96DEW	The Museo de Arte de Estado de México	103.65
1961-09-30	US96DEW	The Museo de Arte de Estado de México	101.15
1961-10-31	US96DEW	The Museo de Arte de Estado de México	100.77
1961-11-30	US96DEW	The Museo de Arte de Estado de México	95.87
1961-12-31	US96DEW	The Museo de Arte de Estado de México	96.06
1962-01-31	US96DEW	The Museo de Arte de Estado de México	96.45
1962-02-28	US96DEW	The Museo de Arte de Estado de México	103.34
1962-03-31	US96DEW	The Museo de Arte de Estado de México	104.49
1962-04-30	US96DEW	The Museo de Arte de Estado de México	99.09
1962-05-31	US96DEW	The Museo de Arte de Estado de México	101.9
1962-06-30	US96DEW	The Museo de Arte de Estado de México	107.58
1962-07-31	US96DEW	The Museo de Arte de Estado de México	108.03
1962-08-31	US96DEW	The Museo de Arte de Estado de México	111.89
1962-09-30	US96DEW	The Museo de Arte de Estado de México	114.85
1962-10-31	US96DEW	The Museo de Arte de Estado de México	116.83
1962-11-30	US96DEW	The Museo de Arte de Estado de México	108.71
1962-12-31	US96DEW	The Museo de Arte de Estado de México	107.19
1963-01-31	US96DEW	The Museo de Arte de Estado de México	114.44
1963-02-28	US96DEW	The Museo de Arte de Estado de México	114.24
1963-03-31	US96DEW	The Museo de Arte de Estado de México	110.57
1963-04-30	US96DEW	The Museo de Arte de Estado de México	113.62
1963-05-31	US96DEW	The Museo de Arte de Estado de México	117.83
1963-06-30	US96DEW	The Museo de Arte de Estado de México	122.7
1963-07-31	US96DEW	The Museo de Arte de Estado de México	120.96
1963-08-31	US96DEW	The Museo de Arte de Estado de México	120.14
1963-09-30	US96DEW	The Museo de Arte de Estado de México	116.98
1963-10-31	US96DEW	The Museo de Arte de Estado de México	115.04
1963-11-30	US96DEW	The Museo de Arte de Estado de México	117.34
1963-12-31	US96DEW	The Museo de Arte de Estado de México	115.04
1964-01-31	US96DEW	The Museo de Arte de Estado de México	116.06
1964-02-29	US96DEW	The Museo de Arte de Estado de México	116.62
1964-03-31	US96DEW	The Museo de Arte de Estado de México	115.86
1964-04-30	US96DEW	The Museo de Arte de Estado de México	114.92
1964-05-31	US96DEW	The Museo de Arte de Estado de México	110.88
1964-06-30	US96DEW	The Museo de Arte de Estado de México	114.76
1964-07-31	US96DEW	The Museo de Arte de Estado de México	114.59
1964-08-31	US96DEW	The Museo de Arte de Estado de México	115.2
1964-09-30	US96DEW	The Museo de Arte de Estado de México	113.33
