Date	Company Code	Company Name	Stock Price
1959-01-31	USDGFAR	The Museo de Arte de Guerrero	103.37
1959-02-28	USDGFAR	The Museo de Arte de Guerrero	110.29
1959-03-31	USDGFAR	The Museo de Arte de Guerrero	109.79
1959-04-30	USDGFAR	The Museo de Arte de Guerrero	109.81
1959-05-31	USDGFAR	The Museo de Arte de Guerrero	103.42
1959-06-30	USDGFAR	The Museo de Arte de Guerrero	102.32
1959-07-31	USDGFAR	The Museo de Arte de Guerrero	103.8
1959-08-31	USDGFAR	The Museo de Arte de Guerrero	109.9
1959-09-30	USDGFAR	The Museo de Arte de Guerrero	110.38
1959-10-31	USDGFAR	The Museo de Arte de Guerrero	116.27
1959-11-30	USDGFAR	The Museo de Arte de Guerrero	115.38
1959-12-31	USDGFAR	The Museo de Arte de Guerrero	114.79
1960-01-31	USDGFAR	The Museo de Arte de Guerrero	116.73
1960-02-29	USDGFAR	The Museo de Arte de Guerrero	113.32
1960-03-31	USDGFAR	The Museo de Arte de Guerrero	114.25
1960-04-30	USDGFAR	The Museo de Arte de Guerrero	118.63
1960-05-31	USDGFAR	The Museo de Arte de Guerrero	117.12
1960-06-30	USDGFAR	The Museo de Arte de Guerrero	112.45
1960-07-31	USDGFAR	The Museo de Arte de Guerrero	119.09
1960-08-31	USDGFAR	The Museo de Arte de Guerrero	117.15
1960-09-30	USDGFAR	The Museo de Arte de Guerrero	113.99
1960-10-31	USDGFAR	The Museo de Arte de Guerrero	113.19
1960-11-30	USDGFAR	The Museo de Arte de Guerrero	115.83
1960-12-31	USDGFAR	The Museo de Arte de Guerrero	113.77
1961-01-31	USDGFAR	The Museo de Arte de Guerrero	113.49
1961-02-28	USDGFAR	The Museo de Arte de Guerrero	113.42
1961-03-31	USDGFAR	The Museo de Arte de Guerrero	107.59
1961-04-30	USDGFAR	The Museo de Arte de Guerrero	103.24
1961-05-31	USDGFAR	The Museo de Arte de Guerrero	100.16
1961-06-30	USDGFAR	The Museo de Arte de Guerrero	104.39
1961-07-31	USDGFAR	The Museo de Arte de Guerrero	106.18
1961-08-31	USDGFAR	The Museo de Arte de Guerrero	106.62
1961-09-30	USDGFAR	The Museo de Arte de Guerrero	106.7
1961-10-31	USDGFAR	The Museo de Arte de Guerrero	109.42
1961-11-30	USDGFAR	The Museo de Arte de Guerrero	108.92
1961-12-31	USDGFAR	The Museo de Arte de Guerrero	110.22
1962-01-31	USDGFAR	The Museo de Arte de Guerrero	112.78
1962-02-28	USDGFAR	The Museo de Arte de Guerrero	119.7
1962-03-31	USDGFAR	The Museo de Arte de Guerrero	121.62
1962-04-30	USDGFAR	The Museo de Arte de Guerrero	119.19
1962-05-31	USDGFAR	The Museo de Arte de Guerrero	114.29
1962-06-30	USDGFAR	The Museo de Arte de Guerrero	112.14
1962-07-31	USDGFAR	The Museo de Arte de Guerrero	120.16
1962-08-31	USDGFAR	The Museo de Arte de Guerrero	119.78
1962-09-30	USDGFAR	The Museo de Arte de Guerrero	123.45
1962-10-31	USDGFAR	The Museo de Arte de Guerrero	123.77
1962-11-30	USDGFAR	The Museo de Arte de Guerrero	120.89
1962-12-31	USDGFAR	The Museo de Arte de Guerrero	123.56
1963-01-31	USDGFAR	The Museo de Arte de Guerrero	121.29
1963-02-28	USDGFAR	The Museo de Arte de Guerrero	116.23
1963-03-31	USDGFAR	The Museo de Arte de Guerrero	116.06
